t,Clb2,M,Mcm_a,Cdh1_a,Cdc20_a,Sic1,PClb2,Trim,Cln,PTrim,Mih1_a,IE_a,Cdc20,SBF_a,Swe1,PSwe1,Swe1M,PSwe1M,BE
0.0,0.184,0.802,0.933,0.993,1.438,0.003,0.0,0.084,0.054,0.0,0.808,0.522,1.172,0.124,0.0,0.0,0.018,0.013,0.0
0.01,0.1809249541763977,0.8020401010025168,0.9323793377255267,0.992889049745375,1.4392775754295368,0.0033021246151253877,3.288992071278348e-07,0.08416434187379047,0.05406761659996121,1.53065807004664e-07,0.806532033343747,0.5217862533303338,1.1685247179002638,0.11931737640158056,4.799460584327805e-06,1.3410519417683453e-06,0.018129050337719863,0.01286012064902906,5.400720169062266e-05
0.02,0.1777759563798373,0.8020802040101338,0.931750211637944,0.9931021613297853,1.4405517093622076,0.003503038986999097,6.521250981119176e-07,0.08443516519778774,0.05413053316471536,3.099901316657284e-07,0.805047157343881,0.5215694580841695,1.1650337577686727,0.11473089029916074,9.411107328876693e-06,2.7525427638835703e-06,0.018258538142106866,0.012719865887167498,0.00010802564741655791
0.03,0.17459893789125988,0.8021203090229512,0.9311123111593038,0.9933135591085674,1.4418223744087635,0.0036493733235923777,9.684359129918302e-07,0.08476602775081905,0.05418885174988693,4.7075398081442603e-07,0.8035449557106299,0.5213495666211541,1.1615276117943316,0.11024303514429126,1.3853454895579551e-05,4.218407354124412e-06,0.018388637834271124,0.012579061486204204,0.00016205068106435474
0.04,0.17141883988976014,0.8021604160410696,0.930465462047119,0.9935197798675376,1.4430895428955135,0.0037665045968120364,1.2769146200380414e-06,0.08513165219082282,0.05424267657146331,6.351994743635342e-07,0.8020252373245259,0.52112656493396,1.1580070276504395,0.105855747701087,1.8143260842118503e-05,5.724394058034444e-06,0.018519426190270756,0.012437630914872032,0.0002160777504769704
0.05,0.16824919085597395,0.8022005250645888,0.9298095645473445,0.9937200907947679,1.444353187158738,0.003868341856333986,1.57685370137808e-06,0.08551818090755064,0.05429211345650983,8.031235067134711e-07,0.8004879341793101,0.5209004573101422,1.1544728767836392,0.10157070452604483,2.2295625305099765e-05,7.257951467476842e-06,0.01865092703807029,0.012295550610145279,0.0002701024163945363
0.06,0.16509736622491117,0.8022406360936094,0.929144559308121,0.9939142477926856,1.4456132796482966,0.003962611222985111,1.8676914650503447e-06,0.08591791315544986,0.05433726979261679,9.74319344178641e-07,0.798933045422467,0.520671257966326,1.1509260851552259,0.09738948662466752,2.632417439203883e-05,8.808043677778655e-06,0.018783135776174357,0.012152825441951337,0.0003241203482289189
0.07,0.1619673727996988,0.8022807491282316,0.9284704090321777,0.9941022611024702,1.4468697929895666,0.004053653330414827,2.148978052701908e-06,0.08632651954123802,0.05437825454008789,1.1485934160105061e-06,0.797360607284623,0.5204389865570275,1.147367596062048,0.09331366839179138,3.0241219329877994e-05,1.0364991445735727e-05,0.01891603255979386,0.012009475517994831,0.00037812732392867275
0.08,0.15886135536825735,0.8023208641685554,0.9277870884881338,0.9942842582574373,1.4481227001909849,0.004143935032008054,2.4203565785509716e-06,0.08674153690752184,0.054415177579417696,1.3257724003354087e-06,0.7957706760941705,0.5202036655486795,1.1437983434566392,0.08934485587072268,3.405783604791537e-05,1.1920376884598558e-05,0.019049589749508954,0.011865528728660101,0.0004321192569370935
0.09,0.15578046231758777,0.8023609812146815,0.9270945785420835,0.9944604910795368,1.4493719742760314,0.004234923476391031,2.681541980320893e-06,0.087161497971704,0.05444815129255556,1.505701521276153e-06,0.794163319844436,0.5199653191607022,1.1402192541958553,0.0854847319308906,3.778418064108903e-05,1.3466766246632813e-05,0.019183775515801155,0.011721017143894492,0.00048609213708518433
0.1,0.1527252458143803,0.8024011002667106,0.9263928635424103,0.9946311207545048,1.4506175886473676,0.004327484210235899,2.9323177918208826e-06,0.08758553511809887,0.054477289311620776,1.688246647901563e-06,0.7925386126866548,0.5197239723580089,1.1366312287168054,0.0817350499611972,4.142943083584744e-05,1.4997738448736369e-05,0.01931855629085278,0.011575974556423707,0.000540042088722023
0.11,0.14969594680746567,0.8024412213247426,0.925681929434838,0.9947964075056426,1.451859517104629,0.00442216717275818,3.172524314974965e-06,0.08801309565140791,0.05450270640867422,1.8732918412766626e-06,0.7908966316762726,0.5194796503533068,1.133035137240262,0.07809763077824244,4.50019334361176e-05,1.650773486144344e-05,0.019453898097951006,0.011430435152336788,0.000593965370382485
0.12,0.14669262880645859,0.8024813443888773,0.9249617628023276,0.9949565690676175,1.4530977336714948,0.004519343158836519,3.402050565764799e-06,0.08844380590060995,0.054524519335709884,2.0607369490610903e-06,0.7892374558295704,0.5192323785527742,1.1294318233594318,0.07457437009381031,4.850935298490662e-05,1.7991931144593936e-05,0.019589766915276485,0.011284433148595603,0.000647858351444708
0.13,0.14371525593971562,0.802521469459215,0.9242323504502172,0.9951118297897559,1.4543322127321916,0.004619280558448881,3.6208287740082384e-06,0.08887739483261389,0.05454284628351578,2.2504965448167393e-06,0.7875611648736063,0.5189821822923553,1.1258220981674087,0.07116721859045147,5.19587149220993e-05,1.944618101655334e-05,0.01972612917208214,0.011138002295901084,0.0007017175329839171
0.14,0.1407637371268614,0.8025615965358563,0.9234936789881918,0.9952623823453571,1.4555629286921803,0.00472219369817055,3.828827891160771e-06,0.08931364585117722,0.05455780849099386,2.442497357553101e-06,0.7858678398432579,0.518729087099804,1.1222067504307225,0.0678781915016533,5.535657495744785e-05,2.0866886152124163e-05,0.01986295146570446,0.01099117616427042,0.0007555395030789116
0.15,0.1378379529756026,0.8026017256189019,0.922745734964859,0.9954084444445762,1.4567898564570243,0.004828264092605774,4.0260504959807676e-06,0.0897523756917002,0.054569528115525,2.636678734778113e-06,0.7841575613758694,0.5184731181824368,1.1185865306422633,0.06470931122975854,5.870894853552733e-05,2.2251014969267583e-05,0.020000201252408933,0.010843987448861175,0.0008093210055754342
0.16,0.1349377710673622,0.8026418567084517,0.9219885046786869,0.99555019030302,1.4580129711015288,0.004937659657726384,4.21252738894184e-06,0.09019341520380089,0.05457812973855003,2.8329902956857726e-06,0.7824304106385243,0.5182143007319678,1.1149621614476932,0.061662604291989095,6.202146363522615e-05,2.35959865266554e-05,0.020137846413380588,0.010696468406639006,0.0008630588963205909
0.17,0.1320630555573459,0.802681989804606,0.9212219742977873,0.9956878076957917,1.459232248052017,0.005050542090508272,4.388314390150082e-06,0.09063660199525844,0.05458373952732683,3.0313915931220797e-06,0.7806864687545806,0.517952659736208,1.1113343316865327,0.05874005171051525,6.529936109757423e-05,2.4899649851194178e-05,0.020275855469419207,0.010548650640514499,0.0009167501711675783
0.18,0.12921367230735634,0.8027221249074656,0.9204461298766703,0.9958214605975766,1.4604476629802519,0.005167073142331333,4.553487737526587e-06,0.09108177410301253,0.05458648550160614,3.231850498147267e-06,0.7789258171140575,0.5176882200752493,1.107703701055428,0.055943557936681806,6.854757986943207e-05,2.61602049889644e-05,0.02041419739303629,0.010400565288776486,0.0009703919489160306
0.19,0.12638949214524126,0.8027622620171303,0.9196609574331569,0.9959513081390473,1.461659191823247,0.005287417570940888,4.70814151690535e-06,0.09152876701463306,0.054586497344267265,3.4343425734528675e-06,0.7771485373637201,0.5174210065037237,1.1040708997846467,0.05327490518756856,7.177078565960856e-05,2.737616971490352e-05,0.02055284159194741,0.010252243041624772,0.0010239814757570923
0.2,0.12359039349349674,0.8028024011337007,0.9188664430286116,0.9960775001906718,1.4628668107936622,0.0054117456232398425,4.852385880675143e-06,0.09197741116710577,0.05458390632778205,3.638850712076905e-06,0.7753547114949726,0.517151043651141,1.1004365278076644,0.05073569361227772,7.497339156558062e-05,2.8546357234909454e-05,0.02069175787650636,0.010103714173340158,0.0010775161324968557
0.21,0.12081626442577799,0.8028425422572771,0.9180625728584342,0.9962001792881158,1.4640704963992581,0.005540234873961247,4.9863460015281745e-06,0.09242753009741983,0.05457884522941162,3.8453650541801336e-06,0.773544421957259,0.5168783560203674,1.0968011530162616,0.0483272704722066,7.81595662746034e-05,2.9669866131293074e-05,0.020830916436955015,0.009955008564188883,0.0011309934461213192
0.22,0.11806700332828683,0.8028826853879599,0.9172493333595293,0.9963194789539666,1.4652702254066328,0.005673071076918073,5.110157509903626e-06,0.09287893947842589,0.054571447825878576,4.0538813264043215e-06,0.7717177517295001,0.5166029680142042,1.0931653158211048,0.04605067646548793,8.133329502356675e-05,3.0746006418339086e-05,0.020970287728181942,0.009806155817505229,0.0011844110743304086
0.23,0.11534251990241148,0.8029228305258495,0.9164267113146249,0.9964355253050164,1.4664659748412914,0.005810449092037885,5.223964810736593e-06,0.09333144613870342,0.0545618485404681,4.264400328522167e-06,0.7698747844309494,0.5163249039459058,1.0895295297573566,0.043906573701142655,8.449839544156963e-05,3.177427491133758e-05,0.02110984241786228,0.009657185311597875,0.00123776680694186
0.24,0.11264273617634252,0.8029629776710461,0.9155946939458922,0.9965484384954947,1.4676577219969644,0.005952573760591116,5.327920402224766e-06,0.09378484715392618,0.05455018212920668,4.476927768881481e-06,0.7680156044317675,0.516044188044825,1.0858942810490262,0.04189517728908762,8.765851820933729e-05,3.2754346843424585e-05,0.021249551357374104,0.00950812622840893,0.0012910585711478839
0.25,0.109967587399929,0.8030031268236502,0.9147532690261287,0.9966583329739023,1.4688454444356784,0.0060996607268047655,5.422183486484244e-06,0.09423892896652743,0.05453658320142154,4.6914737676612305e-06,0.7661402969730002,0.5157608444685695,1.0822600293208717,0.0400161854424649,9.081715615442015e-05,3.368605479885001e-05,0.021389385531584242,0.009359007603746054,0.0013442844320730191
0.26,0.10731702285496386,0.803043277983762,0.9139024249956899,0.9967653155295195,1.470029119984996,0.006251937193658059,5.506918521519901e-06,0.09469346656228789,0.054521185646339745,4.908052274024487e-06,0.7642489482906988,0.5154748973176124,1.0786272086796496,0.03826871772503366,9.397765277575126e-05,3.456936582359621e-05,0.02152931600394165,0.009209858382330157,0.0013974425914020092
0.27,0.10469100661886169,0.8030834311514821,0.9130421510771117,0.9968694875672698,1.4712087267358644,0.006409642630058485,5.582294046081726e-06,0.09514822269668699,0.05450412203103206,5.126680528894853e-06,0.7623416457390391,0.5151863706498461,1.074996228732296,0.03665126760512156,9.714320623159268e-05,3.540436234664425e-05,0.021669313866321798,0.009060707468045657,0.0014505313856036438
0.28,0.10208951835807292,0.8031235863269106,0.9121724373885848,0.9969709454248721,1.4723842430421634,0.006573029499453311,5.648481789034505e-06,0.09560294710236213,0.054485522993821846,5.34737858907125e-06,0.7604184779145943,0.5148952884945869,1.0713674754168505,0.03516167099507237,0.0001003168689537624,3.6191227365440467e-05,0.021809350194301892,0.00891158376866411,0.00150354928433685
0.29,0.0995125543047561,0.8031637435101482,0.911293275084046,0.9970697802276239,1.4735556475203369,0.0067423641577125625,5.705655703154906e-06,0.09605737551185697,0.05446551649724368,5.570168744773245e-06,0.7584795348105147,0.5146016748701084,1.0677413120031065,0.03379708572506575,0.00010350154542237022,3.693022793923001e-05,0.02194939599391506,0.00876251624906905,0.0015564948879698223
0.3,0.09696012815612023,0.803203902701295,0.9104046564850075,0.9971660787871488,1.4747229190491178,0.006917927680467057,5.753991219515697e-06,0.09651122875456805,0.054444227143873425,5.7950749708243564e-06,0.7565249079624604,0.5143055538005641,1.0641180800186192,0.03255399847483914,0.00010669998840616058,3.7621701773905e-05,0.02208942215386892,0.00861353397900103,0.0016093669244776143
0.31,0.09443227188415104,0.8032440639004517,0.9095065751999633,0.9972599220983812,1.4758860367695148,0.007100016607791885,5.793664772510709e-06,0.096964211942523,0.054421775601004564,6.0221224311354965e-06,0.754554690581887,0.5140069493317231,1.0604981000459375,0.03142826293467142,0.00010991479402454305,3.826604769381211e-05,0.02222939940514091,0.008464666173402545,0.001662164245815744
0.32,0.09192903669220495,0.8032842271077186,0.9085990262587419,0.9973513889202031,1.4770449800847678,0.0072889438298253265,5.8248533195222065e-06,0.09741601350582814,0.05439827802248341,6.251336910394629e-06,0.7525689777060665,0.5137058855488179,1.0568816726026502,0.03041515708947878,0.00011314839732228065,3.8863715513096164e-05,0.022369298276034653,0.008315942237292945,0.0017148858235688479
0.33,0.089450494118989,0.803324392323196,0.9076820062648342,0.9974405496950423,1.4781997286603896,0.0074850396060574175,5.847733849571037e-06,0.09786630408332041,0.05437384547955907,6.482744167321234e-06,0.7505678663684707,0.5134023865968669,1.053269079105652,0.029509456812191637,0.00011640306876646112,3.941519519433198e-05,0.02250908904173679,0.008167391816126739,0.0017675307439170682
