t,V,H,m,J,Ca_ss,d,dp,f,fca,fca2,f2,xr,Ca_i,xs1,xs2,ydv,ydv2,zdv,Na_i,Cl_i,AA,mL,hL,K_i,Ca_jsr,CaMKtrap,ro,ri,Ca_nsr
0.0,-85.781844107117,0.987317750543,0.001356538159,0.991924983076,0.00012271265,1.64013e-06,8.98230672628,0.999961508634,0.97836624923,0.893052931249,0.992234519148,7.24074e-06,0.00012131666,0.019883138161,0.019890650554,0.013970786703,0.99996472752,0.829206149767,12.972433387269,15.59207157178,0.000816605172,0.001356538159,0.26130711759,135.469546216758,1.737580994071,0.021123704774,0.0,0.862666650318,1.832822335168
0.01,-85.58189481168665,0.9873168495657932,0.0013820671856123838,0.9919248698577726,0.00012271223480934506,1.6405315115198017e-06,8.982306206050643,0.9999615083504025,0.9783663204075951,0.8930554698981157,0.9922349361544693,7.239714039202281e-06,0.00012131616646210243,0.019883161189769263,0.019890660902979092,0.013980258632891176,0.9999647273176775,0.8292099656786015,12.972433384897615,15.592065436057817,0.0008166024010433035,0.0013820671856123838,0.26130767708204594,135.4695524283197,1.7375845334664621,0.021123607074299864,5.827798370067202e-103,0.862670533939446,1.8328220729691478
0.02,-85.38252360031557,0.9873141694810312,0.0014255455278598904,0.9919245236259984,0.0001227118195958067,1.6417422362612129e-06,8.982304587967084,0.9999615074698041,0.9783663915821232,0.89305800848697,0.9922353530713527,7.238692655940503e-06,0.00012131567493823924,0.019883233308682035,0.0198906958035906,0.014007316762448084,0.9999647266761608,0.8292137804142463,12.972433380645171,15.592059300366778,0.0008165996301974458,0.0014255455278598904,0.2613081239074136,135.46955860578763,1.7375880727261175,0.02112350937492344,1.1664897243458907e-102,0.8626744174509886,1.8328218107753556
0.03,-85.18371839108352,0.9873097431651737,0.0014727790840655302,0.9919239418276319,0.0001227114043599928,1.643770580809325e-06,8.982301810307302,0.9999615059769937,0.9783664627536081,0.8930605470155648,0.9922357698969108,7.2376758401318735e-06,0.00012131518543334655,0.019883354515140516,0.019890755258309585,0.014050102623493604,0.9999647255789832,0.829217593933247,12.972433374514262,15.592053164706797,0.0008165968594598244,0.0014727790840655302,0.2613084599400485,135.46956474990128,1.7375916118499708,0.021123411675870722,1.7564348487260887e-102,0.8626783008526308,1.832821548586707
0.04,-84.98546761309389,0.9873036014057095,0.0015217887131007187,0.9919231218274441,0.00012271098910250937,1.6466253253694945e-06,8.982297808327969,0.9999615038564655,0.9783665339220732,0.8930630854839013,0.9922361866293711,7.236663582185444e-06,0.00012131469795238363,0.019883524808457523,0.019890839270520055,0.014106991218447055,0.9999647240091751,0.8292214061937092,12.97243336650736,15.59204702907779,0.0008165940888279169,0.0015217887131007187,0.26130868705041105,135.46957086136885,1.7375951508380267,0.02112331397714169,2.3581387609900727e-102,0.8626821841443757,1.8328212864032851
0.05,-84.78776010041025,0.9872957731629454,0.0015722894491073296,0.9919220608965696,0.00012271057382396352,1.6503156739235777e-06,8.982292513781307,0.9999615010923347,0.9783666050875416,0.8930656238919812,0.9922366032669169,7.235655872944204e-06,0.00012131421250035379,0.019883744189719114,0.019890947844465455,0.014176551304028838,0.9999647219491626,0.8292252171522841,12.97243335662688,15.592040893479684,0.0008165913182992657,0.0015722894491073296,0.26130880711280563,135.4695769408736,1.73759868969029,0.021123216278736347,2.9775216794615155e-102,0.8626860673262267,1.8328210242251741
0.06,-84.5905849414234,0.987286285945752,0.0016243118104869846,0.9919207561872206,0.00012271015852496954,1.6548513464197016e-06,8.982285854083424,0.999961497668174,0.9783666762500361,0.8930681622398059,0.99223701980767,7.234652703597584e-06,0.00012131372908235397,0.019884012661786406,0.01989108098528606,0.014257511216641025,0.9999647193805762,0.8292290267637019,12.972433344875185,15.592034757912392,0.0008165885478714544,0.0016243118104869846,0.26130882202141903,135.46958298908325,1.737602228406765,0.021123118580654677,3.621129860582835e-102,0.8626899503981866,1.832820762052458
0.07,-84.39393159130064,0.9872751654955411,0.0016778762191404543,0.9919192047669511,0.0001227097432061412,1.6602424776473312e-06,8.982277752924908,0.9999614935671998,0.9783667474095789,0.8930707005273766,0.9922374362497114,7.23365406580193e-06,0.00012131324770350961,0.019884330229225002,0.019891238698936477,0.014348757657103015,0.9999647162844415,0.8292328349812478,12.972433331254576,15.592028622375844,0.0008165857775421399,0.0016778762191404543,0.2613087336646397,135.469589006643,1.737605766987456,0.021123020882896672,4.296267201716928e-102,0.8626938333602586,1.8328204998852218
0.08,-84.19778991414869,0.9872624356975772,0.0017330098319448997,0.9919174036443726,0.00012270932786808683,1.666499537530488e-06,8.982268130728677,0.9999614887723993,0.9783668185661913,0.8930732387546946,0.9922378525910958,7.232659951737742e-06,0.00012131276836893333,0.01988469689819256,0.019891420992101738,0.014449322453687703,0.9999647126413155,0.8292366417570995,12.972433315767264,15.592022486869968,0.0008165830073090686,0.0017330098319448997,0.2613085439083906,135.46959499417298,1.737609305432369,0.021122923185462324,5.011168429001077e-102,0.862697716212446,1.8328202377235492
0.09,-84.00214999155267,0.9872481190309067,0.0017897632892373873,0.9919153497218073,0.0001227089125114192,1.673633513130728e-06,8.982256903106718,0.9999614832662441,0.9783668897198948,0.8930757769217619,0.9922382688298186,7.231670353985771e-06,0.0001213122910838052,0.019885112676469432,0.019891627872270605,0.014558349845387106,0.9999647084309429,0.8292404470414896,12.972433298415417,15.592016351394687,0.0008165802371700386,0.0017897632892373873,0.2613082546241623,135.46960095227996,1.737612843741507,0.021122825488351624,5.7754549105770325e-102,0.8627015989547517,1.8328199755675247
