t,a,g
0.0,7.68e-08,3.43e-08
0.01,0.08553201962028012,0.0003459900110271701
0.02,0.1689580136174659,0.0014465609922896035
0.03,0.2503298974982085,0.003201074461879062
0.04,0.3296982135950219,0.005520171274165587
0.05,0.40711221629350536,0.0083246191683744
0.06,0.48261988380086956,0.011544279771624292
0.07,0.5562679345052473,0.01511695401044685
0.08,0.628101843591595,0.018987786451973382
0.09,0.6981658660951492,0.023108274896543813
0.1,0.7665030620803357,0.027435665870996766
0.11,0.8331553254057396,0.0319323029273225
0.12,0.8981634148436385,0.036565067991623186
0.13,0.9615669870430844,0.04130487844239757
0.14,1.0234046304915054,0.046126228685261395
0.15,1.0837139010818342,0.05100680824533024
0.16,1.1425313561828816,0.05592711521873987
0.17,1.1998925897836437,0.060870145979670595
0.18,1.2558322665376889,0.06582110647128665
0.19,1.3103841550319044,0.07076715749112948
0.2,1.363581159893662,0.07569718371351414
0.21,1.4154553528025242,0.08060159238362184
0.22,1.4660380020994934,0.08547213091222988
0.23,1.5153596013676829,0.09030173388666513
0.24,1.5634498961661916,0.09508437282646133
0.25,1.6103379096423698,0.09981493372982997
0.26,1.6560519669971525,0.104489106144456
0.27,1.7006197183289788,0.1091032829886762
0.28,1.7440681605715649,0.11365447673029057
0.29,1.7864236580486823,0.11814023915391854
0.3,1.8277119619536546,0.12255859747187646
0.31,1.8679582288717929,0.12690798923039381
0.32,1.90718703812099,0.13118721527087912
0.33,1.9454224085465779,0.1353953883117337
0.34,1.9826878139348467,0.13953189708108027
0.35000000000000003,2.0190061982685776,0.1435963652561012
0.36,2.054399989569695,0.14758862470077697
0.37,2.088891113755566,0.15150868317970298
0.38,2.1225010069206824,0.1553567066151927
0.39,2.1552506284506214,0.15913298884656538
0.4,2.1871604719712554,0.162837940747635
0.41000000000000003,2.2182505771556946,0.16647206895617647
0.42,2.2485405401253926,0.17003596461493833
0.43,2.2780495239683836,0.17353028949868168
0.44,2.306796268735811,0.17695576460983214
0.45,2.334799100767113,0.18031316253849233
0.46,2.3620759422692643,0.18360329610684456
0.47000000000000003,2.388644319802961,0.18682701433473095
0.48,2.414521373333372,0.18998519346335974
0.49,2.4397238641872274,0.19307873367542777
0.5,2.4642681833792577,0.19610855255293957
0.51,2.488170359281665,0.19907558191475733
0.52,2.5114460652764796,0.20198076398166495
0.53,2.5341106271791483,0.20482504796994325
0.54,2.556179030296659,0.20760938810011204
0.55,2.577665926602129,0.21033474036575966
0.56,2.5985856413482775,0.21300206152619172
0.5700000000000001,2.6189521798659805,0.21561230646954838
0.58,2.638779233948461,0.21816642736643033
0.59,2.658080188283951,0.22066537183429377
0.6,2.6768681264818266,0.22311008263090573
0.61,2.6951558370873254,0.22550149695301203
0.62,2.7129558196044643,0.2278405440156204
0.63,2.730280290584815,0.2301281454337754
0.64,2.747141189251769,0.2323652145876538
0.65,2.7635501817902215,0.23455265686715984
0.66,2.7795186687083597,0.23669136790647932
0.67,2.7950577894520707,0.23878223384483477
0.68,2.8101784262421727,0.24082613226280616
0.6900000000000001,2.824891211574217,0.2428239301001647
0.7000000000000001,2.8392065319225015,0.24477648430975246
0.71,2.8531345320156922,0.2466846420393672
0.72,2.8666851216196654,0.24854923959949
0.73,2.8798679787140924,0.25037110315775135
0.74,2.8926925543278057,0.252151048640123
0.75,2.905168078380382,0.2538898811432391
0.76,2.9173035625641903,0.2555883954958368
0.77,2.9291078055906934,0.2572473760229126
0.78,2.9405893982878295,0.2588675963443301
0.79,2.9517567262137545,0.2604498197158769
0.8,2.962617974929737,0.2619947988658455
0.81,2.973181134662516,0.2635032759338217
0.8200000000000001,2.9834540028396637,0.26497598272245837
0.8300000000000001,2.9934441892524313,0.2664136405821276
0.84,3.00315912027131,0.26781696041593495
0.85,3.0126060412732993,0.26918664285217564
0.86,3.021792021719111,0.2705233781866457
0.87,3.0307239589775006,0.2718278464229861
0.88,3.0394085806685456,0.2731007173981605
0.89,3.047852449617017,0.27434265076254394
0.9,3.056061967316668,0.275554296036869
0.91,3.064043376208307,0.2767362927169067
0.92,3.071802764488273,0.2778892702754544
0.93,3.079346069239909,0.2790138482283411
0.9400000000000001,3.0866790786612155,0.28011063622689936
0.9500000000000001,3.093807436709087,0.2811802340763651
0.96,3.1007366459211863,0.2822232318085164
0.97,3.10747206961313,0.28324020977103537
0.98,3.1140189363351047,0.2842317386543428
0.99,3.120382342397644,0.28519837957183114
1.0,3.126567254097017,0.286140684148519
1.01,3.1325785118844682,0.2870591945556093
1.02,3.138420832379823,0.28795444360086253
1.03,3.1440988105290453,0.2888269548147174
1.04,3.149616924506379,0.2896772424735546
1.05,3.1549795378005676,0.290505811687514
1.06,3.160190902005667,0.2913131584725119
1.07,3.165255158791072,0.2920997698626964
1.08,3.1701763398788843,0.2928661241220316
1.09,3.1749583732006634,0.2936126906417813
1.1,3.1796050840926613,0.2943399300872465
1.11,3.1841201972908912,0.29504829450242587
1.12,3.18850733944872,0.2957382273891218
1.1300000000000001,3.192770045167335,0.29641016362833184
1.1400000000000001,3.1969117550029282,0.29706452975828235
1.1500000000000001,3.200935817973318,0.2977017440507595
1.16,3.2048454942477425,0.2983222165781853
1.17,3.2086439572203123,0.2989263493053554
1.18,3.2123342973347935,0.29951453603699163
1.19,3.2159195228814133,0.30008716260550616
1.2,3.21940256136739,0.300644607009294
1.21,3.222786262000519,0.3011872394581772
1.22,3.226073397590096,0.3017154224623844
1.23,3.2292666667418586,0.3022295112043461
1.24,3.2323686957066955,0.30272985366511884
1.25,3.235382039757931,0.30321679040217314
1.26,3.2383091851482857,0.3036906548456426
1.27,3.2411525508169348,0.30415177342868116
1.28,3.2439144902473993,0.3046004654846224
1.29,3.246597293408913,0.3050370429925782
1.3,3.2492031877802434,0.3054618113844715
1.31,3.251734340138346,0.30587506937486747
1.32,3.2541928580997723,0.3062771090399986
1.33,3.2565807922141587,0.3066682159297679
1.34,3.258900135148733,0.3070486692368847
1.35,3.261152827510925,0.30741874180077833
1.36,3.263340755104731,0.3077787002183369
1.37,3.265465751931606,0.3081288049543976
1.3800000000000001,3.2675296014556836,0.3084693104648417
1.3900000000000001,3.269534038335345,0.30880046568748876
1.4000000000000001,3.27148074934953,0.30912251389790857
1.41,3.2733713746221236,0.3094356928003176
1.42,3.275207508763417,0.3097402344059549
1.43,3.2769907019208437,0.3100363648301415
1.44,3.2787224614141834,0.31032430495465874
1.45,3.2804042527637116,0.31060427032263765
1.46,3.2820375002991957,0.31087647156101855
1.47,3.283623588866588,0.3111411141979301
1.48,3.2851638649989936,0.3113983987773878
1.49,3.2866596373605494,0.31164852098940116
1.5,3.2881121775966786,0.3118916717683934
1.51,3.289522722275162,0.3121280374211083
1.52,3.2908924734649987,0.31235779969592864
1.53,3.2922225987826343,0.312581135717411
1.54,3.293514233375587,0.3127982182376043
1.55,3.294768480779645,0.31300921570365814
1.56,3.295986413155474,0.31321429237914344
1.57,3.2971690722309486,0.3134136084373376
1.58,3.29831747076892,0.3136073200178906
1.59,3.2994325930414843,0.31379557932535174
1.6,3.3005153949100654,0.31397853466026626
1.61,3.3015668055527807,0.31415633057688064
1.62,3.302587728099276,0.31432910795682184
1.6300000000000001,3.303579039731965,0.31449700403794245
1.6400000000000001,3.304541592662997,0.3146601525151491
1.6500000000000001,3.3054762152585604,0.31481868365339216
1.6600000000000001,3.306383712388119,0.3149727243483489
1.67,3.3072648656063843,0.3151223981923118
1.68,3.308120434507682,0.31526782557507776
1.69,3.308951157284666,0.31540912375874425
1.7,3.3097577503256543,0.315546406862243
1.71,3.3105409097747116,0.3156797860218113
1.72,3.3113013123821347,0.31580936948717964
1.73,3.3120396158250474,0.31593526267005706
1.74,3.312756459295422,0.3160575682184683
1.75,3.313452464065328,0.31617638609017196
1.76,3.3141282329009947,0.31629181350971697
1.77,3.3147843504170136,0.31640394502309
1.78,3.3154213852008567,0.3165128727348849
1.79,3.316039889337067,0.31661868628085704
1.8,3.3166403987595965,0.3167214728866105
1.81,3.317223433576998,0.31682131742491904
1.82,3.317789499225446,0.3169183024851901
