t,L,V,Y,S,f_eff,L_eff,f_int
0.0,0.15,0.09314,1.0,1.0,0.0,0.1497,0.0
0.01,0.14908782607415616,-2.112493755135764,0.9999985609987653,1.0000156272922909,3.34263473701784e-05,0.1496999999998764,0.008165199864707253
0.02,3.381444151888198e-263,4.0579706855850325e-254,3.622440011665433e-308,6.590610061930273e-244,1.1030006121948132e-234,1.05901479114634e-205,1.1681926791536277e-307
0.03,5.2609419450235535e-292,7.99754666423241e-220,4.738614022318057e-225,2.6585552e-316,9.434396360755068e-264,4.898618955313118e-230,4.473447583736374e-308
0.04,3.625156072508034e-308,1.82965013e-316,5.006518409539628e-308,5.036193068457678e-298,9.631974678259584e-196,7.5566024103263e-311,8.515919680643661e-107
0.05,1.9313477316e-314,5.3869000497278e-310,0.0,4.172013485996166e-309,-1.5573787303161188e-207,4.94365255701597e-310,6.136366831622158e-92
0.06,2.853678318661904e-82,1.15102e-319,7.229511419054993e+221,3.275707578835604e-309,6.136366831622158e-92,7.827830443433546e+221,6.057049901969615e-309
0.07,6.136366831622158e-92,8.279686465957518e+221,9.838457649276056e-121,8.283448923862658e+91,4.0812731492810116e+101,6.518516072111056e+91,2.12079140660014e-310
0.08,1.3711049565027027e-120,8.283498656186299e+91,5.481113613142144e+101,6.518516072111053e+91,2.12227680365417e-310,1.870876732322099e-120,8.283542171969484e+91
0.09,7.81258618259676e+101,6.518516073533909e+91,2.11994259533286e-310,2.5485803175785198e-120,6.653956906685081e+91,9.912346878388435e+101,6.518516072680194e+91
0.1,2.12503539818306e-310,3.160864678002878e-120,8.283622986995401e+91,1.352541166940186e+102,6.518516072964765e+91,2.1265207952371e-310,4.5162718485157196e-120
0.11,8.283666502778587e+91,1.8424853292915825e+102,6.518516073154478e+91,2.1280061922911e-310,5.871679019028561e-120,8.283710018561773e+91,2.4251142411081536e+102
0.12,6.518516076095045e+91,2.12970378892427e-310,8.645284506898994e-120,8.283759750885414e+91,3.5449866121970597e+102,6.518516073344192e+91,2.1311891859783e-310
0.13,1.1356098847924678e-119,8.2838032666686e+91,4.570260389444097e+102,6.518516077517898e+91,2.12079139365133e-310,1.3711020025807056e-120,6.654211784843741e+91
0.14,5.970100853305176e+102,6.518516072964762e+91,2.1235499946556e-310,3.1608587706998786e-120,7.469051041539356e+91,7.089973224394098e+102,6.51851607837161e+91
0.15,2.1347965788238e-310,2.3486716081884857e-119,8.283908947856337e+91,9.700456964432678e+102,6.518516071921339e+91,2.1362819758778e-310,3.303210127283681e-119
0.16,8.283952463639523e+91,1.362001026324385e+103,6.518516073154476e+91,2.1241865933938e-310,2.9358365559754883e-120,8.283983546341798e+91,1.6419691190966115e+103
0.17,6.518516080268747e+91,2.1390405704067e-310,5.67699819594125e-119,8.284033278665439e+91,2.3880403413221044e+103,6.518516081027602e+91,2.12079140012897e-310
0.18,1.3711034802743014e-120,7.061848992107478e+91,2.9479765268665225e+103,6.518516072490479e+91,2.12079139689126e-310,1.870872302521093e-120,7.061873858269299e+91
0.19,3.395925475302082e+103,6.518516072111051e+91,2.11994259857507e-310,3.47462288184454e-135,2.972147956868539e-99,1.8145039508735724e-152,6.197507958756805e+223
0.2,6.97873687556217e+228,6.653745497662874e+217,3.675914881680178e+228,4.0771901239936384e+93,1.3849676463424258e+219,6.518421611019248e+29,1.3820202846384269e+267
0.21,2.2224005345464e-310,7.265995473657459e+223,3.946618425203878e+180,3.181082638753738e-153,9.296030627594593e+199,8.485374950536062e+241,4.6380799552813434e+98
0.22,3.655882806757633e+233,9.053697838042287e+150,3.813882588289667e+180,7.489590814323158e+247,4.538015500069367e+279,7.266127783585888e+223,3.946618425203878e+180
0.23,3.181082638753738e-153,9.296030627594593e+199,-3.8049737239700653e+198,1.2052434613080174e+98,3.655882806757633e+233,1.4771672977165654e+248,7.345142898578935e+223
0.24,8.903898072848768e+252,4.821559691194781e+199,2.0491942775735791e+214,2.1244613758347e-311,7.365370362699219e+271,3.655882806757633e+233,1.4771672977165654e+248
0.25,7.345142898578935e+223,8.903898072848768e+252,3.91049636125627e+180,6.82929186797602e-309,7.91709284737422e+25,1.3849676463424227e+219,6.518421611019248e+29
0.26,4.821558747567264e+199,2.0491942775735791e+214,8.669180564459581e-71,3.655882806757633e+233,9.053697838042287e+150,1.1203938825067746e+219,3.6867651600491827e+180
