t,R,T,L
0.0,0.1,0.0,0.0
0.01,0.09900499987437789,0.0004950102611555396,0.009900500230105549
0.02,0.09801999802132692,0.0019603832059103023,0.019603981466139665
0.03,0.09704499005411149,0.004366992484635912,0.029113400210420415
0.04,0.096079968754897,0.007686309629822788,0.038431681488046
0.05,0.09512492417315549,0.011890379016047387,0.04756172036683674
0.06,0.09417984370790583,0.016951809401904317,0.05650638198074764
0.07,0.09324471217935765,0.022843766294972062,0.0652685015769225
0.08,0.09231951191893564,0.02953996257088905,0.07385088455355085
0.09,0.09140422284414863,0.037014650425637494,0.08225630651594625
0.1,0.0904988225368466,0.04524261292859331,0.09048751333867087
0.11,0.08960328631991814,0.054199155747173405,0.09854722122609759
0.12,0.08871758732910826,0.06386009912361945,0.10643811679655192
0.13,0.08784169657983111,0.07420177015837834,0.11416285718584733
0.14,0.08697558303617671,0.08520099495916403,0.1217240701423128
0.15,0.0861192137052376,0.09683508931156398,0.12912435401646383
0.16,0.0852725536995863,0.10908185120344635,0.13636627788378866
0.17,0.08443556630741975,0.12191955289792382,0.1434523816360065
0.18,0.0836082130600403,0.1353269331605515,0.1503851760835383
0.19,0.08279045372887345,0.14928319380304195,0.15716714333095777
0.2,0.08198224642950365,0.16376798964689535,0.16380073674027043
0.21,0.08118354771366497,0.1787614192169225,0.17028838094165455
0.22,0.08039431260080326,0.19424401913519726,0.17663247207844412
0.23,0.07961449463250628,0.21019675710139044,0.18283537796479468
0.24,0.0788440459322524,0.22660102469056329,0.18889943820841612
0.25,0.07808291732953068,0.24343862756568024,0.19482696394812168
0.26,0.07733105833045861,0.2606917819697194,0.20062023849843846
0.27,0.07658841717560919,0.27834310770326476,0.20628151747357815
0.28,0.0758549409011076,0.2963756210029295,0.2118130288886276
0.29,0.07513057538578898,0.31477272802079853,0.21721697334002685
0.3,0.07441526541996821,0.33351821739414045,0.22249552406090037
0.31,0.07370895481672517,0.3525962509973299,0.22765082673301182
0.32,0.07301158635137282,0.37199136218670575,0.23268500026759778
0.33,0.07232310184119942,0.3916884479809522,0.23760013678990716
0.34,0.0716434421944369,0.4116727626074199,0.2423983017948856
0.35000000000000003,0.07097254745314771,0.43192991134173686,0.2470815343343458
0.36,0.07031035684945025,0.45244584400575755,0.25165184710491845
0.37,0.0696568088525861,0.4732068487807296,0.25611122659606267
0.38,0.06901184118308841,0.49419954702888275,0.2604616334662243
0.39,0.06837539086418824,0.5154108870755169,0.2647050026505626
0.4,0.06774739426002434,0.5368281384242272,0.2688432435573306
0.41000000000000003,0.06712778711296305,0.5584388860491601,0.27287824026545016
0.42,0.06651650460056577,0.5802310243342121,0.2768118515609178
0.43,0.06591348135745412,0.6021927518036033,0.28064591124509525
0.44,0.0653186515010722,0.6243125658286286,0.28438222840641186
0.45,0.064731948672635,0.6465792570746056,0.2880225875661861
0.46,0.06415330606980742,0.6689819041783128,0.29156874888409123
0.47000000000000003,0.06358265648051145,0.6915098684347749,0.29502244835140473
0.48,0.06301993233355103,0.714152787988809,0.2983853978656054
0.49,0.06246506570650037,0.7369005734466436,0.30165928559032856
0.5,0.061917988357874716,0.7597434027522207,0.30484577614602737
0.51,0.061378631758987515,0.7826717161192189,0.30794651079819957
0.52,0.06084692712168496,0.805676211141289,0.31096310766901814
0.53,0.06032280543256953,0.8287478377061234,0.31389716190368905
0.54,0.05980619749646171,0.8518777926127279,0.31675024577410676
0.55,0.05929703392825403,0.875057516118991,0.31952390910555734
0.56,0.05879524518971841,0.8982786868852031,0.32221967941429225
0.5700000000000001,0.05830076161471882,0.9215332173833133,0.3248390621144772
0.58,0.057813513432143124,0.9448132494310046,0.32738354073546494
0.59,0.057333430787926874,0.9681111498003546,0.32985457714069244
0.6,0.056860443779262894,0.9914195054127601,0.3322536116660917
0.61,0.05639448251594919,1.0147311175625116,0.3345820630842536
0.62,0.055935477070086385,1.0380390003448579,0.33684132926464705
0.63,0.055483357519328584,1.0613363756359027,0.3390327872431205
0.64,0.055038053970173355,1.0846166688576135,0.3411577934125017
0.65,0.054599496576600653,1.107873504956999,0.3432176837382902
0.66,0.05416761555792328,1.1311007044554025,0.34521377397522357
0.67,0.053742341224470046,1.1542922791829995,0.3471473598369963
0.68,0.05332360402928593,1.177442426886595,0.34901971701847795
0.6900000000000001,0.0529113345285967,1.2005455299458405,0.3508321017194457
0.7000000000000001,0.05250546341405225,1.2235961509195754,0.35258575076751664
0.71,0.052105921532144946,1.2465890286996981,0.3542818818085775
0.72,0.05171263989896635,1.2695190749080825,0.355921693519525
0.73,0.05132554971427097,1.2923813703593565,0.3575063658213514
0.74,0.050944582381638584,1.3151711612592523,0.35903706005768565
0.75,0.050569669557475265,1.3378838540326856,0.3605149190219755
0.76,0.05020074311081988,1.3605150145215392,0.36194106743964405
0.77,0.049837735149018986,1.383060364011406,0.3633166121086663
0.78,0.04948057803462409,1.4055157757173489,0.3646426420820209
0.79,0.04912920439687679,1.4278772715650034,0.36592022887472847
0.8,0.04878354714259308,1.4501410190330595,0.36715042667076
0.81,0.04844353947119464,1.4723033278036748,0.36833427250768286
0.8200000000000001,0.04810911491752889,1.4943606449588132,0.3694727863288266
0.8300000000000001,0.04778020731678612,1.5163095543643763,0.37056697139569794
0.84,0.047456750822930306,1.5381467732270544,0.37161781444798825
0.85,0.04713867992303915,1.5598691488988432,0.37262628587972096
0.86,0.04682592944596639,1.5814736560139435,0.3735933399389385
0.87,0.04651843457048427,1.6029573936827122,0.3745199149268829
0.88,0.04621613083620569,1.6243175825428269,0.37540693338365727
0.89,0.04591895418105685,1.645551560228017,0.37625530216662667
0.9,0.04562684091032733,1.6666567810063084,0.3770659127960927
0.91,0.045339727708916644,1.6876308128276833,0.3778396416280621
0.92,0.0450575516535742,1.708471334397701,0.3785773500244847
0.93,0.04478025021915872,1.729176132638898,0.37927988454451983
0.9400000000000001,0.04450776128445032,1.749743100204843,0.3799480771350094
0.9500000000000001,0.04424002313862456,1.770170232975475,0.38058274531620373
0.96,0.043976974518680816,1.790455625584579,0.3811846922547308
0.97,0.04371855457336182,1.8105974717010263,0.381754707096276
0.98,0.04346470287787921,1.8305940610648062,0.3822935651147241
0.99,0.043215359441557286,1.8504437770026037,0.3828020278841636
1.0,0.04297046471214639,1.870145094181549,0.383280843460378
1.01,0.042729959579720006,1.8896965764136275,0.383730746561434
1.02,0.04249378538193529,1.9090968743841792,0.38415245874222614
1.03,0.04226188393636517,1.9283447214753315,0.384546688488812
1.04,0.04203419750924013,1.9474389341353362,0.384914131494062
1.05,0.04181066881871629,1.9663784098125243,0.38525547083158157
1.06,0.04159124104555604,1.9851621243831963,0.38557137710611694
1.07,0.04137585783570846,2.003789130177282,0.38586250862518406
1.08,0.041164463302621496,2.022258554044576,0.38612951156932435
1.09,0.040957002029298015,2.040569595460727,0.38637302016094405
1.1,0.04075341907010837,2.0587215246721717,0.38659365683169605
1.11,0.0405536599523769,2.0767136808787843,0.3867920323883496
1.12,0.04035767070515896,2.0945454683445486,0.38696874611395254
1.1300000000000001,0.04016539784966308,2.1122163554804194,0.3871243859553243
1.1400000000000001,0.03997678837185445,2.129725875319134,0.3872595287495391
1.1500000000000001,0.03979178974293713,2.1470736223264044,0.38737474033798525
1.16,0.03961034992116503,2.164259250669942,0.3874705757213525
1.17,0.03943241735359849,2.181282472513805,0.38754757921263167
1.18,0.03925794097782296,2.1981430563369253,0.3876062845880749
1.19,0.03908687022364589,2.21484082527472,0.3876472152360661
1.2,0.038919155014788175,2.231375655482654,0.3876708843038499
1.21,0.03875474575132232,2.2477474755995384,0.3876777949268199
1.22,0.03859359328021273,2.263956266898424,0.38766844050802723
1.23,0.038435648971310514,2.280002057552456,0.3876433045316462
1.24,0.03828086468667392,2.29588492289594,0.3876028608436638
1.25,0.03812919277845735,2.3116049841060113,0.38754757380482224
1.26,0.037980586089080434,2.3271624067770316,0.38747789843148944
1.27,0.03783499795135343,2.34255739951762,0.38739428053470065
1.28,0.037692382188569955,2.357790212569525,0.38729715685734484
1.29,0.03755269311457742,2.3728611364475314,0.3871869552094696
1.3,0.03741588552870714,2.387770500907232,0.38706409462220237
1.31,0.03728191467634879,2.402518675992931,0.38692898563721595
1.32,0.037150736304723375,2.417106067394479,0.38678203021331536
1.33,0.037022306650941604,2.43153311588486,0.3866236219020949
1.34,0.03689658243360283,2.4458002965642978,0.3864541460075389
1.35,0.036773520851575994,2.459908117692273,0.38627397971500976
1.36,0.0366530795827169,2.473857119541917,0.38608349221863625
1.37,0.036535216782528024,2.48764787327624,0.3858830448470928
1.3800000000000001,0.03641989108276722,2.5012809798456472,0.3856729911877601
1.3900000000000001,0.0363070615897919,2.5147570689201175,0.3854536772100662
1.4000000000000001,0.03619668786850045,2.5280767987510924,0.38522544143988324
1.41,0.03608872995283786,2.5412408543690104,0.3849886150347173
1.42,0.035983148350209784,2.554249946184031,0.384743521879496
1.43,0.035879904033186034,2.567104809408888,0.38449047872724784
1.44,0.035778958437402225,2.5798062031064886,0.3842297953153258
1.45,0.03568027345940902,2.5923549092578844,0.38396177448011826
1.46,0.03558381145447347,2.6047517318501763,0.3836867122702446
1.47,0.035489535234337025,2.616997495983931,0.3834048980582336
1.48,0.03539740806493487,2.6290930469996665,0.38311661465068164
1.49,0.03530739365914512,2.641039249712392,0.3828221384373066
1.5,0.03521945617202997,2.6528369876186764,0.3825217395178296
1.51,0.03513356020990434,2.6644871618705714,0.3822156817138964
1.52,0.035049670821944635,2.6759906905827693,0.38190422272227365
1.53,0.034967753497361226,2.687348508055609,0.38158761422082377
1.54,0.03488777416264861,2.6985615640129463,0.38126610197221616
1.55,0.0348096991788014,2.709630822856562,0.3809399259263268
1.56,0.03473349533849959,2.720557262936704,0.3806093203213307
1.57,0.03465912986326689,2.7313418758383374,0.3802745137834943
1.58,0.0345865703997261,2.741985665801155,0.37993572942262044
1.59,0.03451578501326451,2.7524896495007036,0.3795931849172816
1.6,0.03444674219102968,2.7628548545847935,0.3792470926312208
1.61,0.03437941083705016,2.7730823192831635,0.37889765970117906
1.62,0.03431376026875389,2.783173091841211,0.3785450881283369
1.6300000000000001,0.0342497602139006,2.793128229910433,0.37818957486994764
1.6400000000000001,0.03418738080750035,2.80294879995323,0.3778313119296705
1.6500000000000001,0.034126592588721485,2.8126358766617248,0.3774704864466097
1.6600000000000001,0.03406736649779117,2.8221905423902394,0.3771072807830614
1.67,0.03400967387257934,2.831613886615952,0.37674187261260833
1.68,0.03395348643935503,2.8409070056903656,0.3763744350374101
1.69,0.03389877631650943,2.8500710019850644,0.37600513663639623
1.7,0.03384551601162745,2.859106983367157,0.37563414154700675
1.71,0.03379367841643829,2.8680160627881266,0.3752616095568014
1.72,0.03374323680352842,2.87679935780069,0.3748876961846437
1.73,0.033694164823051403,2.8854579900876565,0.37451255276071727
1.74,0.033646436499436876,2.8939930850024655,0.37413632650538164
1.75,0.033600026228101265,2.902405771121078,0.37375916060687653
1.76,0.03355490877216262,2.9106971798048975,0.37338119429788097
1.77,0.03351105925612674,2.918868444992583,0.37300256293947126
1.78,0.03346845316344593,2.9269207027245137,0.37262339809308626
1.79,0.033427066336939947,2.9348550904724084,0.37224382758335667
1.8,0.03338687497314499,2.9426727469161342,0.37186397557693357
1.81,0.033347855618945876,2.9503748115669963,0.3714839626538386
1.82,0.03330998516821525,2.957962424400951,0.3711039058777494
1.83,0.033273240858461804,2.965436725501473,0.3707239188652316
1.84,0.033237600267489356,2.9727988547117863,0.37034411185392474
1.85,0.03320304131006878,2.9800499512961647,0.3699645917696927
1.86,0.03316954223314426,2.9871911537412577,0.36958546229442857
1.87,0.03313708160971689,2.9942235996846494,0.3692068239343631
1.8800000000000001,0.033105638341822834,3.0011484250471137,0.3688287740770572
1.8900000000000001,0.03307519165463745,3.007966763961254,0.368451407057497
1.9000000000000001,0.03304572109287155,3.0146797485066004,0.36807481422062144
1.9100000000000001,0.03301720651741119,3.0212885084326486,0.3676990839826202
1.92,0.03298962810197174,3.0277941708900524,0.3673243018912743
1.93,0.03296296632976781,3.0341978601697064,0.36695055068534826
1.94,0.032937201990200546,3.040500697449477,0.36657791035304377
1.95,0.032912316175254114,3.046703800573107,0.3662064581901451
1.96,0.03288829027348665,3.0528082840302995,0.36583626886210047
1.97,0.032865105970502136,3.058815258427087,0.3654674144522669
1.98,0.03284274524502687,3.064725830316292,0.365099964518099
1.99,0.032821190365079356,3.0705411020289124,0.36473398614631214
2.0,0.032800423884699774,3.0762621714690193,0.3643695440060973
2.0100000000000002,0.03278042864069976,3.081890131915179,0.36400670040148153
2.02,0.032761187749433485,3.087426071828183,0.3636455153228438
2.0300000000000002,0.03274268460359146,3.092871074664857,0.3632860464975966
2.04,0.03272490286897486,3.098226218702337,0.3629283494400148
2.05,0.03270782647736734,3.1034925772866564,0.3625724774976579
2.06,0.03269143962700519,3.108671218279572,0.3622184819019879
2.07,0.03267572678138531,3.113763203690663,0.3618664118170776
2.08,0.03266067266412649,3.1187695897381986,0.3615163143849123
2.09,0.03264626225585949,3.123691426701645,0.3611682347712376
2.1,0.032632480791144045,3.1285297587791363,0.360822216210643
2.11,0.03261931375541397,3.1332856239496842,0.36047830005088893
2.12,0.03260674688195135,3.1379600538399344,0.36013652579649014
2.13,0.032594766148891015,3.142554073595233,0.35979693115156364
2.14,0.032583357776256344,3.147068701754814,0.3594595520619522
