t,v_c,v_n,mcln2_c,mcln2_n,mclb5_c,mclb5_n,sbf_n,sbfwhi5p_n,whi5_n,sbfwhi5_n,cln3_c,cln2_c,cdk1_c,cdk1cln2_c,clb5_c,cdk1clb5_c,cdk1_n,cln3_n,cdk1cln3_n,cdk1cln2_n,cdk1clb5sic1_c,sic1_c,cdk1clb5_n,cdk1clb5sic1p_n,cdk1cln3far1_n,far1_n,cdk1cln3far1p_n,cdk1clb5sic1_n,whi5_c,far1_c,whi5p_c,whi5p_n,sic1P_n,far1P_n
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025544,0.000485,0.0,0.333333,0.0,0.0,0.0,0.0074127,0.0,0.0,0.0,0.0,0.039234,0.0,0.0,0.0,0.0,0.0,0.0,0.073564,0.0037926,0.0,0.0,0.0,0.0
0.01,0.5000255006502702,0.5,8.201256693558314e-14,2.2415724227734208e-11,8.201256693558314e-14,2.2415724227734208e-11,1.2771966696766115e-07,1.7122022919360665e-12,3.6777502528295126e-06,0.02554387227862083,0.00048500251474727356,1.6089285597624916e-16,0.333299414410569,3.6914196273357114e-22,1.6089275778801857e-16,3.6914196273357114e-22,0.0074292920228661965,2.4246936332686323e-08,2.5324688767355022e-12,0.0,0.0,0.03923218524753485,0.0,0.0,1.5084514203284691e-16,1.8961679757199547e-07,0.0,0.0,0.07354961508165228,0.003792257721798198,1.284283320931131e-22,1.0523495792753903e-14,0.0,0.0
0.02,0.5000510026011055,0.5,4.2723895061420145e-13,8.956344798882916e-11,4.2723895061420145e-13,8.956344798882916e-11,2.5543866370465103e-07,8.914477032246012e-12,7.354601045190761e-06,0.02554374455242182,0.0004850050289891317,1.0281229132107058e-15,0.3332658424522453,3.330127076273034e-18,1.0272393512140871e-15,3.282496502465827e-18,0.00744588304567617,4.848774796058098e-08,1.0126943008274188e-11,1.3685568975718913e-21,4.5413747625318816e-20,0.039230370602137056,1.6422543279553946e-22,0.0,1.1518621698565375e-15,3.7920719153044236e-07,3.281535160364217e-38,1.1086556305354132e-25,0.07353523305439359,0.003791915512387662,1.1647823571335852e-18,6.739078668326128e-14,0.0,0.0
0.03,0.5000765058525697,0.5,1.2928018567038751e-12,2.0118531600569107e-10,1.2928018567038751e-12,2.0118531600569107e-10,3.8315698898546124e-07,2.6957443966508014e-11,1.1030552464891405e-05,0.025543616816053574,0.0004850075427256723,3.7446638722017965e-15,0.3332322841197602,2.1345826146732885e-17,3.739003142551184e-15,2.0971308332748852e-17,0.0074624730689784495,7.272244170243699e-08,2.2775608801606943e-11,1.0872969778375074e-20,3.5660602112006194e-19,0.03922855606380054,1.294290835992682e-21,3.017884086348067e-40,4.635705790954847e-15,5.687711848879132e-07,1.1169930605701051e-33,8.3028215625377e-22,0.07352085391766479,0.003791573371755089,7.475616163753296e-18,2.458502962928021e-13,3.7100564639255634e-46,2.524793209936318e-36
0.04,0.5001020104047365,0.5,2.971450156209686e-12,3.5698709219477454e-10,2.971450156209686e-12,3.5698709219477454e-10,5.108747515239571e-07,6.18792216959242e-11,1.4705604613301274e-05,0.02554348906336926,0.0004850100559570081,1.1269433318078442e-14,0.3331987394070375,1.3479672623013583e-16,1.1233794755506003e-14,1.2935946476819746e-16,0.007479062093405605,9.695102531388483e-08,4.0467125512382844e-11,1.6386531481721077e-19,5.151796062804852e-18,0.03922674163251828,1.8960186937697538e-20,1.2117849992388731e-34,1.492218146411573e-14,7.583087786855862e-07,2.632434108749444e-29,5.566214223010713e-20,0.0735064776708208,0.003791231299885129,4.76385680273535e-17,7.427971546956681e-13,1.4499951010332446e-37,8.699749673996688e-32
0.05,0.5001275162576452,0.5,5.596374870505696e-12,5.568317270015903e-10,5.596374870505696e-12,5.568317270015903e-10,6.3859263855526e-07,1.1606817036914083e-10,1.837975754466655e-05,0.025543361291293278,0.00048501256868319905,3.4382672057261784e-14,0.3331652083108566,1.0388892083560683e-15,3.410871461785763e-14,9.758588559973232e-16,0.0074956501192924045,1.2117350202269732e-07,6.318215154805667e-11,1.92136678485646e-18,5.962949982042749e-17,0.0392249273082865,2.204191555788249e-19,2.0038697706891516e-33,4.8509314671684513e-14,9.478199592910771e-07,4.351629063629717e-28,8.021637215065543e-19,0.07349210431351846,0.0037908892967696167,3.701376124048028e-16,2.2918524965963642e-12,2.3978376336617976e-36,1.4383061104243016e-30
0.06,0.5001530234113698,0.5,9.451567172133374e-12,8.004324396720423e-10,9.451567172133374e-12,8.004324396720423e-10,7.663110249722402e-07,1.9523041327227224e-10,2.2053011360756974e-05,0.02554323349374462,0.00048501508090435824,7.994098154973637e-14,0.3331316908251305,3.088952022542289e-15,7.912673123591351e-14,2.892235767089981e-15,0.007512237147272332,1.4538987922655388e-07,9.090369429324115e-11,6.0029536315460364e-18,1.8607530556051498e-16,0.03922311309109812,6.881076321898136e-19,6.431386170173703e-33,1.157258507611766e-13,1.1373047217564055e-06,1.3966165363975383e-27,2.549703175913641e-18,0.07347773384511101,0.003790547362393163,1.101852759516047e-15,5.356100539324957e-12,7.69583016430171e-36,4.6161500912881765e-30
0.07,0.5001785318659802,0.5,1.4810394370473704e-11,1.0875140030921948e-09,1.4810394370473704e-11,1.0875140030921948e-09,8.940301061170042e-07,3.0495176188388384e-10,2.572536615742597e-05,0.025543105664942126,0.00048501759262059227,1.5209608980819488e-13,0.333098186944118,6.455945210377714e-15,1.503945053341278e-13,6.038661921806409e-15,0.007528823177942989,1.6960016412462827e-07,1.2361907757208032e-10,1.2737631371507721e-17,3.946948216296975e-16,0.03922129898094651,1.4597564532911046e-18,1.3745721918237438e-32,2.2274218640716554e-13,1.3267630649799297e-06,2.984954984383461e-27,5.436645750856479e-18,0.07346336626498876,0.003790205496741261,2.303751975804683e-15,1.0214149307220353e-11,1.6448207955295333e-35,9.866004739016294e-30
0.08,0.5002040416215456,0.5,2.194622377490759e-11,1.4178011901481079e-09,2.194622377490759e-11,1.4178011901481079e-09,1.0217500773316589e-06,4.508180276825394e-10,2.9396822030526986e-05,0.025542977799104645,0.0004850201038320077,2.549997248453284e-13,0.33306469666207816,1.1310828813451259e-14,2.5201869763695424e-13,1.0575309043906871e-14,0.007545408211901972,1.9380436391609443e-07,1.613156252087181e-10,2.245440552136342e-17,6.956936563746045e-16,0.039219484977825035,2.5730964554031138e-18,2.4288871234740386e-32,3.7572871828422494e-13,1.5161949878600088e-06,5.274448003513018e-27,9.60135669174013e-18,0.07344900157254203,0.003789863699799404,4.036803227714314e-15,1.7144606824621485e-11,2.9064201859914686e-35,1.7433345353293246e-29
0.09,0.500229552678136,0.5,3.1132422694816065e-11,1.7910187737258427e-09,3.1132422694816065e-11,1.7910187737258427e-09,1.1494711339583114e-06,6.384150221468039e-10,3.306737907591348e-05,0.025542849890451025,0.00048502261453871114,3.928036146738312e-13,0.3330312199732698,1.782456287335189e-14,3.881059688688474e-13,1.666234885715158e-14,0.00756199224974688,2.1800248580012644e-07,2.0398066102729824e-10,3.548228159773491e-17,1.0992774181418678e-15,0.03921767108172704,4.06585847504627e-18,3.8402828339542574e-32,5.808558430669284e-13,1.7056004892950027e-06,8.339365346978499e-27,1.518220124396968e-17,0.07343463976716114,0.003789521971553085,6.36197448168853e-15,2.6426081115867362e-11,4.5953042731432084e-35,2.7563647233803644e-29
