time,species_1,species_2,species_4,species_5,species_6,species_7,species_8,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_19,species_22,species_27,species_28,species_29,species_30,species_31
0.0,0.000897,0.00109,0.0087,3.62e-05,0.000367,0.00093,0.0001,1.87082e-05,6.29e-05,0.000143,0.000242,2.74e-05,0.000153,8.58e-05,0.00134,3.41e-05,0.000553,3.07e-05,4.98e-06,5.79e-05,0.00183
9.784735812133073e-07,0.0008971260988309117,0.0010895845111209836,0.008707249003008241,3.523448424426374e-05,0.00036827979428502843,0.0009300353554519091,0.00010001965197485693,1.869568335923833e-05,6.151758790120228e-05,0.00014297984451841364,0.0002419832313410686,2.7383054676956195e-05,0.00015296107901282695,8.57817763425354e-05,0.0013399988090144305,3.413063632562557e-05,0.0005530076206247005,3.814826631411114e-05,2.7262393976951832e-05,3.057551316259976e-05,0.0018280557426680836
1.9569471624266145e-06,0.0008972439292576659,0.001088936345721454,0.008712080468554775,3.474537041087701e-05,0.0003693632399101416,0.0009301233727793088,0.00010003045016867186,1.8695076396876136e-05,6.132574638428103e-05,0.0001429685559651102,0.00024196475082379875,2.7364529506783375e-05,0.00015283946244024099,8.571246009788631e-05,0.0013399928862208108,3.4160835083262535e-05,0.0005530269713352985,4.3302695300545566e-05,2.7419588823264564e-05,2.7840314463567424e-05,0.0018248021058790789
2.935420743639922e-06,0.0008973530612809113,0.001088182437235408,0.008716130548036787,3.44886899850095e-05,0.0003703401265484877,0.000930235120098014,0.00010004077774633615,1.8695064167535576e-05,6.16178446460225e-05,0.00014295767269201194,0.00024194302624585095,2.73428547402581e-05,0.0001527357407788113,8.56225917817381e-05,0.0013399896738981536,3.419063575525541e-05,0.0005530562319341307,4.6061103194652766e-05,2.751617012886463e-05,2.7309340059766932e-05,0.001821341572941566
3.913894324853229e-06,0.0008974532868729983,0.0010873846731876767,0.00871990242475945,3.4346105999114826e-05,0.0003712555152369803,0.0009303574521193971,0.0001000510569864582,1.8695079290336178e-05,6.20609959199797e-05,0.00014294675221728637,0.00024191887276514603,2.7318831546327826e-05,0.00015268151883146198,8.552454096637696e-05,0.001339987217974444,3.422005124129799e-05,0.0005530943669189027,4.770063517525192e-05,2.7894016874434254e-05,2.745059037466394e-05,0.0018179135636015918
4.892367906066536e-06,0.0008975445719348167,0.0010865733199193234,0.008723589857632484,3.426011251310835e-05,0.00037213236281341495,0.000930484589781786,0.00010006130795945059,1.8695095292162615e-05,6.25270690768174e-05,0.00014293576431362944,0.00024189363199548293,2.729379388923785e-05,0.00015268086552925947,8.54227675488951e-05,0.0013399847917573056,3.4249086450289036e-05,0.0005531407240382998,4.881631620225582e-05,2.8397106739079034e-05,2.786611996421246e-05,0.0018146040484458405
5.870841487279844e-06,0.000897626983965571,0.0010857632398234604,0.008727265035414522,3.420263278797084e-05,0.00037298266638819815,0.0009306141271288292,0.00010007153106821094,1.8695111481305212e-05,6.297206412937151e-05,0.0001429247063753432,0.00024186850661119818,2.72689394779088e-05,0.00015272826502694145,8.531848650609222e-05,0.001339982183245375,3.427774365586088e-05,0.0005531948409635084,4.967210318549272e-05,2.8943137856620153e-05,2.838996658729063e-05,0.0018114419655128077
6.849315068493151e-06,0.0008977006484965343,0.0010849617422767042,0.008730950270428006,3.415987061399877e-05,0.00037381293052159284,0.0009307451648191624,0.00010008172589389052,1.869512809435852e-05,6.338487183105889e-05,0.00014291358286688927,0.00024184437926576908,2.7245147240585756e-05,0.00015281581764336986,8.521171935489505e-05,0.0013399793720582727,3.430602449715054e-05,0.0005532563524231695,5.038706226002259e-05,2.9493951402246736e-05,2.8948454923689215e-05,0.0018084321743919495
7.827788649706458e-06,0.000897765724021766,0.001084172418138018,0.008734648305610292,3.4124955789097886e-05,0.00037462687333448934,0.0009308774431604233,0.00010009189220993302,1.869514514063106e-05,6.376618783987264e-05,0.00014290240231633924,0.0002418218141029294,2.7222978207151712e-05,0.00015293592707503633,8.510216221214012e-05,0.001339976398661325,3.433393070538199e-05,0.0005533249451265577,5.1016904118866384e-05,3.0032280243628088e-05,2.950811067799289e-05,0.0018055698628352621
8.806262230919765e-06,0.0008978223878288509,0.0010833969814754425,0.008738354633067139,3.4094444011317394e-05,0.0003754267480998376,0.0009310109563846364,0.0001001020298845629,1.8695162592703068e-05,6.41203381423714e-05,0.00014289117566694803,0.0002418011174789548,2.7202735973548955e-05,0.00015308209398067076,8.498951251619898e-05,0.0013399733157073556,3.436146431673097e-05,0.0005534003361712106,5.158864850800113e-05,3.055067253556633e-05,3.0054031328061277e-05,0.0018028466434243883
9.784735812133073e-06,0.0008978708276314435,0.0010826362101344228,0.00874206279479984,3.4066550507294585e-05,0.0003762140310409592,0.0009311457751126817,0.00010011213890325392,1.869518036318118e-05,6.445199357709812e-05,0.00014287991491065692,0.0002417824052701797,2.7184533901677608e-05,0.0001532490401250207,8.487358040457645e-05,0.001339970169940269,3.438862770986442e-05,0.0005534822619579562,5.2116678532825745e-05,3.104624456540074e-05,3.057964980720498e-05,0.0018002532686802392
1.076320939334638e-05,0.0008979112367004861,0.0010818903976433127,0.00874576628088833,3.404031726476834e-05,0.0003769897624273695,0.0009312819760636035,0.00010012221928814735,1.8695198399941732e-05,6.47652065084672e-05,0.00014286863220814048,0.00024176566265081284,2.7168354861197442e-05,0.00015343255708792064,8.475429997333179e-05,0.001339966998302815,3.4415423572650426e-05,0.0005535704727607121,5.260936832764858e-05,3.151831410131255e-05,3.1082431860041995e-05,0.0017977806811279706
