t,HPL,HPR,HMD1
0.0,1.00163,1.00237,1.0
0.01,1.001630003673749,1.00237000432218,1.0125573999999997
0.02,1.0016300073474973,1.0023700086443592,1.0251147999999999
0.03,1.001630011021245,1.0023700129665378,1.0376721999999998
0.04,1.0016300146949921,1.0023700172887156,1.0502296
0.05,1.0016300183687386,1.0023700216108924,1.062787
0.06,1.0016300220424843,1.0023700259330686,1.0753443999999999
0.07,1.0016300257162294,1.002370030255244,1.0879018
0.08,1.001630029389974,1.0023700345774187,1.1004592
0.09,1.0016300330637178,1.0023700388995926,1.1130166
0.1,1.001630036737461,1.002370043221766,1.1255739999999999
0.11,1.0016300404112035,1.0023700475439383,1.1381314
0.12,1.0016300440849455,1.00237005186611,1.1506888
0.13,1.0016300477586868,1.002370056188281,1.1632462
0.14,1.0016300514324274,1.002370060510451,1.1758036
0.15,1.0016300551061676,1.0023700648326206,1.188361
0.16,1.001630058779907,1.0023700691547892,1.2009184
0.17,1.0016300624536456,1.0023700734769572,1.2134757999999999
0.18,1.0016300661273838,1.0023700777991242,1.2260332
0.19,1.0016300698011211,1.0023700821212909,1.2385906
0.2,1.001630073474858,1.0023700864434564,1.251148
0.21,1.0016300771485942,1.0023700907656214,1.2637053999999999
0.22,1.0016300808223297,1.0023700950877856,1.2762628
0.23,1.0016300844960648,1.002370099409949,1.2888202
0.24,1.001630088169799,1.0023701037321118,1.3013776
0.25,1.0016300918435328,1.0023701080542735,1.313935
0.26,1.0016300955172657,1.0023701123764348,1.3264924
0.27,1.001630099190998,1.0023701166985952,1.3390498
0.28,1.0016301028647299,1.002370121020755,1.3516072000000001
0.29,1.001630106538461,1.0023701253429138,1.3641646
0.3,1.0016301102121914,1.002370129665072,1.376722
0.31,1.0016301138859212,1.0023701339872295,1.3892794
0.32,1.0016301175596505,1.0023701383093861,1.4018368
0.33,1.001630121233379,1.0023701426315421,1.4143942
0.34,1.001630124907107,1.0023701469536972,1.4269516
0.35000000000000003,1.0016301285808342,1.0023701512758516,1.4395090000000001
0.36,1.0016301322545607,1.0023701555980054,1.4520664
0.37,1.0016301359282869,1.0023701599201582,1.4646238
0.38,1.0016301396020122,1.0023701642423104,1.4771812
0.39,1.0016301432757369,1.002370168564462,1.4897386000000001
0.4,1.0016301469494608,1.0023701728866126,1.502296
0.41000000000000003,1.0016301506231844,1.0023701772087625,1.5148534000000002
