t,Z,Y,A
0.0,0.1,1.0,0.5
0.01,0.09563595304933664,1.0195966337591014,0.5114168419609434
0.02,0.09275599351626207,1.0380674319310703,0.5228843741088437
0.03,0.09093322011340316,1.0557130350383905,0.5343729629844451
0.04,0.08984145269436652,1.072771052315907,0.5458640552346039
0.05,0.08924598539262392,1.0894155144395177,0.5573456613481986
0.06,0.08898375322085231,1.1057685090509863,0.5688097921276959
0.07,0.0889439055787997,1.1219134718637889,0.5802509781793315
0.08,0.08905201645264521,1.137906559406262,0.5916653669408972
0.09,0.08925851616908159,1.1537851952530942,0.6030501694642741
0.1,0.08953051326194122,1.1695741880354973,0.6144033036088014
0.11,0.08984624470020262,1.1852899141852173,0.625723164006926
0.12,0.09019131922293454,1.2009431601870304,0.6370084679691603
0.13,0.09055622820699302,1.2165410094109668,0.6482581526241624
0.14,0.09093467842431162,1.2320881068246954,0.6594713043003522
0.15,0.09132251330863073,1.2475874774452935,0.6706471115256878
0.16,0.09171698329274919,1.2630410795115397,0.6817848317215824
0.17,0.09211626830684495,1.278450166246895,0.6928837686026242
0.18,0.09251917017950866,1.293815518647852,0.7039432569051947
0.19,0.09292490076657585,1.3091376055745874,0.7149626512442355
0.2,0.09333294346181759,1.3244166882408315,0.7259413184139577
0.21,0.0937429652624165,1.339652886495114,0.7368786322750004
0.22,0.0941547534082149,1.3548462264412047,0.7477739697125089
0.23,0.09456817661196072,1.3699966695700514,0.7586267080650757
0.24,0.09498316202749225,1.3851041299673688,0.7694362233036522
0.25,0.09539967026894021,1.4001684929534572,0.7802018880035629
0.26,0.09581768594362336,1.415189622111143,0.7909230703646547
0.27,0.09623721335656857,1.430167362296816,0.8015991333374475
0.28,0.09665826805954139,1.4451015461968446,0.8122294341990824
0.29,0.09708087313793223,1.4599919967106898,0.8228133233150626
0.3,0.09750505621737973,1.4748385298815854,0.8333501449921862
0.31,0.09793085226542093,1.4896409512620379,0.8438392346335986
0.32,0.09835829837605081,1.504399060624823,0.854279919513008
0.33,0.09878743355534476,1.519112652467518,0.8646715193314982
0.34,0.0992182986830043,1.533781514679914,0.8750133432448791
0.35000000000000003,0.09965093660686465,1.548405429026674,0.8853046906491558
0.36,0.10008539162753338,1.5629841722730429,0.895544852631491
0.37,0.10052171008130185,1.577517513313319,0.9057331064962478
0.38,0.10095993906737456,1.5920052174588624,0.9158687227597423
0.39,0.1014001275381492,1.6064470418049617,0.9259509565573536
0.4,0.1018423256676376,1.6208427375401864,0.9359790513055013
0.41000000000000003,0.10228658507981185,1.635192049591806,0.9459522389097053
0.42,0.10273295953713603,1.64949471537977,0.9558697370159394
0.43,0.10318150505792878,1.6637504649590826,0.9657307491808121
0.44,0.10363227956528914,1.677959020002843,0.9755344631953038
0.45,0.10408534167691517,1.6921200960303229,0.985280052003411
0.46,0.10454075130195714,1.7062334015939558,0.9949666735829642
0.47000000000000003,0.10499857031322964,1.7202986372667108,1.0045934702818027
0.48,0.10545886343361266,1.7343154934969338,1.0141595635179101
0.49,0.10592169721291136,1.7482836528034773,1.0236640583619674
0.5,0.10638713826176285,1.7622027968566902,1.0331060580600218
0.51,0.1068552670178589,1.7760725637462438,1.0424845798576579
0.52,0.10732615269143271,1.78989262844258,1.0517987143163239
0.53,0.1077998756824483,1.8036626263631952,1.0610474715698681
0.54,0.10827651693269807,1.8173821885589543,1.0702298506121093
0.55,0.10875615972407142,1.831050935148517,1.0793448262849556
0.56,0.10923888932232459,1.8446684775802642,1.088391354357069
0.5700000000000001,0.10972479762637305,1.8582344087160159,1.0973683543649464
0.58,0.11021397882754794,1.8717483138918907,1.106274730308483
0.59,0.11070653232116802,1.8852097606622709,1.1151093489646238
0.6,0.11120256030931744,1.8986183065201172,1.12387105563633
0.61,0.11170217047354913,1.9119734893009972,1.1325586536600738
0.62,0.11220547459568525,1.9252748331055631,1.1411709178035667
0.63,0.11271259108920584,1.9385218444249355,1.1497065883974837
0.64,0.11322364487994763,1.95171401161673,1.1581643697753516
0.65,0.11373876672154941,1.9648508033405259,1.1665429249910824
0.66,0.11425809130068802,1.9779316709044366,1.1748408774919006
0.67,0.11478175873011479,1.9909560471620007,1.1830568116204598
0.68,0.11530991582055466,2.003923344536347,1.1911892698927513
0.6900000000000001,0.11584272080742615,2.016832945889084,1.1992367374452897
0.7000000000000001,0.11638033805789937,2.029684214318,1.207197658152178
0.71,0.11692294098417055,2.042476487501956,1.2150704250783162
0.72,0.11747071654825718,2.0552090688553992,1.222853365457051
0.73,0.11802385914859508,2.0678812395983055,1.2305447612463998
0.74,0.11858257419389728,2.080492249136432,1.2381428301147146
0.75,0.11914707972257962,2.0930413096737777,1.245645714018685
