t,P,Ca,Ci,Ra,Ri
0.0,3.0,0.0004,0.05,16.9,1.7
0.01,3.0748481143192645,0.0003999095042441944,0.05000010498392202,16.899999590677105,1.7000003948347242
0.02,3.1496924735471437,0.000399831997440595,0.05000020975493822,16.899999168708725,1.700000789538894
0.03,3.2245330778650194,0.00039976742893050053,0.05000031436296672,16.899998734095597,1.7000011841125031
0.04,3.2993699274821275,0.00039971574071791737,0.05000041886514917,16.89999828683859,1.7000015785555447
0.05,3.3742030225103106,0.0003996769042818835,0.050000523289549535,16.899997826938147,1.7000019728680211
0.06,3.4490323631595845,0.00039965086245493634,0.05000062769247761,16.89999735439514,1.7000023670499287
0.07,3.5238579496278613,0.0003996375607439182,0.05000073212761841,16.899996869210376,1.7000027611012616
0.08,3.598679782113052,0.0003996369446556716,0.05000083664865694,16.899996371384674,1.700003155022015
0.09,3.6734978608130677,0.00039964895969703875,0.05000094130927822,16.899995860918843,1.700003548812183
0.1,3.74831218592582,0.00039967355137486213,0.05000104616316726,16.899995337813696,1.7000039424717606
0.11,3.82312275764922,0.000399710665195984,0.050001151264009065,16.899994802070054,1.7000043360007424
0.12,3.8979295761811787,0.00039976024666724683,0.05000125666548866,16.89999425368872,1.7000047293991227
0.13,3.972732641719608,0.0003998222412954929,0.050001362421291044,16.899993692670517,1.7000051226668964
0.14,4.047531954462419,0.0003998965945875646,0.050001468585101246,16.89999311901625,1.7000055158040581
0.15,4.122327514607521,0.0003999832520503043,0.050001575210604256,16.899992532726742,1.7000059088106025
0.16,4.197119322352308,0.0004000821594548389,0.05000168235122293,16.8999919338028,1.7000063016865241
0.17,4.271907377856596,0.0004001932816348056,0.05000179004146986,16.899991322245054,1.700006694431841
0.18,4.346691681287969,0.0004003165794845298,0.050001898319765474,16.899990698054182,1.700007087046566
0.19,4.421472232834809,0.0004004520033449328,0.05000200723499933,16.899990061230955,1.7000074795306992
0.2,4.4962490326855,0.0004005995035569361,0.05000211683606096,16.89998941177614,1.700007871884241
0.21,4.571022081028426,0.0004007590304614611,0.050002227171839934,16.899988749690504,1.7000082641071919
0.22,4.645791378051969,0.00040093053439942925,0.05000233829122577,16.89998807497482,1.7000086561995522
0.23,4.720556923944514,0.000401113965711762,0.050002450243108044,16.899987387629857,1.7000090481613221
0.24,4.7953187188944435,0.00040130927473938085,0.05000256307637627,16.89998668765638,1.7000094399925023
0.25,4.8700767630901405,0.0004015164118232072,0.050002676839920025,16.899985975055163,1.700009831693093
0.26,4.944831056719989,0.0004017353273041624,0.05000279158262883,16.899985249826972,1.7000102232630943
0.27,5.019581599972373,0.00040196597152316807,0.050002907353392245,16.899984511972576,1.700010614702507
0.28,5.094328393035674,0.00040220829482114556,0.05000302420109982,16.89998376149275,1.700011006011331
0.29,5.169071436097959,0.00040246225412104834,0.050003142168059435,16.899982998388236,1.700011397189583
0.3,5.2438107293471266,0.00040272780988968957,0.05000326129303535,16.899982222659787,1.700011788237288
0.31,5.3185462729714414,0.0004030049148866545,0.0500033816224986,16.899981434308163,1.7000121791544527
0.32,5.393278067159173,0.000403293521834484,0.05000350320295723,16.899980633334124,1.7000125699410829
0.33,5.46800611209859,0.0004035935834557189,0.05000362608091932,16.89997981973844,1.7000129605971845
0.34,5.542730407977961,0.0004039050524729,0.05000375030289293,16.89997899352187,1.7000133511227644
0.35000000000000003,5.617450954985555,0.0004042278816085682,0.05000387591538614,16.899978154685176,1.7000137415178282
0.36,5.692167753309642,0.00040456202358526424,0.05000400296490699,16.899977303229125,1.7000141317823823
0.37,5.766880803138489,0.0004049074311255291,0.050004131497963566,16.89997643915448,1.7000145219164329
0.38,5.841590104660365,0.0004052640569519034,0.05000426156106393,16.899975562461997,1.700014911919986
0.39,5.916295658063539,0.0004056318537869281,0.05000439320071615,16.89997467315245,1.700015301793048
0.4,5.99099746353628,0.00040601077435314405,0.05000452646342829,16.899973771226595,1.700015691535625
0.41000000000000003,6.065695521259843,0.00040640090944466173,0.0500046612576455,16.89997285668485,1.7000160811480605
0.42,6.140389831437658,0.00040680191330795285,0.050004797928333206,16.89997192952873,1.7000164706296315
0.43,6.215080394248429,0.00040721392699367173,0.05000493633368317,16.89997098975852,1.700016859980804
0.44,6.289767209880403,0.00040763690363683654,0.050005076519791,16.899970037374988,1.7000172492015857
0.45,6.364450278521818,0.0004080707965579693,0.05000521853256682,16.89996907237889,1.7000176382919838
0.46,6.439129600360903,0.0004085155592630957,0.05000536241773527,16.899968094770994,1.7000180272520067
0.47000000000000003,6.513805175585878,0.0004089711454437456,0.05000550822083548,16.899967104552058,1.7000184160816627
0.48,6.588477004384952,0.00040943750897695245,0.05000565598722109,16.899966101722843,1.7000188047809608
0.49,6.663145086946328,0.00040991460392525366,0.05000580576206027,16.899965086284105,1.7000191933499107
0.5,6.737809423458195,0.00041040238453669045,0.05000595759033567,16.899964058236606,1.700019581788522
0.51,6.812470014108737,0.00041090080524480797,0.05000611151684446,16.899963017581104,1.7000199700968053
0.52,6.887126859086124,0.00041140982066865505,0.05000626758619832,16.89996196431836,1.7000203582747713
0.53,6.96177995857839,0.0004119293878179597,0.05000642584061842,16.899960898449127,1.7000207463224366
0.54,7.036429312772931,0.0004124594744225554,0.05000658631160663,16.89995981997413,1.7000211342398441
0.55,7.111074921857712,0.0004130000386935528,0.05000674904018281,16.899958728894113,1.7000215220270132
0.56,7.1857167860207944,0.0004135510371998946,0.0500069140690089,16.899957625209833,1.7000219096839595
0.5700000000000001,7.260354905450231,0.0004141124267233727,0.05000708144053397,16.899956508922045,1.700022297210699
0.58,7.334989280334062,0.00041468416425862793,0.05000725119699428,16.8999553800315,1.7000226846072486
0.59,7.409619910860318,0.00041526620701315046,0.050007423380413224,16.89995423853895,1.7000230718736251
0.6,7.484246797217018,0.00041585851240727944,0.050007598032601394,16.899953084445144,1.7000234590098464
0.61,7.558869939592171,0.0004164610380742031,0.050007775195156534,16.89995191775084,1.7000238460159305
0.62,7.633489338173771,0.0004170737418599589,0.050007954909463546,16.89995073845678,1.700024232891896
0.63,7.708104993149805,0.0004176965818234333,0.050008137216694504,16.89994954656372,1.7000246196377622
0.64,7.782716904708248,0.0004183295162363619,0.050008322157808635,16.899948342072406,1.700025006253549
0.65,7.857325073037063,0.00041897250358332954,0.050008509773552354,16.89994712498359,1.700025392739276
0.66,7.9319294983242035,0.00041962550256176994,0.050008700104459215,16.899945895298014,1.7000257790949649
0.67,8.00653018075761,0.0004202884720819661,0.05000889319084995,16.899944653016433,1.7000261653206363
0.68,8.081127120525213,0.00042096137126705006,0.05000908907283246,16.899943398139587,1.7000265514163124
0.6900000000000001,8.155720317814932,0.000421644159453003,0.050009287790301796,16.89994213066823,1.7000269373820152
0.7000000000000001,8.230309772814676,0.0004223367961886552,0.050009489382940184,16.899940850603105,1.7000273232177676
0.71,8.304895485712342,0.00042303924123568605,0.05000969389021701,16.899939557944954,1.7000277089235931
0.72,8.379477456695815,0.0004237514545686241,0.05000990135138883,16.89993825269453,1.7000280944995156
0.73,8.454055685952973,0.0004244733963748469,0.05001011180549935,16.89993693485257,1.7000284799455594
0.74,8.52863017367168,0.00042520502705458124,0.05001032529137947,16.899935604419817,1.7000288652617492
0.75,8.603200920039786,0.0004259463072209029,0.05001054184764722,16.89993426139702,1.7000292504481107
0.76,8.677767925245133,0.00042669719769973687,0.05001076151270782,16.899932905784922,1.70002963550467
0.77,8.752331189475557,0.00042745765952985717,0.05001098432475364,16.899931537584266,1.7000300204314533
0.78,8.826890712918875,0.00042822765396288704,0.05001121032176423,16.899930156795786,1.7000304052284876
0.79,8.901446495762894,0.0004290071424632987,0.050011439541506275,16.89992876342023,1.7000307898958005
0.8,8.975998538195414,0.0004297960867084136,0.050011672021533664,16.89992735745834,1.7000311744334202
0.81,9.050546840404223,0.00043059444858840223,0.05001190779918742,16.89992593891085,1.7000315588413748
0.8200000000000001,9.125091402577095,0.00043140219020628415,0.05001214691159574,16.899924507778504,1.700031943119694
0.8300000000000001,9.199632224901794,0.0004322192738779281,0.050012389395673984,16.89992306406204,1.7000323272684068
