t,TVD
0.0,0.000980838
0.01,0.000980822439240398
0.02,0.0009808068836668848
0.03,0.0009807913332777964
0.04,0.0009807757880712145
0.05,0.0009807602480461216
0.06,0.0009807447132005951
0.07,0.0009807291835328225
0.08,0.0009807136590409909
0.09,0.0009806981397232875
0.1,0.0009806826255778997
0.11,0.0009806671166030147
0.12,0.00098065161279682
0.13,0.0009806361141575023
0.14,0.0009806206206832493
0.15,0.0009806051323722482
0.16,0.000980589649222691
0.17,0.0009805741712331343
0.18,0.0009805586984020613
0.19,0.000980543230727752
0.2,0.0009805277682084859
0.21,0.0009805123108425436
0.22,0.000980496858628204
0.23,0.0009804814115637482
0.24,0.000980465969647455
0.25,0.000980450532877605
0.26,0.0009804351012524777
0.27,0.0009804196747703533
0.28,0.0009804042534295111
0.29,0.0009803888372282507
0.3,0.0009803734261648815
0.31,0.0009803580202376902
0.32,0.000980342619444964
0.33,0.0009803272237849895
0.34,0.0009803118332560538
0.35000000000000003,0.0009802964478564434
0.36,0.0009802810675844456
0.37,0.0009802656924383468
0.38,0.000980250322416434
0.39,0.0009802349575169943
0.4,0.0009802195977383142
0.41000000000000003,0.000980204243079106
0.42,0.0009801888935367365
0.43,0.0009801735491100731
0.44,0.0009801582097974041
0.45,0.0009801428755970177
0.46,0.0009801275465072035
0.47000000000000003,0.0009801122225262511
0.48,0.000980096903652451
0.49,0.0009800815898840943
0.5,0.0009800662812194723
0.51,0.000980050977656877
0.52,0.0009800356791946014
0.53,0.0009800203858309573
0.54,0.000980005097564347
0.55,0.0009799898143930859
0.56,0.000979974536315472
0.5700000000000001,0.0009799592633298049
0.58,0.000979943995434384
0.59,0.00097992873262751
0.6,0.0009799134749074834
0.61,0.0009798982222726058
0.62,0.0009798829747211795
0.63,0.000979867732251507
0.64,0.0009798524948618915
0.65,0.0009798372625506372
0.66,0.0009798220353160485
0.67,0.0009798068131564304
0.68,0.0009797915960700885
0.6900000000000001,0.0009797763840553293
0.7000000000000001,0.0009797611771104595
0.71,0.000979745975233787
0.72,0.0009797307784236195
0.73,0.0009797155866782656
0.74,0.0009797003999960348
0.75,0.000979685218375237
0.76,0.0009796700418141827
0.77,0.0009796548703111829
0.78,0.0009796397038645491
0.79,0.000979624542472594
0.8,0.0009796093861336303
0.81,0.000979594234845971
0.8200000000000001,0.000979579088607931
0.8300000000000001,0.0009795639474178244
0.84,0.0009795488112739668
0.85,0.0009795336801746738
0.86,0.0009795185541182619
0.87,0.0009795034331030483
0.88,0.0009794883171273506
0.89,0.000979473206189487
0.9,0.0009794581002877765
0.91,0.0009794429994205384
0.92,0.0009794279035860928
0.93,0.0009794128127827606
0.9400000000000001,0.0009793977270088627
0.9500000000000001,0.000979382646262721
0.96,0.0009793675705426583
0.97,0.0009793524998469973
0.98,0.0009793374341740618
0.99,0.000979322373522176
1.0,0.000979307317889665
1.01,0.0009792922672748536
1.02,0.0009792772216760685
1.03,0.0009792621810916359
1.04,0.0009792471455198834
1.05,0.0009792321149591386
1.06,0.00097921708940773
1.07,0.0009792020688639868
1.08,0.0009791870533262382
1.09,0.0009791720427928148
1.1,0.0009791570372620474
1.11,0.0009791420367322675
1.12,0.000979127041201807
1.1300000000000001,0.0009791120506689984
1.1400000000000001,0.000979097065132175
1.1500000000000001,0.0009790820845896708
1.16,0.0009790671090398203
1.17,0.000979052138480958
1.18,0.00097903717291142
1.19,0.0009790222123295424
1.2,0.000979007256733662
1.21,0.000978992306122116
1.22,0.000978977360493243
1.23,0.000978962419845381
1.24,0.0009789474841768694
1.25,0.000978932553486048
1.26,0.0009789176277712574
1.27,0.0009789027070308386
1.28,0.000978887791263133
1.29,0.000978872880466483
1.3,0.000978857974639231
1.31,0.000978843073779721
1.32,0.0009788281778862964
1.33,0.0009788132869573021
1.34,0.0009787984009910833
1.35,0.000978783519985986
1.36,0.0009787686439403562
1.37,0.0009787537728525413
1.3800000000000001,0.0009787389067208883
1.3900000000000001,0.0009787240455437461
1.4000000000000001,0.000978709189319463
1.41,0.0009786943380463884
1.42,0.0009786794917228726
1.43,0.0009786646503472658
1.44,0.0009786498139179197
1.45,0.0009786349824331855
1.46,0.0009786201558914158
1.47,0.0009786053342909638
1.48,0.000978590517630183
1.49,0.000978575705907427
1.5,0.0009785608991210515
1.51,0.0009785460972694113
1.52,0.0009785313003508624
1.53,0.0009785165083637615
1.54,0.0009785017213064658
1.55,0.0009784869391773329
1.56,0.0009784721619747214
1.57,0.00097845738969699
1.58,0.0009784426223424984
1.59,0.0009784278599096069
1.6,0.0009784131023966758
1.61,0.000978398349802067
1.62,0.0009783836021241422
1.6300000000000001,0.0009783688593612639
1.6400000000000001,0.0009783541215117955
1.6500000000000001,0.0009783393885741004
1.6600000000000001,0.0009783246605465433
1.67,0.0009783099374274888
1.68,0.0009782952192153027
1.69,0.000978280505908351
1.7,0.0009782657975050007
1.71,0.0009782510940036188
1.72,0.0009782363954025735
1.73,0.0009782217017002331
1.74,0.000978207012894967
1.75,0.0009781923289851368
1.76,0.0009781776499690478
1.77,0.0009781629758450557
1.78,0.0009781483066115297
1.79,0.0009781336422668401
1.8,0.0009781189828093574
1.81,0.0009781043282374524
1.82,0.0009780896785494973
1.83,0.0009780750337438644
1.84,0.000978060393818926
1.85,0.0009780457587730564
1.86,0.000978031128604629
1.87,0.0009780165033120185
1.8800000000000001,0.0009780018828936005
1.8900000000000001,0.0009779872673477507
1.9000000000000001,0.0009779726566728451
1.9100000000000001,0.000977958050867261
1.92,0.000977943449929376
1.93,0.000977928853857568
1.94,0.000977914262650216
1.95,0.0009778996763056987
1.96,0.0009778850948223966
1.97,0.00097787051819869
1.98,0.0009778559464329597
1.99,0.0009778413795235874
2.0,0.0009778268174689554
2.0100000000000002,0.0009778122602674463
