t,Ip,Ii,G,x3,x1,x2
0.0,93.36441699,243.2865183,12342.61665,104.5878705,110.420253,112.7601171
0.01,93.3425519650579,243.28019228385304,12341.66459179814,104.59467705471994,110.40603661692252,112.75816210451504
0.02,93.32069213967702,243.27385347721088,12340.71272626566,104.60147630698037,110.39181386461426,112.75619689274961
0.03,93.29883752030507,243.26750188687876,12339.761053624516,104.60826825444637,110.37758475235154,112.75422146779084
0.04,93.2769881143552,243.2611375207159,12338.80957413025,104.61505289443302,110.36334929083498,112.75223583321257
0.05,93.25514392562091,243.25476038294954,12337.858287915677,104.62183022556303,110.34910748575014,112.75023999098829
0.06,93.2333049614713,243.24837048147901,12336.907195235688,104.62860024516603,110.33485934782264,112.74823394473177
0.07,93.21147122889063,243.24196782373897,12335.956296331338,104.63536295071195,110.32060488716488,112.74621769783133
0.08,93.18964273486311,243.235552417164,12335.005591443682,104.64211833967074,110.30634411388918,112.74419125367534
0.09,93.16781948637298,243.2291242691888,12334.055080813774,104.64886640951237,110.2920770381079,112.74215461565215
0.1,93.14600149040447,243.22268338724797,12333.10476468267,104.65560715770671,110.27780366993339,112.74010778715012
0.11,93.12418875394182,243.21622977877618,12332.154643291422,104.66234058172377,110.26352401947801,112.73805077155761
0.12,93.10238128396925,243.20976345120806,12331.204716881088,104.66906667903343,110.2492380968541,112.73598357226295
0.13,93.08057908747101,243.20328441197827,12330.254985692723,104.67578544710567,110.23494591217401,112.73390619265452
0.14,93.05878217143132,243.19679266852143,12329.30544996738,104.68249688341041,110.22064747555011,112.73181863612066
0.15,93.0369905428344,243.1902882282722,12328.356109946115,104.68920098541759,110.20634279709473,112.72972090604974
0.16,93.01520420863937,243.18377109864804,12327.40696586921,104.69589775060618,110.19203188689355,112.72761300582468
0.17,92.9934231739202,243.17724128577711,12326.458017919032,104.70258717713176,110.17771475302928,112.72549493842263
0.18,92.97164744412831,243.17069879604585,12325.50926628955,104.70926926301449,110.1633914039857,112.72336670690198
0.19,92.9498770257685,243.164143636561,12324.560711207085,104.71594400589639,110.14906184936581,112.72122831454787
0.2,92.92811192534559,243.1575758144293,12323.612352897966,104.72261140341946,110.13472609877256,112.71907976464547
0.21,92.9063521493644,243.15099533675752,12322.664191588517,104.72927145322575,110.12038416180893,112.7169210604799
0.22,92.8845977043297,243.14440221065246,12321.716227505065,104.73592415295727,110.1060360480779,112.71475220533634
0.23,92.86284859674635,243.13779644322088,12320.768460873938,104.74256950025604,110.09168176718245,112.71257320249991
0.24,92.84110483311913,243.1311780415695,12319.82089192146,104.74920749276409,110.07732132872555,112.71038405525577
0.25,92.81936641995284,243.12454701280515,12318.873520873956,104.75583812812343,110.06295474231018,112.70818476688909
0.26,92.79763336375233,243.11790336403456,12317.926347957755,104.7624614039761,110.0485820175393,112.705975340685
0.27,92.77590567102236,243.1112471023645,12316.979373399181,104.76907731796412,110.03420316401592,112.70375577992864
0.28,92.75418334826777,243.10457823490177,12316.03259742456,104.7756858677295,110.01981819134298,112.70152608790518
0.29,92.73246640154825,243.09789676882878,12315.086020250385,104.78228705107065,110.00542710903589,112.69928626807358
0.3,92.71075483667265,243.09120271137076,12314.139642087595,104.78888086587412,109.9910299265607,112.69703632399074
0.31,92.68904865998012,243.08449606966263,12313.193463158857,104.79546730984009,109.97662665348777,112.69477625900652
0.32,92.66734787781266,243.07777685083886,12312.2474836869,104.80204638066782,109.96221729938806,112.69250607646961
0.33,92.6456524965123,243.0710450620339,12311.301703894453,104.8086180760565,109.9478018738325,112.69022577972878
0.34,92.62396252242104,243.06430071038224,12310.35612400424,104.81518239370536,109.93338038639205,112.6879353721327
0.35000000000000003,92.60227796188092,243.05754380301832,12309.410744238994,104.8217393313136,109.91895284663764,112.68563485703011
0.36,92.58059882123392,243.0507743470766,12308.465564821441,104.82828888658044,109.90451926414023,112.68332423776971
0.37,92.5589251068221,243.04399234969154,12307.52058597431,104.8348310572051,109.89007964847076,112.68100351770025
0.38,92.53725682498747,243.0371978179976,12306.575807920328,104.8413658408868,109.87563400920017,112.67867270017042
0.39,92.515593982072,243.03039075912923,12305.631230882223,104.84789323532473,109.86118235589942,112.67633178852897
0.4,92.49393658441778,243.02357118022093,12304.686855082728,104.85441323821816,109.84672469813944,112.67398078612459
0.41000000000000003,92.47228462851601,243.01673909001775,12303.742680526511,104.86092585078138,109.8322610434429,112.6716197001434
0.42,92.45063814201468,243.00989449217056,12302.798707907928,104.86743106311084,109.81779140581091,112.66924852563432
0.43,92.42899711781303,243.00303739601176,12301.854937152139,104.87392887770267,109.80331579201925,112.66686727118274
0.44,92.40736156222378,242.99616780868064,12300.911368481224,104.88041929226652,109.78883421163277,112.66447594014879
0.45,92.38573148154653,242.98928573731854,12299.968002116972,104.88690230451677,109.77434667421359,112.66207453589774
0.46,92.36410688206759,242.98239118906906,12299.02483828088,104.89337791217247,109.75985318932109,112.65966306179998
0.47000000000000003,92.34248777006015,242.9754841710779,12298.081877194152,104.89984611295743,109.74535376651188,112.65724152123104
0.48,92.32087415178414,242.96856469049297,12297.1391190777,104.90630690460014,109.73084841533986,112.65480991757163
0.49,92.29926603348632,242.9616327544643,12296.196564152142,104.91276028483381,109.71633714535615,112.65236825420756
