t,QO2T
0.0,72.2362
0.01,72.23322154964109
0.02,72.23035665147232
0.03,72.22760097594438
0.04,72.22495113966775
0.05,72.22240263070897
0.06,72.21995069708186
0.07,72.21759214881362
0.08,72.21532348853023
0.09,72.21314125486775
0.1,72.21104227690027
0.11,72.20902334484917
0.12,72.20708122598056
0.13,72.20521322281083
0.14,72.2034163410233
0.15,72.20168791207587
0.16,72.20002531872589
0.17,72.19842610963624
0.18,72.1968879145722
0.19,72.19540828964462
0.2,72.19398502969216
0.21,72.19261605917752
0.22,72.19129937681284
0.23,72.1900328871754
0.24,72.18881466384872
0.25,72.18764287842755
0.26,72.18651577772103
0.27,72.18543162988188
0.28,72.18438879376058
0.29,72.18338570786473
0.3,72.18242089607224
0.31,72.18149282873893
0.32,72.18060013621518
0.33,72.17974147328708
0.34,72.17891555867831
0.35000000000000003,72.1781211072543
0.36,72.17735690026547
0.37,72.17662179353384
0.38,72.17591469074453
0.39,72.17523454028438
0.4,72.17458033208031
0.41000000000000003,72.17395109443802
0.42,72.17334589088044
0.43,72.17276381757472
0.44,72.17220401220527
0.45,72.17166563616054
0.46,72.1711478708884
0.47000000000000003,72.17064991862254
0.48,72.17017099930874
0.49,72.16971034753092
0.5,72.16926720943742
0.51,72.16884083966711
0.52,72.16843051061926
0.53,72.16803570238484
0.54,72.16765587696977
0.55,72.16729047795569
0.56,72.16693897894478
0.5700000000000001,72.1666008834198
0.58,72.16627572460405
0.59,72.16596305170661
0.6,72.16566234202948
0.61,72.16537312871539
0.62,72.16509497175437
0.63,72.16482744245054
0.64,72.16457012189018
0.65,72.16432259940993
0.66,72.16408448583833
0.67,72.16385545434443
0.68,72.16363515957204
0.6900000000000001,72.16342326393527
0.7000000000000001,72.16321944107051
0.71,72.16302337512896
0.72,72.16283476006929
0.73,72.16265330902871
0.74,72.16247876415109
0.75,72.16231086513524
0.76,72.1621493622896
0.77,72.1619940167588
0.78,72.16184460016609
0.79,72.16170089425576
0.8,72.16156268204031
0.81,72.16142974775445
0.8200000000000001,72.16130188960149
0.8300000000000001,72.1611789120631
0.84,72.16106062532347
0.85,72.16094684471264
0.86,72.16083739028099
0.87,72.16073210160135
0.88,72.16063082660195
0.89,72.16053341195034
0.9,72.16043970999533
0.91,72.16034957847842
0.92,72.16026288024548
0.93,72.1601794831859
0.9400000000000001,72.16009926461254
0.9500000000000001,72.16002210530658
0.96,72.15994788903284
0.97,72.15987650375855
0.98,72.15980784139951
0.99,72.15974179756624
1.0,72.15967827131013
1.01,72.15961716486964
1.02,72.1595583840846
1.03,72.15950184526913
1.04,72.15944746486174
1.05,72.15939516055778
1.06,72.15934485280007
1.07,72.15929646457776
1.08,72.15924992122531
1.09,72.15920515022144
1.1,72.15916208098805
1.11,72.15912064612615
1.12,72.15908079001657
1.1300000000000001,72.15904245422605
1.1400000000000001,72.15900558090289
1.1500000000000001,72.15897011422439
1.16,72.15893600026484
1.17,72.15890318686345
1.18,72.1588716234922
1.19,72.1588412611238
1.2,72.1588120531825
1.21,72.1587839593145
1.22,72.15875693777195
1.23,72.15873094777031
1.24,72.15870594991826
1.25,72.15868190612039
1.26,72.15865877947986
1.27,72.15863653420098
1.28,72.15861513549193
1.29,72.15859455067408
1.3,72.1585747515371
1.31,72.15855570841833
1.32,72.15853739243646
1.33,72.1585197756688
1.34,72.15850283108149
1.35,72.1584865324598
1.36,72.15847085433819
1.37,72.15845577193065
1.3800000000000001,72.15844124880562
1.3900000000000001,72.15842729927832
1.4000000000000001,72.15841387939702
1.41,72.15840096990321
1.42,72.15838855196516
1.43,72.15837660717787
1.44,72.15836511756314
1.45,72.1583540655695
1.46,72.15834343407226
1.47,72.15833320754086
1.48,72.15832337200858
1.49,72.1583139124707
1.5,72.15830481439109
1.51,72.1582960637235
1.52,72.15828764691166
1.53,72.15827955088919
1.54,72.15827176307968
1.55,72.15826427139662
1.56,72.15825706424346
1.57,72.15825013051354
1.58,72.15824345957743
1.59,72.158237041084
1.6,72.15823086525414
1.61,72.15822492285723
1.62,72.15821920514637
1.6300000000000001,72.15821370385831
1.6400000000000001,72.15820841121347
1.6500000000000001,72.15820331991596
1.6600000000000001,72.15819842315355
1.67,72.15819371459772
1.68,72.15818918840355
1.69,72.1581848392099
1.7,72.15818066004124
1.71,72.15817663978481
1.72,72.15817277205183
1.73,72.1581690510599
1.74,72.15816547133959
1.75,72.15816202773438
1.76,72.15815871540069
1.77,72.15815552980787
1.78,72.1581524667382
1.79,72.15814952228688
1.8,72.15814669286206
1.81,72.15814397513155
1.82,72.1581413624802
1.83,72.15813884898051
1.84,72.15813643071931
1.85,72.15813410397728
1.86,72.15813186522908
1.87,72.15812971114327
1.8800000000000001,72.1581276385824
1.8900000000000001,72.15812564460288
1.9000000000000001,72.15812372645507
1.9100000000000001,72.1581218815833
1.92,72.15812010762579
1.93,72.15811831655242
1.94,72.15811670217583
1.95,72.15811514229102
1.96,72.15811363589131
1.97,72.15811218197
1.98,72.15811077952038
1.99,72.15810942753578
2.0,72.15810812500949
2.0100000000000002,72.15810687093483
2.02,72.15810566430508
2.0300000000000002,72.15810450411357
2.04,72.1581033893536
2.05,72.15810231785377
2.06,72.15810128715164
2.07,72.15810029591498
2.08,72.15809934281192
2.09,72.15809842651059
2.1,72.15809754567913
2.11,72.15809669898563
2.12,72.15809588509822
2.13,72.15809510268504
2.14,72.1580943504142
2.15,72.15809362695383
2.16,72.15809293097203
2.17,72.15809226113694
2.18,72.15809161611668
2.19,72.15809099536057
2.2,72.15809039915193
2.21,72.15808982649611
2.22,72.15808927636812
2.23,72.15808874774295
2.24,72.1580882395956
2.25,72.15808775090107
2.2600000000000002,72.15808728063438
2.27,72.1580868277705
2.2800000000000002,72.15808639128446
2.29,72.15808597015123
2.3000000000000003,72.15808556334582
2.31,72.15808516984325
2.32,72.15808478861848
2.33,72.15808441951265
2.34,72.15808406442463
2.35,72.15808372302361
2.36,72.1580833947967
2.37,72.158083079231
2.38,72.15808277581363
2.39,72.15808248403167
2.4,72.15808220337225
2.41,72.15808193332245
2.42,72.15808167336941
2.43,72.15808142300021
2.44,72.15808118170197
2.45,72.1580809489618
2.46,72.1580807242668
2.47,72.15808038164715
2.48,72.15808019888365
2.49,72.15808002070823
2.5,72.15807984712087
2.5100000000000002,72.15807967812158
2.52,72.15807951371036
2.5300000000000002,72.1580793538872
2.54,72.15807919865212
2.5500000000000003,72.1580790480051
2.56,72.15807890194615
2.57,72.15807876047528
2.58,72.15807862359246
2.59,72.15807849129772
2.6,72.15807836359103
2.61,72.15807824042439
2.62,72.15807812130235
2.63,72.15807800609431
2.64,72.15807789480029
2.65,72.15807778742025
2.66,72.15807768395425
2.67,72.15807758440224
2.68,72.15807748876423
2.69,72.15807739704024
2.7,72.15807730923026
2.71,72.15807722533428
2.72,72.15807714535231
2.73,72.15807706928435
2.74,72.1580769971304
2.75,72.15807692889045
2.7600000000000002,72.15807686424938
2.77,72.15807680182795
2.7800000000000002,72.15807674146454
2.79,72.15807668315917
2.8000000000000003,72.15807662691185
2.81,72.15807657272256
2.82,72.15807652059131
2.83,72.1580764705181
2.84,72.15807642250293
2.85,72.15807637654581
2.86,72.15807633264671
2.87,72.15807629080567
2.88,72.15807625102265
2.89,72.15807621329768
2.9,72.15807617763075
2.91,72.15807614368217
2.92,72.15807611072199
2.93,72.15807607872559
2.94,72.15807604769299
2.95,72.15807601762417
2.96,72.15807598851913
2.97,72.15807596037789
2.98,72.15807593320042
2.99,72.15807590698675
3.0,72.15807588173686
3.0100000000000002,72.15807585745077
3.02,72.15807583412845
3.0300000000000002,72.15807581176993
3.04,72.1580757903752
3.0500000000000003,72.15807576994423
3.06,72.1580757502688
3.0700000000000003,72.15807573113482
3.08,72.15807571254227
3.09,72.15807569449117
3.1,72.15807567698154
3.11,72.15807566001335
3.12,72.1580756435866
3.13,72.15807562770131
3.14,72.15807561235746
3.15,72.15807559755507
3.16,72.15807558329413
3.17,72.15807556957463
3.18,72.15807555639658
3.19,72.15807554375999
3.2,72.15807553166087
3.21,72.15807551996666
3.22,72.15807550861271
3.23,72.15807549759901
3.24,72.15807548692557
3.25,72.15807547659237
3.2600000000000002,72.15807546659944
3.27,72.15807545694675
3.2800000000000002,72.15807544763432
3.29,72.15807543866214
3.3000000000000003,72.15807543003021
3.31,72.15807542173854
3.3200000000000003,72.15807541378713
3.33,72.15807540617595
3.34,72.15807539890505
3.35,72.15807539196318
3.36,72.15807538524831
3.37,72.15807537873594
3.38,72.15807537242608
3.39,72.15807536631873
3.4,72.15807536041387
3.41,72.15807535471153
3.42,72.15807534921169
3.43,72.15807534391435
3.44,72.15807533881951
3.45,72.15807533392719
3.46,72.15807532923736
3.47,72.15807532475004
3.48,72.15807532046523
3.49,72.15807531638292
3.5,72.15807531248659
3.5100000000000002,72.1580753087105
3.52,72.15807530504779
3.5300000000000002,72.1580753014985
3.54,72.1580752980626
3.5500000000000003,72.15807529474009
3.56,72.15807529153099
3.5700000000000003,72.15807528843528
3.58,72.15807528545298
3.59,72.15807528258408
3.6,72.15807527982858
3.61,72.15807527718647
3.62,72.15807527465778
3.63,72.15807527224247
3.64,72.15807526994055
3.65,72.15807526773554
3.66,72.158075265595
3.67,72.15807526351804
3.68,72.15807526150469
3.69,72.15807525955493
3.7,72.15807525766877
3.71,72.15807525584621
3.72,72.15807525408725
3.73,72.15807525239188
3.74,72.1580752507601
3.75,72.15807524919192
3.7600000000000002,72.15807524768735
3.77,72.15807524624637
3.7800000000000002,72.15807524486898
3.79,72.1580752435355
3.8000000000000003,72.15807524124894
3.81,72.15807523900115
3.8200000000000003,72.15807523679216
3.83,72.15807523462196
3.84,72.15807523249056
3.85,72.15807523039796
3.86,72.15807522834415
3.87,72.15807522632913
3.88,72.1580752243529
3.89,72.15807522241548
3.9,72.15807522051685
3.91,72.158075218657
3.92,72.15807521683597
3.93,72.15807521505371
3.94,72.15807521331027
3.95,72.1580752116056
3.96,72.15807520993975
3.97,72.15807520831268
3.98,72.1580752067244
3.99,72.15807520517492
4.0,72.15807520366425
4.01,72.15807520219236
4.0200000000000005,72.15807520075927
4.03,72.15807519936497
4.04,72.15807519800947
4.05,72.15807519669275
4.0600000000000005,72.15807519541484
4.07,72.15807519417572
4.08,72.1580751929754
4.09,72.15807519181386
4.1,72.15807519069114
4.11,72.15807518960719
4.12,72.15807518856205
4.13,72.1580751875557
4.14,72.15807518658815
4.15,72.15807518565938
4.16,72.15807518476942
4.17,72.15807518391824
4.18,72.15807518310588
4.19,72.1580751823323
4.2,72.15807518159751
4.21,72.15807518090152
4.22,72.15807518024432
4.23,72.15807517962592
4.24,72.1580751790463
4.25,72.1580751785055
4.26,72.15807517800349
4.2700000000000005,72.15807517754025
4.28,72.15807517711583
4.29,72.15807517673021
