t,D,E,R_S,X,R
0.0,0.1,0.6,1.0,0.7,0.5
0.01,0.10071701624744975,0.6014808237727522,1.0009528523610494,0.6957665081632048,0.49984241473258667
0.02,0.10143171360070277,0.6029632938721504,1.0018997594457557,0.6915613349515725,0.4996816691689616
0.03,0.10214408761284838,0.6044474067626655,1.0028407433422917,0.6873843166074617,0.49951779225311105
0.04,0.10285413594443307,0.6059331604994261,1.0037758158541084,0.6832353659917129,0.49935079930971354
0.05,0.10356185447559337,0.6074205516002702,1.0047049979435405,0.6791143288084874,0.49918071739138964
0.06,0.10426723982575758,0.6089095770785624,1.005628307135812,0.6750210767812509,0.49900756884959224
0.07,0.10497028859742118,0.6104002338232435,1.0065457613090418,0.6709554795987364,0.4988313762825771
0.08,0.1056709974209562,0.6118925186714098,1.0074573783851264,0.6669174070187353,0.49865216220103675
0.09,0.10636936297079219,0.6133864283785921,1.0083631763542749,0.6629067289096741,0.49846994897819896
0.1,0.10706538196589024,0.6148819596199745,1.0092631732717285,0.6589233152603597,0.4982847588520629
0.11,0.10775905113895007,0.6163791090462328,1.0101573872122853,0.6549670360978891,0.49809661401937044
0.12,0.10845036730058553,0.6178778731739043,1.0110458363527703,0.6510377616867548,0.49790553645095154
0.13,0.10913932730424834,0.6193782484572311,1.0119285389051644,0.6471353624698685,0.497711548012432
0.14,0.10982592799996796,0.6208802313473347,1.0128055130934426,0.6432597088420368,0.4975146705644074
0.15,0.11051016627457198,0.6223838182296157,1.0136767771940978,0.639410671300289,0.4973149258568453
0.16,0.11119203905668494,0.6238890054159736,1.014542349541178,0.6355881204625604,0.49711233551596085
0.17,0.11187154331672819,0.6253957891448064,1.0154022485262855,0.631791927067693,0.4969069210442171
0.18,0.11254867606691998,0.6269041655810113,1.0162564925985773,0.6280219619754344,0.4966987038203246
0.19,0.11322343436127547,0.628414130815984,1.0171051002647653,0.6242780961664386,0.49648770509924184
0.2,0.11389581529559567,0.6299256808818152,1.017948090064407,0.6205602008019994,0.4962739460341738
0.21,0.11456581600739832,0.6314388118412481,1.0187854804133316,0.6168681476025717,0.4960574478159745
0.22,0.1152334336760355,0.6329535196347714,1.0196172898697802,0.6132018082043746,0.49583823143619576
0.23,0.11589866552266528,0.6344698001176359,1.020443537069976,0.6095610543151476,0.49561631774444914
0.24,0.11656150881023819,0.6359876490772919,1.0212642406977748,0.6059457577875235,0.49539172747542803
0.25,0.11722196084349724,0.6375070622333895,1.0220794194846645,0.6023557906190293,0.49516448124890783
0.26,0.11788001896897796,0.6390280352377782,1.0228890922097649,0.5987910249520859,0.49493459956974584
0.27,0.1185356805750083,0.6405505636745075,1.0236932776998287,0.5952513330740078,0.4947021028278814
0.28,0.11918894309014523,0.6420746430693278,1.0244919948156084,0.5917365874417253,0.4944670113128642
0.29,0.11983980395183608,0.6436002690801503,1.0252852621786255,0.5882466611773078,0.4942293455050616
0.3,0.12048826064677004,0.6451274372518121,1.0260730985229825,0.5847814274299296,0.4939891257007011
0.31,0.12113431071178062,0.6466561430105924,1.0268555227032317,0.5813407593616003,0.4937463720034846
0.32,0.1217779517236197,0.6481863817263598,1.0276325536052169,0.5779245303088566,0.4935011044196106
0.33,0.12241918129895756,0.649718148712572,1.028404210146075,0.5745326137827623,0.4932533428577744
0.34,0.12305799709438284,0.6512514392262765,1.0291705112742355,0.571164883468908,0.4930031071291679
0.35000000000000003,0.12369439680640254,0.6527862484681098,1.0299314759694196,0.5678212132274117,0.4927504169474798
0.36,0.12432837817151023,0.6543225715827206,1.030687123241889,0.5645014770955148,0.4924952919293835
0.37,0.12495993898034584,0.6558604037465076,1.0314374719761668,0.5612055498269207,0.4922377516959434
0.38,0.12558907706608155,0.6573997400956557,1.0321825410592194,0.5579333064494209,0.49197781578943994
0.39,0.12621579029448765,0.6589405756645806,1.0329223494900979,0.55468462188651,0.491715503602226
0.4,0.1268400765722345,0.6604829054373701,1.0336569162883111,0.5514593712736017,0.49145083443618154
0.41000000000000003,0.12746193384689256,0.662026724347784,1.0343862604938254,0.548257429958028,0.49118382750271355
0.42,0.12808136010693222,0.6635720272792544,1.0351104011670655,0.5450786734990396,0.490914501922756
0.43,0.12869835338172403,0.6651188090648855,1.0358293573889135,0.5419229776678057,0.49064287672676987
