t,AR1T,AR2T,AR3T
0.0,1.02127,1.01179,1.1448
0.01,1.0210761353054827,1.0117899483376385,1.1448000211999976
0.02,1.0208861105215659,1.0117898966838867,1.1448000423999896
0.03,1.0206998509231762,1.0117898450387433,1.1448000635999764
0.04,1.0205172824718862,1.0117897934022064,1.1448000847999578
0.05,1.0203383490780826,1.0117897417742754,1.144800105999934
0.06,1.0201629623403263,1.0117896901549486,1.1448001271999046
0.07,1.0199910364457518,1.011789638544224,1.1448001483998704
0.08,1.0198225081443293,1.0117895869421003,1.1448001695998307
0.09,1.0196573183379025,1.0117895353485762,1.1448001907997856
0.1,1.0194953987700293,1.0117894837636503,1.1448002119997351
0.11,1.019336683893822,1.011789432187321,1.1448002331996796
0.12,1.0191811134699658,1.0117893806195875,1.1448002543996185
0.13,1.0190286237928747,1.0117893290604474,1.1448002755995523
0.14,1.018879155320313,1.0117892775099,1.1448002967994808
0.15,1.0187326412423479,1.0117892259679435,1.144800317999404
0.16,1.0185890314055694,1.0117891744345768,1.1448003391993218
0.17,1.0184482643813089,1.0117891229097982,1.1448003603992345
0.18,1.0183102835806144,1.0117890713936064,1.1448003815991417
0.19,1.018175034511281,1.0117890198859998,1.1448004027990437
0.2,1.0180424626289477,1.0117889683869772,1.1448004239989402
0.21,1.0179125150419261,1.011788916896537,1.1448004451988316
0.22,1.0177851405112,1.0117888654146778,1.1448004663987177
0.23,1.0176602893811968,1.0117888139413984,1.1448004875985984
0.24,1.017537910206881,1.011788762476697,1.1448005087984738
0.25,1.0174179528673912,1.0117887110205723,1.1448005299983441
0.26,1.0173003698374832,1.011788659573023,1.144800551198209
0.27,1.017185114864058,1.0117886081340475,1.1448005723980685
0.28,1.0170721429661642,1.0117885567036444,1.1448005935979226
0.29,1.016961410320804,1.0117885052818125,1.1448006147977718
0.3,1.0168528711072622,1.0117884538685502,1.1448006359976155
0.31,1.0167464808486202,1.011788402463856,1.1448006571974538
0.32,1.0166421970305937,1.0117883510677284,1.1448006783972868
0.33,1.0165399780693545,1.0117882996801661,1.1448006995971145
0.34,1.0164397833115304,1.0117882483011678,1.144800720796937
0.35000000000000003,1.0163415729829517,1.011788196930732,1.1448007419967543
0.36,1.0162453072836994,1.011788145568857,1.1448007631965662
0.37,1.0161509474577652,1.011788094215542,1.1448007843963726
0.38,1.016058455832132,1.0117880428707848,1.1448008055961738
0.39,1.0159677955683646,1.0117879915345844,1.14480082679597
0.4,1.0158789306626108,1.0117879402069394,1.1448008479957605
0.41000000000000003,1.0157918265959196,1.0117878888878484,1.144800869195546
0.42,1.0157064460794951,1.0117878375773097,1.144800890395326
0.43,1.0156227562017306,1.0117877862753222,1.1448009115951008
0.44,1.0155407234203377,1.0117877349818842,1.1448009327948703
0.45,1.0154603149899122,1.0117876836969943,1.1448009539946344
0.46,1.0153814989459224,1.0117876324206514,1.1448009751943933
0.47000000000000003,1.0153042439502362,1.0117875811528536,1.1448009963941468
0.48,1.0152285181924512,1.0117875298935999,1.144801017593895
0.49,1.0151542911788416,1.0117874786428886,1.144801038793638
0.5,1.015081533312651,1.0117874274007184,1.1448010599933756
0.51,1.01501021562622,1.011787376167088,1.144801081193108
0.52,1.0149403097614855,1.0117873249419955,1.144801102392835
0.53,1.0148717879504805,1.01178727372544,1.1448011235925568
0.54,1.014804622995832,1.01178722251742,1.1448011447922732
0.55,1.0147387882512608,1.0117871713179338,1.1448011659919843
0.56,1.01467425760208,1.0117871201269801,1.1448011871916903
0.5700000000000001,1.0146110054456943,1.0117870689445576,1.1448012083913908
0.58,1.0145490066720995,1.011787017770665,1.144801229591086
0.59,1.0144882366412085,1.0117869666053003,1.1448012507907759
0.6,1.0144286711215766,1.0117869154484627,1.1448012719904606
0.61,1.0143702863324073,1.0117868643001504,1.14480129319014
0.62,1.0143130589170963,1.0117868131603622,1.144801314389814
0.63,1.0142569659114655,1.0117867620290966,1.1448013355894828
0.64,1.014201984724132,1.011786710906352,1.1448013567891462
0.65,1.0141480931168771,1.0117866597921272,1.1448013779888044
0.66,1.0140952691850151,1.011786608686421,1.1448013991884571
0.67,1.0140434913377627,1.0117865575892313,1.1448014203881047
