t,M,T,BR
0.0,3.5,38.785,0.0
0.01,3.4999856242254928,38.78500363865529,0.0
0.02,3.4999714110865785,38.785007229276225,0.0
0.03,3.4999573588114354,38.7850107723986,0.0
0.04,3.4999434653960244,38.785014268628366,0.0
0.05,3.4999297299974934,38.78501771822012,0.0
0.06,3.499916150700095,38.78502112175301,0.0
0.07,3.499902725641677,38.78502447979007,0.0
0.08,3.499889452960089,38.78502779289431,0.0
0.09,3.4998763307931795,38.785031061628764,0.0
0.1,3.499863357278797,38.78503428655645,0.0
0.11,3.4998505305547907,38.785037468240404,0.0
0.12,3.4998378487590087,38.78504060724363,0.0
0.13,3.4998253100293,38.78504370412916,0.0
0.14,3.4998129125035136,38.785046759460016,0.0
0.15,3.4998006543194977,38.78504977379922,0.0
0.16,3.499788533776764,38.785052747660785,0.0
0.17,3.4997765504410085,38.785055681174846,0.0
0.18,3.499764703021077,38.78505857473131,0.0
0.19,3.4997529899475044,38.78506142880446,0.0
0.2,3.4997414096508264,38.78506424386859,0.0
0.21,3.499729960561579,38.78506702039798,0.0
0.22,3.499718641110297,38.78506975886693,0.0
0.23,3.4997074497275165,38.78507245974971,0.0
0.24,3.4996963848437725,38.78507512352063,0.0
0.25,3.499685444889601,38.78507775065395,0.0
0.26,3.499674628295537,38.785080341623974,0.0
0.27,3.499663933492117,38.78508289690498,0.0
0.28,3.499653359072108,38.78508541692203,0.0
0.29,3.4996429044649586,38.7850879018462,0.0
0.3,3.4996325684395235,38.78509035204909,0.0
0.31,3.4996223496270797,38.78509276794406,0.0
0.32,3.4996122466589044,38.78509514994447,0.0
0.33,3.499602258166275,38.785097498463664,0.0
0.34,3.4995923827804685,38.78509981391501,0.0
0.35000000000000003,3.4995826191327626,38.78510209671187,0.0
0.36,3.499572965854434,38.785104347267584,0.0
0.37,3.4995634215767604,38.78510656599552,0.0
0.38,3.499553984931019,38.78510875330903,0.0
0.39,3.4995446545484867,38.78511090962148,0.0
0.4,3.4995354390882194,38.785113032302924,0.0
0.41000000000000003,3.4995263153208693,38.785115128401124,0.0
0.42,3.499517295777181,38.78511719411113,0.0
0.43,3.4995083791187476,38.785119229837115,0.0
0.44,3.499499564021589,38.78512123597884,0.0
0.45,3.4994908491761496,38.785123212931715,0.0
0.46,3.4994822332872992,38.78512516108676,0.0
0.47000000000000003,3.499473715074334,38.78512708083062,0.0
0.48,3.4994652932709744,38.78512897254556,0.0
0.49,3.499456966625367,38.78513083660947,0.0
0.5,3.499448733900085,38.78513267339586,0.0
0.51,3.499440593872124,38.78513448327386,0.0
0.52,3.49943254548783,38.78513626656122,0.0
0.53,3.4994245880676647,38.78513802346216,0.0
0.54,3.499416720568559,38.78513975429123,0.0
0.55,3.499408941937459,38.785141459365974,0.0
0.56,3.4994012511410935,38.78514313899796,0.0
0.5700000000000001,3.499393647165978,38.78514479349274,0.0
0.58,3.499386129018414,38.78514642314987,0.0
0.59,3.4993786957244866,38.785148028262874,0.0
0.6,3.499371346330067,38.785149609119316,0.0
0.61,3.4993640799008117,38.78515116600072,0.0
0.62,3.499356895522162,38.785152699182625,0.0
0.63,3.499349792299345,38.78515420893456,0.0
0.64,3.4993427693573724,38.78515569552004,0.0
0.65,3.4993358258410416,38.78515715919659,0.0
0.66,3.4993289609149354,38.78515860021572,0.0
0.67,3.499322173763421,38.78516001882296,0.0
0.68,3.4993154635906514,38.78516141525779,0.0
0.6900000000000001,3.499308829620565,38.785162789753734,0.0
0.7000000000000001,3.499302271096885,38.78516414253828,0.0
0.71,3.4992957869400683,38.78516547393708,0.0
0.72,3.499289375919142,38.785166784321724,0.0
0.73,3.499283037207572,38.785168073941065,0.0
0.74,3.499276769993738,38.785169343039406,0.0
0.75,3.4992705734794582,38.785170591856975,0.0
0.76,3.4992644468799896,38.785171820629934,0.0
0.77,3.4992583894240266,38.785173029590354,0.0
0.78,3.4992524003537038,38.78517421896623,0.0
0.79,3.4992464789245927,38.7851753889815,0.0
0.8,3.4992406244057044,38.78517653985599,0.0
0.81,3.4992348360794883,38.78517767180547,0.0
0.8200000000000001,3.499229113241831,38.78517878504164,0.0
0.8300000000000001,3.4992234552020602,38.7851798797721,0.0
0.84,3.4992178612829394,38.785180956200385,0.0
0.85,3.4992123308206726,38.78518201452596,0.0
0.86,3.499206863164901,38.78518305494419,0.0
0.87,3.499201457678705,38.78518407764639,0.0
0.88,3.499196113738603,38.78518508281978,0.0
0.89,3.4991908307244906,38.78518607065056,0.0
0.9,3.4991856076319676,38.78518704144161,0.0
0.91,3.4991804435936635,38.7851879954542,0.0
0.92,3.4991753379375212,38.78518893289033,0.0
0.93,3.4991702899999155,38.785189853949404,0.0
0.9400000000000001,3.4991652991256514,38.78519075882831,0.0
0.9500000000000001,3.4991603646679663,38.785191647721334,0.0
0.96,3.499155485988529,38.78519252082025,0.0
0.97,3.499150662457439,38.78519337831425,0.0
0.98,3.499145893453228,38.78519422038996,0.0
0.99,3.4991411783628585,38.78519504723148,0.0
1.0,3.4991365165817245,38.78519585902032,0.0
1.01,3.499131907513652,38.78519665593545,0.0
1.02,3.4991273505708977,38.78519743815328,0.0
1.03,3.4991228451741496,38.785198205847664,0.0
1.04,3.4991183907525274,38.78519895918989,0.0
1.05,3.4991139867435828,38.7851996983487,0.0
1.06,3.4991096325932975,38.785200423490274,0.0
1.07,3.4991053277560864,38.785201134778234,0.0
1.08,3.4991010716802546,38.78520183237806,0.0
1.09,3.499096863712188,38.785202516486194,0.0
1.1,3.49909270328207,38.785203187273616,0.0
1.11,3.4990885898511164,38.78520384490191,0.0
1.12,3.4990845228876757,38.78520448953048,0.0
1.1300000000000001,3.499080501867224,38.78520512131656,0.0
1.1400000000000001,3.499076526272369,38.78520574041525,0.0
1.1500000000000001,3.499072595592847,38.78520634697946,0.0
1.16,3.499068709325525,38.785206941159956,0.0
1.17,3.4990648669743982,38.78520752310533,0.0
1.18,3.499061068050594,38.78520809296202,0.0
1.19,3.499057312072368,38.7852086508743,0.0
1.2,3.499053598565106,38.78520919698429,0.0
1.21,3.4990499270613236,38.78520973143193,0.0
1.22,3.499046297100666,38.78521025435501,0.0
1.23,3.499042708229909,38.78521076588915,0.0
1.24,3.499039160002958,38.78521126616781,0.0
1.25,3.499035651980847,38.785211755322315,0.0
1.26,3.4990321837317415,38.785212233481786,0.0
1.27,3.4990287560209206,38.785212700411805,0.0
1.28,3.4990253655274914,38.785213157118925,0.0
1.29,3.499022013402351,38.78521360325163,0.0
1.3,3.4990186992016143,38.78521403894271,0.0
1.31,3.499015422488324,38.7852144643229,0.0
1.32,3.499012182832368,38.78521487952082,0.0
