t,Gi,G6P,FBP,ADP,Ca,v,n,Caer,I
0.0,6.0637,525.97,0.2088,537.6,0.05626,-66.7,0.00012,121.8,0.316
0.01,6.063685057683249,525.9700119340517,0.20880019042688078,537.5989056728737,0.056259997219173075,-66.69999711570242,0.00011999483163350418,121.79999428128126,0.31599988274244983
0.02,6.063670182426241,525.9700238680208,0.20880038084468258,537.5978113473841,0.0562599944385617,-66.69999422753853,0.00011998967215398665,121.7999885625626,0.3159997654849391
0.03,6.063655373939381,525.9700358019076,0.2088005712534054,537.5967170235315,0.05625999165816606,-66.69999133550934,0.00011998452154704213,121.79998284384403,0.31599964822746773
0.04,6.063640631891186,525.9700477357126,0.2088007616530492,537.595622701316,0.05625998887798641,-66.699988439616,0.00011997937979609741,121.79997712512558,0.31599953097003586
0.05,6.063625956120559,525.9700596694361,0.20880095204361404,537.5945283807374,0.05625998609802286,-66.69998553985916,0.00011997424689260474,121.79997140640721,0.31599941371264345
0.06,6.063611346301588,525.9700716030784,0.20880114242509995,537.593434061796,0.05625998331827565,-66.69998263623992,0.00011996912282006112,121.79996568768894,0.3159992964552905
0.07,6.063596802123224,525.97008353664,0.2088013327975069,537.5923397444916,0.05625998053874501,-66.69997972875942,0.0001199640075628424,121.79995996897077,0.3159991791979771
0.08,6.063582323274421,525.9700954701214,0.20880152316083495,537.5912454288243,0.05625997775943116,-66.69997681741873,0.00011995890110532444,121.7999542502527,0.31599906194070315
0.09,6.063567909444128,525.9701074035228,0.20880171351508411,537.5901511147943,0.056259974980334325,-66.69997390221896,0.0001199538034318831,121.79994853153471,0.3159989446834687
0.1,6.063553560321297,525.9701193368447,0.2088019038602544,537.5890568024014,0.056259972201454726,-66.6999709831612,0.00011994871452689419,121.79994281281684,0.3159988274262737
0.11,6.06353927559488,525.9701312700878,0.20880209419634582,537.5879624916458,0.05625996942279259,-66.69996806024653,0.0001199436343747336,121.79993709409905,0.3159987101691183
0.12,6.0635250549538275,525.9701432032521,0.20880228452335842,537.5868681825275,0.056259966644348146,-66.69996513347607,0.00011993856295977716,121.79993137538136,0.31599859291200233
0.13,6.063510898087092,525.9701551363382,0.20880247484129216,537.5857738750466,0.0562599638661216,-66.69996220285088,0.00011993350026640072,121.79992565666377,0.31599847565492595
0.14,6.063496804683624,525.9701670693466,0.20880266515014712,537.584679569203,0.056259961088113195,-66.6999592683721,0.00011992844627898013,121.7999199379463,0.3159983583978891
0.15,6.063482774432377,525.9701790022777,0.2088028554499233,537.5835852649968,0.05625995831032314,-66.69995633004078,0.00011992340098189124,121.79991421922891,0.3159982411408917
0.16,6.063468807023822,525.9701909351319,0.20880304574062072,537.5824909624282,0.05625995553275167,-66.69995338785805,0.00011991836435956329,121.7999085005116,0.3159981238839339
0.17,6.06345490226256,525.9702028679093,0.20880323602223938,537.581396661497,0.05625995275539896,-66.69995044182473,0.00011991333640043072,121.79990278179443,0.31599800662701566
0.18,6.063441059930337,525.9702148006104,0.2088034262947793,537.5803023622034,0.05625994997826519,-66.69994749194173,0.00011990831709212605,121.79989706307734,0.3159978893701369
0.19,6.063427279745131,525.9702267332354,0.2088036165582405,537.5792080645473,0.05625994720135057,-66.69994453821009,0.00011990330642004372,121.79989134436035,0.31599777211329777
0.2,6.063413561424918,525.970238665785,0.208803806812623,537.5781137685287,0.05625994442465533,-66.69994158063083,0.00011989830436957819,121.79988562564347,0.31599765485649817
0.21,6.063399904687673,525.9702505982592,0.20880399705792682,537.577019474148,0.05625994164817967,-66.699938619205,0.00011989331092612388,121.79987990692668,0.31599753759973814
0.22,6.063386309251372,525.9702625306587,0.20880418729415198,537.5759251814048,0.0562599388719238,-66.69993565393362,0.00011988832607507524,121.79987418821,0.3159974203430177
0.23,6.063372774833991,525.9702744629836,0.20880437752129846,537.5748308902994,0.05625993609588794,-66.69993268481772,0.00011988334980182674,121.79986846949342,0.31599730308633683
0.24,6.063359301153507,525.9702863952346,0.20880456773936634,537.5737366008317,0.05625993332007229,-66.69992971185836,0.00011987838209177279,121.79986275077692,0.31599718582969555
0.25,6.063345887927895,525.9702983274117,0.20880475794835557,537.5726423130019,0.05625993054447708,-66.69992673505655,0.00011987342293030786,121.79985703206056,0.3159970685730939
0.26,6.063332534875132,525.9703102595156,0.20880494814826622,537.5715480268099,0.05625992776910251,-66.69992375441333,0.0001198684723028264,121.79985131334428,0.31599695131653177
0.27,6.063319241713192,525.9703221915465,0.2088051383390983,537.5704537422557,0.056259924993948794,-66.69992076992973,0.00011986353019472284,121.7998455946281,0.31599683406000934
0.28,6.063306008160052,525.9703341235049,0.20880532852085182,537.5693594593395,0.05625992221901615,-66.69991778160679,0.00011985859659139163,121.79983987591203,0.3159967168035264
0.29,6.063292833974839,525.970346055391,0.20880551869352676,537.5682651780613,0.05625991944430478,-66.6999147894455,0.00011985367147904433,121.79983415719606,0.3159965995470832
0.3,6.0632797189398655,525.9703579872053,0.2088057088571232,537.5671708984211,0.05625991666981489,-66.69991179344687,0.00011984875484435298,121.7998284384802,0.3159964822906796
0.31,6.063266662788426,525.9703699189479,0.20880589901164112,537.5660766204188,0.0562599138955467,-66.69990879361193,0.00011984384667301617,121.79982271976444,0.3159963650343156
0.32,6.063253665253546,525.9703818506193,0.20880608915708054,537.5649823440546,0.056259911121500424,-66.69990578994168,0.00011983894695072721,121.79981700104878,0.31599624777799123
0.33,6.06324072606825,525.97039378222,0.20880627929344148,537.5638880693285,0.05625990834767627,-66.69990278243716,0.00011983405566317935,121.79981128233322,0.31599613052170655
0.34,6.063227844965565,525.97040571375,0.20880646942072398,537.5627937962406,0.05625990557407444,-66.6998997710994,0.00011982917279606593,121.79980556361778,0.31599601326546145
0.35000000000000003,6.063215021678517,525.97041764521,0.20880665953892802,537.5616995247909,0.05625990280069515,-66.6998967559294,0.0001198242983350802,121.79979984490244,0.31599589600925604
0.36,6.063202255940131,525.9704295766002,0.20880684964805366,537.5606052549794,0.05625990002753862,-66.6998937369282,0.00011981943226591547,121.7997941261872,0.3159957787530903
0.37,6.063189547483433,525.9704415079209,0.20880703974810086,537.5595109868061,0.056259897254605055,-66.69989071409684,0.00011981457457426504,121.79978840747206,0.31599566149696423
0.38,6.0631768960414485,525.9704534391727,0.20880722983906969,537.5584167202712,0.05625989448189467,-66.6998876874363,0.00011980972524582218,121.79978268875703,0.31599554424087783
0.39,6.063164301347203,525.9704653703558,0.20880741992096014,537.5573224553746,0.056259891709407664,-66.69988465694765,0.00011980488426628019,121.79977697004212,0.31599542698483113
0.4,6.063151763133723,525.9704773014705,0.20880760999377224,537.5562281921164,0.056259888937144266,-66.69988162263188,0.00011980005162133237,121.7997712513273,0.31599530972882406
