t,NAE,KTOT,VIC,VTW
0.0,2109.91,3622.54,25.0404,39.8952
0.01,2109.910017732,3622.5399956260003,25.040399775579786,39.89519991838001
0.02,2109.910035464,3622.539991252,25.040399551288328,39.895199836760014
0.03,2109.910053196,3622.5399868780005,25.04039932712543,39.89519975514002
0.04,2109.9100709279996,3622.5399825040004,25.040399103090888,39.89519967352002
0.05,2109.91008866,3622.5399781300002,25.040398879184576,39.89519959190002
0.06,2109.9101063919998,3622.5399737560006,25.040398655406285,39.895199510280015
0.07,2109.9101241239996,3622.5399693820004,25.04039843175581,39.895199428660014
0.08,2109.910141856,3622.5399650080003,25.040398208232947,39.89519934704001
0.09,2109.9101595879997,3622.5399606340006,25.040397984837487,39.89519926542002
0.1,2109.9101773199995,3622.5399562600005,25.04039776156923,39.89519918380002
0.11,2109.910195052,3622.5399518860004,25.04039753842797,39.895199102180015
0.12,2109.9102127839997,3622.5399475120003,25.040397315413504,39.895199020560014
0.13,2109.9102305159995,3622.5399431380006,25.040397092525623,39.89519893894001
0.14,2109.910248248,3622.5399387640005,25.040396869764123,39.89519885732002
0.15,2109.9102659799996,3622.5399343900003,25.040396647128805,39.89519877570002
0.16,2109.9102837119995,3622.5399300160007,25.04039642461946,39.895198694080015
0.17,2109.9103014439997,3622.5399256420005,25.040396202235936,39.895198612460014
0.18,2109.9103191759996,3622.5399212680004,25.04039597997807,39.89519853084001
0.19,2109.9103369079994,3622.5399168940007,25.04039575784567,39.89519844922001
0.2,2109.9103546399997,3622.5399125200006,25.04039553583854,39.89519836760002
0.21,2109.9103723719995,3622.5399081460005,25.040395313956495,39.895198285980015
0.22,2109.9103901039994,3622.539903772001,25.040395092199343,39.895198204360014
0.23,2109.9104078359996,3622.5398993980007,25.04039487056689,39.89519812274001
0.24,2109.9104255679995,3622.5398950240005,25.04039464905894,39.89519804112001
0.25,2109.9104432999998,3622.5398906500004,25.04039442767531,39.89519795950002
0.26,2109.9104610319996,3622.5398862760007,25.0403942064158,39.895197877880015
0.27,2109.9104787639994,3622.5398819020006,25.040393985280225,39.895197796260014
0.28,2109.9104964959997,3622.5398775280005,25.04039376426839,39.89519771464001
0.29,2109.9105142279996,3622.539873154001,25.040393543380112,39.89519763302001
0.3,2109.9105319599994,3622.5398687800007,25.040393322615216,39.89519755140002
0.31,2109.910549691999,3622.5398644060006,25.040393101973514,39.895197469780015
0.32,2109.9105674239995,3622.539860032001,25.040392881454817,39.895197388160014
0.33,2109.9105851559993,3622.5398556580008,25.040392661058934,39.89519730654001
0.34,2109.910602887999,3622.5398512840006,25.040392440785684,39.89519722492001
0.35000000000000003,2109.9106206199995,3622.539846910001,25.040392220634875,39.89519714330002
0.36,2109.9106383519993,3622.539842536001,25.040392000606314,39.895197061680015
0.37,2109.9106560839996,3622.5398381620007,25.04039178069982,39.895196980060014
0.38,2109.9106738159994,3622.5398337880006,25.0403915609152,39.89519689844001
0.39,2109.9106915479992,3622.539829414001,25.04039134125227,39.89519681682001
0.4,2109.9107092799995,3622.539825040001,25.040391121710837,39.89519673520002
0.41000000000000003,2109.9107270119994,3622.539820666001,25.04039090229093,39.895196653580015
0.42,2109.910744743999,3622.539816292001,25.040390682991898,39.895196571960014
0.43,2109.910762475999,3622.539811918001,25.040390463813843,39.89519649034001
0.44,2109.9107802079993,3622.5398075440007,25.040390244756576,39.89519640872001
0.45,2109.910797939999,3622.539803170001,25.040390025819917,39.89519632710001
0.46,2109.910815671999,3622.539798796001,25.04038980700367,39.895196245480015
0.47000000000000003,2109.9108334039993,3622.539794422001,25.040389588307654,39.895196163860014
0.48,2109.910851135999,3622.5397900480007,25.040389369731678,39.89519608224001
0.49,2109.9108688679994,3622.539785674001,25.040389151275562,39.89519600062001
0.5,2109.9108865999992,3622.539781300001,25.040388932939113,39.89519591900001
0.51,2109.910904331999,3622.5397769260007,25.040388714722148,39.895195837380015
0.52,2109.9109220639994,3622.539772552001,25.040388496624487,39.895195755760014
0.53,2109.910939795999,3622.539768178001,25.040388278645946,39.89519567414001
0.54,2109.9109575279995,3622.5397638040013,25.040388060786384,39.89519559252001
0.55,2109.9109752599993,3622.539759430001,25.04038784304563,39.89519551090001
0.56,2109.910992991999,3622.539755056001,25.040387625423495,39.89519542928001
0.5700000000000001,2109.9110107239994,3622.539750682001,25.040387407919802,39.89519534766001
0.58,2109.9110284559993,3622.539746308001,25.040387190534364,39.89519526604001
0.59,2109.9110461879995,3622.539741934001,25.040386973267,39.89519518442001
0.6,2109.9110639199994,3622.539737560001,25.040386756117535,39.89519510280001
0.61,2109.911081651999,3622.5397331860013,25.040386539085777,39.89519502118001
0.62,2109.9110993839995,3622.539728812001,25.040386322171553,39.89519493956001
0.63,2109.9111171159993,3622.539724438001,25.040386105374683,39.89519485794001
0.64,2109.911134847999,3622.539720064001,25.04038588869498,39.89519477632001
0.65,2109.9111525799995,3622.5397156900012,25.040385672132267,39.89519469470001
0.66,2109.9111703119993,3622.539711316001,25.04038545568637,39.89519461308001
0.67,2109.911188043999,3622.539706942001,25.040385239357096,39.89519453146001
0.68,2109.9112057759994,3622.5397025680013,25.04038502314428,39.89519444984001
0.6900000000000001,2109.9112235079992,3622.539698194001,25.040384807047737,39.89519436822001
0.7000000000000001,2109.9112412399995,3622.539693820001,25.040384591067287,39.89519428660001
0.71,2109.9112589719994,3622.539689446001,25.040384375202752,39.89519420498001
0.72,2109.911276703999,3622.5396850720012,25.040384159453957,39.89519412336001
0.73,2109.9112944359995,3622.539680698001,25.04038394382072,39.89519404174001
0.74,2109.9113121679993,3622.539676324001,25.040383728302867,39.89519396012001
0.75,2109.911329899999,3622.539671950001,25.04038351290022,39.89519387850001
0.76,2109.9113476319994,3622.539667576001,25.040383297612603,39.89519379688001
0.77,2109.9113653639993,3622.539663202001,25.04038308243984,39.89519371526001
0.78,2109.9113830959996,3622.539658828001,25.040382867381748,39.89519363364001
0.79,2109.9114008279994,3622.5396544540013,25.04038265243816,39.89519355202001
0.8,2109.911418559999,3622.539650080001,25.040382437608898,39.89519347040001
0.81,2109.9114362919995,3622.539645706001,25.040382222893783,39.89519338878001
