t,Y,Z,Wstar
0.0,1.7,0.26,0.37
0.01,1.7096045754660472,0.26132867161559986,0.36425356799412306
0.02,1.7191107825218725,0.2626245656567232,0.35860455842852124
0.03,1.7285123809287255,0.263896738284738,0.35305114686034395
0.04,1.7378040256128007,0.26515252425605396,0.34759204968526586
0.05,1.7469810388701115,0.26639792451678634,0.3422264181346986
0.06,1.7560392303445231,0.2676379150895874,0.33695375270678046
0.07,1.7649747765954926,0.26887664712376436,0.33177384989867703
0.08,1.7737841170278406,0.270117624147394,0.3266867532794176
0.09,1.7824638659386123,0.2713638499648432,0.32169271311285685
0.1,1.791010720921576,0.27261797942530347,0.31679214630773417
0.11,1.7994214501186538,0.2738823302509455,0.31198563615329644
0.12,1.8076928148005404,0.2751590098817343,0.30727389853666237
0.13,1.8158215322786433,0.2764499692179538,0.3026577697669313
0.14,1.823804239390294,0.27775705284680274,0.2981381961927419
0.15,1.8316374612563715,0.27908203302148193,0.29371623087889986
0.16,1.8393175771699126,0.2804266524962542,0.2893930262704676
0.17,1.8468407882048816,0.2817926609710153,0.2851698299043361
0.18,1.8542030885218368,0.2831818356676986,0.2810479876567055
0.19,1.8614002305732664,0.28459601684632685,0.2770289414186001
0.2,1.8684276914091322,0.2860371308784175,0.273114233761966
0.21,1.875280633568701,0.2875072205177677,0.2693055113674145
0.22,1.8819538661385802,0.2890084720161367,0.2656045303084791
0.23,1.8884417937676314,0.29054324701928885,0.26201316556411913
0.24,1.8947383694323354,0.29211411455790937,0.2585334182450486
0.25,1.9008370280786515,0.2937238910998519,0.2551674292539395
0.26,1.9067306129561372,0.29537568649734464,0.2519174937609074
0.27,1.9124113120055983,0.29707294346975466,0.24878607360043403
0.28,1.917870554518118,0.29881950175328553,0.24577581837087498
0.29,1.9230988652922836,0.30061968665866573,0.2428895970030611
0.3,1.928085812992455,0.30247834310301486,0.2401305063990155
0.31,1.9328197345855074,0.3044010087113004,0.23750192918826507
0.32,1.9372876131639472,0.3063939906115716,0.2350075585621875
0.33,1.9414748258135714,0.30846452598627344,0.23265145004201795
0.34,1.9453648574498141,0.31062097124822124,0.230438075972606
0.35000000000000003,1.9489388912665622,0.3128730742647109,0.22837240363203146
0.36,1.952175386033161,0.31523225359743673,0.22645997726668812
0.37,1.9550494829762217,0.31771200412295264,0.22470702531578035
0.38,1.957532285927313,0.3203283929056721,0.2231205888815659
0.39,1.959589812915406,0.3231007948394828,0.22170870158667766
0.4,1.9611817731134662,0.32605275984157167,0.22048059448755133
0.41000000000000003,1.962259841977587,0.3292132594520516,0.21944697130553817
0.42,1.962765344320475,0.33261838556787954,0.21862036409035493
0.43,1.9626259231389227,0.3363138318073338,0.21801562194929747
0.44,1.9617510414166408,0.3403582980511466,0.21765053887966457
0.45,1.9600252400029299,0.34482867852386356,0.21754674377104283
0.46,1.9572980890775704,0.3498279195943449,0.21773095192106862
0.47000000000000003,1.9533687627926661,0.35549729052493534,0.21823676035214
0.48,1.947961024386319,0.36203662091084843,0.21910735504337042
0.49,1.9406813532502318,0.3697387737121847,0.22039968120474812
0.5,1.930944113792402,0.3790523481149732,0.22219123223337797
0.51,1.9178288318332166,0.3907034563202815,0.22459167426795829
0.52,1.8997822502250263,0.40595467610908537,0.22776424446748625
0.53,1.8739199023821216,0.4272236513344703,0.23196890127833286
0.54,1.8341051797248598,0.4598176247796976,0.2376609179881984
0.55,1.7643170064305012,0.5180395928805926,0.24575970764227317
0.56,1.6079530688099726,0.6539275516167645,0.2585828531102563
0.5700000000000001,1.2009489245883134,1.016535715339606,0.2827833239566071
0.58,0.8397000424705529,1.2962735223013038,0.32193039596586986
0.59,0.7177127472017113,1.3230847563812036,0.3657687851242459
0.6,0.6803891950434395,1.2675679421687611,0.40866355751683037
0.61,0.669139129503967,1.192745781980268,0.44907058635487745
0.62,0.667662125536348,1.1158046658273,0.4865934218267877
0.63,0.6716177631136557,1.0410305868821095,0.5211478091311841
0.64,0.6801263183882678,0.9690405324889322,0.552726205349147
0.65,0.6934012999065418,0.8993615886157604,0.581324572470186
0.66,0.7120538540454457,0.8311903738641543,0.6069159770764118
0.67,0.7368245854583386,0.7636784476908264,0.6294394383125183
0.68,0.7683358116268524,0.6961731125834926,0.64879792117506
0.6900000000000001,0.8066818939920956,0.6285902964841257,0.6648705146314324
0.7000000000000001,0.8508630860108406,0.5618995826547006,0.6775495621750985
0.71,0.8984480267926976,0.4983407121163922,0.6868065609905147
0.72,0.9460739053273562,0.4408186632700969,0.6927622845817952
0.73,0.9907045457025038,0.39164053647667824,0.695711348039728
0.74,1.030611765003827,0.35164501805886644,0.696077158132281
0.75,1.0654223747730003,0.32030440431579144,0.6943299286524455
0.76,1.0955983649762242,0.296351134621389,0.6909164775541056
0.77,1.121920562473344,0.27833815108474175,0.6862225888675431
0.78,1.1451866560735757,0.264941604870926,0.6805626506922635
0.79,1.1660869857432086,0.2550662965419054,0.6741842369908141
0.8,1.1851758465493643,0.24785072161940014,0.6672784467339221
0.81,1.202882015513683,0.24263465004775323,0.6599910751873685
0.8200000000000001,1.219530937988255,0.23891882815395693,0.6524326103927571
0.8300000000000001,1.2353672261801818,0.2363282679570073,0.6446864682923129
0.84,1.2505738528705979,0.23458218753695073,0.6368155030987874
0.85,1.2652873689022368,0.2334705934824506,0.6288670379538915
0.86,1.2796095707008743,0.23283647435851454,0.6208766982926428
0.87,1.2936163245462304,0.23256237220175552,0.6128713222048964
0.88,1.3073641603118658,0.23256036304733674,0.6048711477843266
0.89,1.3208951942526457,0.23276457296574932,0.5968914599536288
0.9,1.33424079389773,0.23312560054377304,0.588943826704811
0.91,1.347424305453502,0.2336063600654969,0.5810370265541408
0.92,1.360463080977881,0.23417898629855574,0.5731777434905587
0.93,1.373369993209815,0.23482251707543766,0.5653710900897411
0.9400000000000001,1.3861545579216303,0.2355211725010275,0.5576209981105538
0.9500000000000001,1.3988237742155818,0.23626306344734715,0.549930513135011
0.96,1.4113827502051153,0.23703922738461083,0.5423020156303514
0.97,1.4238351700180727,0.23784290670041663,0.5347373872065707
0.98,1.4361836432353683,0.23866900694955492,0.5272381360553469
0.99,1.4484299656987805,0.23951369114451307,0.5198054913374905
1.0,1.460575315490348,0.24037407369513167,0.512440474758908
1.01,1.4726203968767138,0.2412479945217204,0.505143953712083
1.02,1.4845655539038196,0.2421338400329501,0.4979166836011388
1.03,1.4964108502833766,0.24303041634720718,0.49075933803027066
1.04,1.5081561301453177,0.2439368522904757,0.4836725320295798
1.05,1.5198010649816693,0.24485252361190127,0.476656840440348
1.06,1.5313451884859277,0.24577699612608578,0.46971281184329194
1.07,1.5427879210583706,0.24670998506887554,0.46284097864871676
