t,G,I
0.0,150.0,5.0
0.01,150.8254943235988,5.001964894879361
0.02,151.65047141552958,5.003929579525793
0.03,152.47493165621103,5.005894053960941
0.04,153.298875483403,5.007858318209779
0.05,154.12230312352617,5.0098223722856225
0.06,154.94521501275923,5.011786216213523
0.07,155.76761156390245,5.01374985001709
0.08,156.58949318975613,5.015713273719934
0.09,157.4108603031205,5.017676487345663
0.1,158.2317133167959,5.019639490917887
0.11,159.05205264358256,5.021602284460218
0.12,159.87187869628073,5.023564867996263
0.13,160.69119188769076,5.025527241549632
0.14,161.50999263061286,5.027489405143936
0.15,162.3282813378473,5.029451358802784
0.16,163.1460584208156,5.031413102549726
0.17,163.96332418786295,5.033374636403783
0.18,164.78007896802995,5.035335960384889
0.19,165.59632314790912,5.037297074515503
0.2,166.41205711409302,5.039257978818084
0.21,167.2272812531742,5.04121867331509
0.22,168.04199595174526,5.04317915802898
0.23,168.8562015963987,5.045139432982215
0.24,169.66989857372712,5.047099498197253
0.25,170.48308727032307,5.049059353696552
0.26,171.29576807277905,5.051018999502571
0.27,172.1079413676877,5.052978435637771
0.28,172.9196075416415,5.054937662124609
0.29,173.73076696173285,5.056896678985465
0.3,174.54141998410753,5.058855486242673
0.31,175.35156698810763,5.060814083918662
0.32,176.16120835320046,5.062772472035863
0.33,176.97034445885328,5.064730650616704
0.34,177.77897568453335,5.066688619683616
0.35000000000000003,178.587102409708,5.068646379259029
0.36,179.39472501384446,5.0706039293653715
0.37,180.20184387641004,5.072561270025075
0.38,181.00845937687203,5.074518401260567
0.39,181.8145718946977,5.0764753230942805
0.4,182.62018180935434,5.0784320355486425
0.41000000000000003,183.42528907661813,5.0803885386442955
0.42,184.22989499230636,5.0823448324075375
0.43,185.03399935772163,5.084300916858357
0.44,185.83760255107208,5.08625679201918
0.45,186.64070494999805,5.088212457912427
0.46,187.4433069315719,5.090167914560518
0.47000000000000003,188.24540887229816,5.09212316198587
0.48,189.04701114811337,5.094078200210899
0.49,189.84811413438626,5.096033029258016
0.5,190.64871820591765,5.0979876491496325
0.51,191.4488237369404,5.099942059908155
0.52,192.2484311011195,5.10189626155599
0.53,193.04754066644747,5.1038502541155175
0.54,193.84615277440324,5.105804037608998
0.55,194.6442677880127,5.107757612058791
0.56,195.44188607411132,5.10971097748727
0.5700000000000001,196.23900799881054,5.111664133916809
0.58,197.035633927498,5.113617081369778
0.59,197.83176422483737,5.11556981986854
0.6,198.62739925476842,5.11752234943546
0.61,199.42253938050698,5.119474670092899
0.62,200.21718496454503,5.12142678186321
0.63,201.01133636865057,5.123378684768751
0.64,201.80499395386778,5.125330378831869
0.65,202.59815808051678,5.127281864074914
0.66,203.39082910819388,5.1292331405202285
0.67,204.1830073957715,5.131184208190155
0.68,204.9746933013981,5.133135067107031
0.6900000000000001,205.7658871824982,5.135085717293192
0.7000000000000001,206.55658939577248,5.137036158770971
0.71,207.34680029719763,5.138986391562694
0.72,208.1365202420265,5.140936415690691
0.73,208.92574958478798,5.142886231177281
0.74,209.7144886792871,5.144835838044784
0.75,210.50273787860485,5.1467852363155195
0.76,211.29049753509844,5.1487344260117975
0.77,212.07776800040116,5.15068340715593
0.78,212.8645496254223,5.152632179770225
0.79,213.65084276034733,5.154580743876985
0.8,214.43664775588508,5.156529099498515
0.81,215.22196498068845,5.158477246657175
0.8200000000000001,216.00679479201068,5.160425185375288
0.8300000000000001,216.79113754025644,5.162372915675153
0.84,217.57499357521388,5.164320437579071
0.85,218.35836324605455,5.166267751109337
0.86,219.14124690133357,5.168214856288244
0.87,219.9236448889894,5.170161753138082
0.88,220.70555755634402,5.1721084416811385
0.89,221.48698525010286,5.174054921939698
0.9,222.2679283163548,5.176001193936043
0.91,223.0483871005722,5.177947257692452
0.92,223.82836194761086,5.179893113231201
0.93,224.60785320171007,5.181838760574566
0.9400000000000001,225.3868612064925,5.183784199744815
0.9500000000000001,226.16538630496441,5.1857294307642166
0.96,226.9434288395154,5.187674453655037
0.97,227.7209891519186,5.1896192684395395
0.98,228.49806758333057,5.191563875139981
0.99,229.2746644742913,5.193508273778622
1.0,230.05078016472433,5.195452464377714
1.01,230.82641499393657,5.197396446959509
1.02,231.60156930061842,5.199340221546257
1.03,232.37624342284377,5.201283788160202
1.04,233.1504376980699,5.20322714682359
1.05,233.92415246313766,5.205170297558658
1.06,234.69738805427124,5.2071132403876454
1.07,235.47014480722962,5.209055975332787
1.08,236.24242307549451,5.210998502416375
1.09,237.01422320860988,5.212940821660684
1.1,237.7855455438457,5.214882933087953
1.11,238.55639041797735,5.216824836720417
1.12,239.32675816728565,5.218766532580309
1.1300000000000001,240.0966491275567,5.220708020689859
1.1400000000000001,240.86606363408205,5.2226493010712955
1.1500000000000001,241.6350020216586,5.224590373746844
1.16,242.40346462458862,5.226531238738728
1.17,243.17145177667985,5.228471896069168
1.18,243.93896381124523,5.230412345760383
1.19,244.70600106110328,5.23235258783459
