t,T,I,E
0.0,1.0,1.0,1.0
0.01,1.0998845259458048,0.9965167087620267,0.9994548696785329
0.02,1.199758106754443,0.9930468142500939,0.9989103873626225
0.03,1.2996207501153976,0.9895902626240838,0.9983665519061137
0.04,1.3994724648137407,0.9861469923217022,0.9978233619918727
0.05,1.499313255786497,0.982716968618848,0.997280816864456
0.06,1.5991431325334848,0.979300124854787,0.9967389150887945
0.07,1.6989621041095906,0.9758963975142695,0.9961976552998232
0.08,1.7987701795073459,0.9725057235132449,0.9956570361407373
0.09,1.8985673655657438,0.969128054660003,0.995117056540006
0.1,1.998353669259917,0.9657633418213867,0.9945777154080644
0.11,2.0981290983144065,0.962411530681868,0.9940390115560753
0.12,2.1978936604527464,0.9590725669320134,0.993500943795207
0.13,2.297647363172932,0.9557463976281443,0.9929635109378242
0.14,2.397390213913847,0.952432970184531,0.9924267117966051
0.15,2.497122220236752,0.9491322312743891,0.9918905451835789
0.16,2.5968433897029084,0.9458441275709341,0.9913550099107749
0.17,2.6965537295380453,0.9425686078005782,0.9908201047921338
0.18,2.7962532474548714,0.93930561770979,0.9902858286388222
0.19,2.8959419504633015,0.9360551073456042,0.9897521802660108
0.2,2.995619846030256,0.9328170239585326,0.9892191584862662
0.21,3.0952869414825095,0.9295913156627144,0.9886867621129974
0.22,3.1949432439482397,0.9263779317971049,0.9881549899608136
0.23,3.2945887606557953,0.9231768210793982,0.9876238408436934
0.24,3.3942234987874933,0.919987932509426,0.987093313575881
0.25,3.493847465474739,0.9168112153992879,0.9865634069719164
0.26,3.5934606677980265,0.9136466193733518,0.9860341198466345
0.27,3.693063112786941,0.9104940943682536,0.9855054510151657
0.28,3.792654807420156,0.9073535906328978,0.984977399292936
0.29,3.892235758654634,0.9042250585557341,0.984449963495582
0.3,3.9918059735420415,0.9011084479762392,0.9839231424386132
0.31,4.091365459001325,0.898003709530008,0.9833969349380718
0.32,4.190914221890675,0.8949107942231398,0.982871339810324
0.33,4.29045226902544,0.8918296533262993,0.982346355872008
0.34,4.3899796071781205,0.888760238374717,0.9818219819400341
0.35000000000000003,4.48949624307837,0.8857025011681885,0.9812982168315844
0.36,4.589002183412998,0.8826563937710754,0.980775059364113
0.37,4.688497434833469,0.879621868467637,0.9802525083553313
0.38,4.787982004093857,0.8765988769401796,0.9797305626229327
0.39,4.887455897869331,0.8735873713504094,0.9792092209849547
0.4,4.986919122756647,0.8705873043364691,0.9786884822597773
0.41000000000000003,5.086371685317809,0.86759862875284,0.9781683452660369
0.42,5.185813592080075,0.8646212976703419,0.9776488088226252
0.43,5.28524484953595,0.8616552643761336,0.9771298717486899
0.44,5.38466546414319,0.8587004823737124,0.9766115328636349
0.45,5.484075442324806,0.8557569053828937,0.9760937909871198
0.46,5.583474790490041,0.8528244872323447,0.975576644939264
0.47000000000000003,5.682863515021881,0.8499031819235854,0.9750600935405256
0.48,5.782241622254626,0.8469929437458577,0.9745441356114827
0.49,5.88160911848941,0.8440937271966021,0.974028769972985
0.5,5.980966009994214,0.841205486981459,0.9735139954461537
0.51,6.080312303003852,0.8383281780142671,0.9729998108523809
0.52,6.179648003719982,0.8354617554170639,0.9724862150133301
0.53,6.278973118311096,0.8326061745200866,0.9719732067509365
0.54,6.378287652886497,0.8297613909999563,0.9714607848870597
0.55,6.477591613673067,0.8269273599413032,0.9709489482458372
0.56,6.576885006691427,0.8241040375558473,0.970437695649374
0.5700000000000001,6.67616783799669,0.8212913799043656,0.9699270259209466
0.58,6.775440113611312,0.8184893432531601,0.9694169378841097
0.59,6.87470183952528,0.8156978840730845,0.9689074303626983
0.6,6.9739530216962855,0.8129169590385719,0.9683985021808308
