t,VPF1,PPR1
0.0,0.0123238,0.419998
0.01,0.012329102630881543,0.4199983244673353
0.02,0.012334356509730108,0.41999818577972126
0.03,0.0123395620647646,0.41999758901861417
0.04,0.012344719783452288,0.41999653995646974
0.05,0.012349829911234724,0.4199950414609681
0.06,0.012354892942146003,0.41999309936085266
0.07,0.012359909348184362,0.41999071923362385
0.08,0.012364879601348043,0.4199879066567821
0.09,0.012369804173635288,0.41998466720782784
0.1,0.012374683537044339,0.41998100646426145
0.11,0.012379518120465024,0.41997692946473836
0.12,0.01238430818989761,0.41997243921183197
0.13,0.01238905413278936,0.4199675402261753
0.14,0.012393756353986925,0.4199622372458894
0.15,0.012398415258336959,0.4199565350090954
0.16,0.012403031250686113,0.4199504382539146
0.17,0.012407604735881034,0.41994395171846804
0.18,0.012412136081872756,0.419937079648799
0.19,0.012416625616332956,0.4199298257537439
0.2,0.012421073716083364,0.41992219439765477
0.21,0.012425480758805854,0.41991418995635543
0.22,0.012429847122182295,0.4199058168056695
0.23,0.012434173183894557,0.4198970793214209
0.24,0.012438459026483849,0.41988797798772337
0.25,0.012442705701327729,0.4198785260637179
0.26,0.012446913037212345,0.41986872068751707
0.27,0.012451081405820245,0.4198585661558379
0.28,0.01245521117514005,0.4198480667166894
0.29,0.012459302709466451,0.41983722656937267
0.3,0.012463356369400214,0.4198260498644808
0.31,0.01246737250736865,0.41981454064604157
0.32,0.012471351427270915,0.41980270233029654
0.33,0.012475293451899511,0.4197905385765161
0.34,0.012479198909388992,0.41977805311197147
0.35000000000000003,0.012483068122855339,0.4197652495981167
0.36,0.01248690141039596,0.4197521316305888
0.37,0.01249069908508969,0.4197387027392078
0.38,0.012494461454996794,0.4197249663879768
0.39,0.012498188823158958,0.4197109259750816
0.4,0.012501881487599302,0.4196965848328911
0.41000000000000003,0.012505539741322371,0.4196819462279571
0.42,0.012509163872314133,0.4196670133610146
0.43,0.012512754189381416,0.4196517897217348
0.44,0.01251631101545914,0.4196362789968397
0.45,0.012519834640346615,0.4196204844212109
0.46,0.012523325349927646,0.4196044091790573
0.47000000000000003,0.01252678342636171,0.41958805640653946
0.48,0.012530209148083941,0.41957142919176976
0.49,0.01253360278980515,0.4195545305748123
0.5,0.0125369646225118,0.419537363547683
0.51,0.01254029491346603,0.41951993105434954
0.52,0.012543593926205642,0.41950223599073133
0.53,0.012546861920544099,0.41948428120469955
0.54,0.012550099157430971,0.41946606956220706
0.55,0.012553305929694374,0.41944760436556255
0.56,0.012556482505821445,0.4194288885885217
0.5700000000000001,0.012559629144924983,0.41940992507991903
0.58,0.012562746103451513,0.4193907166549369
0.59,0.012565833635181291,0.4193712660951048
0.6,0.012568891991228296,0.4193515761483
0.61,0.012571921420040237,0.41933164952874713
0.62,0.012574922167398549,0.4193114889170184
0.63,0.012577894476418394,0.4192910969600334
0.64,0.012580838587548663,0.4192704762710594
0.65,0.012583754738571973,0.4192496294297109
0.66,0.012586643171683162,0.41922855908323825
0.67,0.012589504129447256,0.41920726788868895
0.68,0.012592337845651934,0.4191857583820128
0.6900000000000001,0.012595144551724988,0.41916403306989114
0.7000000000000001,0.012597924476736938,0.4191420944297746
0.71,0.012600677847401043,0.4191199449098829
0.72,0.012603404888073278,0.4190975869292048
0.73,0.012606105820752361,0.41907502287749804
0.74,0.012608780865079732,0.4190522551152897
0.75,0.012611430238339558,0.41902928597387584
0.76,0.012614054155458744,0.41900611775532154
0.77,0.012616652798222695,0.418982752306716
0.78,0.012619226465178617,0.4189591930933315
0.79,0.012621775320215117,0.4189354417214851
0.8,0.012624299573752691,0.41891150044439884
0.81,0.012626799433916562,0.41888737148692123
0.8200000000000001,0.012629275106561354,0.4188630570458687
0.8300000000000001,0.012631726795295782,0.4188385592903668
0.84,0.012634154701507333,0.4188138803621917
0.85,0.012636559024386942,0.4187890223761113
0.86,0.012638939960953681,0.4187639874202269
0.87,0.012641297706079439,0.4187387775563144
0.88,0.012643632452525122,0.41871339482032144
0.89,0.012645944398125279,0.4186878413196665
0.9,0.012648233739367762,0.41866211914630386
0.91,0.012650500665599836,0.4186362302982719
0.92,0.012652745364380675,0.41861017675218204
0.93,0.012654968021513988,0.41858396046366736
0.9400000000000001,0.012657168821080656,0.418557583367832
0.9500000000000001,0.012659347945471362,0.4185310473796997
0.96,0.01266150557541922,0.4185043543946632
0.97,0.012663641890032402,0.4184775062889331
0.98,0.012665757066826775,0.41845050491998664
0.99,0.012667851281758529,0.41842335212701703
1.0,0.012669924709256805,0.41839604973138206
1.01,0.012671977522256335,0.41836859953705346
1.02,0.012674009892230055,0.4183410033310658
1.03,0.012676021989221757,0.41831326288396503
1.04,0.012678013981878703,0.4182853799502583
1.05,0.012679986037484261,0.4182573562688622
1.06,0.012681938321990542,0.41822919356355215
1.07,0.012683870999391708,0.41820089353228007
1.08,0.012685784230414032,0.4181724578249565
1.09,0.012687678176328994,0.4181438881077256
1.1,0.01268955299734814,0.41811518603576353
1.11,0.012691408852454577,0.4180863532503313
1.12,0.012693245899433622,0.41805739137919073
1.1300000000000001,0.012695064294903432,0.4180283020370196
1.1400000000000001,0.012696864194345639,0.4179990868258266
1.1500000000000001,0.012698645752135992,0.4179697473353672
1.16,0.012700409121574989,0.4179402851435587
1.17,0.012702154454918515,0.4179107018168954
1.18,0.012703881903408471,0.41788099891086417
1.19,0.01270559161730343,0.4178511779703597
1.2,0.012707283745909246,0.4178212405300998
1.21,0.012708958437609712,0.4177911881150406
1.22,0.012710615839897188,0.4177610222407921
1.23,0.012712256099403236,0.41773074441403324
1.24,0.012713879361929258,0.4177003561329275
1.25,0.012715485771812295,0.41766985887824204
1.26,0.012717075455321063,0.41763925388117407
1.27,0.012718648544015674,0.4176085424499592
1.28,0.012720205175084385,0.4175777259745668
1.29,0.012721745484574372,0.41754680583203807
1.3,0.012723269607406789,0.4175157833866835
1.31,0.012724777677391868,0.4174846599902808
1.32,0.012726269827243997,0.41745343698227305
1.33,0.0127277461885968,0.4174221156899662
1.34,0.01272920689201822,0.417390697428727
1.35,0.012730652067025606,0.417359183502181
1.36,0.012732081842100795,0.4173275752024102
1.37,0.012733496344705194,0.4172958738101511
1.3800000000000001,0.012734895701294862,0.4172640805949923
1.3900000000000001,0.012736280037335594,0.41723219681557266
1.4000000000000001,0.012737649477318005,0.4172002237197787
1.41,0.01273900414477261,0.41716816254494304
1.42,0.012740344162284915,0.4171360145180418
1.43,0.012741669651510485,0.4171037808558924
1.44,0.012742980731295985,0.41707146273766454
1.45,0.012744277517305285,0.4170390612993916
1.46,0.012745560127245686,0.4170065777103452
1.47,0.012746828677933373,0.4169740131301154
1.48,0.012748083285227611,0.4169413687076259
1.49,0.01274932406404247,0.4169086455812831
1.5,0.012750551128358536,0.41687584487912444
1.51,0.01275176459123463,0.4168429677189672
1.52,0.012752964564819527,0.41681001520855704
1.53,0.012754151160363682,0.4167769884457169
1.54,0.012755324488230935,0.4167438885184955
1.55,0.012756484657910242,0.41671071650531594
1.56,0.01275763177802738,0.41667747347512446
1.57,0.012758765956356683,0.4166441604875392
1.58,0.012759887299832743,0.4166107785929988
1.59,0.012760995914562137,0.4165773288329107
1.6,0.012762091905835148,0.4165438122398006
1.61,0.012763175378137476,0.4165102298374603
1.62,0.012764246434851294,0.4164765826367328
1.6300000000000001,0.01276530517605219,0.41644287160454974
1.6400000000000001,0.012766351702602473,0.41640909772141427
1.6500000000000001,0.012767386115089964,0.4163752619664788
1.6600000000000001,0.01276840851329104,0.416341365309986
1.67,0.012769418996180183,0.416307408713387
1.68,0.012770417661939511,0.4162733931294593
