t,p,a,c,k,o,n,en,s
0.0,0.154,0.063,0.44,0.225,0.005,0.856,3.536,150.0
0.01,0.16306462451914663,0.06118535900717015,0.4398368155878908,0.0644889647313427,5.881608246089408,0.8558169582621425,3.5363955128606337,9.237123515088184
0.02,0.17207620167921245,0.059268274741610526,0.43971606410105657,0.06458778824299273,5.891003267714665,0.8555690012916486,3.5363395545360343,0.7065820794370334
0.03,0.18103508241984695,0.05753027010722182,0.4395734065805483,0.06470719990863048,5.902165168015287,0.8553197619274422,3.5362518725620857,0.20981492278443029
0.04,0.1899416130777255,0.05596032364043144,0.43941128484246517,0.06484423001887286,5.914921270315821,0.8550633917948338,3.5361622755357685,0.17999535946192494
0.05,0.19879614171920934,0.054548145342114975,0.439231970795404,0.06499682700258666,5.929084954493248,0.8548000294790101,3.5360724975749225,0.17824140946972258
0.06,0.20759901518771126,0.05328411443754795,0.4390375793285046,0.06516308188105861,5.944482480535037,0.8545298070950138,3.5359826354558455,0.17817557409473012
0.07,0.21635057908033362,0.052159220118567204,0.43883008216871355,0.0653412137443606,5.96095192318707,0.8542528464306124,3.535892688538448,0.17821229427426055
0.08,0.22505117855997048,0.05116499116425861,0.43861132402105224,0.06552956027328741,5.978341659753031,0.8539692598598366,3.5358026512432215,0.178256227438601
0.09,0.23370115481691106,0.05029353171457603,0.43838301562932125,0.06572657515527597,5.996511262211351,0.8536791499232009,3.535712518599079,0.17830163707768423
0.1,0.24230085080460464,0.04953734772803017,0.43814677210734565,0.06593080202241025,6.015328036655097,0.853382611644925,3.535622286432,0.17834815443886476
0.11,0.25085060675728366,0.04888941144396694,0.4379040996939624,0.06614088198734473,6.0346682716129,0.853079731803909,3.535531951385921,0.17839574453090926
0.12,0.2593507618368427,0.048343106071423135,0.4376564080431355,0.06635554345389041,6.054416195356876,0.8527705896718845,3.5354415108745365,0.1784443916643348
0.13,0.2678016538072459,0.047892193756376863,0.4374050179177325,0.06657359512446241,6.074463344760861,0.852455257598818,3.5353509630146114,0.17849408098980774
0.14,0.27620361910289537,0.04753078912048339,0.43715116740206333,0.06679392037824121,6.094708054927868,0.85213380147449,3.535260306578852,0.17854479984245528
0.15,0.28455699282641317,0.047253342610485555,0.43689601583755217,0.0670154736939437,6.115055136388432,0.8518062810372051,3.5351695409636177,0.17859653686560842
0.16,0.2928621087330573,0.04705461887417303,0.436640648945373,0.06723727601352017,6.135415454176525,0.8514727502907897,3.5350786661450506,0.17864928141090103
0.17,0.3011192992246052,0.046929678113607855,0.4363860832476052,0.06745841073826596,6.155705564599702,0.8511332578799709,3.5349876826397146,0.17870302381657754
0.18,0.30932889535067515,0.04687386329246866,0.436133269103397,0.06767802097937439,6.175847465763924,0.8507878473597722,3.534896591476441,0.17875775536495694
0.19,0.3174912268066176,0.04688278064008853,0.4358830953376376,0.06789530537019402,6.195768217104391,0.8504365576060944,3.534805394153356,0.1788134682256824
0.2,0.3256066219346545,0.04695228521096369,0.4356363926756541,0.06810951496061725,6.215399656950271,0.8500794231368678,3.534714092604308,0.17887015528935835
0.21,0.3336754077258928,0.04707847211015344,0.4353939358368135,0.06831995132445447,6.2346782303148,0.8497164743237511,3.5346226891767563,0.17892781012676473
0.22,0.3416979098218962,0.04725766504377489,0.4351564462620472,0.06852596409263025,6.253544764607076,0.8493477376575329,3.534531186604027,0.1789864270461789
0.23,0.34967445251685453,0.04748640403138207,0.4349245950405687,0.06872694830898336,6.27194422886488,0.8489732360324297,3.5344395879756028,0.17904600101195264
0.24,0.3576053587605922,0.04776143434151561,0.4346990055468013,0.06892234204942527,6.289825516759877,0.8485929890067824,3.5343478967098902,0.17910652756131681
0.25,0.3654909501620228,0.04807969715420207,0.4344802556674563,0.06911162441072777,6.307141263333285,0.8482070130280482,3.53425611653073,0.1791680027935425
0.26,0.37333154699309534,0.048438318783747276,0.4342688803700055,0.06929431319310926,6.323847633572505,0.8478153216879173,3.5341642514407545,0.17923042326401614
0.27,0.38112746819459775,0.04883460443231426,0.43406537319497623,0.06946996355297548,6.339904199574821,0.8474179258825467,3.5340723057046963,0.1792937860272157
0.28,0.3888790313789071,0.049266026756392536,0.43387018897931534,0.06963816554471752,6.355273716423795,0.847014834078108,3.533980283821642,0.17935808854536825
0.29,0.39658655283740407,0.04973022140885578,0.433683744921406,0.0697985431625171,6.369922034394172,0.8466060524290173,3.5338881905127426,0.17942332871365582
0.3,0.4042503475443249,0.05022497707606443,0.433506422951386,0.0699507522015954,6.3838179038650935,0.8461915850047824,3.5337960306975256,0.1794895047700412
0.31,0.4118707291624218,0.05074822853325957,0.43333857138734905,0.0700944787645953,6.396932838950467,0.8457714339606799,3.533703809476102,0.17955661529075373
0.32,0.41944801004882953,0.05129804972841315,0.4331805065759574,0.07022943778235878,6.4092409824468,0.8453455996880597,3.5336115321134964,0.17962465914066672
0.33,0.4269825012603751,0.05187264662432246,0.4330325145972614,0.0703553714773395,6.420718965441808,0.8449140809845441,3.533519204021898,0.17969363546566797
0.34,0.43447451255929637,0.05247035016410125,0.43289485293589286,0.07047204785670123,6.431345769736031,0.8444768752122835,3.5334268307441596,0.17976354365455688
0.35000000000000003,0.4419243524190913,0.053089610496068376,0.43276775185059163,0.0705792594774596,6.441102615107811,0.8440339784236589,3.533334417940702,0.17983438330841037
0.36,0.4493323280303389,0.053728990416615476,0.4326514159311641,0.0706768220432559,6.449972831117729,0.8435853855075183,3.53324197137427,0.17990615422172948
0.37,0.45669874530620297,0.05438715980614325,0.43254602541567755,0.07076457321818175,6.457941748639179,0.8431310903050349,3.533149496897856,0.17997885637625188
0.38,0.4640239088885012,0.05506288995405577,0.43245173753504007,0.07084237141486198,6.464996589166075,0.8426710857308732,3.5330570004420787,0.18005248991797407
0.39,0.4713081221527546,0.0557550480424541,0.432368687818031,0.07091009461313424,6.471126357573239,0.8422053638856823,3.5329644880034525,0.18012705508997268
0.4,0.4785516872141905,0.056462591952504755,0.4322969913194097,0.07096763925483614,6.476321740961387,0.8417339161620735,3.53287196563335,0.18020255223139142
0.41000000000000003,0.485754904932542,0.05718456525266523,0.4322367438039296,0.07101491918765442,6.480575010799775,0.841256733343375,3.5327794394277023,0.180278981839838
0.42,0.492918074917774,0.05792009206462168,0.4321880229594633,0.07105186456700452,6.483879923243971,0.8407738057061549,3.532686915516323,0.18035634451474156
0.43,0.5000414955347181,0.058668372900716956,0.43215088937750606,0.07107842093891874,6.486231639663034,0.8402851230965578,3.5325944000549434,0.1804346407851576
0.44,0.5071254639085374,0.059428679498812406,0.43212538777351445,0.07109454815467955,6.48762662566211,0.8397906750328276,3.5325018992145325,0.18051387117051482
0.45,0.5141702759290174,0.060200351495904046,0.4321115477672499,0.07110021975904306,6.488062583537212,0.8392904507598765,3.532409419175606,0.1805940364957658
0.46,0.5211762262559109,0.060982791350047624,0.43210938508216534,0.07109542186173937,6.487538355288115,0.8387844393492069,3.532316966117814,0.18067513769101134
0.47000000000000003,0.5281436083226432,0.061775461655269176,0.43211890217289384,0.07108015231352262,6.486053880434397,0.8382726297380587,3.532224546215854,0.18075717514359868
0.48,0.5350727143416312,0.06257788026989136,0.4321400893749762,0.07105441981702798,6.483610096017115,0.8377550108233925,3.532132165629679,0.18084014908284127
0.49,0.5419638353073151,0.06338961810212214,0.4321729254207416,0.07101824418113227,6.480208867916552,0.8372315714904854,3.5320398305015033,0.18092406084635948
0.5,0.548817261001432,0.06421029448409134,0.4322173785300033,0.07097165488149347,6.475852917746299,0.8367023007002373,3.5319475469467068,0.18100891199051825
0.51,0.5556332799956518,0.06503957528841767,0.432273406848155,0.07091468908035817,6.470545844692165,0.8361671875127098,3.5318553210513675,0.18109470219939036
0.52,0.5624121796563983,0.06587716879787024,0.43234095941832323,0.07084739171183788,6.464292010417333,0.8356262211611758,3.531763158864543,0.1811814306574827
0.53,0.5691542461466551,0.06672282437201482,0.43241997649005565,0.07076981759907641,6.457096426251892,0.8350793910648765,3.5316710663969255,0.18126909853852355
0.54,0.5758597644314303,0.06757632787963441,0.4325103905946573,0.07068202786495638,6.448964760334295,0.8345266869124449,3.5315790496121466,0.1813577060754139
0.55,0.582529018278726,0.06843750137795185,0.43261212661406634,0.07058409202317235,6.439903253383342,0.8339680986536909,3.531487114427615,0.18144725520021965
0.56,0.5891622902647836,0.06930619848737275,0.43272510286980137,0.07047608582768293,6.429918671757729,0.833403616583617,3.531395266705759,0.18153774812812837
0.5700000000000001,0.5957598617750683,0.07018230415738652,0.4328492311719472,0.07035808481511685,6.419018537545959,0.8328332313368153,3.531303512254547,0.18162918282060514
0.58,0.6023220130081389,0.07106573140247073,0.43298441758534495,0.07023017293979272,6.407210725137199,0.8322569339384949,3.531211856822228,0.18172155732829512
0.59,0.6088490229773627,0.07195642004963264,0.43313056272038514,0.07009244278968663,6.394503419860032,0.8316747158188789,3.531120306095796,0.1818148736604764
0.6,0.6153411695139089,0.0728543344343989,0.4332875622726394,0.06994498843116646,6.380905317004745,0.8310865688518384,3.5310288656969187,0.18190913161919142
0.61,0.6217987292687286,0.07375946193297962,0.4334553073646639,0.06978790758885749,6.366425502901557,0.830492485373088,3.5309375411800366,0.18200433118584877
0.62,0.6282219777151722,0.074671810995142,0.43363368500468863,0.06962130239360452,6.351073374802393,0.8298924582066909,3.530846338029584,0.18210047213249908
0.63,0.6346111891501469,0.07559141028207234,0.4338225782876325,0.06944527872829459,6.334858641612114,0.8292864806770048,3.5307552616587303,0.18219755409730226
0.64,0.6409666366967157,0.07651830672280717,0.4340218668478222,0.06925994534295374,6.3177913040596625,0.8286745466346073,3.530664317406644,0.1822955766365847
0.65,0.6472885923035969,0.07745256589057398,0.43423142677135096,0.06906541393054413,6.299881662022829,0.8280566504513532,3.530573510539011,0.1823945392422611
0.66,0.6535773267511593,0.07839426751197381,0.43445113164154114,0.06886179868170249,6.281140210402784,0.827432787078671,3.5304828462418874,0.18249444127316247
0.67,0.659833109645788,0.079343509686288,0.43468085155661024,0.06864921683076378,6.261577732303055,0.826802951992607,3.5303923296274937,0.18259528199702332
0.68,0.6660562094315416,0.0803004001689248,0.43492045515785493,0.06842778704985249,6.241205124117599,0.8261671413055514,3.5303019657224035,0.1826970605183123
0.6900000000000001,0.6722468933792721,0.08126506449531948,0.4351698077393756,0.06819763093957582,6.220033558769091,0.8255253516621301,3.5302117594785494,0.1827997758576998
0.7000000000000001,0.6784054276000168,0.08223763591328236,0.43542877358892274,0.0679588710017689,6.198074290180545,0.8248775803654802,3.5301217157598344,0.1829034268909231
