t,Ca,E,CaE,Ca2E_,CaE_
0.0,0.05,240.0,0.01,1.0,0.01
0.01,1.3145659170251628e-14,239.8642881727524,0.29323273750028345,0.7414589785371261,0.12102011121023176
0.02,2.0288961717518343e-14,239.80287250289055,0.47037944493821415,0.551713028783772,0.19503502338747422
0.03,2.5440766074575352e-14,239.76014911466567,0.5982033946589794,0.41322647119340233,0.2484210194819213
0.04,2.911559703692369e-14,239.7314949608583,0.6894508022292599,0.3125327552570039,0.28652148165541763
0.05,3.1705847520598014e-14,239.7132644783807,0.753840164110763,0.2394910662210094,0.31340429128757025
0.06,3.350542249897944e-14,239.7026667610868,0.7986495354417872,0.18657113807639672,0.3321125653950878
0.07,3.473167728636181e-14,239.69760761074176,0.8292607710340407,0.148236737653139,0.34489488057115203
0.08,3.5543915398123894e-14,239.6965372142273,0.8496180665390752,0.12044644353655996,0.3533982756972008
0.09,3.60581518869979e-14,239.69831969321393,0.8625937421280537,0.10026482094357586,0.35882174371457537
0.1,3.6358496900451776e-14,239.70212823388695,0.8702701932162782,0.08556725929194725,0.36203431360494687
0.11,3.65057350985888e-14,239.7073639515056,0.8741523408390304,0.07481979852120776,0.36366390913430563
0.12,3.654369519988886e-14,239.7135946195383,0.8753253370389694,0.06691679178604318,0.3641632516368982
0.13,3.650392846916825e-14,239.72050915240507,0.8745703906223454,0.06106222460286862,0.3638582323699153
0.14,3.640912152261554e-14,239.72788414894808,0.8724492540725591,0.05668341509752289,0.3629831818820341
0.15,3.6275572078026876e-14,239.73555949808397,0.869365511059074,0.05336854362960933,0.36170644722751266
0.16,3.6114979550115986e-14,239.74342067372825,0.8656089079532159,0.05082152917412924,0.3601488891445867
0.17,3.59357362478807e-14,239.75138593829584,0.8613873249552177,0.04882951656148737,0.3583972201876272
0.18,3.574386158172689e-14,239.7593971128775,0.8568498057033684,0.04723947000937035,0.3565136114099093
0.19,3.554366212041529e-14,239.76741293227076,0.852103125362493,0.04594133904248255,0.35454260332446313
0.2,3.533822185736673e-14,239.77540426964768,0.8472236932013771,0.044855966169888684,0.3525160709812662
0.21,3.5129743958404096e-14,239.7833506972856,0.8422661261767578,0.04392637728512705,0.3504567992527114
0.22,3.49197990692793e-14,239.7912380293223,0.8372693748372587,0.04311155686588385,0.34838103897476935
0.23,3.470950351119543e-14,239.79905654754498,0.8322611502871682,0.04238195054665123,0.34630035162141315
0.24,3.449964839734339e-14,239.80679972929377,0.8272610971630946,0.041716237837684765,0.34422293570568596
0.25,3.4290790636731896e-14,239.81446334121978,0.82228305957062,0.04109903047516316,0.34215456873470457
0.26,3.408331913677666e-14,239.8220447814741,0.817336724076554,0.04051919981246088,0.34009929463716476
0.27,3.387750270092263e-14,239.8295426084952,0.8124287999744799,0.03996867686847411,0.3380599146621384
0.28,3.3673523689208676e-14,239.8369562073554,0.8075638550391698,0.039441601182440236,0.33603833642328523
0.29,3.3471502504920264e-14,239.84428554889857,0.8027449158193791,0.03893370515874491,0.3340358301235989
0.3,3.3271515393943484e-14,239.8515310131152,0.797973925410055,0.03844186156968202,0.33205319990538157
0.31,3.307360695492829e-14,239.85869326586968,0.7932520318028585,0.037963766726956116,0.33009093560079383
0.32,3.287779951443289e-14,239.86577317109314,0.7885798312932873,0.0374977138248608,0.3281492837890037
0.33,3.26840989697725e-14,239.87277172691262,0.7839575162078368,0.03704242748273251,0.3262283293970842
0.34,3.249250015072205e-14,239.8796900189222,0.7793850010695476,0.036596941905565374,0.32432803810296285
