t,T,I,E
0.0,1.0,1.0,1.0
0.01,1.0998845259501144,0.9965160784263855,1.0019937799062641
0.02,1.1997581067780227,0.9930443002026856,1.0039751377708093
0.03,1.299620750190253,0.98958463035253,1.0059441205785196
0.04,1.3994724649943158,0.9861370287286859,1.0079007821237747
0.05,1.4993132560977576,0.9827014725695747,1.009845152613501
0.06,1.5991431329281054,0.9792779186385462,1.0117772897852948
0.07,1.6989621044631082,0.9758663258363981,1.0136972485777473
0.08,1.7987701796805138,0.9724666530639284,1.0156050839294506
0.09,1.8985673665423375,0.9690788634115324,1.0175008448107108
0.1,1.9983536713120804,0.965702926975474,1.0193845702116335
0.11,2.0981291016875225,0.9623388079360365,1.0212563075499272
0.12,2.197893665416867,0.958986470265531,1.023116104539566
0.13,2.297647370233875,0.9556458779538711,1.0249640088337586
0.14,2.397390223569465,0.9523169953601254,1.0268000668113526
0.15,2.4971222329173184,0.9489997867668577,1.0286243251152982
0.16,2.5968434058600076,0.9456942163482759,1.0304368307626015
0.17,2.6965537499801058,0.942400248278588,1.0322376307702679
0.18,2.79625327243862,0.93911784729909,1.0340267703476926
0.19,2.895941981293725,0.9358469769442114,1.0358042985511948
0.2,2.9956198832800607,0.9325876025287977,1.0375702587619626
0.21,3.0952869859000613,0.929339688334858,1.0393246976533825
0.22,3.194943296613775,0.9261031987027266,1.0410676617164472
0.23,3.294588822612603,0.9228780983804458,1.042799196267458
0.24,3.3942235710871076,0.9196643521102262,1.0445193466225378
0.25,3.4938475492724392,0.9164619245582976,1.046228158296863
0.26,3.593460764356411,0.9132707804568563,1.0479256766015137
0.27,3.6930632234795,0.9100908846040656,1.049611946643471
0.28,3.792654933734847,0.906922201864056,1.0512870133256191
0.29,3.892235902168257,0.9037646971669248,1.052950921346744
0.3,3.991806135778198,0.900618335508736,1.0546037152015344
0.31,4.0913656415175454,0.8974830819507171,1.0562454391873362
0.32,4.190914426428632,0.8943589015569412,1.057876137927762
0.33,4.2904524975064025,0.8912457594574749,1.0594958558421057
0.34,4.3899798616376495,0.8881436208764107,1.0611046369097978
0.35000000000000003,4.489496525669089,0.88505245110046,1.0627025249343098
0.36,4.589002496407359,0.8819722154789515,1.0642895635431544
0.37,4.688497780619017,0.8789028794238323,1.0658657961878857
0.38,4.7879823850305465,0.8758444084096672,1.067431266144099
0.39,4.887456316328347,0.8727967679736393,1.0689860165114302
0.4,4.986919581159119,0.8697599237153588,1.0705300902150292
0.41000000000000003,5.086372186254512,0.8667338412337252,1.0720635304923238
0.42,5.185814138330657,0.8637184861778158,1.0735863805006962
0.43,5.285245443991414,0.8607138242958924,1.0750986829396534
0.44,5.38466610980788,0.8577198213951296,1.07660048036131
0.45,5.484076142318391,0.8547364433416146,1.0780918151703902
0.46,5.583475548028516,0.8517636560603472,1.079572729624225
0.47000000000000003,5.682864333411063,0.8488014255352401,1.081043265832754
0.48,5.782242504906078,0.8458497178091183,1.0825034657585253
0.49,5.881610068920842,0.8429084989837198,1.0839533712166944
0.5,5.980967031849528,0.8399777352766088,1.0853930239186411
0.51,6.080313400062787,0.8370573929910258,1.0868224654488623
0.52,6.179649179883476,0.8341474384455984,1.0882417372111086
0.53,6.278974377603001,0.8312478380216645,1.0896508804646483
0.54,6.3782889994813186,0.8283585581632755,1.0910499363242714
0.55,6.477593051746933,0.8254795653771976,1.0924389457602885
0.56,6.5768865405969,0.8226108262329106,1.093817949598533
0.5700000000000001,6.676169472196823,0.8197523073626085,1.095186988520358
