t,C1,C2,O2,O1
0.0,0.25,0.25,0.25,0.25
0.01,0.03619141696625721,0.04564420774475137,0.5723527141309789,0.3458116611580121
0.02,0.033088692834181636,0.015253581014717842,0.5664425555297925,0.38521517062130767
0.03,0.032443266405617836,0.01073185359053465,0.5625626976880169,0.39426218231583
0.04,0.03232172846759233,0.010043655634003886,0.5615916943545768,0.39604292154382464
0.05,0.03229999757087031,0.009936967373460151,0.5613939902623026,0.3963690447933651
0.06,0.03229622663608934,0.009920176138309863,0.5613571471317693,0.39642645009382843
0.07,0.032295584292558036,0.00991750296971633,0.561350595758182,0.39643631697954007
0.08,0.03229547606387241,0.009917072599726604,0.5613494609518691,0.39643799038452726
0.09,0.032295457961672866,0.009917003249270933,0.5613492687474085,0.3964382700416431
0.1,0.0322954546921691,0.009916990908954829,0.5613492338849039,0.3964383205139678
0.11,0.032295455115100444,0.009916993009433297,0.5613492370322284,0.396438314843234
0.12,0.03229545446064778,0.009916990073223796,0.5613492313774994,0.39643832408862517
0.13,0.03229545381839413,0.009916987414946123,0.5613492246940854,0.3964383340725703
0.14,0.032295454065914234,0.009916988628727459,0.5613492270414033,0.39643833026395114
0.15,0.03229545468495772,0.009916991178951834,0.5613492334587764,0.3964383206773105
0.16,0.03229545412952335,0.009916988643942247,0.5613492278902282,0.3964383293363032
0.17,0.032295453740893994,0.009916987342690965,0.561349223869722,0.3964383350466889
0.18,0.03229545402183705,0.009916988554820842,0.5613492264347136,0.3964383309886226
0.19,0.032295453960409976,0.00991698753613357,0.5613492257160814,0.3964383327873711
0.2,0.03229545336391451,0.009916985382674706,0.5613492206848284,0.39643834056858324
0.21,0.032295453499277316,0.009916987288836275,0.5613492224770389,0.39643833673484935
0.22,0.03229545405712204,0.009916988797278663,0.5613492259532414,0.3964383311923588
0.23,0.03229545411901761,0.009916988457276909,0.5613492271594627,0.3964383302642458
0.24,0.03229545380592845,0.009916987385893602,0.5613492255194674,0.396438333288717
0.25,0.032295453709768655,0.009916987220091331,0.5613492239687784,0.3964383351013698
0.26,0.03229545399816546,0.009916988177570873,0.5613492251203183,0.3964383327039514
0.27,0.03229545403238568,0.009916988413313175,0.5613492267604501,0.3964383307938551
0.28,0.03229545393005086,0.009916987978099699,0.5613492283161979,0.39643832977565396
0.29,0.03229545400248125,0.009916987741988367,0.561349227657001,0.3964383305985302
