t,Glc_x,Glc,G6P,F6P,FBP,GAP,DHAP,BPG,PEP,Pyr,ATP,ADP,AMP,CN_x,ACA,ACA_x,EtOH,EtOH_x,Glyc,Glyc_x,NADH,NAD
0.0,6.7,0.573074,4.2,0.49,4.64,0.115,2.95,0.00027,0.04,8.7,2.1,1.5,0.33,5.20358,1.48153,1.28836,19.2379,16.4514,4.196,1.68478,0.33,0.65
0.01,6.690759451950152,1.1240588092142338,4.203824721780616,0.4901916837105227,4.640306907882343,0.11499786892021117,2.9500577827960064,0.0002694082017576363,0.04001058931863308,8.700073848152048,2.0967255077775224,1.5020716563696779,0.33120283585279986,5.203580000915124,1.4815236335771,1.2883599956202727,19.237907684953157,16.451399991249076,4.196002105871206,1.6847800037053624,0.3300748422945289,0.6499251577054712
0.02,6.684419268031892,1.5007248294823183,4.209548009182887,0.49048699869866347,4.641982853974545,0.11501573970217939,2.950359576331091,0.00026830382619781574,0.040024950332879866,8.700395578370758,2.090579636010587,1.5057190417205015,0.33370132226891175,5.203580001835892,1.4814719457448753,1.2883598852794784,19.23796274389132,16.45140006004937,4.1960214068401855,1.684780010324564,0.3303318839799443,0.6496681160200556
0.03,6.679818073669856,1.7738021246732112,4.214676130859372,0.490653118550041,4.645542866947151,0.11506312466253146,2.951061391915848,0.00026692396092239116,0.04003985560375418,8.70101422914787,2.0829166459016046,1.5102127012247801,0.33687065287361617,5.203580002795903,1.4813412063396256,1.2883594026165162,19.23810379570787,16.451400399190938,4.196077406075188,1.6847800285489447,0.33074770315534363,0.6492522968446566
0.04,6.6763679609009845,1.9785492128977504,4.218517805629247,0.490627727410416,4.651211201805718,0.11514179118438694,2.9522843244198063,0.00026535533467613516,0.04005607571379438,8.701963219738973,2.074145017579431,1.5153163400284622,0.34053864239210735,5.203580003876409,1.4811150654803924,1.2883581804052995,19.238353135920242,16.451401285734036,4.1961886340129775,1.684780073189739,0.3312991349593455,0.6487008650406546
0.05,6.6737253634494005,2.1354715735181204,4.220804322004718,0.4903928822879936,4.659105817679075,0.11525207695658803,2.9541124051660765,0.00026365062805985227,0.040074020182683225,8.70327583473906,2.064506952885027,1.5208835356386166,0.344609511476356,5.20358000521655,1.4807874087413333,1.2883558083817346,19.238722704949208,16.451403043015016,4.196372862911886,1.684780164883013,0.3319705804540909,0.6480294195459093
0.06,6.671671033994337,2.2576246278605807,4.221438782553419,0.48994853388418813,4.669282230706995,0.11539379710359389,2.9565982001046067,0.00026185076981736523,0.04009382037682192,8.704983289242431,2.0541972524076817,1.5267951509142066,0.3490075966781115,5.203580007017034,1.4803579455955027,1.2883518659458377,19.239217948079673,16.45140601725498,4.196647159505332,1.6847803298582789,0.3327496547650344,0.6472503452349658
0.07,6.6700565311460815,2.3538357234875655,4.220415966467208,0.48930409939445296,4.681748598075373,0.11556637715438181,2.9597696053728204,0.0002599921778852919,0.04011546663159135,8.707113273111409,2.043393470118078,1.5329433875649556,0.3536631423169657,5.203580009540093,1.4798299809996145,1.2883459413628269,19.239839809263177,16.451410562227846,4.197027722504235,1.684780599683716,0.3336249575384983,0.646375042461502
0.08,6.6687770479382,2.4303317577227244,4.2177879299692105,0.4884746971600906,4.696473223105723,0.11576886415705502,2.9636351312040308,0.00025810571557408204,0.040138874918442036,8.70968922669379,2.0322646119040626,1.5392273814092703,0.35850800668666655,5.203580013107187,1.4792092255205314,1.2883376440129595,19.240585841725206,16.451417028207448,4.1975296672168705,1.6847810109480328,0.3345851817235318,0.6454148182764683
0.09,6.667756276827851,2.491643040369757,4.21364565632055,0.4874790237675274,4.7133899599575795,0.11599994479323968,2.968187711523453,0.0002562225331810589,0.040163911996793575,8.712730015739085,2.020972970881395,1.5455524498691675,0.36347457924943666,5.203580018095194,1.4785030876994312,1.288326612747423,19.241450915415438,16.45142575344901,4.198166821133853,1.6847816048740785,0.3356188328645325,0.6443811671354678
