t,GL,O2,FA,GP,GY,TG,PY,LA,AC,CR,PC,CoA_pool,FC,CO2,NAD,ADP
0.0,0.998,0.963,0.021,0.171,33.0,3.96,0.2,1.98,0.0046,3.5,8.8,0.043,0.0088,20.0,1.81,0.9
0.01,0.9453600407385784,0.3566217065244245,0.016207211767717136,0.19623533643066998,33.03595901725363,3.96175873482482,0.1852245347360937,1.9768571343683006,0.7931047948965003,3.1726814842641216,9.12731851573587,0.05820670630903467,-0.008043686849174052,16.862675715443558,8.81183310137859,-0.7479692292367495
0.02,0.894813423008957,0.001069071057251343,0.015044464015909477,0.22712579314170153,33.06247394821554,3.962726992886922,0.17888598098412217,1.9682949278561657,1.4559170891931907,2.9570005762116316,9.342999423788354,0.18327326564639224,0.5240981863036114,12.973046418471519,16.796355781667227,-0.6531368135262056
0.03,0.8462927880045694,0.0010690710065454385,0.014278129400637517,0.25991648180133603,33.08539257537318,3.9633957134084974,0.1758337460760398,1.959500437094634,0.7728475178802593,2.7976874358064516,9.502312564193533,0.11482165537119925,1.7883527580187883,13.400481525701128,16.164159992575954,-0.6480682593572307
0.04,0.7997340582480156,0.0010690710065822558,0.013407931399049111,0.29086234602993066,33.10978309489799,3.9639906042904904,0.1732889916587863,1.9508937973048175,0.35669303550711534,2.6449100362166753,9.655089963783315,0.05619899289127032,2.5199030212094935,13.801956772300812,15.5663489197768,-0.6373701675683352
0.05,0.7550763878044537,0.0010690710067836288,0.012738325779026054,0.3207182151126305,33.134579306989814,3.9644933372416875,0.17182219719255185,1.942469632205697,0.12173531738341203,2.5051764064743476,9.79482359352564,0.021613943736116022,2.895210972350049,14.139009280966413,15.076648328016342,-0.6103787671968296
0.06,0.7122621197717458,0.0010690710066761843,0.012426130177112372,0.35083155074378913,33.15779443155178,3.964878772893175,0.17254409095637235,1.9342091838215578,0.026589147745681087,2.3907152384076236,9.90928476159236,0.005557597542114197,3.0364053988302278,14.345162755767996,14.81898549510673,-0.5491891021179002
0.07,0.6712367505924142,0.0010690710075431334,0.012452284210020774,0.38189258697075207,33.17828968353856,3.96515002518024,0.17605471174860213,1.9260848328639708,0.008481478910885713,2.306452051830231,9.993547948169752,0.0014177557182053417,3.0654225916115494,14.44299221982069,14.754195348187821,-0.47147436729572495
0.08,0.6319489004539596,0.001069071006687923,0.012640278291420113,0.4131141192121419,33.197073305740645,3.965351409998256,0.1816100098949296,1.9180845890212332,0.0064397536086507265,2.2428492899991253,10.057150710000853,0.0008441875815179701,3.0713630410668915,14.516385999071284,14.730211239611874,-0.40764612898163277
0.09,0.594350288653704,0.0010690710066324459,0.012867663805073072,0.44373538965752807,33.21519327259648,3.965515457142357,0.188420073403931,1.910208064994777,0.00605348647001989,2.191373462075949,10.108626537924032,0.0007597144528469631,3.0747230487677673,14.588811030698915,14.704785897513336,-0.3590100107493747
0.1,0.5583957122682355,0.001069071006664123,0.013085315900286557,0.4733777271958051,33.233186276812894,3.96565758844577,0.19602027949146528,1.9024560422440868,0.005957606809094505,2.1475885632733256,10.152411436726654,0.0007400905082174162,3.0776277404134325,14.662658992609533,14.673951734836823,-0.32134158685351455
0.11,0.5240430257442531,0.001069071006666422,0.013276654655239854,0.501852021896624,33.25133200197871,3.965785605624246,0.2041202476995782,1.894828829470003,0.005979082952069969,2.1090587729973787,10.190941227002604,0.0007394252732105687,3.080381275872368,14.73829224954928,14.637342316734737,-0.2918465187609199
0.12,0.4912531180684852,0.0010690710066401524,0.013438000283393595,0.5290562214991379,33.26979193944391,3.965904003821416,0.21251682417739795,1.8873263212576707,0.006063905392040092,2.074282341282944,10.22571765871704,0.0007480878067271313,3.083087409518777,14.815836986201443,14.59495827798711,-0.26874909558442744
0.13,0.45998988292452425,0.001069071006673632,0.013570745415205195,0.5549328270846,33.288666484497924,3.9660156583483546,0.2210571108733558,1.8799481010208414,0.006186949798642894,2.0422510611082276,10.257748938891755,0.0007621988760102166,3.0857979909381648,14.895335010326123,14.546907910991486,-0.25082959200310795
0.14,0.43022017565169673,0.001069071006668492,0.013678081630096407,0.5794492279020448,33.308021013343556,3.9661225625838856,0.22962084053355336,1.8726935099940365,0.006334397813202545,2.0122455342458196,10.287754465754166,0.000779735895304417,3.088542979416879,14.976777536661052,14.493355847037016,-0.23719235037903288
0.15,0.4019137488256331,0.001069071006745265,0.013763595062825098,0.6025875753858626,33.327899135329,3.9662261867757325,0.2381108639761715,1.8655616948042293,0.006497789251808168,1.983728742354006,10.31627125764598,0.000799499417713507,3.0913410931726584,15.060119929814379,14.434503508748342,-0.22714471299299152
0.16,0.37504315592403614,0.0010690710066469783,0.013830682240352674,0.624339157644859,33.34832998032261,3.9663276674101415,0.2464474808435157,1.8585516420904948,0.0066715202659935816,1.9562858248555532,10.343714175144434,0.0008207129585000106,3.094204550731087,15.145290228511534,14.370579246355293,-0.22012915385503956
0.17,0.3495836096896956,0.0010690710067069202,0.013882338871245731,0.6447011309582943,33.36933243037699,3.966427913669313,0.25456479120902076,1.8516622047858589,0.006851645331990477,1.9295878029522677,10.37041219704772,0.0008428391385599236,3.0971414731771274,15.232194933167209,14.301832300080518,-0.21568304613449338
