t,MP,BN,MC,MB,RN,MR,PC,PCP,PCC,CC,CCP,RC,PCCP,PCN,PCNP,IN,BC,BCP,BNP
0.0,0.1,0.1,1.2,9.0,0.1,1.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.01,0.09523683661661417,0.10127024917512226,1.1853863164090392,9.00371617683995,0.09844952972582802,1.487518506495698,0.09591577739295079,0.0971111218918035,0.09812613029226798,0.1381670580974399,0.09680164743678338,0.11336628919066481,0.09766827889630467,0.09930059068763118,0.09767991161636166,0.09594631168739724,0.12783209935557246,0.09312179832777767,0.09202526027933107
0.02,0.09068818042628819,0.10264814457111772,1.170837464451627,9.007432474795207,0.0970293212897103,1.4750731703516953,0.09201667952557742,0.09414037260568744,0.09632100451256612,0.17546447520128594,0.09404672435252111,0.12542759772977038,0.09537387147222665,0.09858315220150939,0.09541882574345806,0.0920240765908743,0.15511847100408271,0.08696097382319379,0.08460132808738056
0.03,0.08635094051032964,0.10412756272263553,1.156355505824821,9.011148789246308,0.09572733215819106,1.4626652516096885,0.08829351685192338,0.09110998311774182,0.09457972381872963,0.21192837077132068,0.09169400712857956,0.1363397644384109,0.09311774780000456,0.09784887880321555,0.09321546490169352,0.08823145159823777,0.1818851226427469,0.08146679054393405,0.07771418784029781
0.04,0.08222166763545202,0.10570320912571561,1.1419424831562643,9.01486502732449,0.09453282862699307,1.450295993506735,0.08473743273468327,0.08804039434679999,0.09289778630564287,0.24759107888539483,0.08970650884269753,0.14622962164888348,0.09090073970658653,0.0970989090908552,0.09106856176322313,0.08456648083312235,0.2081561227503887,0.07659009299895966,0.07134741868266406
0.05,0.07829658758018682,0.10737061263340134,1.127600428948665,9.018581106367975,0.09343616852517016,1.4379666290750728,0.08133992360077993,0.08495030178286123,0.09127105345773043,0.282481721595262,0.08805091946646015,0.15520222994976923,0.08872354906792332,0.0963343289821382,0.08897685942288225,0.0810271019087746,0.23395383270830097,0.07228346103704746,0.06548241825719261
0.06,0.07457163618754695,0.10912610621951725,1.1133313744930418,9.02229695264291,0.09242863524162666,1.425678387732202,0.0780928540158997,0.08185670342626995,0.08969571950981718,0.3166266733320559,0.08669714863728814,0.16334591316599834,0.08658675574233626,0.09555617446371631,0.08693911167727827,0.07761115258592678,0.25929909299919146,0.06850137252805517,0.06009867306306718
0.07,0.07104249579286132,0.11096679381306425,1.0991373586711601,9.026012500265068,0.09150230646977145,1.4134325018124227,0.07498846775988967,0.07877495033590276,0.08816828355584805,0.3500499431996307,0.0856179452327576,0.17073591136819313,0.08449082511741488,0.09476543409751569,0.08495408335914134,0.07431637780467966,0.2842113736920056,0.06520035930762115,0.05517406616270444
0.08,0.06770463239987969,0.11289050325404484,1.085020436516964,9.029727690290352,0.09064994996929739,1.4012302129468654,0.07201939503480326,0.07571880051942761,0.08668552424023165,0.3827734913929617,0.08478857830212745,0.1774370647816035,0.082436115267316,0.09396305131512692,0.08302055071658677,0.07114043700516241,0.3087088967197437,0.062339142689344616,0.05068521039551073
0.09,0.06455333313564411,0.11489572557391672,1.0709826874094706,9.03344246994513,0.08986493990504449,1.3890727782024725,0.06917865586205865,0.07270047701718675,0.08524447686534362,0.4148174914246427,0.08418656805158964,0.18350579853176519,0.08042288374697747,0.09314992653479864,0.08113730182999733,0.06808091169043352,0.3328087358790437,0.059878738389643325,0.0466077964058347
