t,x2,x3,x5,x6,x4,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
0.0,9e-13,0.0,0.0,1e-13,0.0,0.0,0.0,1e-13,1e-13,1e-13,0.0,0.31,99.4,0.29,100.0,0.0,100.0,0.0,96.0,4.0
0.01,8.476391444921061e-13,1.8185846288956732e-15,4.919186976367153e-14,1.0000007959165852e-13,1.3499763195616866e-15,9.329133370672789e-21,5.028749733435204e-19,1.012719729649216e-13,9.866129375186474e-14,9.993326671678633e-14,6.673328321367778e-17,0.31735235970877745,99.3925771005295,0.2900705397617459,99.99937370857852,0.0006262914215114648,99.99937370857852,0.0006262914215114648,95.9988895855919,4.000001741127238
0.02,7.984211612387503e-13,-2.4828966145049884e-14,1.2139787375085065e-13,9.999999477865488e-14,5.008205949535167e-15,7.318973852396463e-20,1.991237520581087e-18,1.022910438369755e-13,9.758268991543175e-14,9.987373375240724e-14,1.2626624759280178e-16,0.3346878214975596,99.37482131117042,0.2904908673320294,99.99568740632252,0.004312593677498824,99.99568740632252,0.004312593677498824,95.99775757928731,4.000025087068188
0.03,7.521532365981174e-13,5.734361463841191e-14,7.989700275380812e-14,9.999976043993672e-14,1.0602183438286198e-14,2.33124351566069e-19,4.4700070883133e-18,1.0304511499119024e-13,9.677542302994926e-14,9.982053802113944e-14,1.7946197886058183e-16,0.3570355433827908,99.35151494425104,0.29144951236621086,99.98740279356544,0.012597206434599793,99.98740279356544,0.012597206434599793,95.99656061911344,4.000113400279419
0.04,7.086552708205165e-13,8.767415854202955e-15,1.655535295128509e-13,9.99993905835447e-14,1.7016898810106286e-14,5.1834627418211295e-19,7.644072504088371e-18,1.035951966986154e-13,9.617771131163597e-14,9.977290801025132e-14,2.270919897486779e-16,0.3813938067977671,99.32558329453819,0.2930228986640738,99.9740213707128,0.02597862928718516,99.9740213707128,0.02597862928718516,95.99524471972775,4.000320667160246
0.05,6.677589696410299e-13,-7.145733686704265e-16,2.086833530827883e-13,9.999889828458147e-14,2.4261663071717932e-14,9.47353004124748e-19,1.1576935548304091e-17,1.0392430032586262e-13,9.580585890854081e-14,9.973015923440335e-14,2.6984076559663056e-16,0.40599697859230544,99.29878146362688,0.2952215577808393,99.95563782820567,0.044362171794338164,99.95563782820567,0.044362171794338164,95.99375408864158,4.000702681896408
0.06,6.293067986860784e-13,3.70877058757954e-15,2.349958052766861e-13,9.999829583398149e-14,3.197362101919955e-14,1.5316214398364346e-18,1.617897503447991e-17,1.0405319017387666e-13,9.563849305801462e-14,9.969168323189123e-14,3.0831676810878234e-16,0.4298501726368304,99.27213090321808,0.2980189241450877,99.93266420340662,0.06733579659338806,99.93266420340662,0.06733579659338806,95.99203602083972,4.001312151830174
0.07,5.931512017736988e-13,3.777504330459374e-15,2.6316733698970893e-13,9.999759475839077e-14,3.988387866331021e-14,2.2770843699782287e-18,2.137540006137002e-17,1.0400104591020135e-13,9.565589486281521e-14,9.965694077301651e-14,3.430592269834836e-16,0.45243438461495694,99.2461965077837,0.3013691076013568,99.90566181707042,0.09433818292957741,99.90566181707042,0.09433818292957741,95.9900433857099,4.002196210478934
0.08,5.591538729484338e-13,1.6742086002411066e-15,2.9131404308943964e-13,9.999680586555798e-14,4.7832103980846006e-14,3.1855457878639785e-18,2.7115969693220652e-17,1.0378321655889484e-13,9.584223893331243e-14,9.962545549220722e-14,3.745445077927879e-16,0.4735202552567667,99.22126205027307,0.3052176944701814,99.87524112421161,0.12475887578835751,99.87524112421161,0.12475887578835751,95.98773566143672,4.003395383069922
0.09,5.271850967394056e-13,1.2739655367075789e-15,3.158018120044325e-13,9.999593929147342e-14,5.570707570800392e-14,4.255821191792061e-18,3.335789878467488e-17,1.0341447909610702e-13,9.61823285327469e-14,9.959680762885388e-14,4.0319237114614263e-16,0.4930507259741409,99.19744110116908,0.30950817285679394,99.84200397064569,0.157996029354299,99.84200397064569,0.15799602935429893,95.9850791174592,4.004943404004647
