t,C_1,M_2,X_1,M_1,C_2,X_2
0.0,2.0,0.0,0.0,1.0,0.0,0.0
0.01,2.0004798768135874,4.119062476597066e-08,0.0009665275969960001,0.9986668661907713,1.4572798113792912e-05,1.3588661858472976e-11
0.02,2.0009595134874045,1.5707959169934778e-07,0.0018923216114628842,0.9975635711511922,2.9162606528463413e-05,1.0356132490190078e-10
0.03,2.0014389179743155,3.373439210330509e-07,0.0027848345844217652,0.9966200391441685,4.3766745653075364e-05,3.331804837103672e-10
0.04,2.0019180968100123,5.730864887588989e-07,0.0036495090460398542,0.9957955136185479,5.83832819413608e-05,7.533685790874014e-10
0.05,2.0023970554953903,8.566411982319179e-07,0.004490462610451018,0.9950638398631168,7.301073814947311e-05,1.4045848096917032e-09
0.06,2.002875798750962,1.181402966812795e-06,0.005310900619067745,0.9944070450177391,8.764794007877518e-05,2.3184455768796805e-09
0.07,2.0033543306901525,1.54168289506658e-06,0.006113373504461486,0.993812180727902,0.00010229392773028442,3.519092645964672e-09
0.08,2.0038326549465304,1.9325795446431926e-06,0.00689995244349331,0.9932695294783553,0.00011694789771984404,5.024398645227171e-09
0.09,2.004310774764088,2.3498704610634725e-06,0.007672345683020779,0.9927715898577374,0.00013160916638049405,6.846973710903369e-09
0.1,2.004788693064229,2.789920303259651e-06,0.00843197986871617,0.9923124418339657,0.00014627714415790138,8.995010767611385e-09
0.11,2.005266412500705,3.2495963726255967e-06,0.00918006295853468,0.9918873018569678,0.00016095131581273563,1.1473055745943817e-08
0.12,2.0057439354990922,3.726200384354214e-06,0.009917627438991888,0.991492247451137,0.00017563122713435032,1.4282622102486073e-08
0.13,2.0062212642897164,4.217407247234112e-06,0.010645564423256985,0.9911240128504436,0.0001903164741801366,1.742273648187873e-08
0.14,2.0066984009327826,4.721214804134642e-06,0.011364648682864154,0.9907798487548559,0.00020500669537707096,2.0890380951776237e-08
0.15,2.007175347339476,5.2358991832027e-06,0.01207555833194961,0.9904574177226086,0.00021970156507013572,2.4680881039578183e-08
0.16,2.0076521052906755,5.7599737240367755e-06,0.012778891997382469,0.9901547068027227,0.0002344007879713544,2.878825757141486e-08
0.17,2.0081286764504047,6.292158100848193e-06,0.01347518049979522,0.989869972453406,0.00024910409537409777,3.320548470085015e-08
0.18,2.008605062378605,6.83134889714782e-06,0.01416489740683878,0.9896016914796335,0.0002638112415827364,3.792473238332655e-08
0.19,2.0090812645413005,7.3765951632158665e-06,0.01484846711405552,0.989348525046039,0.00027852200111347413,4.293756348985463e-08
0.2,2.0095572843195466,7.927077524586987e-06,0.015526271626117997,0.9891092895084578,0.0002932361663391561,4.823509725863089e-08
0.21,2.0100331230161363,8.48209201270301e-06,0.016198655538958297,0.9888829351833791,0.00030795354570772345,5.3808134596312403e-08
0.22,2.010508781865908,9.041025157453163e-06,0.016865933408869313,0.9886685159274617,0.00032267396106176857,5.964734670223226e-08
0.23,2.010984262037851,9.603351224284012e-06,0.01752839094405684,0.9884651857833713,0.00033739724729945855,6.574328306477552e-08
0.24,2.0114595646407,1.0168619599457204e-05,0.018186288630359822,0.9882721849879128,0.00035212325101734236,7.208645890127029e-08
0.25,2.0119346907287916,1.0736440734884957e-05,0.01883986525781417,0.9880888253398126,0.00036685182896474257,7.866745547638255e-08
0.26,2.0124096413060446,1.1306477591973801e-05,0.01948934053329428,0.9879144807065423,0.0003815828471422828,8.547697309421263e-08
0.27,2.012884417329184,1.1878438732686825e-05,0.02013491687831151,0.9877485807771744,0.0003963161800696475,9.250586959982602e-08
0.28,2.013359019711301,1.2452073604218452e-05,0.02077678123151028,0.9875906046351014,0.0004110517100807203,9.97451781489016e-08
0.29,2.0138334493247254,1.3027166436688649e-05,0.021415106598597442,0.9874400752496606,0.00042578932666167746,1.0718613994479446e-07
0.3,2.0143077070035984,1.3603531050386244e-05,0.022050053352299186,0.9872965549092486,0.00044052892586673363,1.1482022945193998e-07
0.31,2.014781793548282,1.4181003256976113e-05,0.022681771795915084,0.9871596359143926,0.0004552704093794241,1.2263919633651937e-07
0.32,2.015255709724231,1.4759444583618738e-05,0.02331040088960319,0.9870289460626508,0.0004700136848430276,1.3063501900350412e-07
0.33,2.0157294562656873,1.533873528379826e-05,0.023936070318591757,0.9869041411730222,0.0004847586650437759,1.3879994303271175e-07
0.34,2.0162030338790333,1.591876846337229e-05,0.024558902315469127,0.9867848985087703,0.0004995052671861826,1.471265109291528e-07
0.35000000000000003,2.0166764432414106,1.64994565922292e-05,0.025179010172648102,0.9866709227796459,0.0005142534133512796,1.556074942520376e-07
0.36,2.017149685005203,1.7080721614958474e-05,0.02579650087969172,0.9865619366510517,0.0005290030294602238,1.642359544667485e-07
0.37,2.017622759798475,1.7662495415079367e-05,0.026411475070018328,0.9864576811986174,0.0005437540452287721,1.7300522584953853e-07
0.38,2.0180956682251066,1.8244720728290874e-05,0.027024026806689822,0.9863579169240874,0.0005585063941841815,1.8190889599388684e-07
0.39,2.0185684108683644,1.8827345344449575e-05,0.027634245391287678,0.9862624174964518,0.0005732600129192357,1.9094083086179835e-07
0.4,2.0190409882902207,1.9410325492053634e-05,0.028242214706130146,0.9861709723062476,0.0005880148413249844,2.000951390092196e-07
0.41000000000000003,2.0195134010331377,1.9993623312210335e-05,0.02884801398159827,0.986083383946013,0.0006027708222329482,2.0936617533487008e-07
0.42,2.0199856496216495,2.0577204700804128e-05,0.029451718462497806,0.985999466022143,0.0006175279010983906,2.187485430784993e-07
0.43,2.0204577345619654,2.1161041522416408e-05,0.030053399002880277,0.9859190446437147,0.0006322860261308842,2.2823706986784025e-07
0.44,2.0209296563441335,2.174510862354087e-05,0.030653123002950755,0.9858419553914067,0.0006470451478718496,2.3782681211545592e-07
0.45,2.0214014154421056,2.2329384249349955e-05,0.0312509543141504,0.9857680437005023,0.0006618052192023002,2.475130455256282e-07
0.46,2.021873012314153,2.291385000318539e-05,0.03184695330744407,0.98569716470952,0.0006765661952814117,2.572912567441055e-07
0.47000000000000003,2.022344447405309,2.3498488435971618e-05,0.032441177870431444,0.9856291800837979,0.0006913280330881797,2.671571384908203e-07
0.48,2.022815721147754,2.4083282980709726e-05,0.03303368346537678,0.9855639578939346,0.0007060906913651296,2.771065818419786e-07
0.49,2.0232868339592907,2.4668220857459682e-05,0.03362452236642497,0.9855013751831577,0.0007208541309514525,2.8713566020858435e-07
0.5,2.023757786244138,2.5253292601026016e-05,0.03421374390811643,0.9854413172275174,0.0007356183146480053,2.9724062176201827e-07
0.51,2.024228578396158,2.583848803311896e-05,0.03480139579808029,0.9853836733159452,0.000750383206589629,3.074178907586673e-07
0.52,2.024699210798417,2.6423797580840563e-05,0.03538752382786932,0.9853283377667517,0.0007651487723589829,3.1766405559030747e-07
0.53,2.025169683821939,2.700921418854667e-05,0.035972171274168394,0.9852752117965525,0.0007799149792362989,3.27975863713132e-07
0.54,2.025639997827071,2.759473219643203e-05,0.036555379382813225,0.9852242020603063,0.0007946817959576692,3.3835021308631116e-07
0.55,2.0261101531651735,2.8180345831120347e-05,0.03713718799131448,0.9851752187655428,0.0008094491924104705,3.487841431640773e-07
0.56,2.026580150178512,2.876604974172941e-05,0.03771763540570227,0.9851281760779746,0.0008242171396680762,3.592748288806158e-07
0.5700000000000001,2.027049989198954,2.9351839349904702e-05,0.03829675792982124,0.9850829935671083,0.0008389856102047677,3.698195914963538e-07
0.58,2.027519670549634,2.9937710300328434e-05,0.03887459038791589,0.9850395946444112,0.0008537545776233525,3.8041588068220753e-07
0.59,2.027989194545913,3.0523658122369466e-05,0.03945116641406596,0.9849979057074,0.0008685240164971632,3.910612633549988e-07
0.6,2.028458561495319,3.1109678323409706e-05,0.04002651839447725,0.9849578563366393,0.0008832939023849189,4.017534216996173e-07
0.61,2.0289277716967393,3.169576824514728e-05,0.04060067712745157,0.9849193803711623,0.0008980642120170099,4.1249014824746763e-07
0.62,2.029396825441839,3.228192533016126e-05,0.04117367229124093,0.984882414493018,0.0009128349230230274,4.2326933864454484e-07
0.63,2.029865723015513,3.2868146948124016e-05,0.04174553256089723,0.9848468978940382,0.0009276060138586102,4.3408898542330563e-07
0.64,2.0303344646959185,3.345443072987815e-05,0.04231628558169554,0.9848127723751182,0.0009423774638120469,4.449471737360114e-07
0.65,2.0308030507537844,3.404077492459822e-05,0.042885957734687924,0.9847799830189251,0.0009571492531171728,4.558420884760552e-07
0.66,2.0312714814537665,3.4627177977535554e-05,0.043454574523562585,0.9847484770954479,0.0009719213627392968,4.66771995876134e-07
0.67,2.0317397570546447,3.521363855014321e-05,0.04402216060886356,0.9847182039705495,0.0009866937743467112,4.777352395928112e-07
