t,Y,M,preMPF,Cdc25P,Wee1,IEP,APC_
0.0,0.01577552,0.0142077,0.02541723,0.4844362,0.5155638,0.002287817,0.5051103
0.01,0.01579262982696634,0.014207898635177418,0.025469336435042917,0.48396840628946625,0.516031593710534,0.0022877944169138738,0.5041108992068624
0.02,0.015809601611747454,0.014208260011826021,0.025521531456338894,0.4835026646846234,0.5164973353153767,0.002287787459694745,0.5031128230198917
0.03,0.015826437354866385,0.014208780892435977,0.02557381633652858,0.48303899064403033,0.5169610093559698,0.002287799375531929,0.5021160714865066
0.04,0.015843139326744186,0.014209457642284715,0.025626192481389382,0.48257740132487414,0.5174225986751259,0.002287832962265948,0.5011206446670494
0.05,0.01585970878446455,0.014210288306220375,0.025678660613516036,0.48211790566181933,0.5178820943381807,0.002287888782291802,0.5001265425997145
0.06,0.015876148219282554,0.014211268942211345,0.025731222230453682,0.48166052202534165,0.5183394779746583,0.002287969105328252,0.4991337653546418
0.07,0.01589246001541426,0.01421239576813244,0.025783878774612214,0.4812052680899359,0.5187947319100642,0.002288076266613237,0.4981423129981698
0.08,0.01590864604152385,0.014213665932080559,0.02583663126705785,0.4807521566110412,0.5192478433889589,0.0022882107536272103,0.4971521855846583
0.09,0.01592470790732426,0.014215077049384212,0.025889480517224457,0.48030119787335546,0.5196988021266445,0.0022883721257596613,0.4961633831624507
0.1,0.015940647517125563,0.01421662620382361,0.02594242757531047,0.4798524049724275,0.5201475950275726,0.0022885609982472447,0.495175905786735
0.11,0.015956466725579897,0.014218310603581223,0.025995473417127265,0.4794057901880453,0.5205942098119547,0.0022887774511023834,0.49418975351070166
0.12,0.015972167263781048,0.014220127766376068,0.02604861883339703,0.47896136377022874,0.5210386362297713,0.002289020232597474,0.4932049263825705
0.13,0.01598775093572622,0.014222075027290603,0.02610186472405056,0.4785191371666263,0.5214808628333737,0.0022892888767745215,0.49222142445349415
0.14,0.016003219534457845,0.014224149747299485,0.026155211974155063,0.4780791216589159,0.5219208783410841,0.0022895830121240613,0.4912392477713246
0.15,0.016018574716291277,0.014226349616596946,0.026208661277226243,0.4776413264026624,0.5223586735973377,0.002289902616159543,0.49025839635388535
0.16,0.016033818179293186,0.01422867222484593,0.026262213385272442,0.4772057612026657,0.5227942387973343,0.0022902475598159293,0.4892788702281695
0.17,0.016048951640829336,0.014231115115209433,0.02631586907736988,0.47677243616415477,0.5232275638358452,0.0022906176628647488,0.4883006694254281
0.18,0.016063976726373604,0.014233676049819666,0.026369629006138973,0.47634135998808513,0.523658640011915,0.0022910128365454044,0.487323793958189
0.19,0.016078895029159938,0.014236352867633358,0.0264234937798336,0.4759125408827283,0.5240874591172718,0.002291433024188455,0.4863482438324111
0.2,0.016093708150914817,0.0142391433852657,0.02647746402050388,0.47548598720525553,0.5245140127947445,0.002291877966106107,0.48537401905817945
0.21,0.01610841763881071,0.014242045544224523,0.02653154028024162,0.4750617065255201,0.52493829347448,0.002292346985072253,0.4844011196402739
0.22,0.016123025057810055,0.014245057245225635,0.026585723134014905,0.47463970667088184,0.5253602933291183,0.002292839591020811,0.48342954558451395
0.23,0.01613753190576422,0.014248176541931655,0.026640013071405073,0.47421999450833613,0.5257800054916639,0.002293355326228866,0.4824592968828039
0.24,0.01615194273128172,0.014251397586564822,0.026694411518729578,0.47380259026543176,0.5261974097345682,0.0022938929731780248,0.4814903734931755
0.25,0.016166250436876327,0.014254729428191218,0.02674891632323668,0.4733874631326089,0.5266125368673912,0.002294454284190748,0.48052277550068273
0.26,0.016180463915515652,0.014258160738339552,0.02680353017284905,0.47297465161615554,0.5270253483838444,0.002295037079629412,0.47955650279629486
0.27,0.016194583551072648,0.01426169105735368,0.02685825315531105,0.472564157087902,0.5274358429120979,0.0022956412529744267,0.47859155536875897
0.28,0.016208610537711058,0.014265318955321165,0.026913085543580535,0.47215598381537965,0.5278440161846203,0.0022962664728613776,0.4776279331830692
0.29,0.016222545034658916,0.014269044240891409,0.026968027374730908,0.4717501323739169,0.5282498676260831,0.002296912695785243,0.4766656362345618
0.3,0.016236389270051603,0.014272864225251921,0.02702307917854649,0.4713466109166216,0.5286533890833783,0.002297579323983613,0.4757046644580398
