t,T,I,E,Il
0.0,1.0,1.0,1.0,1.0
0.01,1.0998845259489585,0.9965162474829047,1.001311637638925,0.999899988088879
0.02,1.1997581067717142,0.9930449724544037,1.0026253377883951,0.999799952402827
0.03,1.2996207501702775,0.98958612966734,1.0039410987707358,0.9996998930643362
0.04,1.3994724649461254,0.9861396673643973,1.0052589186283185,0.9995998102135608
0.05,1.4993132560089697,0.9827055565416695,1.006578796180517,0.9994997039291288
0.06,1.5991431327937702,0.9792837416272386,1.0079007292687705,0.9993995743615838
0.07,1.6989621042867347,0.9758741697174241,1.0092247158539789,0.9992994216542243
0.08,1.798770179474071,0.9724767879085453,1.010550753897043,0.999199245950349
0.09,1.8985673661458893,0.969091550199231,1.0118788414981066,0.9990990473746769
0.1,1.998353670637838,0.9657184189813605,1.013208976926635,0.9989988260293331
0.11,2.0981291006686376,0.9623573486655258,1.0145411582910828,0.9988985820379274
0.12,2.197893663979322,0.9590082935335589,1.015875383697307,0.9987983155244161
0.13,2.297647368279197,0.9556712080221594,1.01721165123137,0.99869802661236
0.14,2.3973902209644002,0.952346048096592,1.0185499587839577,0.9985977154214136
0.15,2.49712222955,0.9490327691416225,1.0198903043199534,0.9984973820727151
0.16,2.5968434016113524,0.9457313262477546,1.0212326858418521,0.9983970266881543
0.17,2.696553744723814,0.9424416745054922,1.0225771013521492,0.9982966493896211
0.18,2.796253266047131,0.9391637710553608,1.0239235485837506,0.9981962502937558
0.19,2.8959419734706264,0.9358975694392017,1.0252720257428094,0.998095829526414
0.2,2.9956198738767306,0.9326430281654234,1.0266225303823475,0.9979953872007329
0.21,3.0952869747526868,0.9294001027591534,1.0279750604477051,0.9978949234374894
0.22,3.194943283514908,0.9261687490966519,1.02932961383657,0.9977944383565601
0.23,3.294588807296653,0.9229489244633956,1.0306861882507772,0.997693932074204
0.24,3.3942235533200065,0.9197405857003734,1.0320447814559488,0.997593404707823
0.25,3.4938475288012083,0.9165436896758576,1.0334053912154157,0.9974928563747499
0.26,3.5934607409087036,0.913358193494461,1.034768015260935,0.9973922871917122
0.27,3.6930631967631427,0.9101840544971365,1.0361326512926907,0.9972916972748314
0.28,3.7926549034373798,0.9070212302611772,1.0374992969792929,0.9971910867396234
0.29,3.892235867956474,0.9038696786002167,1.038867949957779,0.9970904557009987
0.3,3.991806097297692,0.9007293575642289,1.0402386078336132,0.9969898042732621
0.31,4.091365598419474,0.8976002253016454,1.0416112681929297,0.996889132570462
0.32,4.190914378390472,0.8944822394452787,1.0429859286570664,0.9967884407079455
0.33,4.290452444141423,0.8913753582931692,1.044362586777701,0.9966877287993683
0.34,4.389979802541061,0.8882795404473205,1.045741240068933,0.9965869969576089
0.35000000000000003,4.489496460417859,0.885194744710196,1.0471218860164746,0.9964862452950309
0.36,4.589002424560042,0.8821209300847175,1.0485045220776512,0.9963854739234834
0.37,4.6884977017155745,0.8790580557742655,1.049889145681401,0.9962846829543006
0.38,4.7879822985921665,0.8760060811826801,1.0512757542282756,0.9961838724983021
0.39,4.887456221857272,0.8729649659142596,1.0526643450904392,0.9960830426657924
0.4,4.986919478174475,0.8699346695992192,1.054054915626726,0.9959821935670043
0.41000000000000003,5.086372074320462,0.8669151513325033,1.0554474632310513,0.995881325313522
0.42,5.1858140169346045,0.8639063708751417,1.0568419852287758,0.9957804380152336
0.43,5.2852453126067696,0.8609082882330163,1.0582384789130437,0.9956795317814001
0.44,5.384665967894135,0.8579208635761543,1.0596369415517446,0.9955786067208596
0.45,5.484075989321191,0.8549440572387267,1.0610373703875144,0.9954776629420281
0.46,5.583475383379745,0.8519778297190496,1.062439762637734,0.9953767005528983
0.47000000000000003,5.682864156528917,0.8490221416795833,1.0638441154945304,0.9952757196610407
0.48,5.782242315195141,0.8460769539469329,1.0652504261247762,0.9951747203736029
0.49,5.88160986578079,0.8431422274766953,1.0666586916655643,0.9950737027973945
0.5,5.980966814683764,0.840217923273597,1.0680689092139282,0.9949726670390784
0.51,6.080313168249617,0.8373040025866423,1.0694810758519622,0.9948716132047027
0.52,6.17964893279028,0.8344004268328193,1.0708951886370002,0.9947705413998835
0.53,6.278974114586461,0.8315071575872878,1.0723112446003533,0.9946694517298287
0.54,6.378288719887646,0.8286241565833781,1.0737292407473091,0.9945683442993376
0.55,6.477592754912103,0.8257513857125923,1.0751491740571322,0.9944672192128016
0.56,6.576886225846878,0.8228888070246038,1.0765710414830634,0.9943660765742034
0.5700000000000001,6.676169138847798,0.8200363827272565,1.0779948399523207,0.9942649164871178
0.58,6.7754414999998955,0.8171940753544134,1.0794205663879974,0.9941637390543039
0.59,6.874703315554044,0.8143618467622313,1.0808482175781087,0.9940625443801401
0.6,6.973954591505173,0.8115396599182595,1.082277790409011,0.9939613325662844
0.61,7.073195333903376,0.8087274775817954,1.083709281693231,0.9938601037148751
0.62,7.172425548767948,0.8059252626685156,1.0851426882170383,0.9937588579276468
0.63,7.271645242087542,0.8031329782498119,1.086578006740359,0.9936575953059317
0.64,7.370854419820327,0.8003505875521282,1.0880152339966889,0.9935563159506612
0.65,7.470053087894143,0.7975780539562968,1.0894543666930072,0.9934550199623674
0.66,7.569241252206655,0.794815340996875,1.0908954015096894,0.9933537074411855
