t,R2C2,cAMP,GEFa,GAPa,RGTP,CYCLa,PDEa,MN,MCP,MC,MNP
0.0,0.5,1.0,0.36,0.5,0.1,0.1,0.5,0.25,0.25,0.25,0.25
0.01,0.4955363300620364,0.9884140929923206,0.3601236564166042,0.49839732892759503,0.09602163587668378,0.10119756025949063,0.4902916003834044,0.2707318382322597,0.26552503471498484,0.2342341771824231,0.22950894987033238
0.02,0.4912386362661888,0.9773100350979014,0.36024718852202336,0.4968557284198087,0.0921116068109498,0.10229228492519288,0.48077371007672004,0.2897255367373533,0.27894540618359875,0.22012715806561303,0.21120189901343495
0.03,0.48709745833738405,0.9666650759742769,0.36037059648483233,0.49537295744489324,0.08826822802893851,0.10328715515225755,0.4714399500533107,0.30715512725060606,0.2904948460109451,0.2074956629760615,0.19485436376238724
0.04,0.48310403075114555,0.9564577601460076,0.3604938804732561,0.49394690028367716,0.08448994259072726,0.10418504560316984,0.46228432154566973,0.3231739247023444,0.30037957074876565,0.1961798693264908,0.18026663522239908
0.05,0.4792502218595862,0.9466678343803518,0.36061704065516387,0.4925755576172984,0.08077532411805179,0.10498873064833483,0.4533011794062502,0.3379178779003639,0.3087826153291214,0.18603924079058892,0.16726026597992566
0.06,0.4755284782336121,0.9372761610773238,0.3607400771980704,0.4912570381845078,0.07712308089890278,0.10570089065142337,0.44448520722942525,0.3515081576789321,0.3158671555330802,0.17694942198066083,0.1556752648073268
0.07,0.4719317752334926,0.9282646400689651,0.36086299026913676,0.4899895512316191,0.07353206173998655,0.10632411809031103,0.43583139488928274,0.36405319000348646,0.32177910113479397,0.1687998772524404,0.14536783160927916
0.08,0.4684535721230064,0.9196161364589881,0.36098578003517157,0.48877139954236365,0.07000126392267693,0.10686092368834385,0.42733501784772626,0.3756503212687816,0.3266492192275956,0.16149200508329367,0.13620845442032897
0.09,0.4650877717263412,0.9113144147321871,0.3611084466626323,0.4876009730640943,0.06652984351357474,0.10731374253695372,0.418991618275379,0.38638718736192634,0.3305948844650229,0.15493761962412914,0.12808030854892158
0.1,0.4618286844017311,0.9033440788748414,0.36123099031762623,0.48647674310624284,0.06311712884123327,0.107684940311529,0.41079698791188163,0.3963428312480908,0.33372151998233046,0.14905773107116393,0.1208779176984148
0.11,0.45867099492829877,0.8956905166731046,0.36135341116591135,0.4853972569332855,0.05976263727767428,0.10797681966132788,0.4027471521231039,0.4055886843996161,0.33612387701443575,0.14378147502983205,0.11450596355611609
0.12,0.4556097328962537,0.8883398490596901,0.36147570937289775,0.4843611328404781,0.05646609660526515,0.10819162685921654,0.39483835542187967,0.4141893717183312,0.33788710629246116,0.13904523832800583,0.10887828366120178
0.13,0.45264024578199114,0.881278883446785,0.3615978851036485,0.48336705560224336,0.05322747181673077,0.10833155883728451,0.3870670481175684,0.42220340717192223,0.33908770315235265,0.134791898450403,0.1039169912253221
0.14,0.44975817447343636,0.8744950707712145,0.3617199385228808,0.48241377227000753,0.05004699878733076,0.10839877074857562,0.3794298740222531,0.4296837974451249,0.339794346362509,0.13097015734090348,0.09955169885146263
