t,V,n,jm,Ca_i,Ca_er
0.0,-61.0,0.0005,0.12,0.11,9.0
0.01,-61.000027781878025,0.0004999348190234263,0.11999987475330776,0.11000157012030237,8.999999628828665
0.02,-61.000055559826215,0.0004998697662305954,0.11999974950578397,0.1100031401587759,8.99999925767122
0.03,-61.00008333385165,0.0004998048413711748,0.11999962425742874,0.1100047101154259,8.999998886527662
0.04,-61.000111103962475,0.0004997400441573352,0.11999949900824228,0.11000627999025851,8.999998515397992
0.05,-61.000138870162864,0.0004996753744416564,0.1199993737582246,0.11000784978327706,8.999998144282207
0.06,-61.00016663246092,0.000499610831937964,0.11999924850737591,0.1100094194944877,8.999997773180308
0.07,-61.000194390864316,0.0004995464163750625,0.11999912325569632,0.11001098912389626,8.999997402092294
0.08,-61.00022214538073,0.0004994821274817566,0.11999899800318599,0.11001255867150855,8.999997031018163
0.09,-61.00024989601784,0.0004994179649868508,0.11999887274984507,0.1100141281373304,8.999996659957915
0.1,-61.000277642783324,0.00049935392861915,0.11999874749567369,0.11001569752136763,8.999996288911548
0.11,-61.00030538568485,0.0004992900181074587,0.119998622240672,0.11001726682362606,8.999995917879062
0.12,-61.0003331247301,0.0004992262331805815,0.11999849698484015,0.11001883604411151,8.999995546860456
0.13,-61.00036085992675,0.0004991625735673231,0.11999837172817829,0.11002040518282982,8.999995175855727
0.14,-61.00038859128248,0.0004990990389964881,0.11999824647068656,0.1100219742397868,8.999994804864876
0.15,-61.00041631880496,0.0004990356291968813,0.11999812121236511,0.11002354321498825,8.999994433887903
0.16,-61.00044404250184,0.0004989723438982823,0.11999799595321407,0.11002511210844003,8.999994062924806
0.17,-61.00047176237871,0.0004989091829036198,0.11999787069323357,0.11002668092014677,8.999993691975583
0.18,-61.00049947844154,0.000498846146001176,0.11999774543242371,0.11002824965011339,8.999993321040233
0.19,-61.00052719069749,0.0004987832329383586,0.11999762017078462,0.11002981829834542,8.999992950118756
0.2,-61.00055489915371,0.0004987204434625754,0.11999749490831645,0.11003138686484842,8.99999257921115
0.21,-61.00058260381735,0.0004986577773212341,0.11999736964501932,0.11003295534962791,8.999992208317417
0.22,-61.000610304695556,0.0004985952342617422,0.11999724438089339,0.11003452375268942,8.999991837437554
0.23,-61.00063800179548,0.0004985328140315076,0.11999711911593877,0.1100360920740385,8.99999146657156
0.24,-61.000665695124276,0.0004984705163779379,0.11999699385015561,0.11003766031368067,8.999991095719434
0.25,-61.00069338468908,0.0004984083410484409,0.11999686858354404,0.11003922847162148,8.999990724881174
0.26,-61.00072107049706,0.0004983462877904242,0.1199967433161042,0.11004079654786644,8.999990354056782
0.27,-61.000748752555346,0.0004982843563512956,0.11999661804783622,0.11004236454242113,8.999989983246255
0.28,-61.0007764308711,0.0004982225464784627,0.11999649277874025,0.11004393245529104,8.99998961244959
0.29,-61.00080410545099,0.0004981608579362071,0.1199963675088164,0.11004550028648169,8.999989241666793
0.3,-61.00083177630141,0.0004980992904983189,0.1199962422380648,0.11004706803599859,8.999988870897855
0.31,-61.00085944342934,0.0004980378439184866,0.11999611696648557,0.11004863570384725,8.999988500142779
0.32,-61.00088710684175,0.0004979765179502892,0.11999599169407887,0.1100502032900332,8.999988129401565
0.33,-61.00091476654561,0.0004979153123473057,0.11999586642084482,0.11005177079456196,8.999987758674209
0.34,-61.00094242254791,0.000497854226863115,0.11999574114678355,0.11005333821743907,8.999987387960713
0.35000000000000003,-61.00097007485561,0.0004977932612512963,0.11999561587189518,0.11005490555867004,8.999987017261073
0.36,-61.00099772347568,0.0004977324152654281,0.11999549059617987,0.11005647281826039,8.999986646575293
0.37,-61.00102536841511,0.0004976716886590897,0.11999536531963773,0.11005803999621568,8.999986275903366
0.38,-61.00105300968086,0.0004976110811858599,0.1199952400422689,0.11005960709254138,8.999985905245294
0.39,-61.00108064727991,0.0004975505925993177,0.11999511476407353,0.11006117410724306,8.999985534601077
0.4,-61.00110828121924,0.0004974902226530422,0.11999498948505172,0.11006274104032623,8.999985163970713
0.41000000000000003,-61.00113591149535,0.0004974299714692534,0.11999486420520344,0.11006430789179579,8.999984793354201
0.42,-61.00116353813785,0.0004973698380042056,0.11999473892452922,0.11006587466165862,8.99998442275154
0.43,-61.001191161139445,0.0004973098225145426,0.11999461364302894,0.11006744134991939,8.999984052162729
0.44,-61.00121878050706,0.0004972499247549383,0.11999448836070273,0.11006900795658363,8.999983681587766
0.45,-61.00124639624764,0.0004971901444805605,0.11999436307755072,0.11007057448165686,8.999983311026652
0.46,-61.001274008368085,0.0004971304814470714,0.11999423779357304,0.11007214092514458,8.999982940479386
0.47000000000000003,-61.00130161687531,0.0004970709354106266,0.11999411250876983,0.11007370728705235,8.999982569945965
0.48,-61.001329221776196,0.0004970115061278764,0.11999398722314121,0.11007527356738567,8.999982199426391
0.49,-61.001356823077614,0.0004969521933559643,0.11999386193668733,0.11007683976615006,8.99998182892066
0.5,-61.00138442078642,0.0004968929968525286,0.1199937366494083,0.11007840588335102,8.999981458428774
0.51,-61.00141201490948,0.000496833916375701,0.11999361136130426,0.1100799719189941,8.99998108795073
0.52,-61.00143960545359,0.0004967749516841076,0.11999348607237534,0.1100815378730848,8.999980717486526
0.53,-61.00146719242527,0.0004967161025485842,0.11999336078262167,0.11008310374562863,8.999980347036164
0.54,-61.00149477582935,0.0004966573687972907,0.11999323549204333,0.11008466953663093,8.999979976599642
0.55,-61.001522355672265,0.0004965987502033366,0.11999311020064045,0.11008623524609722,8.999979606176959
0.56,-61.001549931960724,0.0004965402465295698,0.11999298490841316,0.11008780087403298,8.999979235768112
0.5700000000000001,-61.00157750470142,0.0004964818575393504,0.1199928596153616,0.11008936642044374,8.999978865373103
0.58,-61.00160507390105,0.0004964235829965503,0.11999273432148588,0.110090931885335,8.99997849499193
0.59,-61.00163263956626,0.0004963654226655537,0.11999260902678613,0.11009249726871227,8.999978124624592
0.6,-61.001660201703714,0.000496307376311257,0.11999248373126249,0.11009406257058105,8.999977754271088
0.61,-61.001687760320046,0.0004962494436990683,0.11999235843491507,0.11009562779094684,8.999977383931418
0.62,-61.00171531542189,0.0004961916245949083,0.11999223313774401,0.11009719292981515,8.999977013605578
0.63,-61.00174286701584,0.0004961339187652097,0.11999210783974942,0.11009875798719149,8.99997664329357
0.64,-61.00177041510851,0.0004960763259769169,0.11999198254093145,0.11010032296308134,8.999976272995394
0.65,-61.00179795970646,0.0004960188459974868,0.1199918572412902,0.11010188785749023,8.999975902711045
0.66,-61.00182550081627,0.0004959614785948884,0.11999173194082582,0.11010345267042362,8.999975532440525
0.67,-61.00185303844449,0.0004959042235376025,0.11999160663953842,0.11010501740188706,8.999975162183832
0.68,-61.00188057259764,0.0004958470805946223,0.11999148133742812,0.11010658205188602,8.999974791940966
0.6900000000000001,-61.00190810328227,0.0004957900495354532,0.11999135603449507,0.11010814662042599,8.999974421711924
0.7000000000000001,-61.00193563050486,0.0004957331301301121,0.11999123073073936,0.11010971110751248,8.999974051496709
0.71,-61.00196315427193,0.0004956763221491288,0.11999110542616113,0.110111275513151,8.999973681295316
0.72,-61.00199067458993,0.0004956196253635447,0.11999098012076052,0.11011283983734702,8.999973311107745
0.73,-61.002018191465346,0.0004955630395449132,0.11999085481453765,0.11011440408010603,8.999972940933997
0.74,-61.002045704904624,0.0004955065644653003,0.11999072950749262,0.11011596824143355,8.99997257077407
0.75,-61.00207321491419,0.0004954501998972837,0.11999060419962557,0.11011753232133505,8.999972200627962
0.76,-61.00210072150047,0.0004953939456139534,0.11999047889093661,0.11011909631981603,8.999971830495673
0.77,-61.00212822466987,0.0004953378013889114,0.11999035358142589,0.11012066023688198,8.999971460377202
0.78,-61.00215572442878,0.0004952817669962717,0.11999022827109351,0.1101222240725384,8.999971090272547
