t,Cdc13T,M,Ste9,Slp1,preMPF,SK,Slp1T,IEP,Rum1T
0.0,0.2,1.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0
0.01,0.19782191331456717,1.0000500012500213,0.995831817095474,2.1953044537219113,0.0024704373115669877,0.0008857571455639738,0.0005215975912561688,0.0001913987888181401,0.0009970095050222943
0.02,0.1956720610390415,1.0001000050001676,0.9959836773742795,2.190615452780203,0.004857311867130937,0.0017808326073736516,0.0009990021283120027,0.0003701668999224256,0.001988270786869647
0.03,0.1935494472177183,1.0001500112505632,0.9961288938110118,2.185932869081881,0.007161872086378728,0.0026834874535399244,0.0014355503758317464,0.0005371385953474086,0.0029741175346273113
0.04,0.1914537325775229,1.000200020001334,0.9962677865748593,2.181256582070098,0.009385647203274521,0.0035923792662388007,0.001834464834765646,0.0006930640855200333,0.003954867917291961
0.05,0.18938457977926101,1.0002500312526046,0.9964007154791185,2.176586477941853,0.011530344650639629,0.004506449049107083,0.0021988355859532487,0.0008386230242261467,0.004930825541163256
0.06,0.18734165786692053,1.0003000450045003,0.996528010961599,2.1719224504447237,0.013597762283686907,0.005424859982894746,0.0025315651365446197,0.0009744263132573874,0.005902276180201374
0.07,0.1853246381585185,1.0003500612571463,0.9966499848441405,2.167264398865483,0.015589764821250907,0.006346930414878528,0.0028353977190013952,0.0011010335459722977,0.006869492284337986
0.08,0.1833331944855999,1.0004000800106676,0.9967669246413087,2.1626122276644506,0.01750825396400851,0.00727209875939748,0.003112911205740505,0.0012189592372665457,0.007832733368515428
0.09,0.1813670051975891,1.0004501012651892,0.9968791003927443,2.1579658466891978,0.01935513663455619,0.008199901212780492,0.003366497437992051,0.0013286750609035197,0.008792244907561086
0.1,0.17942575190429044,1.0005001250208359,0.9969867652707187,2.1533251702125717,0.021132316793430573,0.009129945504403103,0.0035983819846480774,0.0014306185702991849,0.009748260506484856
0.11,0.1775091198291746,1.0005501512777328,0.9970901542916056,2.148690116884784,0.02284168382991229,0.010061899851348945,0.0038106180345091134,0.001525195311690539,0.010701001729670697
0.12,0.1756167974007213,1.0006001800360051,0.9971894876052376,2.1440606089734175,0.024485107603057343,0.010995475841177027,0.00400511149924186,0.0016127856286896208,0.01165067998841386
0.13,0.17374847705960758,1.000650211295778,0.9972849704451101,2.139436573065509,0.02606442964867505,0.011930432934935993,0.004183589411409173,0.0016937405641174914,0.012597494383099983
0.14,0.1719038547955759,1.0007002450571767,0.9973767958939298,2.1348179392312483,0.027581460431062497,0.012866562777963152,0.004347630296133502,0.0017683888674135692,0.013541633788261507
0.15,0.17008262997653215,1.0007502813203257,0.9974651441149044,2.130204640605377,0.02903797719040916,0.013803680880025992,0.004498680804440589,0.0018370407273165315,0.01448327789133325
0.16,0.1682845054264388,1.0008003200853506,0.9975501847190172,2.125596613303192,0.03043572176792177,0.014741623780454313,0.004638061153741456,0.001899988923080728,0.01542259737615259
0.17,0.1665091874749878,1.000850361352376,0.9976320756644471,2.12099379637278,0.03177639961662117,0.01568024773522372,0.0047669690646193015,0.001957509434048336,0.01635975403764867
0.18,0.164756385978397,1.0009004051215273,0.9977109660222071,2.1163961316524174,0.033061678516052545,0.016619425830659933,0.00488648832930227,0.002009862854563373,0.017294901136726236
0.19,0.1630258142778317,1.00095045139293,0.997786997417494,2.1118035635913066,0.03429318816957234,0.017559045244703586,0.004997598587802507,0.0020572958920486695,0.018228183865835298
0.2,0.16131718916346802,1.0010005001667086,0.9978602960548346,2.1072160390929544,0.03547252006963712,0.018499005013845195,0.005101184513571198,0.002100042650940386,0.019159739775769916
0.21,0.15963023083908728,1.0010505514429884,0.997931000569078,2.102633507384819,0.03660122756337312,0.019439214359725763,0.00519804414162031,0.0021383256705566787,0.02008969914478844
0.22,0.15796466293002356,1.0011006052218945,0.9979991798535793,2.098055919911015,0.03768082603022624,0.02037959144243146,0.005288896028228406,0.0021723567508176085,0.02101818529167429
0.23,0.15632021238797322,1.0011506615035524,0.9980650414971577,2.0934832302654676,0.03871279316870444,0.021320062634044297,0.005374384139390718,0.0022023374655587647,0.021945314792589484
0.24,0.15469660959501896,1.0012007202880868,0.9981285974855945,2.0889153940303453,0.03969856936228418,0.02226056085776076,0.0054550883770079555,0.002228460336054348,0.022871197942420755
0.25,0.15309358828600514,1.001250781575623,0.9981899816769034,2.084352368741685,0.040639557454406984,0.02320102508509724,0.005531528865147923,0.0022509091549529803,0.02379593887869214
0.26,0.1515108855555777,1.001300845366286,0.998249284134649,2.079794113821263,0.04153712355925368,0.02414139994473103,0.005604169577221025,0.002269859382443954,0.02471963580411154
0.27,0.14994824147703095,1.001350911660201,0.9983065925621157,2.075240590292122,0.04239260138815098,0.025081634385909764,0.0056734301718934154,0.0022854796035540513,0.025642381886263936
0.28,0.14840539938419198,1.0014009804574937,0.9983619901508592,2.070691760882519,0.0432072894140204,0.026021681678166562,0.005739685534614975,0.002297931206217697,0.026564264949641724
0.29,0.14688210620434422,1.0014510517582889,0.9984155555576846,2.066147590122979,0.043982447763631256,0.02696149928494939,0.005803266668964701,0.002307368137152308,0.027485367184903655
0.3,0.14537811078640067,1.0015011255627113,0.9984673646650138,2.061608043483446,0.0447193162307245,0.027901046734189625,0.005864482961290791,0.002313940519730463,0.028405767865121646
0.31,0.14389316652309075,1.0015512018708865,0.9985174870497178,2.057073088637255,0.04541908665623953,0.028840288310937757,0.005923593933556944,0.0023177895477222246,0.029325539425721893
0.32,0.14242702953706995,1.00160128068294,0.9985659908833944,2.052542694466696,0.046082922992543046,0.029779190481986136,0.00598083633241997,0.0023190517047238972,0.030244750553908534
0.33,0.14097945950072047,1.0016513619989966,0.998612939765179,2.048016831500319,0.04671195239742492,0.030717723028391784,0.006036412448679246,0.002317856906613914,0.031163464832859693
0.34,0.1395502185523303,1.0017014458191817,0.9986583948849447,2.043495471249491,0.04730727778186663,0.03165585706370305,0.006090511015547877,0.002314331433251604,0.03208174283539165
0.35000000000000003,0.13813907185365876,1.0017515321436203,0.9987024138475284,2.0389785864892493,0.04786997200733353,0.03259356574963734,0.0061433002116760985,0.002308596737163563,0.03299964128792021
0.36,0.13674578754522437,1.0018016209724379,0.9987450518663248,2.034466151226741,0.0484010784612295,0.033530824200662286,0.006194928688282341,0.0023007695790984504,0.033917213170925165
0.37,0.13537013668975348,1.0018517123057593,0.9987863616235683,2.029958140624242,0.048901612181113156,0.034467609179836156,0.006245529152081444,0.0022909623954116033,0.03483450799196909
0.38,0.13401189333824257,1.0019018061437102,0.9988263928656587,2.0254545310015546,0.049372559563520026,0.03540389907410752,0.006295218960037837,0.0022792832894015297,0.035751571800757456
