t,N,F,Na,Nan,MF,K,B,Bp,BN,MAx,A,Rasa,ERKa,Xa,MDusp,Dusp
0.0,0.5,0.001,0.2,0.0,0.1,3.0,0.1,0.1,0.001,0.1,0.1,0.5,0.2,0.1,0.1,0.1
0.01,0.4933342656076331,0.0010864122326932127,0.20504980038782508,5.2780817495562854e-05,0.09933835438679439,2.9922809331981646,0.11144540333538312,0.07931128508055266,0.002076326348985982,0.09884112023443374,0.09112623453934705,0.5101279384860194,0.20210949881792883,0.09947103613864086,0.09985347017686855,0.09915342567246521
0.02,0.48675893001597603,0.0011719604457992698,0.2100295818033878,9.430439478760282e-05,0.09868060489334197,2.985274959444026,0.12206040810831942,0.06140517928535765,0.003243335367235084,0.09770222718667197,0.08305746654802447,0.5202476311382467,0.20426973877696256,0.09894883235879474,0.09970620160716842,0.09831367714728813
0.03,0.48027291713838877,0.0012566509715912584,0.2149402923361017,0.00012790499738073334,0.09802674246408684,2.9789144764296163,0.13169062905630669,0.04615957325340175,0.004489605865598444,0.0965832139185741,0.0757196496601382,0.5303591300402837,0.20648066005466972,0.09843349662623038,0.09955821410343399,0.09748071608372683
0.04,0.47387516086352316,0.0013404901082958894,0.21978286955214021,0.00015572948857455626,0.09737675305368729,2.973138597931172,0.14016073144334537,0.03348577903012351,0.0058022479341663345,0.09548399616247809,0.06904576947684428,0.5404624807576913,0.20874220354222833,0.09792513605146676,0.09940952748305104,0.09665450409584168
0.05,0.46756460504484737,0.0014234841168457707,0.2245582402856927,0.00017923519052554882,0.09673062024549714,2.967892435459769,0.1472973171475074,0.023303367079784428,0.0071668178978395135,0.09440450658296257,0.06297513146884336,0.5505577226599592,0.211054310783927,0.09742385687773872,0.09926016156344764,0.09583500275831651
0.06,0.4613402034410481,0.0015056392195899025,0.22926732058328256,0.00019944925670585526,0.09608832652026958,2.9631264624232982,0.1529762050235316,0.015494002110427056,0.008567598393046591,0.09334468732719288,0.05745272665716112,0.5606448892194767,0.21341692391537057,0.0969297644738141,0.09911013615821636,0.09502217361071184
0.07,0.4552009196577256,0.001586961599817635,0.23391101570477293,0.00021711729561247535,0.09544985390289043,2.9587959522386362,0.15718605450290013,0.009844020025992984,0.00998846568251703,0.09230448148015565,0.05242866773053549,0.5707240082847953,0.215829985603549,0.09644296332693883,0.09895947107339646,0.09421597816170053
0.08,0.44914572708967254,0.0016674574017107148,0.23849022015889917,0.0002327924913680536,0.09481518429016533,2.954860482987535,0.16006914337025333,0.006014386461227978,0.011414327963362536,0.09128382475169741,0.04785768868618336,0.5807951023295607,0.2182934389889151,0.09596355703604964,0.09880818610393581,0.0934163778932708
0.09,0.44317360886362994,0.0017471327305062202,0.24300581775929506,0.00024689253829613767,0.09418429961659536,2.9512834983066236,0.16189460070812545,0.0035779112481285217,0.012832623329636566,0.09028263903888202,0.04369869823507102,0.5908581886798019,0.22080722762931274,0.09549164830527075,0.09865630103032877,0.09262333426490132
