t,actCycA,mass,actCycB,CycB,Tri_B,preMPF,actCycE,CycA,CycE,Cdc20_A,APCP,Cdc20_T,CKI,Cdh1
0.0,0.09450308233499527,1.338267803192139,0.1903585940599442,0.09450308233499527,0.01,0.01,0.2092024385929108,0.09450308233499527,0.09450308233499527,0.3572723865509033,0.07591402530670166,0.7702387571334839,0.01,0.7189393639564514
0.01,0.08940521802254385,1.338345093427385,0.1773813812815152,0.09462817420604626,0.015334546427145419,0.010138456833158987,0.2087200515094007,0.09446027582451938,0.09439795549754575,0.3568940509694316,0.07543365306893839,0.7700350655146895,0.011952209848827946,0.721078186210083
0.02,0.0849390771293319,1.3384223881258495,0.16610824523448342,0.09471818831027108,0.019945039673324463,0.010277957228182063,0.20825071620742697,0.09441758287572309,0.09429335159144385,0.3565148805268252,0.07494473987450585,0.7698198065286049,0.013901776495337057,0.7232400475739519
0.03,0.08098553314935646,1.3384996872877892,0.15619505229074487,0.09476604221896186,0.023971436055879543,0.010417987297938133,0.20779290144067333,0.09437500283054598,0.09418926011721777,0.3561348491888328,0.07444871127145507,0.7695944335737942,0.015848886169110604,0.7254215188340324
0.04,0.07745338022822498,1.3385769909134624,0.1473823070087119,0.09476734021465685,0.027519449335468387,0.010558167047315879,0.2073453738914,0.09433253515355616,0.09408567236601192,0.3557539352527453,0.07394671704446423,0.7693601179023172,0.017793696588122902,0.7276198103853955
0.05,0.07427160452299394,1.3386542990031265,0.13947465204283918,0.09472332011089024,0.030670493351190316,0.010698199862906228,0.20690712542386178,0.0942901794167871,0.09398258120018882,0.355372120540708,0.07343969863866129,0.7691178171291541,0.019736343931873474,0.7298326214994505
0.06,0.071384089842743,1.3387316115570391,0.13232424696437764,0.09464023711363434,0.033488485308129194,0.010837852252152868,0.20647731808043734,0.09424793527294555,0.09387998065807766,0.3549893897871144,0.07292844023130109,0.7688683274754402,0.021676947230457072,0.732058028074485
0.07,0.06874591706115168,1.3388089285754579,0.12581632924392575,0.09452592342279445,0.036024457378241795,0.010976942532080931,0.20605524448710308,0.09420580243166972,0.0937778656034458,0.35460573017323227,0.07241360543754183,0.7686123214224211,0.02361561141121247,0.7342944005009119
0.08,0.06632072259145955,1.3388862500586411,0.119859093760665,0.09438731751242604,0.03831968743433678,0.011115330094100005,0.20564030040976378,0.09416378064663718,0.09367623153690961,0.35422113096485036,0.07189576265848219,0.768350373694071,0.025552429767940175,0.7365403440497718
0.09,0.06407876580004297,1.3389635760068461,0.11437753532394443,0.09422980041240638,0.04040791531523515,0.011252905571128988,0.20523196507702673,0.09412186971025527,0.09357507452040313,0.35383558322122916,0.07137540321115164,0.7680829798177138,0.027487486047062647,0.7387946544444856
0.1,0.061995503296184584,1.3390409064203308,0.10930959851242888,0.09405735460526031,0.04231695474622129,0.011389582927971896,0.20482978645511327,0.09408006945149025,0.09347439114814134,0.3534490795578452,0.07085295488868501,0.7678105700085722,0.02942085614663831,0.7410562838976442
0.11,0.06005051387145042,1.3391182412993528,0.10460352072645536,0.09387291906575573,0.04406991133268043,0.011525293602222545,0.20443336967940876,0.09403837973434774,0.09337417852686526,0.35306161394931335,0.07032879262434019,0.7675335201031694,0.03135260947011222,0.7433243143390327
0.12,0.05822667890784638,1.3391955806441702,0.10021583814630854,0.09367868635692642,0.045686115781502355,0.011659982290251638,0.20404236778128074,0.09399680045622061,0.09327443425369272,0.35267318156445104,0.06980324705047423,0.7672521603499871,0.03328280999005946,0.7455979360049728
0.13,0.05650955044425992,1.3392729244550403,0.09610983961909238,0.09347631912914094,0.04718184659873021,0.011793603895114559,0.20365647418691987,0.09395533154614276,0.09317515639221771,0.3522837786275217,0.06927661142927326,0.7669667825392147,0.03521151709029574,0.7478764301641223
0.14,0.05488685943018246,1.3393502727322213,0.09225434982021644,0.09326710167388066,0.048570894615762514,0.011926121312929342,0.20327541659202045,0.09391397296288445,0.09307634344595025,0.35189340230082683,0.06874914731708846,0.7666776458390128,0.037138786231102866,0.7501591550534181
0.15,0.05334812846817194,1.3394276254759714,0.08862275809225686,0.09305204330707932,0.04986500847185504,0.012057503788947,0.2028989519238961,0.09387272469298538,0.09297799433058544,0.35150205058451955,0.068221089225814,0.7663849816045162,0.039064669479254646,0.7524455343304741
0.16,0.0518843638720267,1.3395049826865477,0.08519223858897304,0.09283195035329486,0.05107424921514217,0.012187725680653698,0.2025268621715976,0.09383158674879316,0.09288010834615218,0.35110972223093606,0.06769264848205897,0.7660889973639984,0.040989215934123004,0.7547350475244173
0.17,0.0504878097493927,1.3395823443642085,0.0819431226453756,0.09260747642888531,0.05220727355100399,0.012316765517707221,0.20215895092348818,0.09379055916652833,0.09278268514938798,0.35071641667090503,0.06716401643174505,0.7657898801323432,0.04291247207055208,0.7570272221096699
0.18,0.0491517495628329,1.3396597105092118,0.07885838952043622,0.0923791581936132,0.05327156225341027,0.012444605273870455,0.20179504046852706,0.09374964200436946,0.09268572472627284,0.35032213395003736,0.06663536712222665,0.7654877991870493,0.044834482015415726,0.7593216268676598
0.19,0.047870343395753474,1.339737081121815,0.07592324781592408,0.09214744216986083,0.05427360723539649,0.012571229786761177,0.2014349693456664,0.0937088353405911,0.09258922736522998,0.349926874673211,0.06610685956845276,0.7651829084154971,0.04675528777405181,0.7616178662697177
