t,D,A_1,A_2
0.0,0.0,0.0,0.0
0.01,0.5242668430056153,0.05525897551903494,0.0021630530765690127
0.02,0.6168454512842219,0.07388112851126297,0.007065470809754038
0.03,0.6325843816501846,0.07740141852115374,0.01219146031032262
0.04,0.63334238524296,0.07786130447392134,0.016949007352448253
0.05,0.6313501151070652,0.07773417714934679,0.021260082231782152
0.06,0.6290231941777592,0.07751178372681469,0.025146351334111465
0.07,0.6268221797952653,0.07729006131117526,0.02864566424867401
0.08,0.6248197235776641,0.07708618107226296,0.03179575618213229
0.09,0.6230130161162839,0.07690180612477948,0.03463129459742089
0.1,0.6213858762348985,0.07673567049311375,0.03718368715932034
0.11,0.6199210587467643,0.076586090628929,0.03948119284800365
0.12,0.6186024877763132,0.0764514421621798,0.0415492645025614
0.13,0.6174155814289464,0.07633023995918904,0.04341081739184012
0.14,0.6163472236648541,0.07622114201994012,0.04508643845660829
0.15,0.6153855461620528,0.07612293577217573,0.04659474460625265
0.16,0.6145199025809941,0.07603453296867285,0.04795243568824039
0.17,0.6137406932885867,0.07595497036689794,0.049174540131130554
0.18,0.6130393086336883,0.07588334628547988,0.05027459804076895
0.19,0.6124079696027233,0.0758188784400582,0.05126479038083863
0.2,0.6118396702193366,0.07576085049673398,0.052156106848293984
0.21,0.6113281357252214,0.07570860571072195,0.05295841486897835
0.22,0.6108676730946465,0.07566158416880232,0.053680608482028616
0.23,0.6104531975814269,0.07561926399650225,0.05433066693406422
0.24,0.6100801155899594,0.07558116104890256,0.05491581939673605
0.25,0.6097442962992066,0.07554686319474878,0.055442528877913136
0.26,0.6094419999339169,0.07551599801761433,0.05591664542110759
0.27,0.6091698914139122,0.07548821691142998,0.05634341288831079
0.28,0.6089249640789758,0.0754632000297806,0.05672756783124679
0.29,0.608704496723587,0.07544068374099482,0.05707335498557997
0.3,0.6085060392049829,0.07542042007370368,0.05738461353853837
0.31,0.6083273944859917,0.07540218146474055,0.0576647945671899
0.32,0.6081666012811441,0.07538575804723054,0.05791698978793599
0.33,0.6080218755358444,0.07537097481712153,0.058143985626400455
0.34,0.6078915821381125,0.07535767686693974,0.0583483269413642
0.35000000000000003,0.6077743122294246,0.07534569797538543,0.05853225982424792
0.36,0.6076687529232262,0.07533491858655023,0.058697819765618234
0.37,0.6075737360450232,0.07532521592604008,0.058846844616207136
0.38,0.6074882096105875,0.07531648207886411,0.05898098511323602
0.39,0.6074112180446927,0.07530861979967242,0.05910173944147397
0.4,0.607341906766919,0.07530154195261424,0.05921044771683079
0.41000000000000003,0.6072795160292846,0.07529517085668393,0.05930830169280625
0.42,0.6072233591927229,0.07528943629199797,0.05939637846576258
0.43,0.6071728134124679,0.07528427467401558,0.0594756548796695
0.44,0.6071273163075916,0.07527962861867471,0.059547012904065354
0.45,0.6070863623609022,0.07527544651057798,0.059611245385077526
0.46,0.6070494977755462,0.07527168199740215,0.059669064080360205
0.47000000000000003,0.607016313439811,0.07526829329712723,0.05972111065135958
0.48,0.6069864429728389,0.07526524299781769,0.05976795972949437
0.49,0.6069595554976653,0.07526249732231803,0.05981013024658611
0.5,0.6069353532049662,0.075260025837074,0.059848089324988835
0.51,0.6069135677946317,0.07525780117005416,0.05988225772615931
0.52,0.6068939585665276,0.07525579873703692,0.05991301297345435
0.53,0.60687630796607,0.07525399626941813,0.05994069636670777
0.54,0.6068604202039883,0.07525237384857289,0.05996561486130969
0.55,0.6068461205857002,0.0752509136392619,0.05998804244287727
0.56,0.6068332497195592,0.07524959930502767,0.060008229199944016
0.5700000000000001,0.6068216653927974,0.07524841634918476,0.060026398138206115
0.58,0.6068112372167688,0.07524735143529677,0.06004275379523563
0.59,0.6068018499295914,0.07524639282604799,0.060057476894992995
0.6,0.6067933993768794,0.07524552987667801,0.060070730808335374
0.61,0.6067857923505017,0.07524475307141949,0.060082661719693675
0.62,0.6067789449040166,0.07524405383000626,0.06009340130414444
0.63,0.6067727816531979,0.07524342445875558,0.06010306778778511
0.64,0.6067672342595796,0.07524285797477208,0.060111768360278615
0.65,0.6067622411420539,0.07524234808310865,0.06011959961641065
0.66,0.6067577475094309,0.07524188920118341,0.06012664747064938
0.67,0.6067537019980968,0.0752414760841058,0.060132992481710223
0.68,0.6067500612306648,0.07524110429694816,0.060138702691725304
0.6900000000000001,0.6067467834493924,0.07524076957933706,0.06014384358763608
0.7000000000000001,0.6067438326771389,0.07524046825624917,0.06014847159811016
0.71,0.6067411764272018,0.07524019700789382,0.06015263767934416
0.72,0.6067387850231285,0.07523995280274864,0.06015638837780919
0.73,0.6067366324308313,0.0752397329851204,0.06015976452094076
0.74,0.6067346946396264,0.07523953510242519,0.06016280376838067
0.75,0.6067329505448207,0.07523935699920867,0.06016553922137694
0.76,0.6067313805826022,0.07523919667877392,0.06016800156215621
0.77,0.6067299678601835,0.07523905241529998,0.06017021728675656
0.78,0.6067286967353468,0.07523892261118204,0.06017221092898037
0.79,0.6067275523479638,0.07523880574951139,0.06017400579463947
0.8,0.6067265223458012,0.07523870056877635,0.06017562125728985
0.81,0.6067255958654914,0.07523860595931416,0.06017707435564858
0.8200000000000001,0.6067247615219248,0.0752385207583096,0.060178382946530724
0.8300000000000001,0.6067240100207238,0.07523844401663235,0.06017956160733041
0.84,0.6067233340073013,0.0752383749837855,0.06018062187216793
0.85,0.6067227251318756,0.07523831280689602,0.06018157683725508
0.86,0.6067221765272262,0.075238256784758,0.06018243727310142
0.87,0.6067216828635513,0.07523820637298526,0.06018321153920491
0.88,0.6067212382941412,0.07523816097467591,0.0601839088053481
0.89,0.6067208378609136,0.07523812008358385,0.06018453684772645
0.9,0.6067204775274052,0.07523808328731674,0.060185101997484926
0.91,0.6067201531381248,0.0752380501615613,0.060185610772071345
0.92,0.6067198610067861,0.07523802032980625,0.06018606895321162
0.93,0.6067195982684439,0.07523799349964817,0.060186481034051234
0.9400000000000001,0.6067193617871577,0.07523796935077652,0.06018685193314828
0.9500000000000001,0.6067191487671709,0.07523794759769625,0.06018718603538803
0.96,0.6067189574258551,0.07523792805837418,0.060187486136652056
0.97,0.6067187853815436,0.07523791048961445,0.060187755972342126
0.98,0.6067186304631949,0.07523789466973853,0.060187998947499356
0.99,0.6067184906252139,0.07523788038988852,0.0601882182703975
1.0,0.6067183652853381,0.07523786759047627,0.0601884148544718
