t,AP1,pRB,E2F,pRBc1,Md,Mdp27,pRBp,Me,pRBpp,pRBc2,Ma,E2Fp,Cd,Mdi,p27,Ce,Mei,Mep27,Mai,Map27,Skp2,Wee1,Pe,Cdh1a,Pei,Chk1,Ca,Cdc20a,Pa,Mb,Mbp27,p27p,Cdh1i,Pai,Cb,Mbi,Pb,Cdc20i,Pbi,Mw,Wee1p,Cdc45,Pol,Primer,ATR,BN,X,CbA,MP,MC,MB,RN,MR,PC,PCP,PCC,CC,CCP,RC,PCCP,PCN,PCNP,IN,BC,BCP,BNP
0.0,0.01,1.0,0.01,0.1,0.01,0.01,0.25,0.01,0.1,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,1.2,9.0,0.1,1.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.01,0.1623398663661011,1.3573199903109467,0.05099361397745436,0.09215996366634009,0.015902091564973173,0.009942627799059477,0.12779299518086196,0.003186422419290558,0.008474931006299216,0.045948571163491554,0.002092822758937938,0.00810122669372185,0.0011735601340092153,0.004127782373353005,0.13581051726748677,0.009213048564226365,0.017358778462956102,0.009843550841748826,0.018494496841494457,0.009796920907539886,0.03492329201708377,0.07626579995020366,0.02102204326892542,0.03796455857345284,0.02048613320103008,0.012939412740510692,0.009608995810265726,0.0037904278753297196,0.013413312271720894,0.0019064891800259147,0.00967101954762833,0.0076445630945556646,0.00022020854538419405,0.0238469077165044,0.016646078539477548,0.018427057362399888,0.01087095795882041,0.03263532531238736,0.028678695114502675,0.0,0.04149806066056538,0.005143503292345344,0.010149295619768302,0.010063661290164803,0.009766381290304162,0.10127024874949817,0.0018887913973560499,0.008478174341322165,0.09523683659810643,1.185386316492561,9.003716176832642,0.09844952889539696,1.4875185065482543,0.09591577698780406,0.09711112314741725,0.09812613000057399,0.1381670606336391,0.09680164462721297,0.11336630562789782,0.09766827896761701,0.0993005907463609,0.09767991156669,0.09594631164822029,0.12783210090288083,0.09312179611472753,0.09202526039624456
0.02,0.31084417736385994,1.6148159242886138,0.09040491644248395,0.08552577734737173,0.01685810263729399,0.009941802759754184,0.02157331326552082,0.001768036791680904,0.00033276352494557645,0.04222153135025988,0.0009002838188793117,0.006561174236118968,0.002393198228455207,0.0031907414450202103,0.2601346426176274,0.008221273567832975,0.01918964500764842,0.009692252778603052,0.020178649033621387,0.009597115933362058,0.058678698216868004,0.0740850711985754,0.03367753514330658,0.05597396069652824,0.028950393504000513,0.01569967498194046,0.009332023792936753,0.0014664244721867394,0.019683704526221497,0.0010298989079553806,0.009352672829040419,0.00400396865087236,0.00010669562362286909,0.03447081158323308,0.022376709979738854,0.019686182379276822,0.015549222924926191,0.05093850075544754,0.04295555543247262,0.0,0.051015298740706726,0.002431333639988991,0.010046887870515454,0.010119881628970238,0.009538761861827696,0.10264814422647657,0.0005322750755635487,0.006629335380205694,0.09068818036324205,1.1708374645248447,9.007432474790129,0.09702932080692864,1.475073170396601,0.09201667918277587,0.09414037357695493,0.09632100427800024,0.17546447710664295,0.09404672227058136,0.12542760626824068,0.09537387152155212,0.0985831522509542,0.09541882569718975,0.09202407654161368,0.15511847223649958,0.08696097184148271,0.08460132794117677
0.03,0.45560950309673065,1.7737395601108574,0.12828825498675947,0.08007982476512093,0.01700144636910347,0.009996124158087193,0.004861278700930563,0.0018010354501836647,1.6269923796522524e-05,0.03878514449478701,0.0008783271616224834,0.005316568117582276,0.0036152193651233784,0.0030716087278047565,0.38218487447871313,0.007113999692211856,0.01947717351678954,0.009547657188917496,0.020655011687628056,0.009402279657872423,0.08090840326084656,0.07653557308708636,0.04657877295854034,0.07356138321807892,0.036798286577374544,0.01829030282818132,0.009101345997799272,0.0007720024569650345,0.02597667042118502,0.0011457138921781088,0.009046929568717343,0.003462799857457217,0.00011410141294746268,0.044726469889765044,0.02731709453670624,0.020035580262706236,0.020298650120631194,0.06721540678726275,0.056607689967665915,0.0,0.05566748170090261,0.0012445402111073234,0.009825320055349387,0.010167491692534386,0.009316975829021272,0.10412756239203097,0.0003966763369207188,0.004707684908643485,0.08635094043210192,1.1563555058900101,9.011148789242167,0.0957273318286065,1.4626652516488072,0.08829351653889814,0.09110998396850838,0.09457972360712116,0.21192837239934895,0.09169400537032983,0.13633976925692873,0.0931177478398864,0.09784887884837248,0.09321546485773646,0.08823145154776664,0.18188512373817806,0.08146678864097759,0.07771418761358222
0.04,0.5967299824217379,1.9149886493262422,0.1647130391493313,0.07576685740126964,0.017019439564313187,0.010102054453495313,0.003916257618032862,0.002190085595294867,4.408484494328994e-06,0.03562712542889349,0.0010426230728199524,0.004315730680954157,0.004835099849795736,0.003080222752892292,0.4986329886086328,0.006010996912237998,0.01932141983109956,0.009416350212205132,0.02091721780834142,0.009215271967694364,0.10139907738444463,0.08010390149054486,0.0596025484292565,0.09083345592236061,0.04416447588510714,0.02072020480173452,0.008900913277896353,0.0006768131963577984,0.03203636574715374,0.0013776369582045732,0.008755706710361862,0.004247517960090865,0.0001399438743383528,0.054876564511403,0.031584184627411374,0.020340611180610212,0.024702433404366255,0.08252143275401495,0.07006696450641799,0.0,0.05901690510109679,0.0008084669290142746,0.009561536427831611,0.010206231557526736,0.009100860250183262,0.10570320881523956,0.00045283803153671606,0.0029822194340385923,0.08222166755830783,1.141942483222086,9.014865027319628,0.09453282818293912,1.4502959935461102,0.08473743245780814,0.08804039513814998,0.09289778608393416,0.24759108082500092,0.08970650682274718,0.14622963140259815,0.09090073974491444,0.09709890913573202,0.09106856172005262,0.0845664807826835,0.2081561239642761,0.07659009119792422,0.0713474184418421
0.05,0.734297383504985,2.0537849770979255,0.19974005720569435,0.07255027482952603,0.017022140278566137,0.010256003785840141,0.003823465465840102,0.0026500585459247913,4.659374342307347e-06,0.032726822623794845,0.0012295365798130973,0.0035142946852398473,0.006052169595897373,0.0031090014721236116,0.6080795493412434,0.005007619973093697,0.019011106244307577,0.009302960740028404,0.021131185375159445,0.009037443880509465,0.12004638458899232,0.08391957661790396,0.07270521506755485,0.10781168065307498,0.0511028897674955,0.02299773332136042,0.008724772620423676,0.0007825455065174835,0.03783290287698613,0.0016114677214030667,0.008479690455072205,0.005320410543449947,0.0001675967331123612,0.06495631813617371,0.03528482318310284,0.020701842350582325,0.02872518167255469,0.09726915658746862,0.08338052448863933,0.0,0.061950013560257484,0.0006792663463910994,0.009289700140419705,0.010236292424731428,0.008890256265264851,0.10737061237240393,0.0005365256371216718,0.0016918538952236408,0.07829658750527418,1.1276004290081156,9.018581106363403,0.09343616815793632,1.43796662911026,0.08133992338069737,0.08495030243473611,0.0912710532502126,0.28248172357455226,0.08805091748834393,0.1552022408621078,0.08872354909871007,0.09633432902206014,0.08897685938420018,0.08102710186175432,0.2339538338945897,0.07228345949357723,0.06548241799985262
0.06,0.8684011648973127,2.1910003115877394,0.23342863016478096,0.07039521332945928,0.017029090888513062,0.010454432917272381,0.0037788308186561996,0.0031079789063454453,5.421719160263655e-06,0.030063346373614845,0.0014127748370696173,0.002875425623677498,0.007266002673481735,0.0031416250678037816,0.7101695636020412,0.004158770478678728,0.01862677198122481,0.009210370328735675,0.021324548165389156,0.008869476428150166,0.1368231080881918,0.08775020129845747,0.08585985439421547,0.12450350001103103,0.057650043291868264,0.025130730938844433,0.00856936585464093,0.0009530288405228699,0.0433703193747707,0.0018345971054469705,0.008219095821186757,0.00643131815244124,0.00019453739556328902,0.07496678905846825,0.03850796242120221,0.021120090200900145,0.03239266455496815,0.1116049724958066,0.096534027620988,0.0,0.06470662788547231,0.000664690508714268,0.009022908471118855,0.010258041946157207,0.008685009530438432,0.10912610597833915,0.0006213872883654614,0.0009193664150860843,0.07457163611704261,1.1133313745506777,9.022296952638246,0.09242863492418864,1.4256783877661452,0.07809285382658883,0.08185670401206241,0.08969571930320254,0.3166266754152719,0.08669714661664381,0.16334592490913824,0.08658675576952866,0.09555617450154685,0.08693911164063384,0.07761115254104826,0.2592990942079993,0.06850137114266677,0.060098672837859135
0.07,0.9991285321046014,2.326729128690759,0.265837662769637,0.06926519200968832,0.017045630981164323,0.010693955290824078,0.0037465603594810334,0.0035446100955605054,6.1731193756351255e-06,0.027617383589531894,0.0015883889350695028,0.0023689725619989157,0.00847621504485409,0.0031759225523047313,0.8049786642033072,0.0034811655495106284,0.018197806120828136,0.009140338255482622,0.02150246041884581,0.008711753866721815,0.15175519557795683,0.09153075962780702,0.09904663654971102,0.14091406984315355,0.06383483271531659,0.027126571387603906,0.008431972034092359,0.0011436632671811343,0.04865946035645949,0.0020471820527012846,0.007973924211805627,0.007519972933884458,0.0002204652695053996,0.08490220430304149,0.041325588197475456,0.021585342807905732,0.03573970745696503,0.1255822238440865,0.109504227912798,0.0,0.06735675635684756,0.0006904188943103229,0.008765666759748873,0.010271902073577137,0.008484970301454097,0.1109667936144628,0.0007032866412759305,0.0005483477571555601,0.07104249572885425,1.099137358728484,9.02601250026004,0.09150230617817108,1.4134325018461715,0.07498846760529147,0.07877495085643828,0.08816828334486487,0.35004994548197693,0.08561794308361403,0.17073592486476857,0.08449082514201924,0.09476543413365505,0.08495408332441755,0.07431637776191674,0.284211374961725,0.06520035814670014,0.05517406597107701
0.08,1.12656449518805,2.4610312409394353,0.29702532820657107,0.06912240653829987,0.017074690349333697,0.010971420998971032,0.0037247793484717954,0.003954495339823518,6.883966730806772e-06,0.025371193126353875,0.0017559845306394264,0.001970348597379498,0.009682432955149723,0.0032118870115505215,0.8927664075905479,0.002964431596433978,0.017740364386143584,0.009093841747471305,0.021666486892522516,0.008564479073547359,0.16490429493262776,0.09524277271308108,0.11224918481677597,0.15704814321911745,0.06968224747633106,0.02899219663744169,0.008310330340909177,0.0013397283607963582,0.05371241557002476,0.0022505456133169793,0.00774404153030145,0.008569335853354738,0.00024540220993694796,0.0947555654869395,0.04379583572434797,0.022088034648588845,0.03879995227089268,0.1392237633393534,0.12226925352894791,0.0,0.06992308715667152,0.0007288800400572231,0.008519243769737015,0.01027830159955083,0.008289993366683368,0.11289050302638738,0.0007816541055872126,0.0003969938896308329,0.06770463233918636,1.0850204365713747,9.029727690286117,0.09064994988425734,1.4012302129786178,0.07201939488763155,0.07571880098882183,0.08668552404553043,0.3827734934240514,0.08478857644998414,0.17743707396920613,0.08243611528554752,0.09396305134783033,0.0830205506838668,0.07114043696450353,0.3087088978600386,0.062339141591957,0.050685210322353624
0.09,1.2507919238876906,2.5939642594893093,0.3270487780117702,0.06992821355014298,0.017118583553152558,0.011283966690505142,0.003713081628349927,0.004336092197089027,7.555329082465316e-06,0.02330848404308532,0.0019157324470602806,0.0016595151973052796,0.010884288385895073,0.003249815232379954,0.9738802644030845,0.002583770961881165,0.01726583286731621,0.009071254231865467,0.021817603328734374,0.008427716710829291,0.17635525581142097,0.09888139724945691,0.12545307477160647,0.17291035674883076,0.0752149150069348,0.030734150089593792,0.008202510153305415,0.0015361232177029127,0.05854118633027545,0.0024458008561131298,0.007529212139270922,0.009573301488755294,0.0002694052506486115,0.10451998673356536,0.04596602834668503,0.02262012523867584,0.041603883448427095,0.15254249679588622,0.13481053320803202,0.0,0.07241436024614274,0.000769969348827926,0.008283727558700474,0.010277659002756139,0.008099937929325044,0.11489572532930357,0.0008564922402916836,0.0003406410004907909,0.06455333307604254,1.07098268746008,9.033442469941207,0.08986493992504378,1.389072778231577,0.06917865572678737,0.07270047743710634,0.0852444766828117,0.41481749329652284,0.08418656639673568,0.18350580532026928,0.08042288376007925,0.09314992656474286,0.08113730179909324,0.06808091165156477,0.33280873693143764,0.05987873734883088,0.04660779639510214
