t,ATP_cyt,ADP_cyt,PCr_cyt,Cr_cyt,Pi_cyt,ATP_ims,ADP_ims,PCr_ims,Cr_ims,Pi_ims
0.0,5912.77,64.0,5000.0,10500.0,913.0,5912.77,39.0,5000.0,10500.0,910.0
0.01,5910.210487033916,64.82821797370418,5013.253405882948,10486.74659411705,897.9279657046412,5967.819338097669,4.726201810913547,5015.7054471635565,10484.294552836442,891.7829112806979
0.02,5906.217675775165,68.64837345804943,5025.279310806836,10474.720689193175,889.4682235960281,5969.661523109706,4.95588609167319,5027.80904282532,10472.190957174693,882.956911928578
0.03,5900.860804793343,73.9880258810187,5034.5458541061535,10465.454145893862,885.1814446522098,5969.5580785999055,5.26595330772475,5037.1831861125165,10462.816813887497,878.2114926670731
0.04,5894.76607344564,80.08103990748744,5040.511579382349,10459.48842061767,884.896415421081,5969.229809080062,5.614830682393333,5043.26972780948,10456.730272190549,877.4216441215996
0.05,5888.2578092487265,86.58913278170473,5042.95128189279,10457.048718107233,888.5235705478666,5968.864040142446,5.982655492379155,5045.8359054008715,10454.16409459915,880.518114184082
0.06,5881.480754775678,93.36617020553504,5041.782987420799,10458.217012579225,896.0088293332749,5968.487293892659,6.359606332792233,5044.796360469602,10455.203639530424,887.4554872807288
0.07,5874.494548387983,100.3523748896953,5036.990279784672,10463.009720215356,907.3128933754864,5968.106269496091,6.740651171798395,5040.133150313247,10459.866849686776,898.1979216130268
0.08,5868.927950415775,105.91897268104849,5028.758796362092,10471.241203637934,920.722401899841,5967.8090023196655,7.037920518474342,5032.005036580008,10467.99496342001,911.286176967837
0.09,5869.3991471047775,105.44777597413436,5019.388756957901,10480.611243042122,929.641244523945,5967.865627872585,6.981295180526705,5022.627754163798,10477.372245836223,920.3668349241592
0.1,5873.27391055556,101.573012521567,5011.389548425911,10488.610451574119,934.0217270615543,5968.11488192961,6.732041144942675,5014.557890870757,10485.442109129275,925.1149946834076
0.11,5878.812095043436,96.03482803351193,5005.998943325854,10494.001056674171,934.2464627863573,5968.445640199862,6.401282876827605,5009.064724390083,10490.935275609942,925.809621542375
0.12,5885.159062082536,89.68786099438827,5003.82199552149,10496.17800447854,930.5061302631018,5968.804939150519,6.041983926382245,5006.768493067272,10493.231506932752,922.5903133766959
0.13,5891.891024270587,82.95589880633811,5005.157628625651,10494.842371374374,922.8962640821383,5969.168308098026,5.6786149788958555,5007.975583540001,10492.024416460023,915.5271046215072
0.14,5898.795305434037,76.05161764288948,5010.155971509705,10489.844028490323,911.4645964544547,5969.524911951908,5.32201112501826,5012.839810904298,10487.16018909573,904.6547963655324
0.15,5905.676671207965,69.1702518689597,5018.892321197321,10481.107678802704,896.3190218745698,5969.866818441776,4.980104635151772,5021.439503027886,10478.56049697214,890.0475071721124
0.16,5909.956902527346,64.89002054957948,5030.751537342826,10469.2484626572,880.4800265328013,5970.064324757587,4.782598319340463,5033.210849422918,10466.789150577106,874.4732289839073
0.17,5912.0266056505625,62.820317426367126,5044.177544558039,10455.822455441981,865.1309378238648,5970.138996989951,4.70792608697739,5046.59463480059,10453.405365199424,859.2553118199951
