t,TnCa,CB_on,CumCB_on,CumCB_off,FTI
0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.032357252797696925,0.0008212921590339948,0.0008381241800014263,1.6832020967431293e-05,1.683202096743129e-06
0.02,0.18929282578206352,0.01041732192503552,0.010873081860463665,0.0004557599354281501,4.5575993542815006e-05
0.03,0.3879061979058439,0.03669930902843873,0.03937552644517376,0.0026762174167350478,0.00026762174167350473
0.04,0.5107349183052502,0.07427970428353953,0.08245430913493668,0.008174604851397154,0.0008174604851397152
0.05,0.5649448449782047,0.11397288790813732,0.13157055528294928,0.01759766737481196,0.001759766737481196
0.06,0.5729559722362136,0.150341758532666,0.18119718118766268,0.030855422654996738,0.0030855422654996736
0.07,0.547674830714429,0.18066792692391964,0.22813098423829536,0.047463057314375744,0.004746305731437574
0.08,0.4967507951031238,0.2036978643902548,0.27044280068974696,0.06674493629949219,0.006674493629949218
0.09,0.4278703283033045,0.219021478345148,0.3069664391887017,0.0879449608435537,0.008794496084355372
0.1,0.35369749349355095,0.22698790231342036,0.3372907617871567,0.11030285947373628,0.011030285947373628
0.11,0.2895830038030393,0.22888814052725318,0.362028072420724,0.13313993189347062,0.013313993189347067
0.12,0.23709050773515544,0.22635752668518358,0.382290811794508,0.15593328510932433,0.015593328510932437
0.13,0.19411329560623433,0.22066337597551816,0.39896971361798667,0.17830633764246828,0.01783063376424683
0.14,0.158926526900609,0.2127531233242812,0.4127454724754379,0.19999234915115655,0.019999234915115655
0.15,0.13011803277963155,0.203342125969236,0.42414925198596765,0.22080712601673147,0.022080712601673148
0.16,0.10653163436776027,0.1929737785563924,0.4336027817101327,0.24062900315374014,0.024062900315374013
0.17,0.08722072494800502,0.1820617462303697,0.44144561396834026,0.25938386773797034,0.025938386773797034
0.18,0.07141028783953587,0.17092031299776406,0.44795410223637944,0.27703378923861516,0.027703378923861523
0.19,0.05846579725184278,0.15978674032095644,0.45335499717011074,0.2935682568491541,0.029356825684915412
0.2,0.047867744548564614,0.1488381131675317,0.4578354661785082,0.30899735301097625,0.03089973530109763
0.21,0.039190793467932174,0.13820423213227973,0.4615506432122015,0.32334641107992157,0.03233464110799217
0.22,0.032086706983291115,0.1279776598959923,0.464629468023359,0.33665180812736645,0.03366518081273666
0.23,0.026270372214115833,0.1182216356360435,0.46717928827795263,0.3489576526419089,0.0348957652641909
0.24,0.02150836311372851,0.1089763696798356,0.4692895501739628,0.36031318049412697,0.03603131804941271
0.25,0.017609560462516168,0.1002640990507154,0.47103480894373806,0.3707707098930224,0.03707707098930225
0.26,0.01441748870432634,0.09209313856825481,0.4724771949818846,0.38038405641362955,0.03803840564136296
0.27,0.011804041658180251,0.0844611448502146,0.47366845680733805,0.3892073119571232,0.03892073119571232
0.28,0.009664331686443291,0.07735775824412178,0.47465167031105304,0.39729391206693104,0.0397293912066931
0.29,0.007912485770997497,0.07076671474500666,0.4754626610011144,0.40469594625610755,0.04046959462561075
0.3,0.006478195598200591,0.06466754490649346,0.476131198973112,0.41146365406661833,0.04114636540666183
0.31,0.005303898328567384,0.05903692290713116,0.47668199850037907,0.41764507559324765,0.04176450755932477
0.32,0.004342464486289902,0.05384973694126064,0.4771355578500772,0.42328582090881633,0.04232858209088163
0.33,0.003555308358497946,0.049079926801225734,0.4775088622940043,0.42842893549277833,0.04284289354927783
0.34,0.0029108397406465416,0.044701133801820066,0.4778159733316611,0.43311483952984076,0.043311483952984085
0.35000000000000003,0.0023831936124455743,0.04068719931147629,0.4780685226475373,0.4373813233360607,0.04373813233360607
0.36,0.0019511935605266316,0.037012536315337914,0.47827612365154515,0.4412635873362069,0.04412635873362069
0.37,0.0015975019088301722,0.03365240193780195,0.4784467155467121,0.44479431360890986,0.044479431360890984
0.38,0.001307922225424591,0.03058309065293862,0.47858685069703816,0.44800376004409925,0.04480037600440993
0.39,0.0010708357571942485,0.027782058879059702,0.47870193139182854,0.4509198725127685,0.04509198725127685
0.4,0.0008767261626790808,0.02522800820825388,0.47879641141140344,0.4535684032031492,0.04535684032031492
0.41000000000000003,0.0007178024557992152,0.022900920952002798,0.4788739593018727,0.4559730383498695,0.04559730383498695
0.42,0.000587686574251415,0.020782067832000123,0.4789375949674613,0.4581555271354607,0.04581555271354607
