t,h1,h2,c1,c2
0.0,0.8,0.1,0.3,0.1
0.01,0.7985537968128931,0.10823221010435696,0.3084139441055642,0.09916791350346088
0.02,0.7970689004394177,0.11637676376121764,0.3172386091239472,0.09837025183255972
0.03,0.7955440354954219,0.12443455148941757,0.32649170473294875,0.09760552737062629
0.04,0.7939779205786446,0.13240645378847327,0.3361905510104359,0.09687231665528258
0.05,0.7923692734154579,0.14029334205461297,0.3463518741821103,0.09616925791149061
0.06,0.7907168184484433,0.14809607901934405,0.3569915838103567,0.09549504690729871
0.07,0.789019294620209,0.1558155187691006,0.36812452052858047,0.09484843584518425
0.08,0.7872754639947274,0.16345250693429758,0.3797641985339643,0.09422823096174367
0.09,0.7854841191867651,0.17100788081613527,0.39192258703964583,0.09363329076372069
0.1,0.7836440955186027,0.1784824695732266,0.404609765472029,0.093062523353791
0.11,0.7817542791345172,0.1858770943324863,0.4178337172090806,0.0925148848871414
0.12,0.7798136160226543,0.19319256830020384,0.43160011065588444,0.09198937794313176
0.13,0.7778211225621626,0.20042969689603565,0.4459120564130292,0.09148504945061552
0.14,0.7757758950418198,0.2075892778631239,0.46076992098235975,0.09100098904472319
0.15,0.7736771190456367,0.2146721013719036,0.47617116616651795,0.0905363274475468
0.16,0.7715240780175817,0.22167895011632818,0.4921102488365931,0.09009023494758034
0.17,0.7693161615695484,0.22861059940515316,0.5085785435653623,0.08966191989150217
0.18,0.7670528731151991,0.23546781724651378,0.5255643125110186,0.08925062725797676
0.19,0.7647338362288766,0.24225136442359535,0.5430527487698807,0.08885563731694476
0.2,0.7623588004347216,0.24896199456792556,0.5610260394938965,0.08847626429857318
0.21,0.7599276458624123,0.2556004542252161,0.5794634862188586,0.0881118551291134
0.22,0.75744038656379,0.2621674829148403,0.5983416779356284,0.08776178821380487
0.23,0.7548971743899509,0.26866381319321175,0.6176346310969213,0.0874254721893975
0.24,0.7522982977053562,0.2750901706924138,0.6373141264972514,0.08710234487132575
0.25,0.7496441825190696,0.2814472741681083,0.6573499652562649,0.0867918721278405
0.26,0.7469353927282344,0.28773583555770604,0.6777101119267003,0.08649354660617711
0.27,0.7441726272936902,0.2939565600101097,0.6983610780789246,0.08620688677028034
0.28,0.7413567171404158,0.30011014591869406,0.719268259323473,0.08593143590422073
0.29,0.7384886214246738,0.3061972849646766,0.7403961615085191,0.0856667609629723
0.3,0.7355694227681902,0.31221866214710103,0.7617087174163542,0.08541245158464504
0.31,0.7326003222401676,0.31817495581161404,0.7831695739295955,0.08516811911532522
0.32,0.7295826329730222,0.3240668376832893,0.8047423537943947,0.08493339560977062
0.33,0.7265177735408458,0.3298949728955968,0.8263909092269898,0.08470793287639669
0.34,0.7234072612222612,0.3356600200179715,0.848079548652813,0.08449140154127333
0.35000000000000003,0.720252704465113,0.3413626310849897,0.8697732497872318,0.0842834901340197
0.36,0.7170557953119625,0.3470034516254024,0.8914378449110234,0.08408390419813752
0.37,0.7138183017507256,0.3525831206909861,0.9130401846746148,0.08389236542589404
0.38,0.7105420593137423,0.3581022708849849,0.9345482850432478,0.08370861081349422
0.39,0.7072289639928593,0.3635615283946254,0.9559314402546657,0.08353239185646322
0.4,0.7038809637317471,0.3689615130206188,0.9771603229630256,0.08336347375626796
0.41000000000000003,0.7005000510675993,0.37430283821063554,0.9982070661785335,0.08320163466824505
0.42,0.697088255405017,0.3795861110925627,1.0190453188152122,0.08304666497126884
0.43,0.6936476355700076,0.38481193250908813,1.0396502902341154,0.08289836656688691
0.44,0.6901802729307476,0.3899808970545963,1.0599987784917324,0.08275655221244474
0.45,0.6866882641499841,0.3950935931117967,1.0800691758672718,0.08262104487587789
0.46,0.6831737150870429,0.4001506028915753,1.0998414802059984,0.08249167712836092
0.47000000000000003,0.679638734099583,0.4051525024725475,1.1192972674483614,0.08236829055862539
0.48,0.6760854265530458,0.4100998618433594,1.1384196873960921,0.08225073522035907
0.49,0.6725158889519138,0.4149932449454546,1.1571934160630488,0.08213886910729441
0.5,0.6689322039754343,0.41983320971747456,1.1756046339196025,0.08203255765251295
0.51,0.6653364355124517,0.424620308141059,1.1936409696547958,0.08193167326088656
0.52,0.6617306242642674,0.42935508628733443,1.211291464206019,0.08183609485836377
0.53,0.6581167835848583,0.4340380843653269,1.2285465067361683,0.08174570747836148
0.54,0.6544968956936107,0.438669836771457,1.2453977688429563,0.08166040187258816
0.55,0.6508729083094186,0.44325087213833425,1.2618381718483687,0.08158007412349984
0.56,0.6472467316804831,0.44778171338649986,1.2778618211244852,0.0815046253041579
0.5700000000000001,0.6436202359851377,0.452262877776725,1.2934639479101757,0.08143396115575592
0.58,0.6399952482426513,0.4566948769617941,1.308640821210274,0.0813679917750508
0.59,0.6363735505942307,0.46107821704020274,1.3233897091539093,0.08130663132947323
0.6,0.6327568786846182,0.46541339861025216,1.3377088322019703,0.08124979778991365
0.61,0.629146919623383,0.46970091682379667,1.351597268133641,0.08119741268436789
0.62,0.625545310924903,0.4739412614412754,1.3650549125898785,0.08114940086404322
0.63,0.6219536395619285,0.4781349168869455,1.378082430212864,0.08110569028688008
0.64,0.618373440823889,0.4822823623049687,1.3906811821434883,0.08106621181724691
0.65,0.6148061978374286,0.48638407161495373,1.4028531804073436,0.08103089903965782
