t,C_1,C_2,T_1,C_3,T_2,T_3
0.0,0.0,0.0,6.0,0.0,5.0,1.0
0.01,0.039496292105801974,0.029814528755401776,5.963522245035062,0.0015030406860675636,4.9663773875338775,1.0129021282293074
0.02,0.07857616757382796,0.05926091173250994,5.92747063721369,0.0030417229784630156,4.933090053810231,1.0256098990808236
0.03,0.11724385202941591,0.08834339873297176,5.891840670088342,0.004615816133549375,4.900134291789259,1.0381254250798355
0.04,0.1555035543906717,0.11706618823613066,5.856627876773192,0.006225073627333368,4.867506454570809,1.050450801796267
0.05,0.19335948109438808,0.1454334459381377,5.821827812083575,0.007869234389713159,4.835202937326456,1.0625881161205548
0.06,0.23081583348807963,0.1734493011972692,5.787436055815956,0.009548022365264206,4.803220180792263,1.074539445121225
0.07,0.26787680438205735,0.20111784548876466,5.7534482150928445,0.01126114744675223,4.771554671728886,1.0863068553507969
0.08,0.30454658115962957,0.22844313287099854,5.719859922834315,0.013008304186037326,4.740202943734492,1.0978924032233182
0.09,0.3408293369683056,0.2554291843365418,5.686666838504591,0.01478917816275916,4.709161567507945,1.1092981353415592
0.1,0.3767292370049663,0.2820799839100154,5.653864648079945,0.01660344106011847,4.678427158843869,1.1205260880603443
0.11,0.4122504302226478,0.30839947872011303,5.621449067241579,0.01845075476651091,4.6479963747761515,1.131578286693812
0.12,0.44739705330039514,0.3343915795193337,5.5894158395044755,0.020330769672183602,4.617865914692322,1.1424567460501471
0.13,0.48217322410396385,0.36006016039506045,5.5577607389340455,0.02224312776004205,4.5880325177623025,1.153163469635664
0.14,0.5165830457244847,0.38540905894468697,5.526479568470632,0.024187460694888665,4.558492964530548,1.1637004501467263
0.15,0.5506306022925122,0.4104420761439566,5.495568161626825,0.02616339183917607,4.529244075197204,1.1740696689502081
0.16,0.5843199556116832,0.4351629763120365,5.465022383798728,0.0281705379209863,4.500282708141138,1.1842730956539371
0.17,0.6176551499486117,0.45957548716243446,5.434838130399258,0.030208506661506845,4.471605762019852,1.1943126887177007
0.18,0.6506402078637981,0.48368329968453283,5.405011328539392,0.032276898790930916,4.443210174040638,1.2041903949336692
0.19,0.6832791286449671,0.5074900685596612,5.37553793734497,0.034375309100277425,4.415092918693516,1.2139081491515156
0.2,0.7155758863129285,0.5309994119793906,5.346413948848394,0.03650332732511993,4.387251007091742,1.2234678740513083
0.21,0.747534427493021,0.554214911313731,5.317635389035047,0.03866053900070046,4.3596814864526,1.232871479924897
0.22,0.779158670996444,0.5771401113605215,5.289198317830081,0.04084652583588018,4.332381439566673,1.2421208645802602
0.23,0.8104525171392928,0.5997785213695724,5.261098824784842,0.043060861733712257,4.305347987585833,1.2512179143869866
0.24,0.8414198364685226,0.6221336141194916,5.2333330340688935,0.04530311782187912,4.278578286205242,1.2601645029622328
0.25,0.8720644695056515,0.6442088260363654,5.2058971044833555,0.04757286266265737,4.2520695253796905,1.2689624911190773
0.26,0.9023902281758848,0.6660075576022403,5.178787228658957,0.04986966179871137,4.225818929400626,1.277613726986424
0.27,0.9324008969798471,0.6875331738542868,5.151999632323091,0.05219307747608826,4.199823756731885,1.2861200460803968
0.28,0.9621002289856344,0.7087890038106655,5.12553057614752,0.05454267030578161,4.174081298989062,1.2944832708787262
0.29,0.991491946146194,0.7297783407928776,5.099376355440833,0.056917999306819476,4.148588880633383,1.3027052108102743
0.3,1.0205797403406824,0.7505044429238806,5.073533299449621,0.05931862171819752,4.123343858713307,1.3107876623265866
0.31,1.0493672723144345,0.7709705331605579,5.047997771742492,0.061744093550583974,4.098343622343141,1.3187324087570735
