t,v,w
0.0,0.0,0.0
0.01,-0.7970929590566516,-1.996710991065286e-05
0.02,-1.5662238326289533,-7.924820814978212e-05
0.03,-2.2601445828525146,-0.00017531026914137198
0.04,-2.8323159802154922,-0.00030316412095968896
0.05,-3.261001810077895,-0.00045603930494658333
0.06,-3.555896804045903,-0.0006268860100023591
0.07,-3.7457798222883794,-0.0008096889905089041
0.08,-3.862546802048206,-0.0010000058445660037
0.09,-3.932247905885622,-0.0011948635588783217
0.1,-3.973099512752939,-0.0013923948757057036
0.11,-3.99678195067421,-0.0015914720618977643
0.12,-4.01042293416033,-0.0017914298032172388
0.13,-4.018250367974693,-0.0019918809594839547
0.14,-4.022731645452067,-0.0021926020513416034
0.15,-4.025293417703205,-0.0023934646685028075
0.16,-4.0267561986768285,-0.0025943952208786363
0.17,-4.0275904570227565,-0.0027953516005882325
0.18,-4.028065483882965,-0.002996309735361591
0.19,-4.028335264864053,-0.003197255871265955
0.2,-4.028487802716745,-0.003398182152863508
0.21,-4.028573383742881,-0.003599084094325743
0.22,-4.028620718777339,-0.00379995913675995
0.23,-4.028646216522445,-0.004000805819777256
0.24,-4.028659239416952,-0.004201623312108117
0.25,-4.028665138964855,-0.004402411140573203
0.26,-4.0286669706812095,-0.004603169036968225
0.27,-4.02866648367259,-0.004803896849716314
0.28,-4.028664662247153,-0.0050045944955158786
0.29,-4.028662087009268,-0.005205261927104268
0.3,-4.028659078795843,-0.005405899120408186
0.31,-4.0286558246439785,-0.005606506063298294
0.32,-4.028652441420146,-0.005807082750564392
0.33,-4.02864896424637,-0.006007629181673672
0.34,-4.028645446271838,-0.006208145358817677
0.35000000000000003,-4.028641900013397,-0.00640863128438348
0.36,-4.028638339471036,-0.006609086961683758
0.37,-4.028634771977123,-0.006809512394626657
0.38,-4.028631200592321,-0.007009907587502129
0.39,-4.028627626975046,-0.007210272544724621
0.4,-4.028624052251246,-0.007410607270755401
0.41000000000000003,-4.028620478107497,-0.007610911794268157
0.42,-4.028616903973951,-0.007811186102456329
0.43,-4.028613329697279,-0.008011430191898107
0.44,-4.02860975527748,-0.00821164406259349
0.45,-4.028606180714555,-0.008411827714542477
0.46,-4.0286026063181275,-0.008611981154087702
0.47000000000000003,-4.028599032584628,-0.008812104392116063
0.48,-4.028595459544442,-0.009012197435046556
0.49,-4.028591887157332,-0.009212260287379868
0.5,-4.028588291125015,-0.009412292898605517
0.51,-3.400088656849095,-0.009595338848932383
0.52,-2.9861929739743833,-0.009752921579730464
0.53,-2.68745296183175,-0.009892926326772489
0.54,-2.4588865112186284,-0.010019858485689504
0.55,-2.2767934761324753,-0.010136578969780548
0.56,-2.1273465994224225,-0.010245038661559349
0.5700000000000001,-2.001864670509586,-0.010346638319674396
0.58,-1.894586489152565,-0.010442423873564657
0.59,-1.8015186804115537,-0.01053320072301294
0.6,-1.7197945304286322,-0.010619604655829491
0.61,-1.6472957957866776,-0.010702147964770743
0.62,-1.5824189408782394,-0.010781250596356646
0.63,-1.5239248318201022,-0.010857261874111004
0.64,-1.4708387750630105,-0.010930476068603963
0.65,-1.422382157181283,-0.011001143812763802
0.66,-1.3779245012859025,-0.01106948064574607
0.67,-1.3369491353559575,-0.01113567351687007
0.68,-1.2990280695415388,-0.011199885823852247
0.6900000000000001,-1.2638033623411047,-0.011262261359278183
0.7000000000000001,-1.2309730413858775,-0.01132292744920453
0.71,-1.200280341059636,-0.011381997472865947
0.72,-1.1715053740495684,-0.011439572906033878
0.73,-1.1444585855503753,-0.011495744999020067
0.74,-1.1189755834939463,-0.01155059615966765
0.75,-1.094913005308328,-0.011604201105549924
0.76,-1.0721451843730783,-0.01165662783035359
0.77,-1.0505614400547791,-0.01170793841945978
0.78,-1.0300638530646615,-0.011758189743843605
0.79,-1.0105654526847287,-0.01180743404799074
0.8,-0.9919886730588409,-0.01185571946367754
0.81,-0.9742640962815795,-0.011903090445515277
0.8200000000000001,-0.9573293843358117,-0.01194958815167533
0.8300000000000001,-0.9411283775238124,-0.011995250775434318
0.84,-0.9256103302629626,-0.012040113834815803
0.85,-0.9107292583097911,-0.012084210427003762
0.86,-0.8964433795695904,-0.012127571452678749
0.87,-0.8827146327778782,-0.012170225814254265
0.88,-0.8695082729079425,-0.012212200588806213
0.89,-0.8567924926821833,-0.012253521189785095
0.9,-0.8445381211878272,-0.012294211503140135
0.91,-0.8327183506905997,-0.012334294011943341
0.92,-0.8213084902240538,-0.012373789910716824
0.93,-0.8102857615248557,-0.012412719204263116
0.9400000000000001,-0.7996291108397116,-0.01245110079942259
0.9500000000000001,-0.7893190436857114,-0.012488952587648629
0.96,-0.7793374824547237,-0.012526291518505104
0.97,-0.7696676343471758,-0.012563133668257197
0.98,-0.7602938756200561,-0.012599494301596962
0.99,-0.7512016577008094,-0.012635387924529416
1.0,-0.7423774021146456,-0.01267082834039109
1.01,-0.7338084269490199,-0.012705828693408718
1.02,-0.725482868184801,-0.012740401513221833
1.03,-0.7173896165020921,-0.01277455875283573
1.04,-0.7095182543962216,-0.012808311825990527
1.05,-0.7018590030232433,-0.012841671639909367
1.06,-0.6944026725883529,-0.012874648626204587
