t,Q_Ca_p,Q_P_p,Q_P_c,Q_PTH_p,Q_Ca_b,Q_P_b,Q_E_k,Q_D_p,Q_TCa_i,Q_C_PT,Q_TP_k
0.0,1.0,1.0,3226.0,1.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.011848872215203698,32.02709507755209,3194.5192659852382,-2.850001881005885,100.97185115778079,1.450938937210291,1.0094976253958017,1.009042977755556,0.9998000399946668,0.9999000099993334,0.9900499516567639
0.02,-0.9860694614537906,62.736419585578695,3163.351770528642,-6.700003761635619,101.9534695814218,1.9064098857797211,1.0189905031658928,1.0181718221037936,0.9996001599573414,0.9998000399946673,0.9801991418252233
0.03,-1.9938531643901807,93.13104477451597,3132.494396831978,-10.550005641889248,102.94495343428223,2.366458393506955,1.028478635683511,1.0273863997793808,0.9994003598560427,0.9997000899820028,0.9704465807260024
0.04,-3.011601385769299,123.21401040030258,3101.944059134101,-14.400007521766863,103.94640186551341,2.8311304655982266,1.0379620253206892,1.0366865776748946,0.9992006396588027,0.999600159957342,0.9607912884592182
0.05,-4.03941427142351,152.9883250583137,3071.697702371979,-18.25000940126854,104.95791502092378,3.3004725697086332,1.0474406744482752,1.0460722228396522,0.9990009993336659,0.9995002499166875,0.9512322948963613
0.06,-5.077392980925609,182.45696668334216,3041.7523016727905,-22.10001128039435,105.97959406006214,3.774531643868836,1.0569145854359314,1.0555432024794278,0.9988014388486903,0.9994003598560433,0.941768639518248
0.07,-6.125639686063964,211.62288250976684,3012.104862394457,-25.95001315914438,107.01154115469294,4.253355095777528,1.066383760652136,1.0650993839564757,0.9986019581719459,0.9993004897714134,0.9323993714279536
0.08,-7.184257574690349,240.48898919519326,2982.7524200002213,-29.80001503751869,108.05385949264401,4.736990804586824,1.0758482024641822,1.0747406347894644,0.9984025572715158,0.9992006396588032,0.9231235493107905
0.09,-8.253350864968233,269.05817324347527,2953.6920396290125,-33.65001691551736,109.10665329205487,5.225487127513469,1.0853079132381798,1.084466822653237,0.9982032361154961,0.9991008095142186,0.9139402412972331
0.1,-9.333024836100211,297.33329178965715,2924.920815296248,-37.500018793140484,110.17002783210422,5.7188929140963705,1.0947628953390565,1.0942778153783381,0.9980039946719951,0.9990009993336665,0.9048485247079766
0.11,-10.42338583299841,325.3171727834132,2896.4358697082243,-41.3500206703881,111.24408945768027,6.217257508363662,1.104213151130558,1.1041734809509214,0.9978048329091344,0.9989012091131545,0.8958474859947034
0.12,-11.524541266504219,353.0126150697478,2868.234354181319,-45.20002254726031,112.32894557960053,6.720630748934658,1.1136586829752486,1.1141536875127227,0.997605750795048,0.9988014388486909,0.8869362207142746
0.13,-12.636599632306242,380.4223888983587,2840.313448123845,-49.050024423757186,113.42470469352966,7.229062977797786,1.1230994932345124,1.1242183033607602,0.9974067482978827,0.9987016885362848,0.878113833363435
0.14,-13.759670506361635,407.5492354574748,2812.67035950434,-52.9000262998788,114.531476375401,7.742605038186084,1.1325355842685512,1.134367196947515,0.9972078253857982,0.9986019581719464,0.8693794375283399
0.15,-14.893864560797889,434.3958674129801,2785.302324305065,-56.750028175625225,115.64937129731813,8.261308281955632,1.1419669584363878,1.1446002368806436,0.997008982026967,0.9985022477516864,0.8607321557101675
0.16,-16.03929358647663,460.96496977454495,2758.206605645401,-60.60003005099655,116.77850125011882,8.785224580055157,1.151393618095866,1.1549172919225394,0.9968102181895738,0.9984025572715164,0.8521711190453666
0.17,-17.19607049764994,487.2591998815288,2731.3804937937857,-64.45003192599283,117.91897914803131,9.314406324686555,1.1608155656036503,1.1653182309903023,0.9966115338418166,0.9983028867274487,0.8436954673095197
0.18,-18.36430934381927,513.2811874251595,2704.8213061400343,-68.30003380061414,119.0709190405332,9.848906434807432,1.170232803315228,1.1758029231556477,0.9964129289519059,0.9982032361154966,0.8353043489086209
0.19,-19.544125320536896,539.0335347785499,2678.5263868603083,-72.15003567486058,120.23443612315295,10.388778361142995,1.1796453335849086,1.186371237644722,0.9962144034880649,0.998103605431674,0.8269969207721818
0.2,-20.73563477965292,564.5188174881347,2652.493106420926,-76.0000375487322,121.40964674771682,10.934076090940632,1.1890531587658246,1.1970230438378706,0.9960159574185296,0.9980039946719956,0.8187723481948586
0.21,-21.93895524070503,589.7395844349796,2626.7188614117667,-79.85003942222906,122.5966684337387,11.484854153254783,1.1984562812099324,1.2077582112695042,0.9958175907115484,0.9979044038324771,0.8106298047833598
0.22,-23.15420540749941,614.6983579721776,2601.201074401183,-83.7000412953513,123.79561988500096,12.041167626640469,1.2078547032680125,1.218576609627941,0.9956193033353828,0.9978048329091349,0.8025684724102615
0.23,-24.38150517895945,639.3976342016363,2575.937193654178,-87.55004316809894,125.00662100040319,12.603072144187106,1.2172484272896704,1.2294781087552382,0.9954210952583069,0.997705281897986,0.7945875411241079
0.24,-25.62097565543967,663.8398833611438,2550.924692742409,-91.40004504047205,126.22979288027614,13.170623896448152,1.2266374556233373,1.24046257864702,0.9952229664486072,0.9976057507950485,0.7866862090249257
0.25,-26.87273915336481,688.0275500096755,2526.161070352092,-95.25004691247072,127.46525784102076,13.743879638233654,1.2360217906162705,1.251529889452315,0.9950249168745833,0.9975062395963411,0.7788636822030103
0.26,-28.136919218848348,711.9630532390656,2501.643850066006,-99.10004878409505,128.71313942872678,14.322896694929241,1.2454014346145534,1.262679911473393,0.9948269465045471,0.9974067482978833,0.7711191746694329
0.27,-29.41364064568924,735.648786783755,2477.370580245399,-102.9500506553451,129.97356243716936,14.90773297084661,1.2547763899630975,1.2739125151656092,0.9946290553068233,0.9973072768956955,0.7634519083184854
0.28,-30.703029476121046,759.0871195320706,2453.3388335183595,-106.80005252622092,131.24665290855836,15.498446949571104,1.2641466590056414,1.2852275711372216,0.9944312432497495,0.9972078253857989,0.7558611127643088
0.29,-32.00521301763816,782.2803956632205,2429.5462066350115,-110.6500543967226,132.53253815036442,16.09509770176912,1.2735122440847524,1.296624950149233,0.9942335103016756,0.9971083937642153,0.7483460252947999
0.3,-33.320319866577314,805.2309346607663,2405.990320443105,-114.50005626685024,133.83134675890057,16.69774489612988,1.282873147541827,1.308104523115242,0.9940358564309645,0.9970089820269675,0.7409058908639937
0.31,-34.64847991627802,827.941031640787,2382.6688195560623,-118.35005813660388,135.14320862748252,17.306448803151916,1.292229371717091,1.319666161101271,0.9938382816059914,0.9969095901700792,0.7335399619861415
0.32,-35.989824355167094,850.4129578855495,2359.579371820197,-122.2000600059836,136.46825494451346,17.92127029425427,1.3015809189496002,1.3313097353255834,0.9936407857951445,0.9968102181895744,0.7262474985655917
0.33,-37.34448568784407,872.6489609069777,2336.7196682414633,-126.0500618749895,137.8066182145692,18.542270851560133,1.310927791577242,1.3430351171585295,0.9934433689668243,0.9967108660814785,0.7190277678735623
0.34,-38.71259774768467,894.6512646830602,2314.087422743196,-129.90006374362162,139.15843227100177,19.169512573744843,1.320269991936734,1.354842178122382,0.9932460310894442,0.9966115338418172,0.7118800444708893
0.35000000000000003,-40.09429570958027,916.422069891152,2291.680371926902,-133.75006561188005,140.52383228867888,19.803058181947016,1.329607522363627,1.3667307898911725,0.9930487721314302,0.9965122214666174,0.7048036101317496
0.36,-41.489716102813404,937.9635541381637,2269.4962748360945,-137.60006747976485,141.90295479685935,20.442971025742754,1.3389403851923032,1.3787008242905263,0.9928515920612206,0.9964129289519066,0.6977977537683574
0.37,-42.89899682406929,959.2778721876426,2247.5329127231753,-141.45006934727613,143.29593769220477,21.08931508918303,1.3482685827559784,1.3907521532974996,0.992654490847267,0.9963136562937129,0.6908617713566352
0.38,-44.32227715973667,980.3671560207702,2225.78808897809,-145.30007121441395,144.7029202610802,21.742155001141242,1.3575921173867025,1.4028846490404263,0.992457468458033,0.9962144034880657,0.6839949659135864
0.39,-45.759697836834306,1001.2335143869984,2204.2596295540598,-149.1500730811784,146.12404323048082,22.40155605894313,1.366910991415359,1.4150981837988037,0.9922605248619948,0.9961151705309945,0.6771966476335337
0.4,-47.21140097255391,1021.8790341591122,2182.9453816359346,-153.0000749475695,147.55944871757464,23.067584204954667,1.376225207171666,1.4273926300030464,0.9920636600276418,0.9960159574185302,0.6704661334627032
0.41000000000000003,-48.67753010809476,1042.3057801868065,2161.8432137709133,-156.85007681358735,149.00928026353736,23.740306042281368,1.385534766984178,1.43976786023435,0.9918668739234754,0.9959167641467044,0.6638027471411795
0.42,-50.158230228197276,1062.5157954042031,2140.951015751966,-160.70007867923204,150.4736828530858,24.419788843831835,1.3948396731802846,1.4522237472245354,0.9916701665180099,0.9958175907115492,0.6572058191658224
0.43,-51.65364777602342,1082.5111010195303,2120.2666984212487,-164.55008054450363,151.95280292935826,25.10610055922226,1.4041399280862128,1.4647601638558871,0.991473537779772,0.9957184371090976,0.6506746867276161
0.44,-53.16393066822577,1102.2936967007504,2099.7881934774823,-168.40008240940224,153.44678840898374,25.799309821768492,1.4134355340270262,1.4773769831609924,0.9912769876773012,0.9956193033353836,0.6442086936502844
0.45,-54.689228310205614,1121.8655607571388,2079.5134532872967,-172.25008427392788,154.95578869733998,26.499485955565785,1.4227264933266262,1.4900740783225803,0.9910805161791496,0.9955201893864418,0.6378071903301739
0.46,-56.2296916113551,1141.2286503252806,2059.4404506921596,-176.10008613808066,156.47995470379553,27.20669898256115,1.4320128083077528,1.5028513226733609,0.9908841232538815,0.9954210952583076,0.6314695336747241
0.47000000000000003,-57.78547298101424,1160.384902356581,2039.567178022743,-179.95008800186065,158.01943883766683,27.921019620677427,1.4412944812919846,1.5157085896958207,0.9906878088700742,0.9953220209470173,0.6251950867874413
0.48,-59.35672635924907,1179.3362331681192,2019.891647533788,-183.8000898652679,159.57439503899633,28.64251929809432,1.4505715145997402,1.5286457530220978,0.9904915729963175,0.995222966448608,0.6189832191072081
0.49,-60.94360724305807,1198.0845381863815,2000.411891648212,-187.65009172830253,161.144978804759,29.3712701654082,1.4598439105502778,1.5416626864338419,0.9902954156012134,0.9951239317591173,0.6128333064865816
0.5,-62.546272692892046,1216.6316925091055,1981.1259623922385,-191.50009359096458,162.7313471953821,30.10734509865732,1.4691116714616965,1.5547592638620347,0.9900993366533769,0.9950249168745839,0.6067447310113429
0.51,-64.16488134851615,1234.9795510844503,1962.0319312088695,-195.35009545325414,164.33365885060724,30.85081770668178,1.4783747996509367,1.5679353593868295,0.9899033361214352,0.9949259217910473,0.6007168809410568
0.52,-65.79959344503334,1253.1299488872344,1943.1278887742085,-199.2000973151713,165.95207400551388,31.601762338558466,1.48763329743378,1.581190847237391,0.9897074139740285,0.9948269465045477,0.5947491506505435
0.53,-67.4505708290698,1271.084701092251,1924.4119448166396,-203.0500991767161,167.5867545067047,32.360254091110995,1.4968871671248516,1.5945256017917349,0.989511570179809,0.994727991011126,0.5888409405722613
0.54,-69.11797697512183,1288.8456032446518,1905.882227938855,-206.9001010378886,169.23786382865245,33.12636881649476,1.5061364110376185,1.6079394975765684,0.9893158047074417,0.994629055306824,0.5829916571396022
0.55,-70.80197699821058,1306.4144316240747,1887.5368852478582,-210.7501028986889,170.9055670863548,33.900183128068655,1.5153810314843916,1.6214324092671206,0.9891201175256044,0.9945301393876842,0.5772007126687648
0.56,-72.50273766242714,1323.792943823795,1869.3740817718465,-214.60010475911713,172.5900310438794,34.68177440436007,1.5246210307763264,1.6350042116869619,0.9889245086029868,0.9944312432497502,0.5714675251724621
0.5700000000000001,-74.22042741520116,1340.982878022565,1851.3920011724708,-218.45010661917328,174.29142414863242,35.47122080496546,1.5338564112234228,1.6486547798078897,0.9887289779082915,0.9943323668890658,0.565791518587955
0.58,-75.9552163972876,1357.9859535008507,1833.5888452239665,-222.3001084788574,176.0099165413453,36.268601275184245,1.5430871751345256,1.662383988749752,0.9885335254102339,0.9942335103016763,0.5601721226106678
0.59,-77.7072764589373,1374.8038708468428,1815.9628335996367,-226.1501103381697,177.74568007224548,37.07399555352193,1.5523133248173262,1.6761917137802864,0.9883381510775413,0.9941346734836272,0.5546087726261109
