t,x,z,y
0.0,1.5,1.0,0.95
0.01,1.5062741391863117,0.9997071755108534,0.9520997855243377
0.02,1.5125151761668447,0.9994287215271254,0.9542189221221935
0.03,1.5187183690745423,0.9991646670672789,0.9563570484513361
0.04,1.5248790534472532,0.9989150384479942,0.9585137873371447
0.05,1.5309925944502827,0.9986798593913945,0.9606887414643536
0.06,1.5370543856019163,0.9984591513699598,0.9628814964387501
0.07,1.5430598565974984,0.9982529331519119,0.9650916185120643
0.08,1.5490044825634641,0.9980612204712394,0.9673186549829531
0.09,1.5548837751186189,0.9978840262597931,0.9695621325567012
0.1,1.5606932951572074,0.9977213605106945,0.9718215629691082
0.11,1.5664286472207263,0.9975732303146047,0.9740964401097589
0.12,1.5720854849149095,0.9974396396429317,0.9763862398812895
0.13,1.5776595218870384,0.9973205890396692,0.9786904220107664
0.14,1.5831465175708674,0.9972160760685921,0.9810084284567032
0.15,1.5885423010369082,0.9971260945742315,0.9833396865019678
0.16,1.5938427526319274,0.997050635249107,0.9856836062942244
0.17,1.599043820416409,0.9969896851392365,0.9880395833409447
0.18,1.6041415225772295,0.9969432275747411,0.9904069989458713
0.19,1.609131935996576,0.9969112425039798,0.9927852182589307
0.2,1.614011206365007,0.9968937061911681,0.995173591852082
0.21,1.6187755523526939,0.9968905911058682,0.9975714567472995
0.22,1.623421271241627,0.9969018658062705,0.9999781386449268
0.23,1.6279447395717623,0.996927494845134,1.0023929500935365
0.24,1.6323424176139825,0.9969674386583357,1.0048151917746935
0.25,1.6366108514343143,0.9970216535140605,1.0072441531014917
0.26,1.6407466509375208,0.9970900922680642,1.009679111137569
0.27,1.6447465100601601,0.9971727036974432,1.0121193322821407
0.28,1.6486072107669958,0.9972694323806374,1.014564072892143
0.29,1.6523256224152365,0.99738021873599,1.0170125798757375
0.3,1.655898706723797,0.9975049988732712,1.0194640918884121
0.31,1.6593235146064802,0.9976437047094868,1.0219178388048455
0.32,1.662597189523534,0.9977962638741381,1.0243730426211295
0.33,1.6657169628631354,0.9979625999093208,1.0268289181503036
0.34,1.668680158746577,0.9981426321101415,1.0292846735058716
0.35000000000000003,1.6714841973653571,0.9983362754210919,1.0317395106152107
0.36,1.6741265938673184,0.9985434404986289,1.034192625869725
0.37,1.6766049566198036,0.9987640337899623,1.036643210888563
0.38,1.678916991897605,0.9989979573902324,1.0390904528400244
0.39,1.6810605038632107,0.9992451090622392,1.041533535085635
0.4,1.6830333921313392,0.9995053823563135,1.0439716378485187
0.41000000000000003,1.6848336533085149,0.999778666573356,1.0464039387746558
0.42,1.6864593836777981,1.0000648466824813,1.0488296134650743
0.43,1.6879087780277433,1.0003638033901028,1.0512478360851287
0.44,1.689180127025914,1.0006754132623314,1.0536577799457854
0.45,1.6902718206239868,1.000999548618854,1.0560586180885296
0.46,1.6911823484809212,1.0013360775397908,1.0584495238684553
0.47000000000000003,1.691910296230807,1.0016848640398637,1.0608296714137162
0.48,1.6924543461653154,1.0020457680646082,1.0631982362188517
0.49,1.692813280975866,1.0024186453616202,1.06555439585086
0.5,1.6929859816729511,1.0028033475888734,1.067897330449867
0.51,1.6929714273728074,1.0031997223466713,1.0702262232998339
0.52,1.6927686946837788,1.003607613227196,1.0725402613667758
0.53,1.692376951750896,1.0040268601096336,1.0748386352595651
0.54,1.6917954624086176,1.0044572989880802,1.0771205403170645
0.55,1.6910235857918667,1.0048987620081138,1.0793851772060756
0.56,1.6900607738992919,1.0053510775969678,1.081631752305121
0.5700000000000001,1.688906570289107,1.0058140705405862,1.0838594782247741
0.58,1.6875606110244263,1.006287561985144,1.086067574180808
0.59,1.6860226337373394,1.006771369163716,1.0882552658690539
0.6,1.6842924618150246,1.007265305968691,1.0904217868159127
0.61,1.6823700070603544,1.0077691828976394,1.0925663786110669
0.62,1.6802552695113486,1.0082828070965335,1.0946882912975495
0.63,1.6779483361398182,1.0088059824418987,1.0967867838162524
0.64,1.6754493827900894,1.0093385095241976,1.0988611242240411
0.65,1.6727586757501365,1.009880185643672,1.1009105899229565
0.66,1.6698765628171788,1.010430805131209,1.1029344685678548
0.67,1.6668034754084091,1.0109901593298003,1.1049320582338704
0.68,1.6635399274027183,1.0115580366779178,1.1069026677859564
0.6900000000000001,1.6600865138864473,1.0121342227968664,1.1088456172400434
0.7000000000000001,1.6564439126514594,1.0127185004850217,1.1107602377888082
0.71,1.6526128814260723,1.013310649858891,1.1126458723077481
0.72,1.6485942550627033,1.0139104484966224,1.1145018758507317
0.73,1.6443889453685907,1.0145176714921267,1.1163276158228477
0.74,1.6399979398127007,1.0151320915485798,1.1181224722682945
0.75,1.6354223004678865,1.0157534790660514,1.1198858381241756
0.76,1.6306631653103532,1.0163816021602763,1.121617119263548
0.77,1.6257217440532117,1.0170162268447593,1.1233157349789848
