t,Y,P,X,Z,IL6
0.0,10.0,10.0,500.0,200.0,1.9
0.01,10.288430261923322,10.0099551346863,499.79399556142766,199.98529877663233,2.1949042060792663
0.02,10.575724548569282,10.019821075147174,499.58931095457336,199.97220353066473,2.461549215643949
0.03,10.861888079553152,10.029598620518456,499.3859392865615,199.9603907621878,2.702625479732174
0.04,11.146926033350049,10.03928856278648,499.18387372148635,199.94962112464034,2.9205673227162436
0.05,11.430843547819753,10.048891686842147,498.9831074797086,199.9397122475075,3.1175776303829896
0.06,11.71364572078255,10.058408770543684,498.7836338370872,199.93052256423752,3.2956495020191108
0.07,11.995337610596293,10.067840584780065,498.58544612420764,199.92193985774546,3.4565863934485543
0.08,12.275924236718138,10.077187893533399,498.38853772563226,199.91387381556876,3.6020201193383827
0.09,12.555410580256414,10.086451453940795,498.19290207916134,199.90625076482232,3.733427191067366
0.1,12.83380158451356,10.095632016355763,497.9985326751066,199.89900967030633,3.8521437909400547
0.11,13.111102155514759,10.104730324408834,497.80542305558305,199.89210003064542,3.9593786242266735
0.12,13.38731716253248,10.11374711506794,497.6135668138057,199.88547913129148,4.056225534912631
0.13,13.662451438597644,10.12268311869805,497.4229575934043,199.87911080185967,4.14367425650476
0.14,13.936509781002641,10.131539059120351,497.23358908774776,199.87296413622383,4.2226203523806625
0.15,14.209496951794662,10.140315653670859,497.04545503928153,199.86701260509577,4.293874116660706
0.16,14.481417678260316,10.149013613258528,496.8585492388759,199.861233296611,4.358168749785662
0.17,14.75227665340129,10.157633642422844,496.6728655251864,199.85560633546683,4.41616766913829
0.18,15.022078536401406,10.166176439390883,496.48839778402476,199.85011439904338,4.468471160573269
0.19,15.290827953085046,10.174642696133866,496.3051399477411,199.84474234918576,4.515622348545429
0.2,15.558529496367562,10.183033098423222,496.12308599461693,199.83947688795786,4.558112699427198
0.21,15.825187726697218,10.191348325886121,495.94222994826856,199.83430631459734,4.596386889132783
0.22,16.090807172489413,10.199589052060535,495.76256587706075,199.82922029887916,4.630847276306324
0.23,16.355392330552984,10.20775594444979,495.58408789353075,199.82420969986694,4.661857929168451
0.24,16.61894766650882,10.215849664576636,495.40679015382204,199.81926641401853,4.689748249764779
0.25,16.88147761520116,10.223870868036826,495.2306668571274,199.81438323862156,4.714816303364276
0.26,17.14298658110136,10.231820204552228,495.05571224514244,199.80955376374874,4.73733178129232
0.27,17.403478938704527,10.239698318023443,494.8819206015275,199.80477227596518,4.757538695595471
0.28,17.662959032919225,10.247505846581973,494.7092862513794,199.80003367330525,4.775657844929173
0.29,17.921431179450146,10.2552434226419,494.53780356071155,199.79533339552086,4.791889011461183
