t,x,v,y,w,z
0.0,3.0,149.0,6.0,1.0,0.0
0.01,3.001813327804636,149.019266968215,5.99785236925131,0.9825518343747969,0.00023539357631981005
0.02,3.0036134788938575,149.03709523191344,5.9957284564651365,0.9700255886801117,0.0004624902326874868
0.03,3.0054007001873213,149.0535246480548,5.9936267871118245,0.9621726705386939,0.0006825957778794418
0.04,3.0071752327767522,149.06859357595403,5.9915459542455825,0.9587743592721236,0.0008969337601176882
0.05,3.0089373120942957,149.08233893240072,5.989484611531568,0.9596398017425193,0.001106653539729885
0.06,3.0106871681003033,149.09479624817175,5.9874414664003,0.9646040865551672,0.0013128381532235918
0.07,3.0124250254972362,149.10599973094764,5.985415272365231,0.9735261202993702,0.001516513103892414
0.08,3.014151103851262,149.11598229516892,5.983404825238916,0.9862877191881912,0.0017186505581343033
0.09,3.0158656178040464,149.12477562146626,5.98140895576891,1.0027916428019314,0.0019201777059358635
0.1,3.0175687772172557,149.13241019049684,5.9794265252388055,1.0229605874173235,0.0021219815945868847
0.11,3.0192607873370028,149.1389153224818,5.977456420332214,1.0467359828545828,0.0023249148002747926
0.12,3.0209418489469986,149.14431921130804,5.975497548546068,1.0740769984550707,0.002529800418739077
0.13,3.022612158518154,149.14864895582872,5.97354883384799,1.1049596645626254,0.00273743673290798
0.14,3.0242719083557046,149.1519305894786,5.97160921246539,1.139376058954344,0.002948601704583562
0.15,3.025921286739571,149.1541891051925,5.969677629059205,1.1773336782453563,0.003164056955862216
0.16,3.0275604780643213,149.155448479886,5.967753032899013,1.2188548226067761,0.003384551738544553
0.17,3.0291896629752926,149.15573169610556,5.965834374234827,1.2639760880155075,0.003610826632217512
0.18,3.0308090185016217,149.15506076131297,5.963920600819715,1.3127479471634793,0.003843617029218955
0.19,3.032418718186451,149.15345672487828,5.9620106545664076,1.3652344152735034,0.00408365642525576
0.2,3.0340189322152886,149.15093969339839,5.960103468267843,1.421512774146178,0.004331679602963316
0.21,3.0356098275423924,149.14752884415347,5.9581979623840855,1.4816733605884416,0.0045884257011023265
0.22,3.0371915680150483,149.1432424365558,5.95629304191477,1.5458194267802023,0.004854641145172482
0.23,3.0387643144964565,149.1380978219445,5.954387593298145,1.614067055114999,0.005131082508811853
0.24,3.0403282249867822,149.1321114515314,5.952480481372166,1.686545137220714,0.005418519264938839
0.25,3.0418834547433518,149.1252988827791,5.9505705463286676,1.7633954025169452,0.005717736502806417
0.26,3.043430156400347,149.1176747843355,5.948656600635105,1.8447724900971956,0.006029537639856692
0.27,3.0449684800862586,149.1092529389027,5.946737426051423,1.9308440950994143,0.006354746983912076
0.28,3.0464985735424386,149.10004624502784,5.944811770507541,2.0217911386114418,0.006694212405746891
0.29,3.0480205822393858,149.09006671690608,5.942878345073608,2.1178080087302344,0.007048807867057522
0.3,3.049534649494718,149.07932548304083,5.940935820762023,2.219102826388199,0.007419436084245995
0.31,3.0510409165889913,149.0678327830138,5.938982825410282,2.325897777806853,0.007807031062548399
0.32,3.052539522883823,149.05559796304289,5.937017940364961,2.4384294728561535,0.00821256079310424
0.33,3.054030605937988,149.04262946974356,5.935039697235225,2.556949365891881,0.00863702983438821
0.34,3.055514301626329,149.02893484252115,5.93304657442686,2.681724207577672,0.00908148207104996
0.35000000000000003,3.0569907442569213,149.01452070433513,5.9310369937222145,2.813036551309476,0.009547003385708235
0.36,3.0584600666915516,148.99939275087817,5.929009316619895,2.951185297665775,0.010034724521086951
