t,x,z,y,u,v
0.0,5.0,1.0,0.0,1.0,0.0
0.01,4.995003002867005,0.9999995002801525,5.074957134500438e-06,0.9999998750000078,0.0004999999618563592
0.02,4.990012008878898,0.99999900056061,1.0299761319419444e-05,0.999999500000071,0.0009999998010837285
0.03,4.985027011317248,0.9999985008413741,1.5674238130430613e-05,0.99999887500027,0.0014999993973922308
0.04,4.980048002444921,0.9999980011224462,2.119818669308369e-05,0.9999980000008302,0.0019999986119579507
0.05,4.9750749782266785,0.9999975014038269,2.687150222763526e-05,0.9999968750026288,0.0024999973706287815
0.06,4.970107930939273,0.999997001685518,3.269398421359408e-05,0.9999955000062116,0.0029999955340909894
0.07,4.96514685328206,0.9999965019675207,3.866544310658472e-05,0.9999938750119028,0.003499992971095266
0.08,4.960191737954395,0.9999960022498364,4.478568936223169e-05,0.999992000020027,0.0039999895503923
0.09,4.9552425776556355,0.9999955025324667,5.105453343615956e-05,0.999989875030908,0.004499985140732782
0.1,4.950299365085138,0.9999950028154129,5.747178578399286e-05,0.9999875000448704,0.004999979610867402
0.11,4.945362092942259,0.9999945030986764,6.403725686135613e-05,0.9999848750622382,0.00549997282954685
0.12,4.940430753926354,0.9999940033822587,7.075075712387393e-05,0.9999820000833359,0.005999964665521815
0.13,4.93550534073678,0.9999935036661611,7.761209702717079e-05,0.9999788751084877,0.006499954987542989
0.14,4.930585846072894,0.9999930039503852,8.462108702687127e-05,0.9999755001380177,0.006999943664361062
0.15,4.925672262634052,0.9999925042349322,9.177753757859987e-05,0.9999718751722505,0.00749993056472672
0.16,4.920764583142453,0.9999920045198036,9.908125973034476e-05,0.9999680002115452,0.007999915557718505
0.17,4.915862802033741,0.9999915048050005,0.00010653210896145255,0.9999638752588987,0.008499898537005515
0.18,4.910966913400461,0.9999910050905241,0.00011412993185438235,0.9999595003167799,0.00899987939133287
0.19,4.906076910377727,0.9999905053763757,0.00012187455016439195,0.9999548753861838,0.00949985799570505
0.2,4.901192786100649,0.9999900056625565,0.00012976578564673918,0.9999500004681052,0.009999834225126538
0.21,4.896314533704343,0.9999895059490679,0.00013780346005668178,0.9999448755635393,0.010499807954601814
0.22,4.8914421463239215,0.9999890062359112,0.00014598739514947758,0.9999395006734808,0.010999779059135361
0.23,4.886575617094499,0.999988506523088,0.0001543174126803844,0.9999338757989251,0.011499747413731658
0.24,4.881714939151187,0.9999880068105993,0.00016279333440465994,0.999928000940867,0.011999712893395187
0.25,4.876860105629099,0.9999875070984465,0.0001714149820775621,0.9999218761003015,0.01249967537313043
0.26,4.872011109663349,0.9999870073866312,0.00018018217745434864,0.9999155012782236,0.01299963472794187
0.27,4.867167944389051,0.9999865076751543,0.00018909474229027734,0.9999088764756283,0.013499590832833985
0.28,4.8623306029413165,0.9999860079640174,0.000198152498340606,0.9999020016935107,0.013999543562811257
0.29,4.857499078718883,0.9999855082532217,0.00020735527416372546,0.9998948769349429,0.014499492792900323
0.3,4.852673365269027,0.9999850085427686,0.00021670290215134726,0.9998875022041679,0.014999438398140316
0.31,4.8478534558249855,0.9999845088326593,0.00022619520659097013,0.9998798775029536,0.01549938025354396
0.32,4.843039343618286,0.9999840091228951,0.00023583201172590866,0.999872002833055,0.015999318234123844
0.33,4.838231021880453,0.9999835094134772,0.0002456131417994775,0.9998638781962267,0.016499252214892544
0.34,4.833428483843014,0.9999830097044072,0.00025553842105499125,0.9998555035942233,0.016999182070862654
0.35000000000000003,4.8286317227374935,0.9999825099956863,0.00026560767373576445,0.9998468790287997,0.01749910767704676
0.36,4.823840731795418,0.9999820102873157,0.0002758207240851118,0.9998380045017103,0.017999028908457435
0.37,4.819055504248312,0.9999815105792969,0.00028617739634634787,0.9998288800147102,0.018498945640107275
0.38,4.814276033327703,0.9999810108716309,0.0002966775147627873,0.9998195055695539,0.018998857747008865
0.39,4.809502312265116,0.9999805111643194,0.0003073209035777448,0.9998098811679961,0.019498765104174788
0.4,4.804734334292077,0.9999800114573635,0.0003181073870345348,0.9998000068117915,0.019998667586617627
0.41000000000000003,4.7999720984673155,0.9999795117507634,0.00032903693976049067,0.9997898825493274,0.02049856507015678
0.42,4.795215585418861,0.9999790120445229,0.00034010906073750607,0.9997795082814984,0.020998457428059798
0.43,4.790464796330301,0.9999785123386417,0.00035132377942966427,0.9997688840736958,0.021498344536440287
0.44,4.7857197244504714,0.9999780126331212,0.0003626809205269637,0.999758009927813,0.021998226270313222
