t,mass,Cln2,Clb5,C5P,C5,F5P,F5,Sic1,Cdc6,Clb2,C2P,C2,F2P,F2,Swi5,Cdc14,Sic1P,Cdc6P,Pds1,Esp1,ORI,BUD,SPN,Swi5_T,APC_P,Cdc20_T,Cdc20_A,Cdh1_T,Cdh1,Tem1,Cdc15,Cdc14_T,RENT,Net1,Net1_T,PPX
0.0,1.206,0.0652,0.0518,0.0069,0.0701,7.9e-06,7.2e-05,0.0229,0.1076,0.1469,0.024,0.2384,0.0274,0.2361,0.9562,0.4683,0.0064,0.0155,0.0256,0.3013,0.0009,0.0085,0.0305,0.9765,0.1015,1.9163,0.4443,1.0,0.9305,0.9039,0.6565,2.0,1.0495,0.0186,2.8,0.1232
0.01,1.2060928896971363,0.06513076646430425,0.05128430822737267,0.0068659506452529275,0.07055484903624003,7.858297904459224e-06,7.2448565796928e-05,0.023231819226852128,0.10885218578436189,0.14425723975534502,0.023782250489912192,0.23877756493221822,0.027120870772147428,0.23612439034276092,0.9559691316657684,0.467142046934912,0.006383212859718054,0.015462154721509726,0.02545938108228706,0.3018926131768289,0.0031367458057228155,0.008637220772005494,0.03099131395399642,0.9761332783588047,0.10087657313594374,1.9133479883064772,0.44395619354578125,1.0,0.932679566277727,0.9025911042582978,0.6563236540824694,2.0,1.0519746334099183,0.018695001049718298,2.8,0.12309742366149884
0.02,1.2061857865489125,0.06506177012370751,0.05076640296963811,0.006831888496220177,0.0710120769265713,7.816485635574097e-06,7.289816857586089e-05,0.023570943063758544,0.11012152089081492,0.14162969728775157,0.023565281256294115,0.23914709048603688,0.02684263671873942,0.2361338543209616,0.9557168310241824,0.4659691841159357,0.006366406330822844,0.015424070722243163,0.025315323479105468,0.30249543365204606,0.005339140567228827,0.008773291829017694,0.03147776867100479,0.9757456930381511,0.10025310141462461,1.9102463172112563,0.4436097427356541,1.0,0.934831771546591,0.9012858227507614,0.6561453096330894,2.0,1.0544387893408425,0.01877219050361797,2.8,0.1229943439177637
0.03,1.2062786905558798,0.064993015239661,0.050246300857097144,0.006797808261301068,0.07147167287507883,7.774557443753723e-06,7.334874754777935e-05,0.023917481414870143,0.11140819742679825,0.13901817284106563,0.02334908640653581,0.23950845649393082,0.026565301129200972,0.23612817759393373,0.9554436437717553,0.4647930763484339,0.006349579800244619,0.015385735160839943,0.025168562937090463,0.3031088036110155,0.007507305613751596,0.00890820957011391,0.03195930903178891,0.9753377875374072,0.09962961311277478,1.9069993822057458,0.4432605610444509,1.0,0.9369558541518218,0.8999841024235197,0.65596500206957,2.0,1.056881599872924,0.018842708674271434,2.8,0.12289072348311716
0.04,1.2063716017185893,0.06492450620659619,0.049724022237270134,0.006763703465645262,0.07193362357466775,7.732506275502644e-06,7.380024100292731e-05,0.02427155155588371,0.11271240163988741,0.13642359948404428,0.023133656020267762,0.23986154601028795,0.026288862633104766,0.23610716070957022,0.9551503551372124,0.4636182645681308,0.006332730755131109,0.015347131787506517,0.0250198817730378,0.30373294877159834,0.00964137035060635,0.009041970436199285,0.032435880673506855,0.9749103424396643,0.09900613731953885,1.90361334492712,0.4429085666182257,1.0,0.9390510756010653,0.8986858915793207,0.6557827661010679,2.0,1.0592992374342258,0.018910650918922904,2.8,0.12278653561834345
0.05,1.2064645200375923,0.06485624754745234,0.04919959113995334,0.0067295678303632665,0.07239791186163877,7.690325365290544e-06,7.425258465901884e-05,0.02463327497901655,0.11403430886252246,0.13384700281330028,0.022918980946753913,0.24020624265925503,0.026013320708195006,0.23607061586272318,0.9548379292289729,0.46244668548460693,0.006315856038626603,0.015308244015775447,0.0248700659389988,0.30436797589433673,0.011741473373518635,0.00917457091705097,0.03290743030089901,0.9744643167167897,0.0983827040398596,1.9000956895448435,0.4425536833139259,1.0,0.9411166946088828,0.8973911398250343,0.65559863573272,2.0,1.0616904325162395,0.018977550567166577,2.8,0.12268176450606295
0.06,1.2065574455134398,0.06478824390969884,0.04867303530674967,0.006695395770875623,0.07286451618641487,7.648008814782622e-06,7.47057110117387e-05,0.025002775549391665,0.11537408092412177,0.13128945996209151,0.022705054498507047,0.24054243049867136,0.02573867762696106,0.23601836655248848,0.9545074461630111,0.461279264892986,0.006298952322661975,0.01526905605781594,0.02471986626157791,0.3050138768283028,0.013807763166181052,0.009306007558723281,0.03337390594951775,0.9740007855626968,0.09775934425363715,1.8964547541434718,0.44219584139542617,1.0,0.943151958503747,0.8960997980250678,0.6554126442770012,2.0,1.064054894315639,0.01904395889029984,2.8,0.12257640502992961
0.07,1.2066503781466829,0.06472050006199599,0.04814438622839155,0.006661182582316009,0.0733334103892543,7.6055518102093975e-06,7.515954906112486e-05,0.025380178377459896,0.1167318648680629,0.12875206332044675,0.02249187304711006,0.24086999443724974,0.025464939141112912,0.23595024776989076,0.9541600450713862,0.4601165579115018,0.006282016316149338,0.015229553383324912,0.024569969199642088,0.3056705383005811,0.015840398361067223,0.009436276970429992,0.03383525717965834,0.9735208836792208,0.09713608993121776,1.8926993041688576,0.4418349778469741,1.0,0.9451561005583737,0.894811818247769,0.6552248243730446,2.0,1.0663926769578587,0.01911007946644066,2.8,0.12247046201327018
0.08,1.206743317937873,0.06465302089481509,0.047613679276752,0.0066269244967021535,0.07380456350989588,7.562950692344207e-06,7.561402413798845e-05,0.025765609195279728,0.11810779212550009,0.12623589165035715,0.02227943617450208,0.24118882076967463,0.02519211465366988,0.23586610649166714,0.953796878558803,0.458958958010969,0.006265044852333379,0.015189722888641023,0.024420976742881774,0.30633775308654326,0.0178395479158206,0.009565375832838495,0.03429143525090309,0.9730257598247481,0.0965129740396474,1.8888381908024465,0.44147103655317776,1.0,0.9471283397547692,0.8935271537381364,0.6550352079934347,2.0,1.068703972967612,0.01917597519013098,2.8,0.1223639493190773
0.09,1.2068362648875617,0.06458581142059064,0.04708095378844857,0.006592618675383263,0.07427793971008902,7.520202949587978e-06,7.606905784850118e-05,0.026159194014881124,0.11950197836316692,0.12374198842090818,0.02206774660154642,0.2414987975719923,0.024920217133445846,0.23576580181275014,0.9534190773983678,0.4578067969732135,0.006248034937676583,0.015149552940303538,0.024273397038479756,0.3070152348990096,0.01980539091532246,0.009693300905688557,0.034742393233291674,0.9725165415321194,0.09589003051145936,1.8848800865453088,0.4411039681698033,1.0,0.9490678817512248,0.8922457588740806,0.6548438264612014,2.0,1.070989015233164,0.0192416667705046,2.8,0.12225688858224563
0.1,1.2069292189963001,0.0645188767796475,0.04654625329991703,0.006558263196597766,0.07475349805011319,7.477307207244596e-06,7.652456793324621e-05,0.026561059022521476,0.12091452312105905,0.12127134534336825,0.02185681009808958,0.2417998150584843,0.024649263004846756,0.23564920534435027,0.9530277241811501,0.45666036679709177,0.006230983781705063,0.015109033395154993,0.024127640067409476,0.307702632180523,0.021738116548320443,0.009820049039079527,0.035188086154590605,0.9719943087582603,0.09526729422810068,1.8808332876436902,0.4407337300606911,1.0,0.9509739202865702,0.8909675891631103,0.6546507104440802,2.0,1.0732480556471915,0.019307154436874446,2.8,0.12214930803858108
0.11,1.2070221802646397,0.06445222223142988,0.04600962526466254,0.0065238569290134475,0.07523119289554475,7.434263074938435e-06,7.698046861100159e-05,0.026971330579014845,0.12234551153337365,0.11882489913855943,0.021646635020831768,0.24209176554636128,0.02437927161462729,0.23551619997651846,0.9526238438769787,0.4555199372655054,0.006213888794329282,0.015068155427801606,0.02398403056939491,0.308399547543267,0.023637922821287603,0.009945617173233013,0.035628470882561186,0.9714600843660277,0.09464480088557795,1.876705645300166,0.4403602853732274,1.0,0.9528456402100003,0.8896926011098074,0.6544558900251135,2.0,1.075481350331791,0.0193724331251188,2.8,0.12204124072998215
