t,S1,S2,S3,S4,S4_ex,A3,N2
0.0,5.8,0.9,0.2,0.2,0.1,2.4,0.1
0.01,5.799582283248635,0.9009804189731706,0.1975032835647472,0.21432572023079552,0.10010008204680293,2.4098129746176924,0.1141989038867465
0.02,5.799511203893143,0.9006402286654777,0.1953033190366627,0.22268306230568222,0.10034030072708108,2.418420399131075,0.12292941504656227
0.03,5.799738607924406,0.8993872470773799,0.19345370883583687,0.22720230614506923,0.10065497069344731,2.4259912052634793,0.12822273490414746
0.04,5.800224712845605,0.8974998933021473,0.1919399405289109,0.2293453594980258,0.10100299143093423,2.4327011864714705,0.13142799731287186
0.05,5.800937268100442,0.8951675255402651,0.19071644465267637,0.23006111936840745,0.10135958742762098,2.438708594582767,0.1333890336919374
0.06,5.801850275706357,0.8925203037170137,0.18972859053348268,0.22994580369609327,0.1017103659242029,2.4441449040683834,0.13461480363197995
0.07,5.802942680211221,0.8896495517980061,0.18892399514454494,0.229366162438272,0.10204736843493999,2.4491138304472733,0.13540519621130087
0.08,5.804197203085249,0.8866211703712731,0.1882573755492226,0.22854421049869242,0.10236654110727442,2.453694191699373,0.1359343395463621
0.09,5.805599384581702,0.8834842734410514,0.18769185316327394,0.2276121537025889,0.10266615849222353,2.4579441306855254,0.13630241348858227
0.1,5.807136830450169,0.8802767336077528,0.18719854433806088,0.22664710057763518,0.10294585168590092,2.461905425367842,0.13656688714723278
0.11,5.808798638637155,0.8770287366549591,0.18675544812847467,0.22569262241373597,0.10320601693480962,2.465607328076551,0.1367608839242282
0.12,5.810574972838575,0.8737650787925461,0.18634616889140765,0.22477207724610093,0.10344745820571738,2.4690697456758843,0.136903841989617
0.13,5.81245675054545,0.8705066646905335,0.1859587145769106,0.22389679911404037,0.10367117401669185,2.472305767917703,0.13700760527238545
0.14,5.8144354194294365,0.8672714911047024,0.18558447091918392,0.2230710776458646,0.10387823358140007,2.47532361292016,0.137079824877438
0.15,5.816502798469348,0.8640753117198317,0.185217373048527,0.22229522904219037,0.10406970537922201,2.4781280982477045,0.1371258784841845
0.16,5.818650967591862,0.860932086692348,0.1848532558631556,0.22156742480984332,0.10424661933503254,2.4807217333134015,0.1371498860378949
