t,cAMP,V,W,CHOC,Kmtr,CHOM,Kfor,CHON,CHOL,PREG,PRO,HYPR,CORT
0.0,0.95,11.3,10.0,532.0,0.446,139.0,0.37,3.03,3000.0,6.56,0.64,0.64,5.2
0.01,0.9499974018544067,11.300179883896845,10.0000003636416,532.0697077308456,0.4657251365720565,138.92665114773163,0.3720926321902912,3.0328161527094566,3000.0039954803638,6.560321599081288,0.6398104314641335,0.6399848183895706,5.267068064575956
0.02,0.9499948252875328,11.300359640724073,10.000000717898741,532.078748765719,0.4713729569457849,138.9124388157264,0.3730692043118314,3.036922370427714,3000.007987176082,6.560875701308295,0.6396556663175246,0.6399459900715088,5.333647764358007
0.03,0.9499922701201683,11.30053927096342,10.000001072527047,532.0705879591196,0.4729875925647047,138.91492448188666,0.3735238499763587,3.041242321242093,3000.011978443901,6.561701052163508,0.6395340887562448,0.6398922200202681,5.3997394933503235
0.04,0.9499897361745907,11.300718775092863,10.000001430270848,532.0576764619739,0.47344671650096687,138.92212325316996,0.3737344251192729,3.0453124177089985,3000.0159702310925,6.562785835024205,0.6394444568775278,0.6398306915290439,5.465344936508237
0.05,0.9499872232745535,11.300898153586644,10.000001791866536,532.0435801472684,0.4735748092174431,138.930661398085,0.3738308734936164,3.048964232957396,3000.0199628055716,6.564098583516244,0.6393853831495251,0.6397673056100291,5.53046683302205
0.06,0.9499847312452738,11.301077406915308,10.000002157475556,532.0293196166111,0.47360809281869265,138.9395821816781,0.3738739656251455,3.0521640995494375,3000.0239562437537,6.56560260493371,0.6393551970026669,0.6397068392223025,5.595108772771065
0.07,0.94998225991342,11.301256535545718,10.000002527094901,532.015186175107,0.4736142397944936,138.9486010783927,0.37389212174113307,3.0549355428148863,3000.027950566995,6.567262272438574,0.6393519659145226,0.6396530729716696,5.659275017185387
0.08,0.9499798091070999,11.3014355399411,10.000002900674774,532.0012619895734,0.4736126409843784,138.9576193088939,0.37389863338955054,3.0573230339103095,3000.031945779424,6.5690454626818,0.6393735707505619,0.6396089077733421,5.722970341187339
0.09,0.9499773786558499,11.301614420561059,10.000003278152372,531.9875689924487,0.473608847977272,138.96659041881352,0.3738997132256615,3.0593756939182453,3000.0359418784246,6.570924238838742,0.639417789650479,0.6395764756063042,5.786199895171168
