t,V,h,Ca_i,d,Ca_lum,n
0.0,-38.34146,0.214723,0.6959466,0.0031711238,102.686,0.1836403
0.01,-38.10773337732455,0.21029800308370372,0.6995490415900223,0.0032938000938907332,102.69133138919646,0.18561293769491619
0.02,-37.85047227744692,0.20553384811663053,0.7036165888368123,0.0034324726013750134,102.69780828248392,0.1877810615536128
0.03,-37.56628543199448,0.20039378804448646,0.7081949513973176,0.003590264673747594,102.7055750805205,0.19017389985851565
0.04,-37.2510559725372,0.19483693073434952,0.7133498601369029,0.0037710590762634133,102.71479274260858,0.19282617867341673
0.05,-36.89975940821745,0.1888172951449537,0.7191679222564609,0.003979767350627585,102.72564481472095,0.19577975060581498
0.06,-36.506215897271915,0.1822828652135631,0.7257596598564567,0.004222699832001621,102.73834414212503,0.19908570076670973
0.07,-36.06276740018125,0.17517472245758017,0.7332645460882306,0.004508078801183423,102.75314068133714,0.20280706612741287
0.08,-35.559856439912195,0.16742636862231672,0.7418583374819073,0.004846776355298507,102.77033123343729,0.2070224595245687
0.09,-34.985499703890824,0.15896358880944242,0.7517632859670852,0.005253381817596218,102.79027175026222,0.21183086426526343
0.1,-34.324686527935434,0.1497056179297683,0.7632619117661307,0.005747763685531422,102.81339322971765,0.2173579022693974
0.11,-33.55886416739646,0.13956926598115899,0.7767151750781828,0.006357343650356087,102.84022233856773,0.2237636172431727
0.12,-32.666034299758955,0.12847952199450105,0.7925856089290445,0.007120338851495632,102.87140830749453,0.23125096443838902
0.13,-31.62300625316158,0.11639412589162117,0.811465007451391,0.008090012064986251,102.9077573563206,0.24007110604594042
0.14,-30.413839345481826,0.10335702941966168,0.8341028836560359,0.009338932032308015,102.95027579034956,0.2505132414089076
0.15,-29.053489385741972,0.08960584927410685,0.8614245047178571,0.010958381450322869,103.0002203930409,0.26284526153262483
0.16,-27.63942898601398,0.07575399058545207,0.894509506528668,0.013037578828402886,103.05914934381465,0.2771318692846519
0.17,-26.42095323947398,0.06298133298532198,0.9344513200603747,0.015591229592094741,103.12895180661414,0.2928411971808214
0.18,-25.7872167518195,0.052942148397561374,0.9818826111383147,0.0184227477916512,103.21179241689886,0.3083506162616135
0.19,-26.049561566014397,0.04712060306717083,1.0358675184961994,0.021040692600690563,103.3098217710724,0.32096532359837104
0.2,-27.186338407884538,0.046153557982243125,1.0925094544252407,0.02282579875005813,103.42448505632014,0.3279744197550152
0.21,-28.8721448122001,0.04985827329403873,1.1447563989569869,0.023352327967019294,103.55555073570979,0.3279924991693806
0.22,-30.717080514609368,0.05761939239909431,1.184320682494583,0.022554207461000172,103.70040354802079,0.3214036592984005
0.23,-32.44708863596851,0.06860503490648831,1.2046426303498279,0.02067729859628355,103.85412205180691,0.30983235716220264
0.24,-33.94140324592378,0.08187821629109372,1.2030119563915371,0.018134443321341127,104.01036517471968,0.29529988326885737
0.25,-35.18592653257385,0.09653478776182083,1.180837674924841,0.015352090996582319,104.16262453672744,0.2795930405529765
0.26,-36.21407856076046,0.11182306105946084,1.1424356429091365,0.0126647799487536,104.30530947806086,0.26399803904144253
