t,S1,sul,aps,pap,hyd,cys,eth,aco,oxy,A3_c,A3_m,N2,oah
0.0,1.892468811,0.012871557,0.053366179,0.082791522,0.159317029,0.805117739,10.25246999,1.139360412,6.146549084,1.570847601,1.835158493,1.933616149,5.571685096
0.01,1.8921567870702576,0.012834983613405782,0.05323909921604411,0.08263911521988436,0.1587190684843651,0.8050376701008903,10.224431309304139,1.1381969545538024,6.146345257649638,1.5708533587235962,1.835176389604799,1.9334755692573655,5.572019467390607
0.02,1.8918432529264053,0.012798526347596857,0.05311230305516756,0.08248692242254774,0.1581238907805012,0.8049544234850834,10.196435247810658,1.137026215930988,6.146146770853941,1.5708590467156536,1.8351936455313302,1.9333349041630992,5.572295704924539
0.03,1.8915282138228016,0.012762184899879705,0.052985789996211966,0.08233494360309764,0.15753149021228294,0.8048680089912605,10.168482132390222,1.1358482160112946,6.145953543771073,1.5708646552014294,1.835210328938197,1.9331940078350882,5.572514020411899
0.04,1.8912116647704038,0.01272595897613029,0.052859559532123665,0.08218317876261301,0.15694186111040717,0.8047784363285453,10.140572226957216,1.1346630263475193,6.145765504432867,1.5708701789580868,1.8352264800690523,1.9330528835806138,5.572674621172576
0.05,1.890893601308667,0.012689848269761722,0.05273361113398672,0.08203162790047225,0.1563549974919085,0.8046857156928119,10.112705809200838,1.1334707172781426,6.1455825778461906,1.5708756141590274,1.8352421320890047,1.932911523861112,5.572777724585556
0.06,1.8905740157723576,0.01265385248104206,0.052607944284000174,0.08188029101681217,0.15577089337724676,0.8045898571814968,10.084883131944718,1.1322713739827235,6.1454046930492625,1.5708809595055788,1.8352573032373047,1.9327699679699353,5.572823544948773
0.07,1.8902529076600292,0.01261797131614956,0.05248255847349548,0.08172916810411235,0.15518954274869048,0.8044908708553361,10.0571044752696,1.1310650429588218,6.145231778212911,1.5708862146774187,1.8352720078932254,1.932628154305708,5.572812295561158
0.08,1.889930269523442,0.012582204478186138,0.05235745318785552,0.08157825915934094,0.15461093943098944,0.8043887669693031,10.029370085924224,1.1298518065148984,6.145063764511502,1.5708913797131172,1.835286257267937,1.9324861189616283,5.572744192675776
0.09,1.8896060972226376,0.012546551673661378,0.05223262791754485,0.0814275641754755,0.1540350772063619,0.8042835557766858,10.001680221984676,1.128631728722824,6.1449005830692816,1.5708964550560718,1.8353000610295858,1.9323438511889721,5.572619452145968
0.1,1.8892803858195952,0.01251101261930997,0.05210808216974036,0.08127708314482313,0.15346194993035153,0.8041752473157494,9.974035125416336,1.1274048754436647,6.144742168625616,1.5709014414143196,1.835313426907472,1.9322013531948918,5.572438284369173
0.11,1.8889531299341324,0.012475587004297736,0.05198381540354205,0.08112681605872545,0.1528915508450959,0.804063852617134,9.946435061670318,1.1261713186561237,6.1445884496349015,1.570906339597474,1.8353263632322878,1.9320586267542021,5.572200920456743
0.12,1.8886243262509095,0.01244027453350017,0.05185982710430518,0.08097676290572943,0.1523238733949094,0.8039493822942734,9.918880289357666,1.1249311166102554,6.144439358194777,1.5709111505540734,1.8353388775050168,1.931915647213268,5.57190758211485
0.13,1.8882939686256366,0.01240507492213907,0.0517361167740851,0.08082692367516209,0.1517589110776513,0.8038318467613951,9.891371039832542,1.123684339908092,6.144294831621279,1.5709158753488235,1.8353509752666177,1.9317724332351787,5.571558485698734
0.14,1.8879620514021647,0.012369987878549402,0.05161268390232854,0.08067729835467251,0.15119665716364364,0.8037112567547715,9.863907552245648,1.1224310570126834,6.144154805613603,1.5709205150258014,1.8353626626874824,1.9316289937463456,5.571153853817862
0.15,1.887628570242926,0.01233501311212228,0.05148952797960033,0.08052788692976087,0.15063710485742,0.8035876230622867,9.836490069728088,1.1211713289703473,6.144019216037774,1.5709250706484363,1.8353739460587826,1.9314853188118004,5.5706939097185
0.16,1.8872935205856305,0.012300150332990463,0.0513666484969848,0.08037868938493986,0.1500802472846292,0.803460956539482,9.80911883192756,1.119905217307771,6.143887999651251,1.5709295432924246,1.8353848314750556,1.9313414014269124,5.57017887744778
0.17,1.8869568973179351,0.012265399252103217,0.05124404494613953,0.08022970570387931,0.1495260774852478,0.8033312681149012,9.781794073187434,1.1186327856214124,6.143761094336017,1.5709339340418764,1.8353953247654256,1.931197242078673,5.569608981877662
0.18,1.8866186953105233,0.012230759581391651,0.051121716819415255,0.08008093586871996,0.14897458839987565,0.8031985688015955,9.754516024680507,1.1173540967545097,6.143638438998285,1.5709382439778532,1.8354054316298265,1.9310528412195331,5.5689844488606965
0.19,1.8862789094679075,0.01219623103324972,0.0509996636094901,0.07993237986084743,0.14842577292272316,0.8030628696520086,9.727284916305415,1.1160692129771475,6.143519973003591,1.5709424741788196,1.8354151577206734,1.9309081986804588,5.568305504705788
0.2,1.8859375346482568,0.012161813320667961,0.050877884809466006,0.07978403766074595,0.14787962388986484,0.8029241817675863,9.70010097590719,1.114778196275472,6.143405636361925,1.5709466257186542,1.83542450860516,1.9307633147599144,5.567572376272935
0.21,1.8855945659169997,0.012127506157929563,0.05075637991336537,0.07963590924669924,0.14733613401322235,0.8027825163542928,9.67296442842776,1.1134811064606187,6.143295370314933,1.5709506996538496,1.8354334897636513,1.9306181864192238,5.566785291605654
0.22,1.8852499979197346,0.012093309260146887,0.05063514841579496,0.07948799459602822,0.1467952959187662,0.8026378846912229,9.645875494074682,1.1121780047948544,6.143189117158115,1.5709546970476072,1.8354421064501385,1.9304728163555103,5.565944479572264
0.23,1.8849038258167636,0.012059222342891043,0.05051418981171334,0.07934029368492626,0.14625710220591698,0.8024902980766558,9.618834394409875,1.1108689496578048,6.143086819317066,1.5709586189251021,1.8354503640895978,1.9303271999824745,5.565050169136848
0.24,1.884556044348009,0.012025245123057946,0.05039350359700613,0.07919280648783433,0.14572154533400467,0.8023397679288586,9.591841344744411,1.109554000330166,6.142988420832781,1.5709624663229382,1.8354582677870832,1.930181338123567,5.564102590676918
0.25,1.8842066483941,0.01199137731771335,0.05027308926772293,0.0790455329787869,0.14518861777315442,0.8021863056516867,9.564896561256695,1.1082332150808927,6.14289386568962,1.570966240243696,1.8354658227641547,1.9300352290286371,5.56310197416252
0.26,1.8838556327865705,0.01195761864513791,0.05015294632076242,0.078898473129964,0.1446583118658374,0.8020299227584269,9.538000255846926,1.1069066515093942,6.142803099195192,1.5709699416892335,1.8354730340611938,1.9298888715944675,5.5620485508782425
0.27,1.8835029922803757,0.011923968824107796,0.050033074253424265,0.07875162691283984,0.14413061993549647,0.8018706307726057,9.511152638879656,1.10557436739415,6.142716067050676,1.5709735716429394,1.8354799066781349,1.929742265851932,5.560942551963039
0.28,1.8831487216496785,0.011890427574273945,0.04991347256362453,0.07860499429748347,0.14360553421724606,0.8017084412928301,9.484353918213964,1.1042364195230148,6.142632715849847,1.5709771310758898,1.8354864455399054,1.9295954110202136,5.559784209420998
0.29,1.8827928157026017,0.011856994616164825,0.0497941407499739,0.07845857525258843,0.14308304690303839,0.8015433659460101,9.457604299565807,1.10289286419106,6.14255299290047,1.5709806209484798,1.8354926554733018,1.9294483061415553,5.558573755269264
0.3,1.8824352691610973,0.011823669670946566,0.049675078311512834,0.07831236974589242,0.1425631501087051,0.8013754164257502,9.430903986258011,1.1015437573378426,6.142476846231617,1.5709840422050367,1.8354985412531033,1.9293009508622732,5.557311422337635
0.31,1.882076076728823,0.011790452460561696,0.04955628474785569,0.07816637774393045,0.1420458358876417,0.8012046044757088,9.404253179321723,1.100189154408044,6.1424042246108685,1.5709873957767477,1.8355041075781138,1.9291533449037397,5.5559974439073105
0.32,1.8817152331118039,0.01175734270777672,0.04943775955924511,0.07802059921194612,0.1415310962383935,0.801030941880912,9.377652077627193,1.0988291102637469,6.142335077534313,1.5709906825819828,1.8355093590701714,1.9290054877825689,5.554632053535042
0.33,1.881352733091394,0.011724340136355135,0.04931950224675377,0.07787503411356579,0.14101892313465722,0.8008544404336776,9.35110087843962,1.097463678832104,6.14226935517687,1.5709939035269023,1.8355143002765788,1.9288573777109363,5.5532154843703285
0.34,1.8809885713084535,0.011691444470552119,0.04920151231170027,0.07772968241174606,0.14050930844068651,0.8006751120300173,9.324599775896274,1.096092914092569,6.142207008520711,1.57099705950297,1.8355189356705672,1.928709014705323,5.5517479710952555
