t,V,n,Ca_i,Ca_ret
0.0,-76.0,0.1,0.52,0.7
0.01,-75.99533181975032,0.09971204716788308,0.5189581099475211,0.7010378721053444
0.02,-75.99068953317646,0.09942494827411473,0.5179183336524008,0.7020736499973296
0.03,-75.98607290109248,0.0991387006764301,0.5168806668886894,0.7031073377648716
0.04,-75.98148165117411,0.09885330134177131,0.5158451047936576,0.7041389401145216
0.05,-75.97691564824824,0.09856874867504993,0.5148116447689733,0.7051684595665402
0.06,-75.97237461841031,0.09828503957802102,0.5137802818255981,0.7061959009525892
0.07,-75.96785829977733,0.0980021711091258,0.5127510112361365,0.7072212688497221
0.08,-75.96336643046622,0.0977201403268055,0.5117238282731932,0.708244567834992
0.09,-75.95889874859395,0.09743894428950131,0.5106987282093729,0.7092658024854521
0.1,-75.95445499227748,0.09715858005565446,0.5096757063172801,0.7102849773781558
0.11,-75.95003489964232,0.09687904468377749,0.5086547578696221,0.7113020970900584
0.12,-75.94563828255335,0.09660033584699326,0.5076358790227687,0.7123171653553969
0.13,-75.9412649739309,0.09632245139391961,0.5066190661854094,0.7133301856677798
0.14,-75.93691474795129,0.09604538868354896,0.5056043150622698,0.7143411621921617
0.15,-75.93258737879086,0.09576914507487382,0.5045916213580751,0.715350099093497
0.16,-75.92828264062591,0.09549371792688666,0.503580980777551,0.7163570005367406
0.17,-75.9240003076328,0.09521910459857995,0.5025723890254228,0.7173618706868466
0.18,-75.91974015398782,0.09494530244894617,0.501565841806416,0.7183647137087701
0.19,-75.91550196845311,0.09467230890582969,0.5005613348900589,0.7193655337104503
0.2,-75.91128557724633,0.09440012157388313,0.49955886421229073,0.7203643346534142
0.21,-75.90709077333186,0.09412873790078767,0.49855842556131,0.7213611206291748
0.22,-75.90291734685675,0.0938581553209252,0.4975600147127982,0.7223558957402579
0.23,-75.89876508796802,0.09358837126867761,0.4965636274424367,0.7233486640891892
0.24,-75.8946337868127,0.09331938317842675,0.49556925952590697,0.7243394297784944
0.25,-75.89052323353783,0.09305118848455453,0.4945769067388905,0.7253281969106995
0.26,-75.88643342053936,0.09278378560702755,0.49358656580726573,0.726314968746475
0.27,-75.88236369442416,0.09251716981879994,0.49259823042289286,0.7272997512345695
0.28,-75.87831419724739,0.09225134026914691,0.4916118980147731,0.7282825470127015
0.29,-75.87428472291649,0.09198629441077505,0.4906275643762547,0.7292633601677444
0.3,-75.87027506736176,0.09172202970624907,0.4896452253101899,0.730242194778151
