t,PRL,OT,DA
0.0,20.0,25.0,20000.0
0.01,19.9799213923075,24.965857111310676,20000.0
0.02,19.95988549452209,24.93205394803548,20000.0
0.03,19.9398925559356,24.898587334867244,20000.0
0.04,19.919942826129265,24.865454068343208,20000.0
0.05,19.900036610569536,24.83265023697359,20000.0
0.06,19.88017415024441,24.800172687186517,20000.0
0.07,19.86035568369324,24.768018294046907,20000.0
0.08,19.84058145534699,24.736183835057883,20000.0
0.09,19.820851701759516,24.70466614649292,20000.0
0.1,19.801166659888015,24.673462061338885,20000.0
0.11,19.781526561361012,24.642568451981056,20000.0
0.12,19.761931631229604,24.611982239386855,20000.0
0.13,19.7423820923993,24.58170035901953,20000.0
0.14,19.722878162701083,24.55171978373818,20000.0
0.15,19.703420056779237,24.52203751012855,20000.0
0.16,19.684007983620145,24.492650576396308,20000.0
0.17,19.664642147557664,24.4635560543596,20000.0
0.18,19.645322753039746,24.434751011484735,20000.0
0.19,19.62604999737024,24.406232568694957,20000.0
0.2,19.606824072448433,24.377997886515807,20000.0
0.21,19.58764516533752,24.350044160547185,20000.0
0.22,19.56851346093549,24.322368600738272,20000.0
0.23,19.549429144004147,24.29496841564259,20000.0
0.24,19.530392392369908,24.267840865178325,20000.0
0.25,19.511403379806975,24.240983238255406,20000.0
0.26,19.492462276122456,24.214392852093443,20000.0
0.27,19.473569247862848,24.1880670451143,20000.0
0.28,19.45472445782101,24.162003181902065,20000.0
0.29,19.43592806465768,24.136198657010667,20000.0
0.3,19.417180223182047,24.110650892141326,20000.0
0.31,19.398481084108475,24.085357338301403,20000.0
0.32,19.379830796617362,24.060315453078363,20000.0
0.33,19.361229504110995,24.035522738304035,20000.0
0.34,19.342677347052128,24.01097671486377,20000.0
0.35000000000000003,19.324174462125477,23.98667493013793,20000.0
0.36,19.305720982942518,23.96261495212758,20000.0
0.37,19.287317040833017,23.938794362859547,20000.0
0.38,19.268962762241216,23.91521078000825,20000.0
0.39,19.250658269983454,23.891861846427354,20000.0
0.4,19.232403683361223,23.868745229193088,20000.0
0.41000000000000003,19.214199118196802,23.845858619291377,20000.0
0.42,19.196044686868824,23.823199731304992,20000.0
0.43,19.177940498347905,23.800766303100684,20000.0
0.44,19.159886658232228,23.778556095516326,20000.0
0.45,19.14188326878315,23.756566892048053,20000.0
0.46,19.123930428960808,23.734796498537406,20000.0
0.47000000000000003,19.10602823445971,23.713242742858473,20000.0
0.48,19.0881767786042,23.69190347020206,20000.0
0.49,19.07037615267398,23.67077654127819,20000.0
0.5,19.052626443645604,23.649859843750562,20000.0
0.51,19.034927735447667,23.629151285678585,20000.0
0.52,19.01728010903273,23.60864879501856,20000.0
0.53,18.999683642418304,23.588350319283233,20000.0
0.54,18.98213841072786,23.568253825201285,20000.0
0.55,18.96464448623181,23.54835729837688,20000.0
0.56,18.947201938388496,23.528658742949194,20000.0
0.5700000000000001,18.929810833885206,23.509156181251907,20000.0
0.58,18.91247123667916,23.489847653472765,20000.0
0.59,18.89518320803849,23.47073121731308,20000.0
0.6,18.87794680481695,23.451804966177317,20000.0
0.61,18.860762079724566,23.433067026423654,20000.0
0.62,18.843629084401943,23.41451552520063,20000.0
0.63,18.82654786769031,23.39614860868603,20000.0
0.64,18.809518475646,23.377964442024275,20000.0
0.65,18.792540951563737,23.359961209172134,20000.0
0.66,18.775615335999838,23.34213711274434,20000.0
0.67,18.758741666795515,23.324490373859263,20000.0
0.68,18.74191997910009,23.307019231984572,20000.0
0.6900000000000001,18.725150305690875,23.289721942435914,20000.0
0.7000000000000001,18.708432677997525,23.272596768300833,20000.0
0.71,18.691767124131804,23.25564199605885,20000.0
0.72,18.675153669596263,23.238855930003098,20000.0
0.73,18.658592337450017,23.22223689095852,20000.0
