t,ANX1,ANC
0.0,0.0,0.859476
0.01,0.0,0.8595635506908595
0.02,0.0,0.8596510284520433
0.03,0.0,0.8597384333420144
0.04,0.0,0.8598257654281418
0.05,0.0,0.8599130247458012
0.06,0.0,0.8600002113623422
0.07,0.0,0.8600873253413682
0.08,0.0,0.8601743667464828
0.09,0.0,0.8602613356412898
0.1,0.0,0.8603482320893926
0.11,0.0,0.8604350561543948
0.12,0.0,0.8605218078999001
0.13,0.0,0.860608487389512
0.14,0.0,0.8606950946868343
0.15,0.0,0.8607816298554702
0.16,0.0,0.860868092958836
0.17,0.0,0.8609544840462703
0.18,0.0,0.8610408031699304
0.19,0.0,0.8611270503898396
0.2,0.0,0.8612132257660218
0.21,0.0,0.8612993293585001
0.22,0.0,0.8613853612272981
0.23,0.0,0.8614713214324395
0.24,0.0,0.8615572100339477
0.25,0.0,0.8616430270918461
0.26,0.0,0.8617287726661583
0.27,0.0,0.8618144468169077
0.28,0.0,0.8619000496041179
0.29,0.0,0.8619855810861572
0.3,0.0,0.8620710413204613
0.31,0.0,0.8621564303664376
0.32,0.0,0.8622417482835043
0.33,0.0,0.8623269951310796
0.34,0.0,0.8624121709685815
0.35000000000000003,0.0,0.8624972758554283
0.36,0.0,0.8625823098510383
0.37,0.0,0.8626672730148295
0.38,0.0,0.86275216540622
0.39,0.0,0.8628369870846281
0.4,0.0,0.8629217381094718
0.41000000000000003,0.0,0.8630064185034206
0.42,0.0,0.8630910284053759
0.43,0.0,0.8631755678246064
0.44,0.0,0.8632600368204213
0.45,0.0,0.8633444354520803
0.46,0.0,0.863428763778794
0.47000000000000003,0.0,0.8635130218597235
0.48,0.0,0.863597209753981
0.49,0.0,0.8636813275206292
0.5,0.0,0.8637653752186817
0.51,0.0,0.8638493529071027
0.52,0.0,0.8639332606448074
0.53,0.0,0.8640170984894565
0.54,0.0,0.8641008664927907
0.55,0.0,0.8641845647121711
0.56,0.0,0.8642681932060114
0.5700000000000001,0.0,0.8643517520326733
0.58,0.0,0.8644352412504657
0.59,0.0,0.8645186609176451
0.6,0.0,0.8646020110924154
0.61,0.0,0.8646852918329285
0.62,0.0,0.8647685031972835
0.63,0.0,0.8648516452435271
0.64,0.0,0.8649347180296536
0.65,0.0,0.8650177216136049
0.66,0.0,0.8651006560532705
0.67,0.0,0.865183521406487
0.68,0.0,0.8652663177310393
0.6900000000000001,0.0,0.8653490450846593
0.7000000000000001,0.0,0.8654317035250265
0.71,0.0,0.8655142931097682
0.72,0.0,0.8655968138964593
0.73,0.0,0.8656792659426217
0.74,0.0,0.8657616493057254
0.75,0.0,0.8658439640431879
0.76,0.0,0.8659262102123739
0.77,0.0,0.8660083878705961
0.78,0.0,0.8660904970751144
0.79,0.0,0.8661725378831365
0.8,0.0,0.8662545103518174
0.81,0.0,0.86633641453826
0.8200000000000001,0.0,0.8664182504995145
0.8300000000000001,0.0,0.8665000182925786
0.84,0.0,0.8665817179743978
0.85,0.0,0.8666633496018648
0.86,0.0,0.8667449132318202
0.87,0.0,0.8668264089210522
0.88,0.0,0.8669078367262961
0.89,0.0,0.8669891967042351
0.9,0.0,0.8670704889115001
0.91,0.0,0.8671517134046689
0.92,0.0,0.8672328702402677
0.93,0.0,0.8673139594747696
0.9400000000000001,0.0,0.8673949811645957
0.9500000000000001,0.0,0.8674759353661142
0.96,0.0,0.8675568221356413
0.97,0.0,0.8676376415294405
0.98,0.0,0.8677183936037228
0.99,0.0,0.8677990784146471
1.0,0.0,0.8678796960183193
1.01,0.0,0.8679602464707934
1.02,0.0,0.8680407298280707
1.03,0.0,0.8681211461461
1.04,0.0,0.8682014954807777
1.05,0.0,0.868281777887948
1.06,0.0,0.8683619934234021
1.07,0.0,0.8684421421428794
1.08,0.0,0.8685222241020664
1.09,0.0,0.8686022393565972
1.1,0.0,0.8686821879620538
1.11,0.0,0.8687620699739652
1.12,0.0,0.8688418854478085
1.1300000000000001,0.0,0.868921634439008
1.1400000000000001,0.0,0.8690013170029357
1.1500000000000001,0.0,0.8690809331949111
1.16,0.0,0.8691604830702012
1.17,0.0,0.8692399666840207
1.18,0.0,0.8693193840915318
1.19,0.0,0.8693987353478442
1.2,0.0,0.8694780205080151
1.21,0.0,0.8695572396270494
1.22,0.0,0.8696363927598996
1.23,0.0,0.8697154799614655
1.24,0.0,0.8697945012865945
1.25,0.0,0.8698734567900819
1.26,0.0,0.8699523465266702
1.27,0.0,0.8700311705510495
1.28,0.0,0.8701099289178575
1.29,0.0,0.8701886216816795
1.3,0.0,0.8702672488970484
1.31,0.0,0.8703458106184445
1.32,0.0,0.8704243069002956
1.33,0.0,0.8705027377969774
1.34,0.0,0.8705811033628127
1.35,0.0,0.8706594036520723
1.36,0.0,0.8707376387189741
1.37,0.0,0.870815808617684
1.3800000000000001,0.0,0.8708939134023153
1.3900000000000001,0.0,0.8709719531269284
1.4000000000000001,0.0,0.871049927845532
1.41,0.0,0.871127837612082
1.42,0.0,0.8712056824804817
1.43,0.0,0.8712834625045821
1.44,0.0,0.8713611777381819
1.45,0.0,0.8714388282350272
1.46,0.0,0.8715164140497468
1.47,0.0,0.8715939352422057
1.48,0.0,0.8716713918673585
1.49,0.0,0.8717487839790093
1.5,0.0,0.8718261116309126
1.51,0.0,0.8719033748767735
1.52,0.0,0.8719805737702472
1.53,0.0,0.8720577083649393
1.54,0.0,0.872134778714406
1.55,0.0,0.8722117848721538
1.56,0.0,0.8722887268916393
1.57,0.0,0.8723656048262697
1.58,0.0,0.8724424187294026
1.59,0.0,0.8725191686543461
1.6,0.0,0.8725958546543582
1.61,0.0,0.8726724767826477
1.62,0.0,0.8727490350923736
1.6300000000000001,0.0,0.8728255296366453
1.6400000000000001,0.0,0.8729019604685226
1.6500000000000001,0.0,0.8729783276410158
1.6600000000000001,0.0,0.8730546312070853
1.67,0.0,0.873130871219642
1.68,0.0,0.873207047731547
1.69,0.0,0.8732831607956123
1.7,0.0,0.8733592104645997
1.71,0.0,0.8734351967912216
1.72,0.0,0.8735111198281409
1.73,0.0,0.8735869796279706
1.74,0.0,0.8736627762432742
1.75,0.0,0.8737385097265656
1.76,0.0,0.8738141801303092
1.77,0.0,0.8738897875069195
1.78,0.0,0.8739653319087616
1.79,0.0,0.8740408133881507
1.8,0.0,0.8741162319973526
1.81,0.0,0.8741915877885835
1.82,0.0,0.8742668808140098
1.83,0.0,0.8743421111257486
1.84,0.0,0.8744172787758667
1.85,0.0,0.8744923838163822
1.86,0.0,0.8745674262992627
1.87,0.0,0.8746424062764266
1.8800000000000001,0.0,0.874717323799743
1.8900000000000001,0.0,0.8747921789210306
1.9000000000000001,0.0,0.874866971692059
1.9100000000000001,0.0,0.874941702164548
1.92,0.0,0.8750163703901679
1.93,0.0,0.8750909764205393
1.94,0.0,0.8751655203072332
1.95,0.0,0.8752400021017707
1.96,0.0,0.8753144218556237
1.97,0.0,0.8753887796202143
1.98,0.0,0.8754630754469149
1.99,0.0,0.8755373093870483
2.0,0.0,0.8756114814918878
2.0100000000000002,0.0,0.8756855918126568
2.02,0.0,0.8757596404005294
2.0300000000000002,0.0,0.87583362730663
2.04,0.0,0.875907552582033
2.05,0.0,0.8759814162777637
2.06,0.0,0.8760552184447975
2.07,0.0,0.8761289591340601
2.08,0.0,0.8762026383964278
2.09,0.0,0.8762762562827271
2.1,0.0,0.8763498128437349
2.11,0.0,0.8764233081301785
2.12,0.0,0.8764967421927357
2.13,0.0,0.8765701150820344
2.14,0.0,0.876643426848653
2.15,0.0,0.8767166775431205
2.16,0.0,0.8767898672159159
2.17,0.0,0.8768629959174686
2.18,0.0,0.8769360636981589
2.19,0.0,0.8770090706083167
2.2,0.0,0.8770820166982228
2.21,0.0,0.8771549020181083
2.22,0.0,0.8772277266181545
2.23,0.0,0.8773004905484931
2.24,0.0,0.8773731938592065
2.25,0.0,0.877445836600327
2.2600000000000002,0.0,0.8775184188218376
2.27,0.0,0.8775909405736714
2.2800000000000002,0.0,0.8776634019057122
2.29,0.0,0.877735802867794
2.3000000000000003,0.0,0.8778081435097012
2.31,0.0,0.8778804238811683
2.32,0.0,0.8779526440318808
2.33,0.0,0.8780248040114739
2.34,0.0,0.8780969038695335
2.35,0.0,0.8781689436555962
2.36,0.0,0.8782409234191482
2.37,0.0,0.8783128432096265
2.38,0.0,0.8783847030764188
2.39,0.0,0.878456503070731
2.4,0.0,0.8785282432560236
2.41,0.0,0.8785999236849658
2.42,0.0,0.8786715444073585
2.43,0.0,0.8787431054729596
2.44,0.0,0.8788146069314839
2.45,0.0,0.8788860488326029
2.46,0.0,0.8789574312259449
2.47,0.0,0.8790287541610952
2.48,0.0,0.8791000176875956
2.49,0.0,0.879171221854945
2.5,0.0,0.8792423667125991
2.5100000000000002,0.0,0.8793134523099704
2.52,0.0,0.879384478696428
2.5300000000000002,0.0,0.8794554459212981
2.54,0.0,0.8795263540338635
2.5500000000000003,0.0,0.879597203083364
2.56,0.0,0.8796679931189961
2.57,0.0,0.8797387241899133
2.58,0.0,0.8798093963452256
2.59,0.0,0.879880009634
2.6,0.0,0.8799505641052604
2.61,0.0,0.8800210598079875
2.62,0.0,0.8800914967911186
2.63,0.0,0.8801618751035482
2.64,0.0,0.8802321947941271
2.65,0.0,0.8803024559116633
2.66,0.0,0.8803726585049216
2.67,0.0,0.8804428026226236
