t,V,Na_c,m,h1,h2,d_L,f_L,d_T,f_T,P_a,P_i,y,Na_i,K_c,Ca_i,Ca_c,K_i,Ca_Calmod,Ca_Trop,Ca_Mg_Trop,Mg_Mg_Trop,Ca_up,Ca_rel,Ca_Calse,F1,F2,F3
0.0,-49.54105,139.9988,0.250113,0.001386897,0.002065463,0.002572773,0.98651,0.02012114,0.1945111,0.02302278,0.3777728,0.09227776,9.701621,5.389014,0.0003787018,2.00474,140.7347,0.1411678,0.07331396,0.7618549,0.2097049,16.95311,16.85024,0.9528726,0.1133251,0.0007594214,0.8859153
0.01,-47.519622054592965,140.00217312173555,0.3151301615146014,0.0010372629069220305,0.0014714522300464591,0.00359819029420273,0.9804660193615621,0.027951849860815878,0.1528254938300867,0.01816347502532364,0.36464208168460144,0.08806027437721552,9.700477431787693,5.388542567196078,0.0003425471233804841,2.003379695169754,140.73811918671458,0.12887096165303025,0.06646720485722023,0.7435359268894431,0.2259162081447205,17.084013299403747,16.98531405053394,0.9532762973444779,0.12154031054793912,0.0007166859631512987,0.8777428248889099
0.02,-45.53306116096456,140.0050189075168,0.38872557591731244,0.0007790333363289994,0.0010458593879512541,0.004998529892787077,0.9719895295300973,0.03848936738154191,0.11527942854169745,0.014932966946243,0.35195253559875317,0.08223240936616934,9.698582187349063,5.3880731025012265,0.00031612878310343387,2.0022379401529973,140.74167675154428,0.11956235420053743,0.061247706015601124,0.7257045717187355,0.24166761198481856,17.210507833477134,17.11541492438754,0.9536151180421139,0.12961992265487735,0.000735789436134214,0.8696441093089887
0.03,-43.550330528829726,140.00745688428182,0.4666006236796612,0.0005881194313093194,0.0007510760833257287,0.0069261875666770025,0.9603060504790609,0.05273317677272794,0.08380819117681221,0.012832714045291082,0.33954190463923345,0.0754736107625978,9.69603595021497,5.387637115770913,0.00029731855452504933,2.0012534299393776,140.7453572633125,0.1127170245791859,0.057428079119174906,0.7085097375834393,0.2568606569311289,17.3333383587483,17.241005205618954,0.9539375485055827,0.13755076413407366,0.0008079260890209155,0.8616411311769058
0.04,-41.45526915431824,140.00957949747928,0.5495133655427933,0.0004394776638389459,0.0005434462343146378,0.009727131859611245,0.9441159175760363,0.07303239425473433,0.05872899075007163,0.01157696558493543,0.3268080519501026,0.06827076687353487,9.692917244373149,5.3872392823697455,0.00028515412908504916,2.0003489590192,140.74914848580391,0.10804746153905953,0.054817017732941446,0.6920940747617964,0.27136958817611395,17.453363465300576,17.362925639420443,0.9542462840976693,0.1453154566413942,0.0009309626343174329,0.8537534021242886
0.05,-38.96078697057912,140.01149140028778,0.6430524485813411,0.0003132742759979006,0.0003857241870755891,0.01441447091509948,0.9205819282846486,0.10619462381382827,0.03919467997896495,0.011045689280566665,0.31228796068447073,0.06089273034969852,9.68927319929579,5.386870757703721,0.00028007784634625425,1.9993969663501927,140.75304283065014,0.10562205708012969,0.05341340525874017,0.6766296558117595,0.2850439370098789,17.571627235866124,17.4820293438624,0.954543901368775,0.15288364385150247,0.0011147106723246945,0.846001466876173
0.06,-35.281614851454094,140.01336300116705,0.7599048772507547,0.00019350970082020438,0.00024927442994352996,0.02507554111830429,0.8821140193029202,0.17772034547902874,0.02370402429228276,0.01135326701111062,0.29228663486273293,0.053393556482877066,9.68509335000068,5.386505561503755,0.0002861862666539774,1.9980869924965379,140.7570425292399,0.10639301009840457,0.05366755010250369,0.6624163206376368,0.2976245285518488,17.689683479787412,17.599283708861954,0.954833120999519,0.16018213388198754,0.0014027473917601545,0.8384149401262526
0.07,-26.61214548255809,140.01563245067922,0.9190300448107449,6.78396476401042e-05,0.00011024111186635497,0.08215812997818407,0.7990989823784896,0.45742923840627797,0.010331331922238675,0.01369725081577322,0.2519405811734695,0.04560133520987966,9.68021053265275,5.38606245390957,0.00033255759646426517,1.994801586898739,140.76117959843563,0.11611224934916697,0.058375031554107386,0.6503816184700834,0.3083270169434213,17.811151108597983,17.715801774519484,0.9551168860660784,0.16690337626524446,0.0020307466935397945,0.8310656984412159
0.08,27.424772003281912,140.02372911842815,0.9999312798139143,5.048386039442354e-07,2.9493923475346747e-06,0.9988376326166544,0.6076772826070866,0.9998583840387594,1.6597519153935544e-07,0.1538536018871918,0.07826432886182982,0.03754246093506733,9.672466825229947,5.385869479193538,0.0007015894602552872,1.9719874258200376,140.76539602269108,0.20497118114299834,0.10435429301671416,0.6500472055814616,0.30908190980139416,17.951188857323263,17.588735369025404,0.9548414419492744,0.1437619372185634,0.030228796975497407,0.8260090872059392
0.09,34.54984317950113,140.03313540965408,0.9999720514770234,2.787357557969305e-07,2.81501732726487e-07,0.9997015037317015,0.4501790291928669,0.9999607923254431,3.4131246656399496e-08,0.5558004706165779,0.05501639115003333,0.03072006710833124,9.66106505306847,5.3906380505987945,0.001423300182388507,1.9777604475929396,140.76754967669507,0.34440872624515717,0.19048828576211846,0.674394422570373,0.2883215873757662,17.654032206130495,11.577330315053654,0.9331834362223929,0.03793964234189259,0.11102515803771477,0.8510350210203921
0.1,30.483654533655933,140.03186067780558,0.9999537303697792,3.8527573319236e-07,3.64280472982873e-07,0.9994179772193211,0.3335016280589344,0.9999232543691716,6.994990517331844e-08,0.7603156407228192,0.060657220339715726,0.02513752588036302,9.651769728230514,5.397501590919836,0.0021263135011600964,1.9831132928340751,140.76727636953692,0.45737778965415227,0.27858991955702783,0.7233656257137929,0.2454741691034746,16.780171709368414,9.86943395809,0.9222050707278268,0.014414062065722192,0.09758471589925567,0.8880010434350222
