t,VV7,VV6
0.0,0.00366525,0.0101913
0.01,0.003664368381424165,0.010191293032703485
0.02,0.0036634885243910786,0.010191286065413934
0.03,0.003662610425513279,0.010191279098131351
0.04,0.003661734080895672,0.010191272130855739
0.05,0.0036608594885419584,0.010191265163587091
0.06,0.0036599866445788825,0.01019125819632541
0.07,0.0036591155453362615,0.010191251229070698
0.08,0.003658246187143915,0.010191244261822953
0.09,0.0036573785663316606,0.010191237294582175
0.1,0.003656512679229317,0.010191230327348364
0.11,0.003655648522166703,0.01019122336012152
0.12,0.003654786091473637,0.010191216392901643
0.13,0.0036539253834799367,0.010191209425688734
0.14,0.003653066394515421,0.010191202458482792
0.15,0.003652209120909909,0.010191195491283818
0.16,0.003651353559006353,0.010191188524091808
0.17,0.003650499706132999,0.010191181556906768
0.18,0.0036496475594208115,0.010191174589728695
0.19,0.0036487971154501864,0.01019116762255759
0.2,0.00364794837080152,0.01019116065539345
0.21,0.003647101322055208,0.010191153688236278
0.22,0.0036462559657916465,0.010191146721086074
0.23,0.003645412298591232,0.010191139753942835
0.24,0.00364457031703436,0.010191132786806566
0.25,0.0036437300177014267,0.010191125819677262
0.26,0.003642891397172828,0.010191118852554927
0.27,0.0036420544520289607,0.010191111885439558
0.28,0.00364121917885022,0.010191104918331155
0.29,0.0036403855744419206,0.010191097951229721
0.3,0.0036395536357361202,0.010191090984135254
0.31,0.0036387233593969358,0.010191084017047753
0.32,0.003637894742087022,0.01019107704996722
0.33,0.0036370677804690352,0.010191070082893654
0.34,0.0036362424712056297,0.010191063115827055
0.35000000000000003,0.0036354188109594615,0.010191056148767422
0.36,0.0036345967963931853,0.010191049181714757
0.37,0.0036337764241694565,0.010191042214669058
0.38,0.003632957690950931,0.010191035247630327
0.39,0.0036321405934002632,0.010191028280598563
0.4,0.003631325128180109,0.010191021313573766
0.41000000000000003,0.0036305112968690084,0.010191014346555935
0.42,0.003629699085497175,0.010191007379545073
0.43,0.0036288884974357066,0.010191000412541175
0.44,0.00362807952936186,0.010190993445544246
0.45,0.0036272721779594804,0.010190986478554286
0.46,0.003626466439918999,0.01019097951157129
0.47000000000000003,0.003625662311937435,0.010190972544595263
0.48,0.0036248597907183964,0.0101909655776262
0.49,0.0036240588729720773,0.010190958610664106
0.5,0.0036232595554152604,0.010190951643708979
0.51,0.0036224618347713154,0.01019094467676082
0.52,0.0036216657077702,0.010190937709819626
0.53,0.0036208711712916917,0.0101909307428854
0.54,0.003620078222919602,0.01019092377595814
0.55,0.0036192868595694553,0.010190916809037848
0.56,0.0036184970780322803,0.010190909842124523
0.5700000000000001,0.0036177088751060435,0.010190902875218164
0.58,0.003616922247595652,0.010190895908318771
0.59,0.0036161371923129513,0.010190888941426347
0.6,0.0036153537060767244,0.01019088197454089
0.61,0.0036145717857126954,0.010190875007662397
0.62,0.0036137914280535257,0.010190868040790873
0.63,0.003613012629938816,0.010190861073926315
0.64,0.0036122353882151056,0.010190854107068726
0.65,0.0036114596997358734,0.010190847140218102
0.66,0.003610685561361537,0.010190840173374445
0.67,0.0036099129699594516,0.010190833206537755
0.68,0.0036091419224039125,0.010190826239708033
0.6900000000000001,0.0036083724155761545,0.010190819272885275
0.7000000000000001,0.0036076044463643495,0.010190812306069486
0.71,0.0036068380116636095,0.010190805339260664
0.72,0.0036060731083759853,0.010190798372458808
0.73,0.0036053097334104657,0.010190791405663919
0.74,0.0036045478836829797,0.010190784438875996
0.75,0.0036037875561163936,0.010190777472095042
0.76,0.003603028747640514,0.010190770505321052
0.77,0.003602271455192086,0.01019076353855403
0.78,0.003601515675714793,0.010190756571793975
0.79,0.0036007614061592578,0.010190749605040886
0.8,0.0036000086434830416,0.010190742638294765
0.81,0.003599257384650645,0.01019073567155561
0.8200000000000001,0.003598507626633507,0.010190728704823421
0.8300000000000001,0.0035977593664100064,0.0101907217380982
0.84,0.0035970126009654594,0.010190714771379946
0.85,0.0035962673272921224,0.010190707804668658
0.86,0.0035955235423891898,0.010190700837964337
0.87,0.0035947812432627958,0.010190693871266983
0.88,0.0035940404269260116,0.010190686904576593
0.89,0.00359330109039885,0.010190679937893172
0.9,0.0035925632307082602,0.010190672971216718
0.91,0.003591826844888132,0.01019066600454723
0.92,0.0035910919299792926,0.010190659037884709
0.93,0.0035903584830295097,0.010190652071229154
