t,y,v
0.0,0.0,1.0
0.01,0.0,0.9950124687583851
0.02,0.0,0.9900498129849928
0.03,0.0,0.985111908612827
0.04,0.0,0.9801986549778601
0.05,0.0,0.9753099184829579
0.06,0.0,0.9704455564399195
0.07,0.0,0.965605439836798
0.08,0.0,0.9607894636555954
0.09,0.0,0.9559975072063762
0.1,0.0,0.9512294500516837
0.11,0.0,0.9464851743353986
0.12,0.0,0.9417645609188473
0.13,0.0,0.9370674921574129
0.14,0.0,0.9323938483399665
0.15,0.0,0.9277435155602713
0.16,0.0,0.9231163758464391
0.17,0.0,0.9185123139979261
0.18,0.0,0.9139312149679845
0.19,0.0,0.9093729639758614
0.2,0.0,0.9048374470233546
0.21,0.0,0.9003245508948118
0.22,0.0,0.8958341631571315
0.23,0.0,0.8913661712684423
0.24,0.0,0.8869204629204513
0.25,0.0,0.882496927126807
0.26,0.0,0.8780954535686497
0.27,0.0,0.8737159325946084
0.28,0.0,0.8693582552208015
0.29,0.0,0.8650223127471166
0.3,0.0,0.8607079959030977
0.31,0.0,0.856415196750079
0.32,0.0,0.8521438079824304
0.33,0.0,0.8478937228453132
0.34,0.0,0.8436648351346804
0.35000000000000003,0.0,0.8394570391841498
0.36,0.0,0.8352702296886534
0.37,0.0,0.8311043019331531
0.38,0.0,0.8269591517809181
0.39,0.0,0.8228346756293736
0.4,0.0,0.8187307704101018
0.41000000000000003,0.0,0.8146473338129837
0.42,0.0,0.8105842631289426
0.43,0.0,0.8065414571042393
0.44,0.0,0.8025188146444114
0.45,0.0,0.7985162351838448
0.46,0.0,0.7945336186831241
0.47000000000000003,0.0,0.7905708656263822
0.48,0.0,0.7866278768711779
0.49,0.0,0.7827045534116374
0.5,0.0,0.7788007971232176
0.51,0.0,0.7749165104169311
0.52,0.0,0.7710515962032134
0.53,0.0,0.7672059578889311
0.54,0.0,0.763379499374391
0.55,0.0,0.7595721250503474
0.56,0.0,0.755783739795012
0.5700000000000001,0.0,0.7520142489710607
0.58,0.0,0.7482635584226434
0.59,0.0,0.744531574472391
0.6,0.0,0.7408182039184255
0.61,0.0,0.7371233540313666
0.62,0.0,0.7334469325513417
0.63,0.0,0.729788847684993
0.64,0.0,0.7261490081024866
0.65,0.0,0.7225273229345209
0.66,0.0,0.718923701769335
0.67,0.0,0.7153380546338609
0.68,0.0,0.7117702916113874
0.6900000000000001,0.0,0.7082203233797574
0.7000000000000001,0.0,0.7046880612069654
0.71,0.0,0.7011734167940975
0.72,0.0,0.6976763022720379
0.73,0.0,0.6941966301981742
0.74,0.0,0.6907343135531042
0.75,0.0,0.6872892657373414
0.76,0.0,0.683861400568021
0.77,0.0,0.6804506322756068
0.78,0.0,0.6770568755005956
0.79,0.0,0.6736800452902252
0.8,0.0,0.6703200570951787
0.81,0.0,0.6669768267662917
0.8200000000000001,0.0,0.6636502705512579
0.8300000000000001,0.0,0.6603403050913349
0.84,0.0,0.6570468474180506
0.85,0.0,0.6537698149499094
0.86,0.0,0.6505091254890976
0.87,0.0,0.6472646976603883
0.88,0.0,0.6440364511161121
0.89,0.0,0.6408243051903629
0.9,0.0,0.6376281796034309
0.91,0.0,0.63444799448467
0.92,0.0,0.6312836703709197
0.93,0.0,0.6281351282049237
0.9400000000000001,0.0,0.6250022893337509
0.9500000000000001,0.0,0.6218850755072154
0.96,0.0,0.618783408876296
0.97,0.0,0.6156972119915572
0.98,0.0,0.6126264078015684
0.99,0.0,0.6095709196513246
1.0,0.0,0.6065306712806662
1.01,0.0,0.6035055867769331
1.02,0.0,0.6004955901792258
1.03,0.0,0.59750060614225
1.04,0.0,0.5945205597913483
1.05,0.0,0.5915553766204743
1.06,0.0,0.5886049824898484
1.07,0.0,0.5856693036236147
1.08,0.0,0.5827482666074972
1.09,0.0,0.5798417983864563
1.1,0.0,0.5769498262623447
1.11,0.0,0.5740722778915642
1.12,0.0,0.5712090812827223
1.1300000000000001,0.0,0.5683601647942879
1.1400000000000001,0.0,0.5655254571322481
