t,V,m,h,j,Cai,d,f,X
0.0,-84.3801107371,0.00171338077730188,0.982660523699656,0.989108212766685,0.00017948816388306,0.00302126301779861,0.999967936476325,0.0417603108167287
0.01,-84.3801179453779,0.0017133787239812374,0.9826605519281912,0.9891082310108599,0.00017948811528013838,0.003021261112724386,0.999967938868907,0.041758724698085836
0.02,-84.38012515333898,0.001713376670700761,0.9826605801554387,0.9891082492541976,0.00017948806667933499,0.003021259207735054,0.9999679412610218,0.04175713865223469
0.03,-84.38013236123041,0.0017133746163671682,0.9826606083824032,0.9891082674973515,0.00017948801807899712,0.0030212573027643785,0.9999679436530339,0.04175555262238034
0.04,-84.38013956881983,0.0017133725559235356,0.9826606366081398,0.9891082857397073,0.0001794879694806785,0.003021255397874626,0.999967946044601,0.04175396666191295
0.05,-84.38014677610725,0.0017133704887054217,0.9826606648326488,0.9891083039812651,0.00017948792088437907,0.003021253493065796,0.9999679484357232,0.041752380770830724
0.06,-84.38015398309267,0.0017133684147128264,0.9826606930559301,0.9891083222220252,0.0001794878722900989,0.0030212515883378866,0.9999679508264004,0.04175079494913366
0.07,-84.38016118977609,0.0017133663339457498,0.9826607212779835,0.9891083404619871,0.0001794878236978379,0.003021249683690899,0.9999679532166327,0.04174920919682177
0.08,-84.3801683961575,0.0017133642464041915,0.9826607494988094,0.9891083587011513,0.00017948777510759612,0.0030212477791248336,0.9999679556064199,0.04174762351389504
0.09,-84.3801756022369,0.001713362152088152,0.9826607777184075,0.9891083769395175,0.00017948772651937354,0.003021245874639689,0.9999679579957622,0.04174603790035348
0.1,-84.38018280801431,0.0017133600509976307,0.982660805936778,0.9891083951770857,0.00017948767793317017,0.0030212439702354665,0.9999679603846596,0.04174445235619708
0.11,-84.38019001348972,0.0017133579431326284,0.9826608341539206,0.989108413413856,0.00017948762934898602,0.003021242065912165,0.999967962773112,0.04174286688142585
0.12,-84.38019721866313,0.0017133558284931445,0.9826608623698355,0.9891084316498283,0.0001794875807668211,0.0030212401616697853,0.9999679651611194,0.04174128147603979
0.13,-84.38020442353452,0.0017133537070791792,0.9826608905845228,0.9891084498850028,0.00017948753218667535,0.0030212382575083275,0.9999679675486818,0.04173969614003889
0.14,-84.38021162810392,0.0017133515788907323,0.9826609187979823,0.9891084681193792,0.00017948748360854883,0.0030212363534277906,0.9999679699357993,0.041738110873423155
0.15,-84.38021883237134,0.0017133495770629988,0.982660947010214,0.9891084863529578,0.00017948743503244148,0.0030212344494281746,0.9999679723224718,0.04173652567619143
0.16,-84.38022603633688,0.0017133478728226653,0.9826609752212185,0.9891085045857387,0.00017948738645835293,0.003021232545509463,0.9999679747086998,0.04173494054832913
0.17,-84.38023324000046,0.001713345869441264,0.9826610034309955,0.9891085228177219,0.00017948733788628306,0.003021230641671648,0.9999679770944834,0.04173335548982951
0.18,-84.38024044336213,0.0017133438278269036,0.9826610316395453,0.9891085410489073,0.00017948728931623176,0.0030212287379147267,0.9999679794798227,0.041731770500689574
0.19,-84.38024764642189,0.0017133417779795473,0.9826610598468679,0.9891085592792952,0.000179487240748199,0.003021226834238696,0.9999679818647179,0.04173018558090631
0.2,-84.38025484917979,0.0017133397266524317,0.9826610880529634,0.9891085775088857,0.00017948719218218465,0.003021224930643552,0.999967984249169,0.041728600730476705
0.21,-84.38026205163581,0.0017133376751309974,0.9826611162578316,0.9891085957376785,0.00017948714361818861,0.0030212230271292914,0.9999679866331762,0.04172701594939739
0.22,-84.38026925379,0.0017133356236207855,0.9826611444614728,0.9891086139656737,0.00017948709505621085,0.003021221123695911,0.9999679890167393,0.0417254312376657
0.23,-84.38027645564244,0.0017133335722466867,0.9826611726638875,0.9891086321928718,0.00017948704649625057,0.0030212192203433767,0.9999679913998595,0.04172384659524986
0.24,-84.38028365719308,0.001713331520943399,0.9826612008650755,0.9891086504192727,0.00017948699793830837,0.003021217317071712,0.9999679937825359,0.04172226202217234
