t,Ca,Trop,CaTrop,Ca2Trop
0.0,0.05,360.0,0.01,0.01
0.01,2.2475523919724394e-15,359.9488934044215,0.06221319115617334,0.008893404421910923
0.02,2.316905946755122e-15,359.9479304431928,0.06413911361361221,0.007930443193187406
0.03,2.3771094449871268e-15,359.9470945287979,0.06581094240321092,0.0070945287984009835
0.04,2.4293558445576357e-15,359.946369097239,0.06726180552089901,0.006369097239583694
0.05,2.474687552555245e-15,359.9457396748879,0.06852065022329268,0.005739674888390927
0.06,2.5140127026837004e-15,359.9451936524769,0.06961269504522241,0.005193652477435843
0.07,2.548121499583316e-15,359.9447200581617,0.07055988367559239,0.0047200581622694054
0.08,2.577701696240642e-15,359.94430934262,0.07138131475901967,0.004309342620572462
0.09,2.603351425914154e-15,359.9439532008826,0.07209359823372205,0.003953200883236784
0.1,2.625590270981655e-15,359.9436444186449,0.07271116270921749,0.003644418645493354
0.11,2.64487043795195e-15,359.9433767171034,0.07324656579220856,0.0033767171039808487
0.12,2.6615844372300164e-15,359.943144646324,0.07371070735095969,0.0031446463245921254
0.13,2.6760726652998894e-15,359.942943479965,0.07411304006904618,0.0029434799655537877
0.14,2.688630626192177e-15,359.9427691150073,0.0744617699843533,0.00276911500790613
0.15,2.6995149720437886e-15,359.94261798788415,0.07476402423061135,0.0026179878847785954
0.16,2.7089484419241815e-15,359.94248700590464,0.0750259881897438,0.002487005905215282
0.17,2.7171241650023547e-15,359.94237348750613,0.07525302498673284,0.002373487506759072
0.18,2.7242095624790185e-15,359.94227510807633,0.07544978384632359,0.002275108077006235
0.19,2.730349803415939e-15,359.9421898519698,0.07562029605945032,0.002189851970474119
0.2,2.735670798454425e-15,359.9421159709406,0.07576805811791121,0.002115970941272552
0.21,2.7402817573977582e-15,359.9420519486309,0.07589610273739433,0.0020519486315691074
0.22,2.7442774067550118e-15,359.9419964697805,0.07600706043794947,0.0019964697813454964
0.23,2.747739855623411e-15,359.9419483943202,0.07610321135872782,0.0019483943210144052
0.24,2.7507401974655167e-15,359.9419067351302,0.07618652973870418,0.0019067351310713744
0.25,2.7533400559497237e-15,359.9418706365772,0.07625872684474874,0.0018706365780788493
0.26,2.7555928496134623e-15,359.9418393569553,0.07632128608855086,0.0018393569561985681
0.27,2.7575448400258263e-15,359.9418122539297,0.07637549213980792,0.0018122539305900369
0.28,2.7592362190383807e-15,359.9417887694457,0.07642246110773718,0.0017887694466548637
0.29,2.7607017916677913e-15,359.9417684202461,0.07646315950690996,0.0017684202471049697
0.3,2.7619716981936327e-15,359.9417507878114,0.07649842437640841,0.0017507878123933247
0.31,2.763072053711801e-15,359.94173550960625,0.07652898078665922,0.0017355096073004908
0.32,2.764025510335116e-15,359.94172227105395,0.07655545789128312,0.0017222710550110808
0.33,2.764851646270895e-15,359.94171080008664,0.07657839982588288,0.0017108000877270376
0.34,2.7655675402844547e-15,359.9417008608417,0.0765982783157369,0.0017008608428127345
0.35000000000000003,2.766187765015147e-15,359.94169224940896,0.07661550118128331,0.0016922494100479186
0.36,2.7667250795401197e-15,359.94168478767415,0.07663042465093066,0.001684787675227411
0.37,2.7671906919765957e-15,359.9416783226489,0.07664335470139683,0.0016783226499957006
0.38,2.767594202490787e-15,359.9416727207285,0.07665455854219616,0.0016727207295954625
0.39,2.7679437783710948e-15,359.9416678665772,0.07666426684486244,0.001667866578260356
0.4,2.768246683162087e-15,359.9416636606988,0.07667267860169032,0.0016636606998440728
0.41000000000000003,2.7685091736667417e-15,359.9416600162036,0.07667996759199543,0.0016600162046895776
0.42,2.7687366036681274e-15,359.9416568583725,0.07668628325427027,0.0016568583735507387
0.43,2.768933654949898e-15,359.9416541223472,0.07669175530497027,0.0016541223481998742
0.44,2.7691043929649065e-15,359.9416517516815,0.07669649663632015,0.00165175168252421
0.45,2.7692522916375764e-15,359.94164969813585,0.07670060372760461,0.0016496981368812965
0.46,2.769380446884692e-15,359.941647918724,0.07670416255128437,0.0016479187250401366
0.47000000000000003,2.7694914526607447e-15,359.9416463774294,0.07670724514051312,0.0016463774304240726
0.48,2.7695876603188553e-15,359.94164504160386,0.07670991679149486,0.0016450416049310773
0.49,2.7696710044221816e-15,359.94164388438645,0.07671223122633235,0.0016438843875098779
0.5,2.7697432491081767e-15,359.94164288128235,0.07671423743446844,0.0016428812834395254
0.51,2.769805845168542e-15,359.94164201214767,0.0767159757038461,0.0016420121487486607
0.52,2.7698601033654202e-15,359.9416412587827,0.07671748243384385,0.0016412587837483996
0.53,2.769907115442416e-15,359.9416406060287,0.07671878794179084,0.0016406060297739407
0.54,2.769947859888763e-15,359.9416400402996,0.07671991939996979,0.0016400403006837801
0.55,2.76998315808187e-15,359.94163955019076,0.07672089961768216,0.0016395501918271302
0.56,2.770013741447785e-15,359.9416391255465,0.07672174890635845,0.0016391255474885067
0.5700000000000001,2.7700402140566824e-15,359.9416387579792,0.07672248404088183,0.0016387579802266358
0.58,2.770063162829666e-15,359.9416384393397,0.0767231213198362,0.0016384393407494345
0.59,2.7700830330149965e-15,359.9416381634459,0.07672367310756083,0.001638163446885999
0.6,2.770100238119884e-15,359.9416379245562,0.07672415088695657,0.0016379245571844392
0.61,2.7701151763794722e-15,359.9416377171412,0.07672456571684065,0.0016377171422349828
0.62,2.7701281005733846e-15,359.9416375376912,0.07672492461689365,0.001637537692200022
0.63,2.7701393143456993e-15,359.94163738199,0.07672523601919297,0.0016373819910409395
0.64,2.7701490482920633e-15,359.941637246836,0.07672550632729613,0.0016372468369798506
