t,V,H,m,J,Ca_ss,d,dp,f,fca,fca2,f2,xr,Ca_i,xs1,xs2,ydv,ydv2,zdv,Na_i,Cl_i,AA,mL,hL,K_i,Ca_jsr,CaMKtrap,ro,ri,Ca_nsr
0.0,-85.781844107117,0.987317750543,0.001356538159,0.991924983076,0.00012271265,1.64013e-06,8.98230672628,0.999961508634,0.97836624923,0.893052931249,0.992234519148,7.24074e-06,0.00012131666,0.019883138161,0.019890650554,0.013970786703,0.99996472752,0.829206149767,12.972433387269,15.59207157178,0.000816605172,0.001356538159,0.26130711759,135.469546216758,1.737580994071,0.021123704774,0.0,0.862666650318,1.832822335168
0.01,-85.58221952763448,0.9873168510237316,0.0013820254834915455,0.991924870046682,0.00012271223483631494,1.64053085192471e-06,8.982306206927703,0.9999615083508843,0.9783663204075899,0.8930554698981155,0.9922349361545236,7.239714035594422e-06,0.00012131634769234355,0.019883161149831716,0.01989066088300709,0.013980243208759917,0.9999647273180302,0.8292105542443371,12.972433324718553,15.592065436057789,0.0008166024010439002,0.0013820254834915455,0.2613076771741945,135.46955242840195,1.737584533466462,0.02112360707429987,5.82780308011261e-103,0.862670533939446,1.8328220729729492
0.02,-85.3831704873508,0.9873141752418491,0.001425431619689276,0.9919245243867103,0.0001227118197034923,1.6417395677477e-06,8.982304591604699,0.9999615074717622,0.9783663915820809,0.8930580084869699,0.9922353530715728,7.238692641539249e-06,0.00012131603647385927,0.01988323314903435,0.019890695723749775,0.014007257262898523,0.9999647266776065,0.8292149571490697,12.97243326059334,15.592059300366673,0.0008165996302021985,0.001425431619689276,0.26130812427171024,135.46955860600522,1.7375880727261175,0.021123509374923473,1.1664858590847267e-102,0.8626744174509884,1.8328218107905352
0.03,-85.18468494327193,0.9873097559734889,0.001472584838677693,0.9919239435509897,0.00012271140460184813,1.64376450747737e-06,8.982301818795488,0.9999615059814718,0.9783664627534662,0.8930605470155647,0.992235769897414,7.237675807795903e-06,0.0001213157263488768,0.019883354156162016,0.019890755078773005,0.01404997338250046,0.9999647255823156,0.8292193584270441,12.972433194896148,15.592053164706565,0.0008165968594758101,0.001472584838677693,0.26130846074999486,135.4695647503049,1.737591611849972,0.02112341167587082,1.7564127090301209e-102,0.8626783008526304,1.832821548620803
0.04,-84.98675136054669,0.987303623916006,0.0015215090295559424,0.9919231249124721,0.00012271098953169798,1.6466144037631492e-06,8.982297823975305,0.9999615038645568,0.9783665339217376,0.8930630854839011,0.9922361866302801,7.236663524815317e-06,0.0001213154173217196,0.019883524170675928,0.01989083895152922,0.014106769073886256,0.9999647240152434,0.8292237580225146,12.972433127629667,15.592047029077385,0.0008165940888656579,0.0015215090295559424,0.26130868847311367,135.46957086200683,1.7375951508380294,0.021123313977141924,2.358074583928562e-102,0.8626821841443751,1.8328212864637972
0.05,-84.78935860886985,0.9872958079433801,0.0015719196087555668,0.9919220657511792,0.00012271057449335862,1.6502984102929032e-06,8.982292539139927,0.999961501105185,0.9783666050868877,0.8930656238919811,0.9922366032683608,7.235655783481948e-06,0.00012131510939672413,0.019883743193808506,0.019890947346328906,0.014176215473659931,0.9999647219588754,0.8292281558778234,12.972433058796526,15.59204089347905,0.0008165913183726755,0.0015719196087555668,0.2613088093087415,135.4695769417921,1.7375986896902953,0.021123216278736794,2.9773796716972023e-102,0.862686067326226,1.8328210243195624
0.06,-84.59249580827742,0.9872863354916278,0.001623846729247012,0.9919207632280256,0.00012271015948715097,1.6548261966913705e-06,8.982285891953657,0.9999614976869806,0.9783666762489085,0.8930681622398057,0.9922370198097836,7.234652575023214e-06,0.00012131480257828467,0.019884011228566645,0.019891080268380004,0.014257042657547321,0.999964719394902,0.8292325519327629,12.972432988399321,15.592034757911486,0.0008165885479978174,0.001623846729247012,0.26130882514483084,135.4695829903264,1.7376022284067745,0.021123118580655444,3.620861223079198e-102,0.8626899503981857,1.832820762188144
0.07,-84.39615244886491,0.9872752322242982,0.0016773111666134452,0.9919192144208753,0.00012270974451339612,1.6602078414818812e-06,8.982277806406662,0.9999614935932203,0.978366747407792,0.8930707005273762,0.9922374362526363,7.2336538911355376e-06,0.00012131449687079442,0.019884328279658064,0.019891237723701435,0.014348139368032045,0.9999647163044193,0.8292369461252492,12.972432916440592,15.592028622374617,0.0008165857777420466,0.0016773111666134452,0.2613087378627425,135.46958900825265,1.7376057669874718,0.02112302088289789,4.295804042870171e-102,0.8626938333602574,1.832820500069588
0.08,-84.20031842054206,0.9872625219741267,0.0017323394644398378,0.9919174163467683,0.00012270932957241315,1.6664537644975303e-06,8.982268203183235,0.999961488806941,0.97836681856353,0.8930732387546945,0.992237852594979,7.23265972403152e-06,0.00012131419227861626,0.019884694353383133,0.019891419719045633,0.014448538448605735,0.999964712668044,0.8292413383917027,12.972432842922801,15.59202248686837,0.0008165830076063285,0.0017323394644398378,0.26130854932283853,135.46959499618944,1.7376093054323924,0.02112292318546414,5.0104254058695685e-102,0.8626977162124445,1.8328202379639396
0.09,-84.0049838415964,0.987248227145959,0.0017889821897992518,0.9919153659204378,0.00012270891466452347,1.6735748879237614e-06,8.982256998277503,0.999961483310686,0.9783668897161142,0.8930757769217618,0.9922382688348156,7.231670066331471e-06,0.0001213138888061436,0.019885109457655897,0.019891626261960046,0.014557386054683754,0.9999647084656068,0.8292457286660573,12.972432767848378,15.592016351392669,0.0008165802375916432,0.0017889821897992518,0.2613082613888656,135.46960095474114,1.7376128437415408,0.021122825488354202,5.774312670637192e-102,0.8627015989547498,1.8328199758712436
